Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.67,27.97,27.48,27.82,2587400,0.0,0
2009-12-08,27.68,27.78,27.42,27.51,1798000,0.0,0
2009-12-09,27.58,27.78,27.49,27.76,1995200,0.0,0
2009-12-10,27.87,28.42,27.87,28.39,2267500,0.0,0
2009-12-11,28.59,29.02,28.5,28.92,2355600,0.0,0
2009-12-14,29.18,29.33,28.97,29.29,2157800,0.0,0
2009-12-15,29.13,29.33,29.01,29.27,1946800,0.0,0
2009-12-16,28.96,29.05,28.71,28.75,3147500,0.0,0
2009-12-17,28.68,29.04,28.51,28.97,2472800,0.0,0
2009-12-18,28.97,29.41,28.85,29.04,3258400,0.0,0
2009-12-21,29.2,29.54,29.06,29.23,1488600,0.0,0
2009-12-22,29.33,29.49,28.99,29.04,1531700,0.0,0
2009-12-23,29.09,29.36,28.91,29.32,1479600,0.0,0
2009-12-24,29.33,29.45,29.3,29.4,329400,0.0,0
2009-12-28,29.51,29.51,29.2,29.31,876400,0.0,0
2009-12-29,29.28,29.45,29.22,29.3,1116100,0.0,0
2009-12-30,29.23,29.51,29.2,29.42,1410800,0.0,0
2009-12-31,29.38,29.59,28.75,28.78,929800,0.0,0
2010-01-04,28.88,29.07,28.75,28.97,1840900,0.0,0
2010-01-05,28.9,29.02,28.29,28.65,2922100,0.0,0
2010-01-06,28.68,29.02,28.51,28.96,3426300,0.0,0
2010-01-07,28.85,28.96,28.48,28.53,2327700,0.0,0
2010-01-08,28.47,28.55,28.21,28.38,2286900,0.0,0
2010-01-11,28.55,28.99,28.48,28.88,2026900,0.0,0
2010-01-12,29.09,29.09,28.73,28.92,2687400,0.0,0
2010-01-13,28.91,29.17,28.74,29.09,1556000,0.0,0
2010-01-14,29.02,29.09,28.84,29.04,2144200,0.0,0
2010-01-15,29.02,29.02,28.44,28.92,2244200,0.0,0
2010-01-19,28.86,29.15,28.73,29.14,1640700,0.0,0
2010-01-20,29.04,29.04,28.44,28.73,2068500,0.0,0
2010-01-21,28.62,28.81,27.89,27.96,2436000,0.0,0
2010-01-22,27.96,27.96,27.33,27.34,2450700,0.0,0
2010-01-25,27.69,27.74,27.32,27.5,1892700,0.0,0
2010-01-26,27.47,27.8,27.33,27.64,2277800,0.0,0
2010-01-27,27.53,27.53,26.97,27.39,2259900,0.0,0
2010-01-28,27.43,27.54,26.97,27.05,1445600,0.0,0
2010-01-29,27.13,27.36,26.97,27.02,1906900,0.0,0
2010-02-01,26.69,27.22,26.57,27.1,1837100,0.0,0
2010-02-02,27.07,27.35,26.73,27.32,2309300,0.0,0
2010-02-03,27.33,27.33,26.82,26.89,1537900,0.55,0
2010-02-04,26.79,26.97,26.26,26.3,2546000,0.0,0
2010-02-05,26.24,26.43,25.71,26.07,2330600,0.0,0
2010-02-08,26.22,26.22,25.71,25.71,1343500,0.0,0
2010-02-09,25.9,26.54,25.9,26.18,2909500,0.0,0
2010-02-10,26.16,26.17,25.81,26.01,1713700,0.0,0
2010-02-11,24.69,25.01,24.28,24.84,15876900,0.0,0
2010-02-12,24.87,24.92,24.26,24.59,9142500,0.0,0
2010-02-16,24.72,25.02,24.41,24.6,5027600,0.0,0
2010-02-17,24.78,24.78,24.13,24.2,4534900,0.0,0
2010-02-18,24.23,24.39,24.1,24.34,4062600,0.0,0
