Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-12-09,21.32,21.99,21.12,21.85,10609700,0.0,0
2010-12-10,21.44,21.69,21.17,21.45,1206800,0.0,0
2010-12-13,21.52,21.69,21.13,21.44,473200,0.0,0
2010-12-14,21.67,21.88,21.14,21.37,358200,0.0,0
2010-12-15,21.28,21.67,21.27,21.48,242200,0.0,0
2010-12-16,21.6,21.63,21.29,21.63,260000,0.0,0
2010-12-17,21.56,21.96,21.52,21.96,69800,0.0,0
2010-12-20,21.99,22.24,21.78,22.02,65900,0.0,0
2010-12-21,22.04,22.72,21.92,22.62,210200,0.0,0
2010-12-22,22.69,23.88,22.66,23.04,103000,0.0,0
2010-12-23,23.22,23.22,22.6,22.77,66100,0.0,0
2010-12-27,22.81,22.97,22.59,22.68,29800,0.0,0
2010-12-28,22.68,22.79,22.54,22.73,90200,0.0,0
2010-12-29,22.89,22.89,22.57,22.75,85300,0.0,0
2010-12-30,22.87,23.43,22.39,22.66,149800,0.0,0
2010-12-31,22.69,22.78,22.56,22.78,68800,0.0,0
2011-01-03,23.08,23.09,22.49,22.68,230900,0.0,0
2011-01-04,22.87,22.87,22.3,22.32,56500,0.0,0
2011-01-05,22.44,22.61,22.14,22.23,178700,0.0,0
2011-01-06,22.39,22.86,22.32,22.69,218600,0.0,0
2011-01-07,24.29,24.41,23.59,23.9,2144000,0.0,0
2011-01-10,24.17,24.51,24.11,24.2,621700,0.0,0
2011-01-11,24.41,24.44,23.79,23.93,330800,0.0,0
2011-01-12,24.08,24.18,23.64,23.71,216500,0.0,0
2011-01-13,23.77,24.07,23.71,23.87,132800,0.0,0
2011-01-14,24.0,24.53,23.93,24.53,269100,0.0,0
2011-01-18,24.53,24.62,23.75,24.17,49400,0.0,0
2011-01-19,24.0,24.12,23.79,23.88,300200,0.0,0
2011-01-20,23.71,24.33,23.46,23.94,155300,0.0,0
2011-01-21,24.03,24.03,23.47,23.65,152300,0.0,0
2011-01-24,23.61,23.82,23.32,23.71,85000,0.0,0
2011-01-25,23.64,23.72,23.47,23.72,54100,0.0,0
2011-01-26,23.68,23.82,23.53,23.75,62600,0.0,0
2011-01-27,24.03,24.26,23.7,23.72,168400,0.0,0
2011-01-28,23.62,23.63,22.93,23.25,311600,0.0,0
2011-01-31,23.3,23.3,23.13,23.26,57400,0.0,0
2011-02-01,23.28,23.36,22.86,22.91,197800,0.0,0
2011-02-02,22.79,23.07,22.73,22.78,100500,0.0,0
2011-02-03,22.76,22.93,22.6,22.61,169600,0.0,0
2011-02-04,22.6,22.86,22.38,22.85,146300,0.0,0
2011-02-07,23.27,23.27,23.04,23.08,148300,0.0,0
2011-02-08,23.22,23.39,22.85,23.35,107300,0.0,0
2011-02-09,23.18,23.28,23.0,23.05,35800,0.0,0
2011-02-10,22.89,23.02,22.36,22.89,197400,0.0,0
2011-02-11,22.85,22.98,22.57,22.79,91600,0.0,0
2011-02-14,22.69,22.77,22.42,22.56,75900,0.0,0
2011-02-15,22.53,22.81,22.53,22.72,59800,0.0,0
2011-02-16,22.71,22.8,22.53,22.8,75800,0.0,0
2011-02-17,22.81,22.95,22.68,22.71,49700,0.0,0
2011-02-18,22.71,23.29,22.69,23.29,59100,0.0,0
2011-02-22,23.08,23.25,22.69,22.86,146200,0.0,0
2011-02-23,22.69,23.16,22.69,22.74,158500,0.0,0
2011-02-24,22.75,23.02,22.71,22.77,102300,0.0,0
2011-02-25,22.78,23.38,22.78,22.93,99600,0.0,0
2011-02-28,22.96,23.38,22.85,22.89,182900,0.0,0
2011-03-01,23.0,23.05,22.65,22.74,133100,0.0,0
2011-03-02,22.69,22.75,22.3,22.49,177600,0.0,0
2011-03-03,22.36,22.77,22.36,22.75,101500,0.0,0
2011-03-04,22.77,22.86,22.46,22.53,119400,0.0,0
2011-03-07,22.63,22.63,21.88,21.91,183800,0.0,0
2011-03-08,21.91,22.59,21.85,22.49,263200,0.0,0
2011-03-09,22.4,22.71,22.1,22.61,147700,0.0,0
2011-03-10,22.42,22.5,22.03,22.3,134100,0.0,0
2011-03-11,21.92,22.24,21.72,22.13,143200,0.0,0
2011-03-14,21.89,22.14,21.83,22.05,119100,0.0,0
2011-03-15,21.68,22.89,21.6,22.75,278700,0.0,0
2011-03-16,22.7,23.04,22.17,22.97,421600,0.0,0
2011-03-17,23.06,23.47,23.0,23.45,154400,0.0,0
2011-03-18,23.47,23.74,23.4,23.74,209200,0.0,0
2011-03-21,23.79,24.01,23.4,23.93,83600,0.0,0
2011-03-22,23.86,23.86,23.17,23.29,114200,0.0,0
2011-03-23,23.17,23.48,23.17,23.4,28300,0.0,0
2011-03-24,23.48,23.61,23.14,23.26,110500,0.0,0
2011-03-25,23.33,24.19,23.25,23.54,203000,0.0,0
