Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.18,20.46,20.07,20.13,2585800,0.0,0.0
2009-12-08,19.93,19.97,19.46,19.56,4663200,0.0,0.0
2009-12-09,19.64,19.76,19.17,19.61,3217800,0.0,0.0
2009-12-10,19.88,20.17,19.77,20.1,3548400,0.0,0.0
2009-12-11,20.28,20.31,19.8,20.12,2578400,0.0,0.0
2009-12-14,20.44,20.54,20.29,20.48,2567400,0.0,0.0
2009-12-15,20.45,20.93,20.35,20.79,2636000,0.0,0.0
2009-12-16,20.89,21.29,20.8,21.27,3914200,0.0,0.0
2009-12-17,21.08,21.3,20.93,21.08,1845200,0.0,0.0
2009-12-18,21.35,21.36,20.88,21.26,4146600,0.0,0.0
2009-12-21,21.37,21.68,21.33,21.51,1254000,0.0,0.0
2009-12-22,21.59,22.0,21.52,21.7,2203000,0.0,0.0
2009-12-23,21.76,21.91,20.93,21.69,3208200,0.0,0.0
2009-12-24,21.67,21.9,21.67,21.71,384600,0.0,0.0
2009-12-28,21.78,21.98,21.62,21.73,1130200,0.0,0.0
2009-12-29,21.86,21.93,21.55,21.7,1190800,0.0,0.0
2009-12-30,21.55,21.72,21.47,21.56,820400,0.0,0.0
2009-12-31,21.58,21.76,21.36,21.36,924000,0.0,0.0
2010-01-04,21.48,22.05,21.48,21.88,1908400,0.0,0.0
2010-01-05,21.87,22.36,21.83,22.25,2206600,0.0,0.0
2010-01-06,22.19,22.39,21.74,22.36,2724200,0.0,0.0
2010-01-07,22.27,22.32,21.95,22.1,2581000,0.0,0.0
2010-01-08,22.03,22.53,21.88,22.49,3280400,0.0,0.0
2010-01-11,22.61,22.71,21.78,22.02,2909400,0.0,0.0
2010-01-12,21.67,21.68,21.18,21.36,2422400,0.0,0.0
2010-01-13,21.45,21.75,21.05,21.57,1515200,0.0,0.0
2010-01-14,21.4,21.67,21.33,21.45,1101000,0.0,0.0
2010-01-15,21.44,21.78,21.28,21.72,4599200,0.0,0.0
2010-01-19,21.67,22.06,21.62,22.04,2577600,0.0,0.0
2010-01-20,21.42,21.63,21.19,21.58,3761200,0.0,0.0
2010-01-21,21.67,21.78,20.75,20.76,3689800,0.0,0.0
2010-01-22,20.54,20.66,20.0,20.03,2602000,0.0,0.0
2010-01-25,20.17,20.52,20.0,20.17,2154000,0.0,0.0
2010-01-26,19.97,20.54,19.73,19.94,1876000,0.0,0.0
2010-01-27,19.96,20.09,19.56,20.02,1942000,0.0,0.0
2010-01-28,20.12,20.18,19.43,19.75,2074200,0.0,0.0
2010-01-29,20.0,20.43,19.54,19.64,3352600,0.0,0.0
2010-02-01,19.83,20.46,19.71,20.37,2369200,0.0,0.0
2010-02-02,20.49,20.63,20.12,20.54,1830000,0.0,0.0
2010-02-03,20.46,20.82,20.33,20.76,3214400,0.0,0.0
2010-02-04,20.49,20.51,19.95,19.97,3303400,0.0,0.0
2010-02-05,19.97,20.08,19.08,19.8,3774000,0.0,0.0
2010-02-08,19.78,20.22,19.5,19.76,2725800,0.0,0.0
2010-02-09,20.25,20.8,20.05,20.44,2692400,0.0,0.0
2010-02-10,20.33,20.63,19.95,20.46,1995400,0.0,0.0
