Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-07-05,48.63,53.5,47.65,47.85,6230700,0.0,0
2016-07-06,46.34,47.85,45.57,47.01,6706500,0.0,0
2016-07-07,46.88,47.26,46.61,47.0,5486800,0.0,0
2016-07-08,47.22,49.83,46.79,49.42,4243500,0.0,0
2016-07-11,48.45,50.44,48.22,50.33,6042300,0.0,0
2016-07-12,50.21,50.27,49.48,49.79,5552900,0.0,0
2016-07-13,49.79,50.31,49.06,49.84,4864700,0.0,0
2016-07-14,49.55,50.94,49.18,50.77,3481600,0.0,0
2016-07-15,50.98,51.11,49.83,50.44,3689800,0.0,0
2016-07-18,49.98,50.78,49.73,50.5,1557500,0.0,0
2016-07-19,50.25,50.76,49.66,50.75,1954700,0.0,0
2016-07-20,51.04,51.12,49.24,49.56,3351700,0.0,0
2016-07-21,49.62,49.84,49.22,49.46,3029900,0.0,0
2016-07-22,49.23,49.51,48.53,48.63,2450600,0.0,0
2016-07-25,48.46,48.68,47.12,48.22,3044800,0.0,0
2016-07-26,47.81,48.65,47.53,48.52,1571400,0.0,0
2016-07-27,48.32,48.73,47.96,48.16,1628600,0.0,0
2016-07-28,47.99,48.33,47.6,47.9,2923100,0.0,0
2016-07-29,47.71,48.04,47.27,47.46,4484100,0.0,0
2016-08-01,47.36,47.76,46.85,47.06,2981000,0.0,0
2016-08-02,46.76,47.28,46.45,46.76,3267300,0.0,0
2016-08-03,46.76,48.71,46.62,48.52,4709900,0.0,0
2016-08-04,48.82,49.33,48.71,49.26,3046800,0.0,0
2016-08-05,49.48,50.19,49.48,49.8,2665900,0.0,0
2016-08-08,49.85,50.08,49.17,49.27,2116500,0.0,0
2016-08-09,47.98,49.75,47.67,49.68,1077900,0.0,0
2016-08-10,49.69,50.01,49.32,49.67,1182400,0.0,0
2016-08-11,49.94,51.89,49.91,51.74,1992700,0.0,0
2016-08-12,51.19,52.05,51.0,51.89,1287800,0.0,0
2016-08-15,52.13,52.94,52.04,52.83,1457900,0.0,0
2016-08-16,52.75,53.11,52.44,52.72,1002300,0.0,0
2016-08-17,52.84,52.9,52.51,52.58,1032100,0.0,0
2016-08-18,52.4,52.69,52.11,52.34,874700,0.0,0
2016-08-19,52.13,52.13,50.91,51.12,1196100,0.0,0
2016-08-22,51.12,51.23,50.29,50.47,1081700,0.0,0
2016-08-23,50.56,51.29,50.35,51.1,2513600,0.0,0
2016-08-24,50.53,51.05,49.89,50.64,692800,0.07,0
2016-08-25,50.46,51.16,50.26,50.89,1384900,0.0,0
2016-08-26,50.91,51.6,50.8,51.14,937600,0.0,0
2016-08-29,51.05,52.04,50.83,51.67,1044800,0.0,0
2016-08-30,51.45,52.71,51.45,51.87,952100,0.0,0
2016-08-31,51.73,52.07,51.26,51.92,1653600,0.0,0
2016-09-01,52.21,52.36,51.4,51.88,959400,0.0,0
2016-09-02,52.27,52.71,52.06,52.62,840800,0.0,0
2016-09-06,52.74,52.79,51.55,51.98,1293800,0.0,0
2016-09-07,51.69,52.37,51.28,52.19,1743200,0.0,0
2016-09-08,51.93,52.21,51.53,51.59,1097800,0.0,0
2016-09-09,51.04,51.27,49.83,49.83,2170700,0.0,0
2016-09-12,49.31,50.71,49.15,50.48,1862400,0.0,0
2016-09-13,50.14,50.67,49.26,49.33,1607100,0.0,0
2016-09-14,49.34,49.78,48.94,49.31,1152300,0.0,0
2016-09-15,49.27,49.88,48.8,49.78,1410100,0.0,0
2016-09-16,49.4,49.68,48.72,49.55,2351900,0.0,0
2016-09-19,49.7,50.68,49.67,50.06,975300,0.0,0
2016-09-20,50.06,50.36,49.5,49.54,1070400,0.0,0
2016-09-21,49.76,50.29,49.51,50.26,850800,0.0,0
2016-09-22,50.62,51.25,50.56,50.91,1649200,0.0,0
2016-09-23,50.57,50.85,49.93,50.16,807200,0.0,0
2016-09-26,49.94,50.76,49.59,50.49,1066300,0.0,0
2016-09-27,50.38,51.05,50.33,50.88,1196400,0.0,0
2016-09-28,51.01,51.04,50.62,50.99,905700,0.0,0
2016-09-29,50.37,50.88,49.91,49.98,1458100,0.0,0
2016-09-30,50.4,50.54,49.57,50.18,1952400,0.0,0
2016-10-03,49.89,50.93,49.89,50.66,1360700,0.0,0
2016-10-04,50.53,50.72,49.84,50.09,1212800,0.0,0
2016-10-05,50.3,50.57,49.88,50.22,884500,0.0,0
2016-10-06,50.11,50.25,49.78,49.98,764000,0.0,0
2016-10-07,49.78,50.09,49.16,49.22,1055600,0.0,0
2016-10-10,49.52,49.61,49.19,49.24,1021200,0.0,0
2016-10-11,49.21,49.45,48.33,48.52,1401900,0.0,0
2016-10-12,48.7,48.7,47.96,48.3,1620000,0.0,0
2016-10-13,47.94,48.98,47.32,48.13,1209600,0.0,0
2016-10-14,48.38,49.23,48.12,48.76,872300,0.0,0
2016-10-17,48.86,48.89,48.22,48.37,1116500,0.0,0
2016-10-18,48.95,49.61,48.31,48.39,1152600,0.0,0
2016-10-19,48.57,49.09,47.77,48.69,759900,0.0,0
2016-10-20,48.44,48.48,47.75,48.01,1419300,0.0,0
2016-10-21,47.54,48.2,47.45,47.98,1707000,0.0,0
2016-10-24,48.18,48.56,47.68,47.86,1269600,0.0,0
2016-10-25,47.81,47.81,47.18,47.24,1279400,0.0,0
2016-10-26,47.12,47.44,46.87,47.09,1574700,0.0,0
2016-10-27,47.01,47.01,46.15,46.82,3144200,0.0,0
2016-10-28,49.52,50.96,49.03,49.5,3978800,0.0,0
2016-10-31,49.5,50.62,49.33,50.33,1561700,0.0,0
2016-11-01,50.22,50.3,49.28,49.78,1775800,0.0,0
2016-11-02,49.74,50.43,49.57,49.61,866600,0.0,0
2016-11-03,49.58,50.48,49.28,50.26,1145700,0.0,0
2016-11-04,50.3,50.93,49.82,50.39,1568200,0.0,0
2016-11-07,50.84,51.33,50.31,51.06,1413900,0.0,0
2016-11-08,51.15,52.05,50.64,51.9,1165900,0.0,0
2016-11-09,51.25,53.17,51.17,52.7,1673900,0.0,0
2016-11-10,53.19,54.56,52.93,53.43,1796200,0.0,0
2016-11-11,53.32,53.96,52.53,52.64,1431400,0.0,0
2016-11-14,52.9,53.29,52.73,53.06,2630400,0.0,0
2016-11-15,53.18,53.68,52.93,53.35,1703400,0.0,0
2016-11-16,53.03,53.68,52.95,53.67,1533500,0.0,0
2016-11-17,53.61,53.89,53.16,53.73,932400,0.0,0
2016-11-18,53.71,53.97,53.32,53.86,1214900,0.0,0
2016-11-21,53.48,54.38,53.24,54.05,1391300,0.0,0
2016-11-22,54.03,55.05,53.86,54.66,1333200,0.07,0
2016-11-23,54.96,55.28,54.63,55.15,985100,0.07,0
2016-11-25,55.43,55.5,54.8,55.32,489300,0.0,0
2016-11-28,55.43,55.58,54.68,54.94,1054100,0.0,0
2016-11-29,54.72,55.33,54.57,54.64,1078000,0.0,0
2016-11-30,55.0,55.5,54.16,54.35,4718900,0.0,0
2016-12-01,54.5,54.57,53.37,53.56,3325300,0.0,0
2016-12-02,53.66,54.39,53.38,53.85,2545400,0.0,0
2016-12-05,54.13,54.25,52.95,53.28,1420800,0.0,0
2016-12-06,53.34,53.49,52.92,53.37,2281300,0.0,0
2016-12-07,53.37,53.77,52.79,53.61,3285700,0.0,0
2016-12-08,53.74,53.83,52.81,53.05,2203200,0.0,0
2016-12-09,52.89,53.53,52.7,53.37,1441400,0.0,0
2016-12-12,53.25,53.74,53.11,53.36,1533200,0.0,0
2016-12-13,53.65,53.82,52.63,53.22,2752000,0.0,0
2016-12-14,53.26,54.69,53.24,53.62,1559700,0.0,0
2016-12-15,53.58,54.65,53.3,54.17,1578100,0.0,0
2016-12-16,54.22,54.38,53.77,54.19,2646100,0.0,0
2016-12-19,54.17,54.39,53.76,54.32,1169300,0.0,0
2016-12-20,54.6,54.81,54.17,54.41,1187900,0.0,0
2016-12-21,54.33,54.33,53.29,53.49,1469800,0.0,0
2016-12-22,53.49,54.34,53.06,53.46,1543300,0.0,0
2016-12-23,53.7,54.12,53.14,53.88,511900,0.0,0
2016-12-27,54.11,54.2,53.48,53.83,915400,0.0,0
2016-12-28,54.02,54.02,52.85,53.12,602700,0.0,0
2016-12-29,53.36,53.51,52.97,53.38,497200,0.0,0
2016-12-30,53.57,53.85,52.77,53.01,705100,0.0,0
2017-01-03,53.26,53.55,52.37,53.1,1615100,0.0,0
2017-01-04,53.49,53.89,53.34,53.62,1487100,0.0,0
2017-01-05,53.7,54.06,53.08,53.31,1430000,0.0,0
2017-01-06,53.27,53.57,52.77,53.24,1260000,0.0,0
2017-01-09,53.39,53.57,52.97,53.1,743300,0.0,0
2017-01-10,53.1,53.45,52.86,53.17,1311600,0.0,0
2017-01-11,53.15,53.25,52.64,53.03,3691700,0.0,0
2017-01-12,52.85,53.26,52.74,53.04,2030200,0.0,0
2017-01-13,53.77,54.52,53.77,54.12,1439400,0.0,0
2017-01-17,53.81,53.89,53.04,53.5,1234900,0.0,0
2017-01-18,53.48,53.77,53.22,53.51,1346100,0.0,0
2017-01-19,53.6,54.04,53.37,53.64,821100,0.0,0
2017-01-20,53.79,54.04,53.58,53.88,1822900,0.0,0
2017-01-23,53.69,54.17,52.97,53.48,1372800,0.0,0
2017-01-24,53.68,54.35,53.46,54.06,1710500,0.0,0
2017-01-25,54.3,54.7,54.06,54.53,1755900,0.0,0
2017-01-26,54.36,55.33,54.12,55.04,2298600,0.0,0
2017-01-27,55.08,55.35,54.9,55.28,1568700,0.0,0
2017-01-30,55.28,55.28,54.11,54.79,1570600,0.0,0
2017-01-31,54.6,54.89,54.27,54.67,1792800,0.0,0
2017-02-01,54.82,55.0,54.17,54.49,1159700,0.0,0
2017-02-02,54.16,54.85,53.87,54.57,1895200,0.0,0
2017-02-03,54.91,55.99,54.43,55.37,1447400,0.0,0
2017-02-06,55.05,55.29,54.86,55.16,879600,0.0,0
2017-02-07,55.35,55.47,54.91,54.99,1898000,0.0,0
2017-02-08,54.33,55.73,54.24,55.53,4628200,0.0,0
2017-02-09,55.51,56.48,55.51,56.36,1128300,0.0,0
2017-02-10,56.52,56.75,56.02,56.48,1250800,0.0,0
2017-02-13,56.79,57.36,56.71,56.86,1187800,0.0,0
2017-02-14,56.83,56.86,56.26,56.62,1008600,0.0,0
2017-02-15,56.57,57.08,56.42,56.91,1022000,0.0,0
2017-02-16,56.99,57.56,56.14,56.72,1120400,0.0,0
2017-02-17,56.74,57.05,56.46,57.02,902000,0.0,0
2017-02-21,57.02,57.57,56.86,57.45,1553200,0.0,0
2017-02-22,57.17,57.56,56.95,57.09,939600,0.07,0
2017-02-23,57.4,57.54,56.52,56.66,1019300,0.0,0
2017-02-24,56.49,57.29,56.14,57.19,1846700,0.0,0
2017-02-27,57.04,57.27,56.87,57.05,891600,0.0,0
2017-02-28,57.07,57.28,56.71,57.05,1648700,0.0,0
2017-03-01,57.61,58.62,57.47,58.29,1436200,0.0,0
2017-03-02,58.29,58.39,57.71,58.02,1943600,0.0,0
2017-03-03,58.0,58.26,57.76,58.12,1438400,0.0,0
2017-03-06,57.71,58.05,57.4,57.72,1567200,0.0,0
2017-03-07,57.76,57.94,57.4,57.59,1664600,0.0,0
2017-03-08,57.6,57.86,57.41,57.56,1290500,0.0,0
2017-03-09,57.47,57.86,57.23,57.41,1308100,0.0,0
2017-03-10,57.67,57.94,57.37,57.7,1219100,0.0,0
2017-03-13,57.84,58.35,57.48,58.16,1573600,0.0,0
2017-03-14,57.87,58.04,57.64,57.94,951000,0.0,0
2017-03-15,58.17,59.25,58.17,59.08,1783900,0.0,0
2017-03-16,59.11,59.29,58.78,58.89,1428100,0.0,0
2017-03-17,59.11,59.19,58.82,58.96,1928500,0.0,0
