Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.56,20.74,20.52,20.61,7998000,0.0,0.0
2009-12-08,20.4,20.55,20.3,20.39,11028800,0.0,0.0
2009-12-09,20.41,20.42,20.06,20.34,9364400,0.0,0.0
2009-12-10,20.36,20.64,20.32,20.46,15105000,0.0,0.0
2009-12-11,20.41,20.65,20.41,20.52,7782200,0.0,0.0
2009-12-14,20.54,20.86,20.54,20.76,10289600,0.0,0.0
2009-12-15,20.29,20.46,19.82,20.03,29395800,0.0,0.0
2009-12-16,20.06,20.1,18.99,19.11,46600200,0.0,0.0
2009-12-17,19.04,19.21,18.89,19.1,21901600,0.0,0.0
2009-12-18,19.24,19.26,18.84,18.94,31328400,0.0,0.0
2009-12-21,19.02,19.27,19.01,19.08,15738600,0.0,0.0
2009-12-22,19.16,19.34,19.06,19.12,11745200,0.0,0.0
2009-12-23,19.13,19.17,18.98,19.01,10613400,0.0,0.0
2009-12-24,19.01,19.05,18.9,19.01,4028200,0.0,0.0
2009-12-28,19.08,19.2,18.97,19.13,8706600,0.0,0.0
2009-12-29,19.16,19.3,19.08,19.22,8677200,0.0,0.0
2009-12-30,19.22,19.44,19.16,19.36,10163400,0.0,0.0
2009-12-31,19.44,19.44,19.12,19.13,10998800,0.0,0.0
2010-01-04,19.18,19.33,19.05,19.14,16809000,0.0,0.0
2010-01-05,19.17,19.19,18.88,19.13,20788200,0.0,0.0
2010-01-06,19.45,19.9,19.28,19.79,32750400,0.0,0.0
2010-01-07,19.78,19.96,19.7,19.84,20892600,0.0,0.0
2010-01-08,19.88,19.94,19.56,19.69,17618400,0.0,0.0
2010-01-11,19.62,19.91,19.58,19.85,17399000,0.0,0.0
2010-01-12,19.89,19.92,19.69,19.87,13968600,0.0,0.0
2010-01-13,19.96,20.28,19.84,20.12,17846200,0.0,0.0
2010-01-14,20.29,20.33,19.98,20.1,16884800,0.0,0.0
2010-01-15,20.01,20.33,19.8,20.12,19067400,0.0,0.0
2010-01-19,20.23,20.6,20.22,20.46,20906400,0.0,0.0
2010-01-20,20.47,20.49,20.09,20.36,15961200,0.0,0.0
2010-01-21,20.44,20.56,19.98,20.24,24302200,0.0,0.0
2010-01-22,20.37,20.52,20.18,20.37,22095000,0.0,0.0
2010-01-25,20.5,20.52,20.2,20.21,20666200,0.0,0.0
2010-01-26,20.16,20.16,19.76,19.84,20806200,0.0,0.0
2010-01-27,20.81,21.36,20.72,21.24,56743600,0.0,0.0
2010-01-28,20.88,21.2,20.73,21.0,27932400,0.0,0.0
2010-01-29,21.04,21.44,21.0,21.34,25100600,0.0,0.0
2010-02-01,21.33,21.38,21.05,21.14,18501800,0.0,0.0
2010-02-02,21.07,21.47,21.0,21.47,20596800,0.0,0.0
2010-02-03,21.32,21.35,20.85,21.02,27632000,0.0,0.0
2010-02-04,20.96,20.98,20.5,20.54,23467600,0.0,0.0
2010-02-05,20.51,20.72,20.09,20.5,28918200,0.0,0.0
2010-02-08,20.47,20.55,20.19,20.38,15454800,0.0,0.0
2010-02-09,20.59,20.78,20.36,20.47,18992000,0.0,0.0
2010-02-10,20.53,20.69,20.2,20.32,22741600,0.0,0.0
2010-02-11,20.25,20.81,20.16,20.67,22954200,0.0,0.0
