Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.24,24.36,24.15,24.25,2766000,0.0,0.0
2009-12-08,24.19,24.27,23.94,24.16,3720800,0.0,0.0
2009-12-09,24.08,24.29,24.03,24.11,3673600,0.0,0.0
2009-12-10,24.1,24.29,24.07,24.16,3025200,0.0,0.0
2009-12-11,24.23,24.44,24.2,24.27,4228800,0.0,0.0
2009-12-14,24.34,24.38,24.13,24.23,3981800,0.0,0.0
2009-12-15,24.25,24.25,24.04,24.18,3973200,0.0,0.0
2009-12-16,24.23,24.33,23.97,24.0,5476400,0.0,0.0
2009-12-17,24.21,24.58,24.07,24.26,8856600,0.0,0.0
2009-12-18,24.4,24.56,23.93,24.23,7683200,0.0,0.0
2009-12-21,24.35,24.54,24.26,24.46,4210000,0.0,0.0
2009-12-22,24.56,24.95,24.49,24.91,7417200,0.0,0.0
2009-12-23,24.83,24.94,24.82,24.93,2839600,0.0,0.0
2009-12-24,24.85,24.95,24.83,24.94,1278200,0.0,0.0
2009-12-28,24.96,25.23,24.94,25.23,4164600,0.0,0.0
2009-12-29,25.26,25.34,25.18,25.28,3083400,0.0,0.0
2009-12-30,25.3,25.3,25.15,25.24,2375600,0.0,0.0
2009-12-31,25.3,25.3,24.88,24.89,2752400,0.0,0.0
2010-01-04,25.02,25.05,24.82,24.92,5156400,0.0,0.0
2010-01-05,25.01,25.02,24.46,24.69,7439200,0.0,0.0
2010-01-06,24.71,24.92,24.58,24.83,4686800,0.0,0.0
2010-01-07,25.02,25.46,24.93,25.41,6706800,0.49,0.0
2010-01-08,25.45,25.45,25.04,25.2,4445800,0.0,0.0
2010-01-11,25.18,25.28,25.05,25.23,2452200,0.0,0.0
2010-01-12,25.2,25.46,25.14,25.42,3686400,0.0,0.0
2010-01-13,25.39,25.63,25.25,25.53,4028000,0.0,0.0
2010-01-14,25.54,25.59,25.37,25.53,2270800,0.0,0.0
2010-01-15,25.54,25.65,25.34,25.42,3872400,0.0,0.0
2010-01-19,25.56,25.75,25.46,25.63,5109600,0.0,0.0
2010-01-20,25.5,25.5,25.33,25.46,4087000,0.0,0.0
2010-01-21,25.48,25.64,25.25,25.35,5222000,0.0,0.0
2010-01-22,25.36,25.61,25.25,25.29,7612800,0.0,0.0
2010-01-25,25.4,25.57,25.18,25.22,3934000,0.0,0.0
2010-01-26,25.13,25.32,24.93,25.29,5024200,0.0,0.0
2010-01-27,25.3,25.59,25.16,25.49,5461000,0.0,0.0
2010-01-28,25.62,25.82,25.55,25.64,6167400,0.0,0.0
2010-01-29,25.77,25.77,25.4,25.41,5146400,0.0,0.0
2010-02-01,25.6,25.6,25.21,25.31,5566800,0.0,0.0
2010-02-02,25.38,25.52,25.19,25.31,7693400,0.0,0.0
2010-02-03,25.36,25.36,25.02,25.14,6018400,0.0,0.0
2010-02-04,25.0,25.04,24.58,24.59,8263800,0.0,0.0
2010-02-05,24.5,24.62,24.26,24.46,5895600,0.0,0.0
2010-02-08,24.49,24.68,24.42,24.44,3941000,0.0,0.0
2010-02-09,24.54,24.88,24.54,24.75,3763600,0.0,0.0
2010-02-10,24.77,24.85,24.57,24.76,3514000,0.0,0.0
2010-02-11,24.68,24.75,24.48,24.74,4131000,0.0,0.0
2010-02-12,24.61,24.83,24.41,24.77,5271600,0.0,0.0
2010-02-16,24.79,25.18,24.64,25.17,4646400,0.0,0.0
2010-02-17,25.18,25.36,25.15,25.29,3416800,0.0,0.0
2010-02-18,25.29,25.67,25.29,25.67,4300200,0.0,0.0
2010-02-19,25.66,25.83,25.55,25.79,2998000,0.0,0.0
2010-02-22,25.8,25.83,25.65,25.76,2646800,0.0,0.0
2010-02-23,25.7,25.8,25.55,25.62,2297200,0.0,0.0
2010-02-24,25.7,25.78,25.55,25.63,2578800,0.0,0.0
2010-02-25,25.51,25.58,25.26,25.55,4094600,0.0,0.0
2010-02-26,25.58,25.8,25.35,25.66,3671400,0.0,0.0
2010-03-01,25.66,25.94,25.66,25.82,4221000,0.0,0.0
2010-03-02,25.87,26.01,25.84,25.91,4592800,0.0,0.0
2010-03-03,25.92,26.11,25.88,26.0,3210200,0.0,0.0
2010-03-04,26.08,26.1,25.55,25.8,6746000,0.0,0.0
2010-03-05,25.79,25.98,25.77,25.91,3623200,0.0,0.0
2010-03-08,25.95,25.95,25.6,25.71,3749600,0.0,0.0
2010-03-09,25.66,25.87,25.66,25.69,3365600,0.0,0.0
2010-03-10,25.7,25.81,25.62,25.75,4021800,0.0,0.0
2010-03-11,25.66,25.88,25.59,25.88,2792400,0.0,0.0
2010-03-12,25.94,26.02,25.68,25.79,3535800,0.0,0.0
2010-03-15,25.78,25.91,25.76,25.86,3758200,0.0,0.0
2010-03-16,25.88,26.16,25.86,26.11,4055000,0.0,0.0
2010-03-17,26.11,26.13,25.93,26.08,3369000,0.0,0.0
2010-03-18,26.08,26.28,26.01,26.24,4336000,0.0,0.0
2010-03-19,26.14,26.36,26.1,26.14,5539000,0.0,0.0
2010-03-22,26.06,26.11,25.9,26.01,6166400,0.0,0.0
2010-03-23,26.08,26.26,26.02,26.22,4904800,0.0,0.0
2010-03-24,26.01,26.12,25.68,25.72,9006800,0.0,0.0
2010-03-25,25.85,25.86,25.3,25.36,8410000,0.0,0.0
2010-03-26,25.4,25.4,25.04,25.12,5831000,0.0,0.0
2010-03-29,25.19,25.33,25.05,25.25,5175800,0.0,0.0
