Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.95,17.12,16.7,16.79,1060300,0.0,0.0
2009-12-08,16.69,16.85,16.61,16.72,1221700,0.0,0.0
2009-12-09,16.71,16.95,16.67,16.91,1330300,0.0,0.0
2009-12-10,16.93,17.02,16.84,16.91,1280800,0.0,0.0
2009-12-11,17.02,17.2,16.71,17.19,2653600,0.0,0.0
2009-12-14,17.35,17.66,17.3,17.59,2043400,0.0,0.0
2009-12-15,17.41,17.49,16.98,17.04,2272600,0.0,0.0
2009-12-16,17.19,17.52,17.14,17.19,1803600,0.0,0.0
2009-12-17,17.07,17.17,16.63,16.67,1876000,0.0,0.0
2009-12-18,16.77,16.77,16.24,16.6,2027400,0.0,0.0
2009-12-21,16.62,17.01,16.61,16.99,1880200,0.0,0.0
2009-12-22,17.03,17.25,16.99,17.02,918900,0.0,0.0
2009-12-23,17.11,17.11,16.97,17.0,660300,0.0,0.0
2009-12-24,17.12,17.14,16.94,17.1,324000,0.0,0.0
2009-12-28,17.22,17.28,16.95,16.99,768300,0.0,0.0
2009-12-29,17.07,17.12,16.98,17.02,718800,0.0,0.0
2009-12-30,16.97,17.17,16.88,17.15,889200,0.0,0.0
2009-12-31,17.26,17.31,17.05,17.05,825300,0.0,0.0
2010-01-04,17.23,17.51,17.12,17.5,1734900,0.15,0.0
2010-01-05,17.45,17.91,17.44,17.89,1419000,0.0,0.0
2010-01-06,17.85,18.09,17.77,18.02,888400,0.0,0.0
2010-01-07,17.93,18.11,17.77,18.02,1296100,0.0,0.0
2010-01-08,17.98,18.06,17.87,18.02,1071900,0.0,0.0
2010-01-11,18.18,18.28,17.98,18.04,969400,0.0,0.0
2010-01-12,17.91,18.27,17.91,18.09,1168600,0.0,0.0
2010-01-13,18.19,18.31,18.02,18.24,1151200,0.0,0.0
2010-01-14,18.13,18.29,18.07,18.25,1016200,0.0,0.0
2010-01-15,18.2,18.2,17.98,18.06,1131700,0.0,0.0
