Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,25.0,25.16,24.83,24.99,1006800,0.0,0.0
2009-12-08,24.91,24.95,24.37,24.85,1005200,0.0,0.0
2009-12-09,24.76,24.94,24.43,24.88,1162000,0.0,0.0
2009-12-10,25.07,25.26,24.98,25.0,772400,0.0,0.0
2009-12-11,25.06,25.16,24.8,24.86,1218000,0.0,0.0
2009-12-14,24.94,25.22,24.81,25.22,1090800,0.0,0.0
2009-12-15,25.21,25.48,24.92,25.41,994600,0.0,0.0
2009-12-16,25.56,26.0,25.43,25.65,1097800,0.0,0.0
2009-12-17,25.55,25.64,25.3,25.31,639200,0.0,0.0
2009-12-18,25.4,25.6,25.18,25.59,1199200,0.0,0.0
2009-12-21,25.66,25.96,25.58,25.75,672800,0.0,0.0
2009-12-22,25.88,25.9,25.67,25.87,1189000,0.0,0.0
2009-12-23,25.96,26.22,25.76,25.93,949000,0.0,0.0
2009-12-24,26.01,26.22,26.01,26.18,192000,0.0,0.0
2009-12-28,26.28,26.29,26.07,26.15,521600,0.0,0.0
2009-12-29,26.18,26.28,26.07,26.21,1011200,0.0,0.0
2009-12-30,26.11,26.58,26.11,26.55,1470600,0.0,0.0
2009-12-31,26.65,26.74,26.39,26.41,817000,0.0,0.0
2010-01-04,26.59,26.73,25.73,25.83,2533400,0.0,0.0
2010-01-05,25.75,25.88,25.58,25.77,1288600,0.0,0.0
2010-01-06,25.8,25.87,25.52,25.68,1628200,0.0,0.0
2010-01-07,25.68,25.7,25.39,25.52,2467800,0.0,0.0
2010-01-08,24.13,24.39,23.66,24.01,6437000,0.0,0.0
2010-01-11,23.99,24.01,23.24,23.45,4421000,0.0,0.0
2010-01-12,23.39,23.46,23.15,23.43,2311200,0.0,0.0
2010-01-13,23.41,23.53,23.19,23.45,2179600,0.0,0.0
2010-01-14,23.32,23.5,23.02,23.04,2981600,0.0,0.0
2010-01-15,23.05,23.15,22.75,22.79,2340800,0.0,0.0
2010-01-19,22.84,22.96,22.7,22.93,2058600,0.0,0.0
2010-01-20,22.75,22.93,22.54,22.9,2188000,0.0,0.0
2010-01-21,22.94,23.06,22.44,22.49,3046800,0.0,0.0
2010-01-22,22.5,22.61,22.25,22.26,2421200,0.0,0.0
2010-01-25,22.46,22.46,22.02,22.21,2003600,0.0,0.0
2010-01-26,22.13,22.36,22.02,22.18,1948000,0.0,0.0
2010-01-27,22.07,22.34,22.04,22.32,2506200,0.0,0.0
2010-01-28,22.98,22.99,22.18,22.2,2522200,0.0,0.0
2010-01-29,22.22,22.22,21.82,21.82,2063200,0.0,0.0
2010-02-01,21.92,22.07,21.6,22.07,1520200,0.0,0.0
2010-02-02,22.03,22.31,21.94,22.22,1491200,0.0,0.0
2010-02-03,22.08,22.34,22.08,22.19,1595200,0.0,0.0
2010-02-04,22.75,22.75,22.12,22.18,2590600,0.0,0.0
2010-02-05,22.15,22.34,21.95,22.13,2548200,0.0,0.0
2010-02-08,22.09,22.24,21.9,22.06,1417800,0.0,0.0
2010-02-09,22.29,22.41,22.09,22.3,1079600,0.0,0.0
2010-02-10,22.23,22.33,22.09,22.18,740400,0.02,0.0
2010-02-11,22.2,22.44,21.98,22.38,697000,0.0,0.0
2010-02-12,22.24,22.25,21.71,21.84,2655000,0.0,0.0
2010-02-16,21.95,22.0,21.75,21.89,2835400,0.0,0.0
2010-02-17,21.89,21.98,21.37,21.45,3589800,0.0,0.0
2010-02-18,21.37,21.64,21.35,21.52,2535000,0.0,0.0
2010-02-19,21.43,21.52,21.27,21.39,2136000,0.0,0.0
2010-02-22,21.43,21.47,21.1,21.11,1924400,0.0,0.0
2010-02-23,21.04,21.17,20.86,20.97,2873000,0.0,0.0
2010-02-24,21.02,21.2,20.92,21.15,1398400,0.0,0.0
2010-02-25,20.98,21.15,20.86,21.08,1431000,0.0,0.0
2010-02-26,21.11,21.12,20.89,21.01,1969800,0.0,0.0
2010-03-01,21.09,21.51,21.09,21.48,2413000,0.0,0.0
2010-03-02,21.47,21.54,21.14,21.36,1795000,0.0,0.0
2010-03-03,21.32,21.33,21.01,21.02,1580200,0.0,0.0
2010-03-04,21.0,21.1,20.88,20.98,1300000,0.0,0.0
2010-03-05,21.06,21.49,21.0,21.42,1486400,0.0,0.0
2010-03-08,21.42,21.63,21.4,21.58,916800,0.0,0.0
2010-03-09,21.63,22.29,21.61,22.1,2737200,0.0,0.0
2010-03-10,22.65,22.65,22.18,22.29,2272400,0.0,0.0
2010-03-11,22.26,22.26,21.97,22.21,1322800,0.0,0.0
2010-03-12,22.25,22.32,21.99,22.18,1298600,0.0,0.0
2010-03-15,22.1,22.17,21.77,21.9,1133400,0.0,0.0
2010-03-16,21.9,22.09,21.8,22.09,781400,0.0,0.0
2010-03-17,22.12,22.73,22.12,22.61,1786800,0.0,0.0
2010-03-18,22.59,22.88,22.59,22.79,1018600,0.0,0.0
2010-03-19,22.59,23.03,22.45,22.59,1747000,0.0,0.0
2010-03-22,22.52,22.95,22.46,22.94,930000,0.0,0.0
2010-03-23,22.98,22.98,22.59,22.76,972800,0.0,0.0
2010-03-24,22.66,22.66,22.08,22.14,1634800,0.0,0.0
2010-03-25,22.3,22.43,22.08,22.31,1335400,0.0,0.0
2010-03-26,22.27,22.41,22.27,22.38,1681600,0.0,0.0
2010-03-29,22.39,22.52,22.32,22.51,1008800,0.0,0.0
2010-03-30,22.56,22.88,22.56,22.73,2114400,0.0,0.0
2010-03-31,22.73,22.91,22.26,22.36,3135000,0.0,0.0
2010-04-01,23.68,24.03,22.34,22.4,7231600,0.0,0.0
2010-04-05,22.46,22.46,21.84,21.93,4005200,0.0,0.0
2010-04-06,21.89,22.3,21.72,22.19,2748400,0.0,0.0
2010-04-07,22.11,22.16,21.59,21.7,3634800,0.0,0.0
2010-04-08,21.55,21.64,21.35,21.42,2802800,0.0,0.0
2010-04-09,21.37,21.4,21.06,21.24,1893400,0.0,0.0
2010-04-12,21.14,21.58,21.14,21.56,2554400,0.0,0.0
