Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,19.91,19.96,19.46,19.56,1438700,0.0,0
2009-12-08,19.43,19.67,19.1,19.45,1864500,0.0,0
2009-12-09,19.49,20.53,19.15,20.29,3334600,0.0,0
2009-12-10,20.37,20.39,19.78,19.89,1988100,0.0,0
2009-12-11,19.99,19.99,19.05,19.72,2760300,0.0,0
2009-12-14,19.85,20.09,19.8,19.89,986000,0.0,0
2009-12-15,19.82,20.01,19.66,19.78,1532700,0.0,0
2009-12-16,19.85,20.08,19.78,20.02,1364500,0.0,0
2009-12-17,19.98,20.52,19.78,20.31,2178800,0.0,0
2009-12-18,20.37,20.63,19.98,20.17,2320700,0.0,0
2009-12-21,20.23,20.44,19.76,19.89,1689500,0.0,0
2009-12-22,19.92,20.18,19.52,19.6,1664900,0.0,0
2009-12-23,19.5,20.0,19.39,19.69,1896100,0.0,0
2009-12-24,19.82,20.07,19.65,20.07,517700,0.0,0
2009-12-28,20.02,20.17,19.89,20.02,888700,0.0,0
2009-12-29,19.94,20.21,19.94,20.18,1027300,0.0,0
2009-12-30,20.36,20.84,20.16,20.42,1884600,0.0,0
2009-12-31,20.48,20.57,19.81,19.89,1396300,0.0,0
2010-01-04,20.35,20.88,20.07,20.85,2098800,0.0,0
2010-01-05,20.83,21.14,20.56,20.9,1719300,0.0,0
2010-01-06,20.86,21.26,20.63,20.74,1283100,0.0,0
2010-01-07,20.57,20.92,19.98,20.84,2962600,0.0,0
2010-01-08,21.45,22.13,21.25,21.89,3936100,0.0,0
2010-01-11,22.09,22.32,21.71,22.21,1997700,0.0,0
2010-01-12,21.97,22.25,21.67,21.9,2400900,0.0,0
2010-01-13,22.08,22.54,21.95,22.46,2221800,0.0,0
2010-01-14,22.24,22.99,22.21,22.8,2645400,0.0,0
2010-01-15,22.89,22.95,22.45,22.76,2058000,0.0,0
2010-01-19,22.67,24.12,22.62,24.03,3470100,0.0,0
2010-01-20,23.95,23.95,23.04,23.42,2482600,0.0,0
2010-01-21,22.37,23.24,21.99,22.13,4361300,0.0,0
2010-01-22,22.09,22.31,21.59,21.65,2037400,0.0,0
2010-01-25,21.64,22.23,21.64,21.69,1098900,0.0,0
2010-01-26,21.66,21.95,21.25,21.47,1135500,0.0,0
2010-01-27,21.4,21.8,21.32,21.74,1354400,0.0,0
2010-01-28,21.82,22.02,20.96,21.25,1580500,0.0,0
2010-01-29,21.4,21.73,20.93,20.93,1413700,0.0,0
2010-02-01,20.95,21.23,20.82,21.07,1467700,0.0,0
2010-02-02,21.07,21.68,20.93,21.56,1355700,0.0,0
2010-02-03,21.39,21.72,21.16,21.42,1738600,0.0,0
2010-02-04,21.29,21.36,20.86,20.87,2093800,0.0,0
2010-02-05,20.96,21.15,20.39,20.98,1853900,0.0,0
2010-02-08,21.01,21.08,20.59,20.66,968100,0.0,0
2010-02-09,21.02,21.02,20.34,20.68,2129800,0.0,0
2010-02-10,20.62,20.81,20.41,20.66,1061800,0.0,0
2010-02-11,20.66,21.1,20.61,21.0,1404800,0.0,0
2010-02-12,20.66,20.73,20.5,20.7,2122000,0.0,0
2010-02-16,20.83,21.36,20.79,21.24,1713600,0.0,0
2010-02-17,21.46,21.66,21.15,21.38,1298700,0.0,0
2010-02-18,21.76,22.02,21.6,21.89,2302000,0.0,0
2010-02-19,21.75,22.06,21.65,21.84,1502900,0.0,0
2010-02-22,22.01,22.8,21.99,22.62,2520200,0.0,0
2010-02-23,22.63,22.8,22.04,22.32,2366400,0.0,0
2010-02-24,21.63,21.7,20.31,21.02,9779600,0.0,0
2010-02-25,20.9,20.99,20.15,20.68,3398900,0.0,0
2010-02-26,20.61,20.85,20.28,20.7,1918200,0.0,0
2010-03-01,20.89,21.05,20.68,21.03,2477500,0.0,0
2010-03-02,21.05,21.56,20.97,21.37,2882700,0.0,0
2010-03-03,21.47,22.02,21.38,21.91,2540700,0.0,0
2010-03-04,21.95,22.02,21.75,21.93,1121000,0.0,0
2010-03-05,22.0,22.59,21.95,22.46,1630400,0.0,0
2010-03-08,22.43,22.76,22.37,22.74,1756200,0.0,0
2010-03-09,22.65,23.06,22.46,22.92,2213000,0.0,0
2010-03-10,22.71,23.13,22.71,23.13,1171700,0.0,0
2010-03-11,22.96,23.29,22.77,23.26,1128200,0.0,0
2010-03-12,23.04,23.32,23.04,23.26,1271900,0.0,0
2010-03-15,23.18,23.54,22.96,23.05,1456500,0.0,0
2010-03-16,23.09,23.23,22.81,22.87,1367200,0.0,0
2010-03-17,23.22,24.39,23.2,24.14,3544000,0.0,0
2010-03-18,24.25,24.27,23.45,23.8,2051900,0.0,0
2010-03-19,23.97,24.19,23.26,23.4,1847900,0.0,0
2010-03-22,23.32,23.59,23.17,23.47,1485000,0.0,0
2010-03-23,23.49,24.23,23.37,24.12,2523300,0.0,0
2010-03-24,24.24,24.77,24.06,24.65,2295400,0.0,0
2010-03-25,24.93,26.22,24.82,25.28,4617400,0.0,0
2010-03-26,25.28,26.03,25.28,25.87,2049600,0.0,0
2010-03-29,25.91,25.92,25.17,25.35,2166600,0.0,0
2010-03-30,25.5,25.5,24.49,24.68,3068500,0.0,0
2010-03-31,24.47,25.02,24.1,25.02,2309000,0.0,0
2010-04-01,25.16,25.33,24.51,24.61,1971900,0.0,0
2010-04-05,24.63,24.73,23.88,24.54,2353000,0.0,0
2010-04-06,24.52,25.15,24.46,24.99,1649400,0.0,0
2010-04-07,25.43,25.54,24.72,25.03,2150400,0.0,0
2010-04-08,24.98,25.0,24.31,24.71,1699200,0.0,0
2010-04-09,24.71,24.92,24.6,24.69,945600,0.0,0
2010-04-12,24.76,24.8,24.36,24.36,2180900,0.0,0
2010-04-13,24.53,24.84,24.36,24.55,1867400,1.501,0
2010-04-14,24.71,25.08,24.56,25.04,1744000,0.0,0
2010-04-15,25.17,25.48,25.06,25.09,1156500,0.0,0
2010-04-16,24.96,25.1,24.03,24.37,2209900,0.0,0
2010-04-19,24.31,25.29,24.06,24.73,2153000,0.0,0
2010-04-20,24.83,24.91,24.53,24.77,820800,0.0,0
2010-04-21,24.9,24.95,24.49,24.89,1185500,0.0,0
2010-04-22,24.71,25.34,24.53,25.32,1080900,0.0,0
2010-04-23,25.32,25.4,25.08,25.31,1021100,0.0,0
2010-04-26,25.38,25.82,25.27,25.44,1116500,0.0,0
2010-04-27,25.52,25.98,25.52,25.74,2263300,0.0,0
2010-04-28,25.83,25.98,25.49,25.81,952200,0.0,0
2010-04-29,25.84,26.27,25.65,26.14,1276400,0.0,0
2010-04-30,26.1,26.31,25.12,25.22,1846300,0.0,0
2010-05-03,25.46,26.35,25.34,26.3,1476100,0.0,0
2010-05-04,26.1,26.1,24.63,25.29,2637200,0.0,0
2010-05-05,21.93,24.29,21.58,23.07,7500100,0.0,0
2010-05-06,22.94,23.85,21.66,22.6,2903900,0.0,0
2010-05-07,22.62,23.61,22.43,23.12,2116400,0.0,0
2010-05-10,24.3,24.3,22.84,24.02,2313700,0.0,0
2010-05-11,23.95,24.11,22.97,23.05,2821900,0.0,0
2010-05-12,23.06,23.16,22.4,22.9,2354900,0.0,0
2010-05-13,22.61,23.19,22.16,22.2,1749500,0.0,0
2010-05-14,21.96,22.77,21.76,22.62,2278300,0.0,0
2010-05-17,22.76,23.24,22.19,22.95,2217100,0.0,0
2010-05-18,23.1,23.27,22.33,22.49,2363800,0.0,0
2010-05-19,22.35,23.61,22.27,23.12,2383000,0.0,0
2010-05-20,22.57,22.94,22.14,22.56,1935800,0.0,0
2010-05-21,22.73,23.13,22.15,22.62,2275900,0.0,0
2010-05-24,22.76,22.93,22.31,22.33,1525800,0.0,0
2010-05-25,22.0,22.44,21.59,22.27,2596000,0.0,0
2010-05-26,22.24,22.54,21.44,21.47,2283800,0.0,0
2010-05-27,21.92,22.38,21.67,22.33,1544300,0.0,0
2010-05-28,22.33,22.79,22.16,22.66,1412600,0.0,0
2010-06-01,22.66,22.67,21.62,21.64,1183800,0.0,0
2010-06-02,21.69,22.42,21.59,22.33,1228000,0.0,0
2010-06-03,22.37,22.37,21.64,22.12,1411600,0.0,0
2010-06-04,21.69,21.89,21.36,21.59,1906400,0.0,0
2010-06-07,21.56,21.75,21.0,21.06,1913500,0.0,0
2010-06-08,21.06,22.16,21.03,21.81,1849100,0.0,0
2010-06-09,21.89,22.42,21.63,21.68,1088300,0.0,0
2010-06-10,22.02,22.46,21.76,22.37,1270100,0.0,0
2010-06-11,22.06,23.17,22.06,23.14,1667400,0.0,0
2010-06-14,23.21,23.27,21.91,21.97,2016400,0.0,0
2010-06-15,22.02,22.42,21.79,22.39,1103900,0.0,0
2010-06-16,22.18,22.24,21.79,22.04,940900,0.0,0
2010-06-17,22.06,22.1,21.59,21.76,1119900,0.0,0
2010-06-18,21.72,22.19,21.57,21.57,1588100,0.0,0
2010-06-21,21.79,21.93,21.54,21.61,1509800,0.0,0
2010-06-22,21.6,21.98,21.52,21.56,1283600,0.0,0
2010-06-23,21.54,21.89,21.46,21.66,887900,0.0,0
2010-06-24,21.66,21.86,21.43,21.5,1068600,0.0,0
2010-06-25,21.68,21.88,21.46,21.6,3730900,0.0,0
2010-06-28,21.52,21.56,20.6,20.65,1940000,0.0,0
2010-06-29,20.55,20.83,19.63,19.74,2344500,0.0,0
2010-06-30,19.85,20.37,19.63,19.69,1974600,0.0,0
2010-07-01,19.66,20.24,19.4,20.11,1490100,0.0,0
2010-07-02,19.51,20.05,19.42,19.75,1881000,0.0,0
2010-07-06,19.92,19.97,19.33,19.53,1339400,0.0,0
2010-07-07,19.08,20.24,18.95,20.19,1667900,0.0,0
2010-07-08,20.19,20.48,20.13,20.44,913300,0.0,0
2010-07-09,20.38,20.66,20.25,20.47,743800,0.0,0
