Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,144.95,145.68,142.55,142.63,6654600,0.0,0
2009-12-08,141.99,142.85,140.19,140.88,11693900,0.0,0
2009-12-09,141.13,145.41,139.9,144.88,10975800,0.0,0
2009-12-10,145.1,146.19,142.9,145.13,11930700,0.0,0
2009-12-11,145.84,146.2,143.99,144.5,6425000,0.0,0
2009-12-14,144.92,144.93,142.64,144.59,6652900,0.0,0
2009-12-15,143.46,144.5,141.11,141.66,7539800,0.0,0
2009-12-16,142.63,144.4,141.95,143.62,8637700,0.0,0
2009-12-17,141.29,142.43,140.0,140.09,8943800,0.0,0
2009-12-18,140.85,142.22,139.45,142.05,8687100,0.0,0
2009-12-21,142.58,145.15,142.25,144.02,9392900,0.0,0
2009-12-22,144.06,144.76,143.19,143.28,4190700,0.0,0
2009-12-23,143.68,144.33,142.23,142.44,4052600,0.0,0
2009-12-24,142.76,143.54,142.16,142.73,1858100,0.0,0
2009-12-28,142.85,144.25,142.29,142.55,3586000,0.0,0
2009-12-29,143.19,143.8,142.07,142.86,5214800,0.0,0
2009-12-30,142.81,145.61,142.49,145.11,5996200,0.0,0
2009-12-31,145.62,148.09,145.31,146.97,6401800,0.0,0
2010-01-04,148.02,151.68,147.55,150.66,9135000,0.0,0
2010-01-05,150.59,153.43,150.22,153.33,11659400,0.0,0
2010-01-06,152.66,152.66,151.25,151.69,7381100,0.0,0
2010-01-07,151.74,155.6,151.42,154.66,8727400,0.0,0
2010-01-08,153.49,154.45,151.42,151.73,7268100,0.0,0
2010-01-11,152.39,152.39,148.43,149.34,7704900,0.0,0
2010-01-12,147.99,148.4,145.4,146.08,10360100,0.0,0
2010-01-13,146.25,147.69,144.6,147.17,11269500,0.0,0
2010-01-14,146.24,148.61,145.55,146.7,10521400,0.0,0
2010-01-15,145.89,146.07,143.26,143.81,10896300,0.0,0
2010-01-19,143.64,145.72,142.67,145.25,7705300,0.0,0
2010-01-20,144.33,146.4,143.04,146.06,8893900,0.0,0
2010-01-21,147.36,148.85,136.46,140.03,51738300,0.0,0
2010-01-22,138.14,139.06,132.53,134.16,30175600,0.0,0
2010-01-25,135.91,137.8,134.49,134.91,17877000,0.0,0
2010-01-26,134.85,136.23,131.18,131.34,15985900,0.0,0
2010-01-27,131.22,133.12,129.07,131.88,19899000,0.0,0
2010-01-28,134.25,135.1,130.53,133.44,16160700,0.0,0
2010-01-29,134.44,134.82,128.67,129.46,18502800,0.0,0
2010-02-01,130.41,135.14,129.88,133.3,12980800,0.0,0
2010-02-02,133.75,137.1,133.75,136.61,17246600,0.0,0
2010-02-03,137.47,139.22,136.76,136.87,16785200,0.0,0
2010-02-04,135.16,135.85,130.96,131.16,18895000,0.0,0
2010-02-05,131.29,134.45,129.59,134.19,18759200,0.0,0
2010-02-08,134.29,134.58,131.29,131.53,10257300,0.0,0
2010-02-09,132.92,133.64,130.27,132.74,14017300,0.0,0
2010-02-10,132.98,135.23,132.1,133.73,10555300,0.0,0
2010-02-11,134.4,135.2,132.53,134.1,11163400,0.0,0
2010-02-12,132.63,134.49,131.56,133.99,10293200,0.0,0
2010-02-16,135.19,137.31,134.58,137.01,11497100,0.0,0
2010-02-17,137.54,137.7,135.63,136.89,10070000,0.0,0
2010-02-18,135.45,136.31,134.82,135.56,10991100,0.0,0
2010-02-19,134.5,136.66,134.48,135.95,8693000,0.0,0
2010-02-22,136.84,137.51,135.82,136.41,7375500,0.0,0
2010-02-23,136.5,139.46,135.72,136.4,15696000,0.0,0
2010-02-24,136.96,138.62,136.55,137.82,8361500,0.0,0
2010-02-25,135.99,136.18,134.33,136.18,10519900,0.0,0
2010-02-26,136.33,136.96,135.45,136.4,7812700,0.35,0
2010-03-01,136.54,138.1,136.25,136.57,6522800,0.0,0
2010-03-02,137.13,139.37,136.89,138.5,11986400,0.0,0
2010-03-03,138.75,139.11,137.17,137.6,10006000,0.0,0
2010-03-04,138.06,142.95,137.94,142.74,15439500,0.0,0
2010-03-05,144.05,146.79,143.95,145.85,12226700,0.0,0
2010-03-08,146.46,148.91,146.1,148.17,9344500,0.0,0
