Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,82.06,82.48,81.48,81.66,533400,0.0,0
2009-12-08,81.25,81.25,80.18,80.83,470900,0.0,0
2009-12-09,80.72,81.06,79.85,81.01,362200,0.0,0
2009-12-10,81.17,81.43,80.86,81.04,352700,0.0,0
2009-12-11,81.62,81.69,80.81,81.09,406400,0.0,0
2009-12-14,81.16,81.85,80.91,81.61,385900,0.0,0
2009-12-15,81.08,81.82,80.91,81.72,420500,0.0,0
2009-12-16,81.85,81.85,80.86,81.24,443800,0.0,0
2009-12-17,80.96,81.09,80.31,80.53,281000,0.0,0
2009-12-18,80.57,80.59,79.73,80.19,739700,0.0,0
2009-12-21,80.41,81.35,80.21,81.06,277900,0.0,0
2009-12-22,81.09,81.47,80.72,80.84,306900,0.0,0
2009-12-23,80.75,81.28,80.54,81.02,352700,0.0,0
2009-12-24,81.3,81.64,81.27,81.49,77200,0.0,0
2009-12-28,81.93,81.93,80.95,81.3,269900,0.0,0
2009-12-29,81.59,81.67,81.3,81.39,317400,0.0,0
2009-12-30,80.99,81.27,80.67,81.01,358100,0.0,0
2009-12-31,81.13,81.76,80.23,80.27,526900,0.0,0
2010-01-04,80.61,81.21,79.75,80.61,535200,0.0,0
2010-01-05,80.38,80.81,79.7,80.64,594500,0.0,0
2010-01-06,80.63,81.44,80.63,80.95,486800,0.0,0
2010-01-07,80.63,81.82,80.17,81.71,650100,0.0,0
2010-01-08,81.24,82.77,81.05,82.67,705600,0.0,0
2010-01-11,82.45,83.21,82.25,83.02,561000,0.0,0
2010-01-12,82.45,83.08,82.27,82.99,559900,0.0,0
2010-01-13,83.03,83.39,82.56,83.35,330000,0.0,0
2010-01-14,83.37,83.46,82.69,83.22,413800,0.0,0
2010-01-15,82.91,83.29,82.17,82.93,771500,0.0,0
2010-01-19,82.96,84.55,82.54,84.01,768000,0.0,0
2010-01-20,83.75,83.8,82.71,83.62,618600,0.0,0
2010-01-21,83.72,83.92,82.1,82.54,827500,0.0,0
2010-01-22,82.03,82.57,81.76,81.98,1060300,0.0,0
2010-01-25,82.44,84.04,82.17,83.67,1901600,0.0,0
2010-01-26,83.03,84.13,81.36,82.41,2164200,0.0,0
2010-01-27,82.52,83.18,82.07,83.0,1209600,0.0,0
