Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,2.89,2.94,2.86,2.88,21730200,0.0,0
2009-12-08,2.87,2.98,2.85,2.96,21075200,0.0,0
2009-12-09,2.96,2.98,2.91,2.91,19767800,0.0,0
2009-12-10,2.95,2.97,2.89,2.91,10134600,0.0,0
2009-12-11,2.91,2.94,2.88,2.91,9132500,0.0,0
2009-12-14,2.95,3.05,2.92,3.04,14036100,0.0,0
2009-12-15,2.99,3.06,2.88,2.91,20517100,0.0,0
2009-12-16,2.92,2.95,2.83,2.84,16600100,0.01,0
2009-12-17,2.83,2.97,2.82,2.88,14433200,0.0,0
2009-12-18,2.89,2.95,2.84,2.91,19867400,0.0,0
2009-12-21,2.92,2.94,2.88,2.93,8908600,0.0,0
2009-12-22,2.92,2.93,2.9,2.92,4617300,0.0,0
2009-12-23,2.91,2.94,2.88,2.88,9401100,0.0,0
2009-12-24,2.9,2.91,2.89,2.91,2183900,0.0,0
2009-12-28,2.91,2.95,2.87,2.9,7041100,0.0,0
2009-12-29,2.9,2.91,2.86,2.89,6456400,0.0,0
2009-12-30,2.89,2.89,2.85,2.88,6394800,0.0,0
2009-12-31,2.88,2.88,2.84,2.86,10417400,0.0,0
2010-01-04,2.91,2.93,2.86,2.88,10462800,0.0,0
2010-01-05,2.88,2.95,2.86,2.95,21226600,0.0,0
2010-01-06,2.94,3.05,2.91,3.02,18761000,0.0,0
2010-01-07,3.02,3.41,3.0,3.36,66130600,0.0,0
2010-01-08,3.31,3.42,3.24,3.31,29869600,0.0,0
2010-01-11,3.38,3.48,3.3,3.39,28307500,0.0,0
2010-01-12,3.34,3.46,3.25,3.3,25239200,0.0,0
2010-01-13,3.3,3.4,3.2,3.38,26868200,0.0,0
2010-01-14,3.38,3.49,3.35,3.46,24295600,0.0,0
2010-01-15,3.45,3.46,3.31,3.35,17671600,0.0,0
2010-01-19,3.35,3.42,3.3,3.37,15203200,0.0,0
2010-01-20,3.33,3.46,3.31,3.36,20893700,0.0,0
2010-01-21,3.43,3.72,3.42,3.55,63969900,0.0,0
2010-01-22,3.46,3.82,3.33,3.67,61227600,0.0,0
2010-01-25,3.74,3.87,3.64,3.76,34705900,0.0,0
2010-01-26,3.81,3.91,3.6,3.6,45439900,0.0,0
2010-01-27,3.66,3.84,3.64,3.82,34009000,0.0,0
2010-01-28,3.98,3.99,3.85,3.91,40498900,0.0,0
2010-01-29,3.96,3.96,3.71,3.75,27561700,0.0,0
2010-02-01,3.8,3.87,3.74,3.84,18652800,0.0,0
2010-02-02,3.82,3.87,3.78,3.86,35142400,0.0,0
