Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.13,22.34,22.13,22.27,12664800,0.0,0
2009-12-08,22.16,22.19,21.74,21.84,15120500,0.0,0
2009-12-09,21.86,21.89,21.65,21.74,12481400,0.0,0
2009-12-10,21.93,22.18,21.91,22.09,11865000,0.0,0
2009-12-11,22.22,22.52,22.22,22.49,16327200,0.0,0
2009-12-14,22.75,22.89,22.57,22.79,11488900,0.0,0
2009-12-15,22.58,23.05,22.58,22.9,17012400,0.0,0
2009-12-16,22.99,23.18,22.81,22.86,13734200,0.0,0
2009-12-17,22.77,22.98,22.71,22.73,11472300,0.0,0
2009-12-18,22.87,22.9,22.43,22.61,17315800,0.0,0
2009-12-21,22.66,23.09,22.66,22.86,10009100,0.0,0
2009-12-22,22.93,23.22,22.86,23.12,11790600,0.0,0
2009-12-23,23.16,23.19,22.72,22.89,9789800,0.0,0
2009-12-24,23.03,23.08,22.88,23.02,3790100,0.0,0
2009-12-28,23.06,23.24,22.86,23.03,7299800,0.0,0
2009-12-29,23.01,23.13,22.72,23.1,6991500,0.0,0
2009-12-30,22.97,23.11,22.88,22.99,5703100,0.0,0
2009-12-31,22.96,23.18,22.8,22.83,7437100,0.0,0
2010-01-04,23.01,23.01,22.53,22.63,13120900,0.0,0
2010-01-05,22.67,22.88,22.33,22.79,15594300,0.0,0
2010-01-06,22.79,22.89,22.65,22.71,8833200,0.0,0
2010-01-07,22.78,23.06,22.67,22.98,12058200,0.0,0
2010-01-08,22.89,23.08,22.64,22.87,15609800,0.0,0
2010-01-11,22.89,22.9,22.16,22.23,23670500,0.0,0
2010-01-12,22.22,22.38,22.01,22.08,23075800,0.0,0
2010-01-13,22.1,22.3,22.1,22.2,15639100,0.0,0
2010-01-14,22.19,22.45,22.19,22.34,13208200,0.0,0
2010-01-15,22.34,22.64,22.1,22.55,23013500,0.0,0
2010-01-19,22.46,22.85,22.38,22.79,14170100,0.0,0
2010-01-20,22.65,22.76,22.38,22.62,13256400,0.0,0
2010-01-21,22.6,22.94,22.35,22.48,18900600,0.0,0
2010-01-22,22.29,22.53,21.85,21.88,16696600,0.0,0
2010-01-25,22.06,22.06,21.71,21.8,11098400,0.0,0
2010-01-26,21.7,22.06,21.7,21.89,13275800,0.0,0
2010-01-27,21.8,22.04,21.7,21.97,12821800,0.0,0
2010-01-28,22.04,22.06,21.46,21.58,19430400,0.0,0
2010-01-29,21.76,22.17,21.61,22.11,22453800,0.0,0
2010-02-01,22.11,22.45,22.03,22.41,17172100,0.0,0
2010-02-02,22.41,22.93,22.34,22.91,19640800,0.0,0
2010-02-03,22.84,22.84,22.3,22.47,19437300,0.0,0
2010-02-04,22.29,22.52,21.97,22.04,19813600,0.0,0
2010-02-05,21.98,22.15,21.73,22.08,20229400,0.0,0
2010-02-08,22.52,22.84,22.47,22.56,26005400,0.0,0
2010-02-09,22.79,22.96,22.55,22.79,18057700,0.0,0
2010-02-10,22.76,22.86,22.41,22.61,14481500,0.0,0
2010-02-11,22.66,22.94,22.52,22.88,14614200,0.0,0
2010-02-12,22.69,22.89,22.53,22.89,15027700,0.0,0
2010-02-16,22.98,23.28,22.83,23.24,13317200,0.0,0
2010-02-17,23.49,23.72,23.48,23.69,21524600,0.0,0
2010-02-18,23.69,23.98,23.57,23.91,16564800,0.0,0
2010-02-19,23.84,24.03,23.68,23.8,18576300,0.0,0
2010-02-22,23.99,24.11,23.84,23.93,16101000,0.0,0
2010-02-23,24.12,24.49,23.95,24.27,35770100,0.0,0
2010-02-24,24.29,24.8,24.26,24.75,22937500,0.0,0
2010-02-25,24.52,24.82,24.46,24.75,15049200,0.0,0
2010-02-26,24.75,24.75,24.43,24.62,13879200,0.0,0
2010-03-01,24.66,24.9,24.54,24.81,14182000,0.0,0
2010-03-02,24.77,24.92,24.68,24.75,15189500,0.0,0
