Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,7.7,7.93,7.69,7.72,1064000,0.0,0.0
2009-12-08,7.68,7.69,7.52,7.55,2348600,0.0,0.0
2009-12-09,7.76,7.76,7.55,7.63,3042800,0.0,0.0
2009-12-10,7.68,7.74,7.51,7.66,2145200,0.0,0.0
2009-12-11,7.69,7.74,7.41,7.52,2772400,0.0,0.0
2009-12-14,7.64,7.71,7.58,7.64,915800,0.0,0.0
2009-12-15,7.62,7.7,7.48,7.5,1457800,0.0,0.0
2009-12-16,7.55,7.62,7.34,7.39,2102400,0.0,0.0
2009-12-17,7.4,7.51,7.28,7.41,1006000,0.15,0.0
2009-12-18,7.47,7.62,7.46,7.61,1655200,0.0,0.0
2009-12-21,7.65,7.74,7.62,7.73,718400,0.0,0.0
2009-12-22,7.76,7.77,7.56,7.68,875000,0.0,0.0
2009-12-23,7.72,7.88,7.61,7.83,979400,0.0,0.0
2009-12-24,7.81,7.89,7.77,7.89,158000,0.0,0.0
2009-12-28,7.93,7.97,7.84,7.87,534400,0.0,0.0
2009-12-29,7.87,7.93,7.84,7.89,591400,0.0,0.0
2009-12-30,7.87,7.99,7.81,7.96,557800,0.0,0.0
2009-12-31,7.95,8.0,7.87,7.91,546400,0.0,0.0
2010-01-04,8.1,8.46,8.03,8.45,1826600,0.0,0.0
2010-01-05,8.48,9.23,8.43,9.0,3336200,0.0,0.0
2010-01-06,8.98,9.09,8.76,8.98,2168400,0.0,0.0
2010-01-07,8.97,9.02,8.79,8.98,1169800,0.0,0.0
2010-01-08,8.87,9.0,8.83,8.91,869000,0.0,0.0
2010-01-11,8.97,9.13,8.57,8.69,1903400,0.0,0.0
2010-01-12,8.55,8.55,8.27,8.36,1919200,0.0,0.0
2010-01-13,8.31,8.31,7.87,8.23,1875400,0.0,0.0
2010-01-14,8.23,8.31,8.1,8.23,897000,0.0,0.0
2010-01-15,8.26,8.33,8.14,8.31,887800,0.0,0.0
2010-01-19,8.28,8.38,8.27,8.34,1417400,0.0,0.0
2010-01-20,8.19,8.37,8.16,8.35,1273200,0.0,0.0
2010-01-21,8.3,8.44,8.19,8.23,1963800,0.0,0.0
2010-01-22,8.18,8.29,8.04,8.06,1546200,0.0,0.0
2010-01-25,8.07,8.16,8.02,8.06,891000,0.0,0.0
2010-01-26,8.02,8.18,7.92,8.12,1409000,0.0,0.0
2010-01-27,8.14,8.14,7.94,8.13,1236600,0.0,0.0
2010-01-28,8.22,8.22,7.93,8.06,1538800,0.0,0.0
2010-01-29,8.13,8.34,8.01,8.06,1845400,0.0,0.0
2010-02-01,8.13,8.44,8.1,8.41,1570200,0.0,0.0
2010-02-02,8.46,8.83,8.35,8.8,2093600,0.0,0.0
2010-02-03,8.78,8.8,8.53,8.59,1846000,0.0,0.0
2010-02-04,8.51,8.51,8.24,8.24,1146000,0.0,0.0
2010-02-05,8.22,8.23,7.87,8.18,1612200,0.0,0.0
2010-02-08,8.19,8.23,8.02,8.1,1035400,0.0,0.0
2010-02-09,8.17,8.31,8.05,8.27,1154400,0.0,0.0
2010-02-10,8.22,8.39,8.07,8.38,988000,0.0,0.0
2010-02-11,8.33,8.4,8.21,8.31,707400,0.0,0.0
2010-02-12,8.13,8.42,8.1,8.42,1077200,0.0,0.0
2010-02-16,8.58,8.77,8.47,8.75,753800,0.0,0.0
2010-02-17,8.75,8.83,8.58,8.68,905800,0.0,0.0
2010-02-18,8.7,8.8,8.63,8.78,1511000,0.0,0.0
2010-02-19,8.71,8.86,8.69,8.81,567600,0.0,0.0
2010-02-22,8.9,8.92,8.65,8.75,1187600,0.0,0.0
2010-02-23,8.7,8.74,8.46,8.56,794400,0.0,0.0
2010-02-24,8.66,8.75,8.54,8.69,1034200,0.0,0.0
2010-02-25,8.52,8.52,7.8,8.01,5131200,0.0,0.0
2010-02-26,8.01,8.12,7.84,7.93,2360200,0.0,0.0
2010-03-01,7.92,7.93,7.76,7.87,1321600,0.0,0.0
2010-03-02,7.88,8.06,7.87,8.04,1195200,0.0,0.0
2010-03-03,8.03,8.41,7.99,8.37,3890200,0.0,0.0
2010-03-04,8.37,8.6,8.33,8.57,1529800,0.0,0.0
2010-03-05,8.62,8.7,8.56,8.67,1501200,0.0,0.0
2010-03-08,8.67,8.73,8.52,8.54,1064000,0.0,0.0
2010-03-09,8.42,8.71,8.42,8.6,1973400,0.0,0.0
2010-03-10,8.58,9.19,8.48,9.15,3600600,0.0,0.0
2010-03-11,9.14,9.53,8.93,9.01,3478200,0.0,0.0
2010-03-12,9.1,9.13,8.81,9.07,1587000,0.0,0.0
2010-03-15,9.06,9.16,8.73,8.77,1453200,0.0,0.0
2010-03-16,8.83,8.9,8.71,8.8,1365600,0.0,0.0
2010-03-17,8.86,8.98,8.79,8.87,1381800,0.0,0.0
2010-03-18,8.89,8.91,8.61,8.63,1249800,0.15,0.0
2010-03-19,8.56,8.68,8.35,8.56,1821600,0.0,0.0
2010-03-22,8.46,8.8,8.42,8.77,988000,0.0,0.0
2010-03-23,8.75,8.91,8.75,8.82,1160800,0.0,0.0
2010-03-24,8.73,9.17,8.72,9.15,1461200,0.0,0.0
2010-03-25,9.24,9.32,8.85,8.87,2107000,0.0,0.0
2010-03-26,8.89,8.92,8.66,8.68,945400,0.0,0.0
2010-03-29,8.71,8.83,8.67,8.75,1152400,0.0,0.0
2010-03-30,8.71,8.79,8.65,8.71,734000,0.0,0.0
2010-03-31,8.75,8.81,8.67,8.71,1012400,0.0,0.0
2010-04-01,8.63,8.93,8.61,8.88,1322600,0.0,0.0
2010-04-05,8.9,9.44,8.9,9.42,1764200,0.0,0.0
2010-04-06,9.46,9.54,9.18,9.18,1551200,0.0,0.0
2010-04-07,9.13,9.13,8.47,8.53,2737000,0.0,0.0
2010-04-08,8.47,8.55,8.31,8.43,1043800,0.0,0.0
2010-04-09,8.44,8.58,8.31,8.46,1077000,0.0,0.0
2010-04-12,8.46,8.52,8.25,8.28,1387200,0.0,0.0
2010-04-13,8.22,8.32,8.09,8.26,1173600,0.0,0.0
2010-04-14,8.41,8.43,8.24,8.38,1369200,0.0,0.0
2010-04-15,8.36,8.41,8.02,8.08,2061800,0.0,0.0
2010-04-16,8.03,8.06,7.67,7.79,2383000,0.0,0.0
2010-04-19,7.69,7.84,7.54,7.68,2278800,0.0,0.0
2010-04-20,7.76,7.86,7.58,7.82,1269600,0.0,0.0
