Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-12-12,42.31,43.54,42.21,42.7,12935400,0.0,0.0
2013-12-13,43.68,44.45,42.8,43.9,1224800,0.0,0.0
2013-12-16,45.84,51.15,42.74,42.74,4717600,0.0,0.0
2013-12-17,42.92,43.68,42.86,43.32,2313800,0.0,0.0
2013-12-18,43.36,44.06,43.02,43.36,2857800,0.0,0.0
2013-12-19,43.2,44.51,42.8,44.25,1469100,0.0,0.0
2013-12-20,44.69,44.79,43.42,43.56,994800,0.0,0.0
2013-12-23,43.72,44.08,42.82,42.82,1220700,0.0,0.0
2013-12-24,42.9,43.04,42.01,42.72,1234000,0.0,0.0
2013-12-26,42.82,43.62,42.8,43.1,1309200,0.0,0.0
2013-12-27,42.9,43.38,42.8,42.9,1090300,0.0,0.0
2013-12-30,43.14,43.64,42.9,43.48,871800,0.0,0.0
2013-12-31,43.7,44.63,43.6,44.19,1134300,0.0,0.0
2014-01-02,44.19,44.39,43.24,43.42,1763700,0.0,0.0
2014-01-03,43.3,43.88,43.2,43.72,461200,0.0,0.0
2014-01-06,43.68,43.94,43.22,43.7,1172300,0.0,0.0
2014-01-07,43.7,43.9,43.5,43.7,1992500,0.0,0.0
2014-01-08,43.76,43.76,43.3,43.76,1154200,0.0,0.0
2014-01-09,43.7,43.74,43.12,43.44,459600,0.0,0.0
2014-01-10,43.22,43.42,42.84,43.08,812300,0.0,0.0
2014-01-13,42.82,43.36,42.82,43.14,728200,0.0,0.0
2014-01-14,43.12,43.92,42.98,43.9,1251600,0.0,0.0
2014-01-15,43.8,44.04,43.36,43.52,915200,0.0,0.0
2014-01-16,43.5,43.76,43.08,43.62,1130000,0.0,0.0
2014-01-17,43.62,44.81,43.3,44.19,2702200,0.0,0.0
2014-01-21,44.71,44.87,43.38,43.54,1280200,0.0,0.0
2014-01-22,43.68,44.67,43.5,44.61,1428600,0.0,0.0
2014-01-23,44.55,45.01,43.9,45.01,936000,0.0,0.0
2014-01-24,44.39,44.65,43.88,44.59,891000,0.0,0.0
2014-01-27,44.59,44.59,43.48,43.68,1099600,0.0,0.0
2014-01-28,43.38,43.7,43.2,43.5,686200,0.0,0.0
2014-01-29,43.32,43.46,42.82,43.02,437800,0.0,0.0
2014-01-30,43.22,43.34,42.9,43.02,520200,0.0,0.0
2014-01-31,42.72,43.08,42.39,43.0,428600,0.0,0.0
2014-02-03,43.0,43.1,41.39,41.61,1115000,0.0,0.0
2014-02-04,41.71,41.87,41.39,41.77,835700,0.0,0.0
2014-02-05,41.41,41.63,40.82,41.31,694700,0.0,0.0
2014-02-06,41.39,42.11,41.35,42.11,294100,0.0,0.0
2014-02-07,42.23,43.44,42.15,43.0,513000,0.0,0.0
2014-02-10,43.04,43.08,42.31,42.53,562400,0.0,0.0
2014-02-11,43.16,43.24,42.63,43.08,642400,0.0,0.0
2014-02-12,43.18,43.6,42.94,43.48,436600,0.0,0.0
2014-02-13,43.26,43.74,43.0,43.6,551600,0.0,0.0
2014-02-14,43.7,43.8,43.42,43.7,647800,0.0,0.0
2014-02-18,43.7,43.7,43.16,43.22,616100,0.0,0.0
2014-02-19,43.22,43.6,42.7,42.76,441000,0.0,0.0
2014-02-20,42.7,43.04,42.33,42.68,602000,0.0,0.0
2014-02-21,42.7,44.08,42.65,44.0,1166000,0.0,0.0
2014-02-24,44.12,44.69,43.78,44.21,743100,0.0,0.0
2014-02-25,44.19,44.85,44.12,44.43,823100,0.0,0.0
2014-02-26,44.51,45.05,44.29,44.77,1072000,0.0,0.0
2014-02-27,44.51,45.41,43.3,44.67,2187800,0.0,0.0
2014-02-28,44.69,44.85,43.86,44.41,970500,0.0,0.0
2014-03-03,44.13,44.69,43.92,44.67,676700,0.0,0.0
2014-03-04,45.51,45.88,44.61,44.81,2307000,0.0,0.0
2014-03-05,44.63,45.47,44.59,45.23,668700,0.0,0.0
2014-03-06,45.23,45.41,44.49,44.65,682400,0.0,0.0
2014-03-07,44.59,45.35,44.49,45.11,642300,0.0,0.0
2014-03-10,45.21,45.39,44.15,44.45,922000,0.0,0.0
2014-03-11,44.47,44.61,43.7,43.92,835400,0.0,0.0
2014-03-12,43.78,44.49,43.24,44.39,788600,0.0,0.0
2014-03-13,44.15,44.55,43.62,43.8,992600,0.0,0.0
2014-03-14,43.62,44.21,43.44,43.76,609000,0.0,0.0
2014-03-17,43.92,44.47,43.88,43.94,369200,0.0,0.0
2014-03-18,43.9,44.87,43.82,44.83,677700,0.0,0.0
2014-03-19,44.73,44.75,44.02,44.21,733300,0.0,0.0
2014-03-20,44.19,44.53,43.92,44.04,652700,0.0,0.0
2014-03-21,44.23,45.66,44.0,45.66,3026700,0.0,0.0
2014-03-24,45.57,45.86,44.61,45.21,966000,0.0,0.0
2014-03-25,45.25,45.49,44.65,44.65,781700,0.0,0.0
2014-03-26,44.69,44.83,44.27,44.37,781900,0.0,0.0
2014-03-27,44.31,44.73,44.04,44.15,670500,0.0,0.0
2014-03-28,44.04,44.45,43.6,44.19,2073000,0.0,0.0
2014-03-31,44.37,44.55,43.7,44.17,4896900,0.0,0.0
2014-04-01,44.13,45.09,44.12,44.79,1052500,0.0,0.0
2014-04-02,44.69,45.07,44.59,44.63,1061500,0.0,0.0
2014-04-03,44.69,44.85,43.74,43.74,959300,0.0,0.0
2014-04-04,43.76,43.8,42.82,42.88,2767300,0.0,0.0
2014-04-07,42.9,42.96,42.23,42.45,694200,0.0,0.0
2014-04-08,42.41,42.51,41.99,42.43,686100,0.0,0.0
2014-04-09,42.57,43.0,42.47,42.72,864800,0.0,0.0
2014-04-10,42.65,42.84,41.79,42.07,527900,0.0,0.0
2014-04-11,41.91,42.47,41.63,42.21,760100,0.0,0.0
2014-04-14,42.29,42.92,41.93,42.41,515300,0.0,0.0
2014-04-15,42.72,42.72,41.71,42.47,484900,0.0,0.0
2014-04-16,42.25,42.94,42.17,42.9,523900,0.0,0.0
2014-04-17,42.78,43.42,42.31,43.24,805100,0.0,0.0
2014-04-21,43.14,43.14,42.45,42.63,498100,0.0,0.0
2014-04-22,42.61,43.14,42.57,42.72,511700,0.0,0.0
2014-04-23,42.67,43.0,42.43,42.68,469800,0.0,0.0
2014-04-24,42.82,43.04,42.63,42.7,302300,0.0,0.0
2014-04-25,42.7,42.74,42.19,42.37,204900,0.0,0.0
2014-04-28,42.39,42.57,41.81,42.45,625600,0.0,0.0
2014-04-29,42.94,43.06,41.65,41.89,1292800,0.0,0.0
2014-04-30,42.13,43.4,42.01,43.36,920900,0.0,0.0
2014-05-01,43.28,43.96,42.61,43.86,700500,0.0,0.0
2014-05-02,43.86,45.03,43.78,43.8,991000,0.0,0.0
2014-05-05,43.58,44.08,43.34,44.02,410800,0.0,0.0
2014-05-06,43.9,44.25,43.5,44.02,683100,0.0,0.0
2014-05-07,45.29,45.64,43.92,45.01,1038000,0.0,0.0
2014-05-08,45.21,45.41,44.81,44.97,1212800,0.0,0.0
2014-05-09,47.13,47.27,45.25,45.82,3461100,0.0,0.0
2014-05-12,46.58,46.78,45.03,45.64,1586700,0.0,0.0
2014-05-13,45.88,46.12,45.47,45.68,1098500,0.0,0.0
2014-05-14,45.68,45.8,44.27,44.79,1191700,0.0,0.0
2014-05-15,44.89,44.89,43.02,43.5,1821300,0.0,0.0
2014-05-16,43.7,43.82,42.59,43.44,1228800,0.0,0.0
2014-05-19,43.5,43.72,43.14,43.52,970400,0.0,0.0
2014-05-20,43.56,43.68,42.45,42.53,1359200,0.0,0.0
2014-05-21,42.7,43.7,42.61,43.4,1872800,0.0,0.0
2014-05-22,43.38,43.8,43.38,43.68,1002300,0.0,0.0
2014-05-23,44.23,44.37,43.72,43.8,527700,0.0,0.0
2014-05-27,44.06,44.35,43.6,44.17,1164800,0.0,0.0
2014-05-28,44.33,44.75,43.7,43.72,1054100,0.0,0.0
2014-05-29,43.82,44.1,43.46,44.06,732900,0.0,0.0
2014-05-30,43.96,44.99,43.96,44.93,1272500,0.0,0.0
2014-06-02,44.93,45.37,44.49,45.25,1202400,0.0,0.0
2014-06-03,45.05,45.51,44.57,45.11,1484600,0.0,0.0
2014-06-04,44.95,45.58,44.87,45.23,665600,0.0,0.0
2014-06-05,45.23,45.78,44.89,45.72,878900,0.0,0.0
2014-06-06,45.72,46.4,45.13,46.24,1235300,0.0,0.0
2014-06-09,46.24,46.58,45.57,46.26,1235200,0.0,0.0
2014-06-10,46.0,47.01,46.0,46.54,1351800,0.0,0.0
2014-06-11,45.66,45.82,44.99,45.31,3671100,0.0,0.0
2014-06-12,44.87,45.35,44.53,44.65,1815800,0.0,0.0
2014-06-13,44.59,44.79,44.04,44.27,2073700,0.0,0.0
2014-06-16,44.29,45.19,43.72,44.12,2613700,0.0,0.0
2014-06-17,44.1,44.77,44.1,44.37,1243700,0.0,0.0
2014-06-18,44.29,44.61,44.15,44.39,1400300,0.0,0.0
2014-06-19,44.45,44.85,44.29,44.35,1299200,0.0,0.0
2014-06-20,44.61,44.61,44.21,44.21,1644700,0.0,0.0
2014-06-23,44.43,44.69,44.12,44.37,1575300,0.0,0.0
2014-06-24,44.37,45.49,44.31,44.69,5474100,0.0,0.0
2014-06-25,45.49,46.24,45.25,45.6,27335200,0.0,0.0
2014-06-26,45.55,45.72,45.27,45.41,7572900,0.0,0.0
2014-06-27,45.49,45.88,45.09,45.31,6862700,0.0,0.0
2014-06-30,45.29,46.34,45.15,46.28,3204700,0.0,0.0
2014-07-01,46.26,47.11,46.16,46.94,5010100,0.0,0.0
2014-07-02,46.68,47.49,46.52,47.39,3300600,0.0,0.0
2014-07-03,47.39,49.26,47.39,49.26,5482100,0.0,0.0
2014-07-07,48.86,49.08,48.46,48.66,3754300,0.0,0.0
2014-07-08,48.46,48.48,47.65,48.05,2931200,0.0,0.0
2014-07-09,48.27,49.2,47.99,49.1,2832700,0.0,0.0
2014-07-10,48.25,49.1,48.21,48.7,1868600,0.0,0.0
2014-07-11,47.69,48.7,47.69,48.31,1384400,0.0,0.0
2014-07-14,48.78,49.34,48.46,48.58,2394700,0.0,0.0
2014-07-15,48.56,49.1,48.48,48.8,1918100,0.0,0.0
2014-07-16,48.88,49.06,48.35,48.82,1315700,0.0,0.0
2014-07-17,48.52,49.06,47.67,47.81,3192100,0.0,0.0
2014-07-18,48.15,48.8,47.95,48.76,1820500,0.0,0.0
2014-07-21,48.56,49.52,48.56,49.32,2381900,0.0,0.0
2014-07-22,49.44,50.17,49.16,49.91,2022900,0.0,0.0
2014-07-23,49.78,50.83,49.74,50.67,3073200,0.0,0.0
2014-07-24,50.65,51.29,50.13,50.23,3345800,0.0,0.0
2014-07-25,50.03,50.73,49.8,50.21,920200,0.0,0.0
2014-07-28,50.21,50.63,49.84,50.13,1143400,0.0,0.0
2014-07-29,50.35,50.41,49.52,49.62,1686500,0.0,0.0
2014-07-30,49.95,50.29,48.54,49.02,3035000,0.0,0.0
2014-07-31,48.5,48.84,47.69,48.09,2718300,0.0,0.0
2014-08-01,48.66,48.76,45.98,48.25,4673200,0.0,0.0
2014-08-04,48.29,48.43,47.55,48.03,1665300,0.0,0.0
2014-08-05,47.91,48.07,46.68,47.11,2776900,0.0,0.0
2014-08-06,46.7,46.86,46.08,46.58,2932300,0.0,0.0
2014-08-07,46.94,47.61,46.86,47.03,2239200,0.0,0.0
2014-08-08,47.11,47.43,46.52,47.09,1580700,0.0,0.0
2014-08-11,47.57,48.19,47.37,47.79,809400,0.0,0.0
2014-08-12,47.61,48.03,47.37,47.89,689500,0.0,0.0
2014-08-13,48.09,48.82,47.81,48.64,1191000,0.0,0.0
2014-08-14,48.78,49.14,48.64,49.12,924200,0.0,0.0
2014-08-15,49.4,49.56,48.45,49.0,1224700,0.0,0.0
2014-08-18,49.46,49.68,49.0,49.64,1073000,0.0,0.0
2014-08-19,49.68,50.15,49.48,49.88,1098800,0.0,0.0
2014-08-20,49.68,50.59,49.54,50.53,1634300,0.0,0.0
2014-08-21,50.45,50.93,50.39,50.73,1219900,0.0,0.0
2014-08-22,50.65,51.15,50.61,50.93,946900,0.0,0.0
2014-08-25,50.95,51.09,50.51,51.09,1304100,0.0,0.0
2014-08-26,51.05,51.23,50.71,50.95,961800,0.0,0.0
2014-08-27,50.99,51.48,50.93,51.17,1292900,0.0,0.0
2014-08-28,50.87,51.17,50.53,50.97,1369000,0.0,0.0
2014-08-29,50.97,51.07,50.05,50.29,5281400,0.0,0.0
2014-09-02,50.69,51.29,49.95,50.57,1346300,0.0,0.0
2014-09-03,50.77,50.93,50.09,50.21,2212400,0.0,0.0
2014-09-04,50.41,51.01,49.82,50.33,1593400,0.0,0.0
2014-09-05,50.37,51.44,49.95,51.17,1606000,0.0,0.0
2014-09-08,50.99,51.23,50.79,51.01,582300,0.0,0.0
2014-09-09,50.85,51.21,50.45,50.67,1520600,0.0,0.0
2014-09-10,50.75,50.79,50.09,50.21,1757500,0.0,0.0
2014-09-11,49.26,50.05,48.98,49.34,3296200,0.0,0.0
2014-09-12,49.22,49.36,48.17,48.46,2576400,0.0,0.0
2014-09-15,48.46,48.62,47.85,47.93,1700900,0.0,0.0
2014-09-16,47.81,49.1,47.69,48.96,1901900,0.0,0.0
2014-09-17,49.04,49.9,48.94,49.68,2660100,0.0,0.0
2014-09-18,49.74,50.01,49.04,49.12,1769000,0.0,0.0
2014-09-19,49.28,49.36,48.82,49.16,2259400,0.0,0.0
2014-09-22,49.14,49.32,48.74,49.28,2198400,0.0,0.0
2014-09-23,49.12,49.32,48.96,49.04,2152800,0.0,0.0
2014-09-24,49.14,49.36,48.82,49.06,1537100,0.0,0.0
2014-09-25,49.0,49.02,48.45,48.66,2197600,0.0,0.0
2014-09-26,48.68,49.32,48.39,49.3,1887000,0.0,0.0
2014-09-29,48.92,49.18,48.6,48.76,1417900,0.0,0.0
2014-09-30,48.7,49.14,48.31,48.92,2636500,0.0,0.0
2014-10-01,48.74,48.86,47.13,47.67,3817500,0.0,0.0
2014-10-02,47.67,47.93,47.01,47.63,2136300,0.0,0.0
2014-10-03,48.05,48.43,47.85,48.31,661200,0.0,0.0
2014-10-06,48.88,49.28,47.89,48.09,2113400,0.0,0.0
2014-10-07,47.67,48.07,47.37,47.63,1424700,0.0,0.0
2014-10-08,47.73,47.81,46.8,47.51,1802600,0.0,0.0
2014-10-09,47.79,47.91,46.36,46.42,2234500,0.0,0.0
2014-10-10,46.3,46.36,45.15,45.23,2639000,0.0,0.0
2014-10-13,45.35,45.47,43.72,43.78,4251700,0.0,0.0
2014-10-14,44.19,44.53,42.94,43.76,3008200,0.0,0.0
2014-10-15,42.53,44.0,41.16,42.92,5587800,0.0,0.0
2014-10-16,42.21,44.39,41.99,43.42,5365500,0.0,0.0
2014-10-17,44.51,46.14,44.51,45.31,3238200,0.0,0.0
2014-10-20,45.37,47.0,45.27,46.92,2321700,0.0,0.0
2014-10-21,47.67,48.72,47.63,48.68,2224700,0.0,0.0
2014-10-22,48.88,49.0,47.51,47.69,1728900,0.0,0.0
2014-10-23,48.39,48.58,47.41,47.75,1345100,0.0,0.0
2014-10-24,47.61,48.23,47.17,48.15,761200,0.0,0.0
2014-10-27,48.15,48.27,47.21,48.03,925600,0.0,0.0
2014-10-28,48.11,48.88,47.67,48.39,2384700,0.0,0.0
2014-10-29,48.62,49.2,48.27,48.78,1636000,0.0,0.0
2014-10-30,48.43,50.07,48.27,49.68,2099800,0.0,0.0
2014-10-31,50.31,50.95,49.26,50.13,3463400,0.0,0.0
2014-11-03,49.36,50.79,49.24,50.15,2772800,0.0,0.0
2014-11-04,49.0,49.28,48.46,48.86,24618600,0.0,0.0
2014-11-05,49.18,49.86,48.96,49.74,7300000,0.0,0.0
2014-11-06,49.74,50.05,49.52,49.76,3861200,0.0,0.0
2014-11-07,49.99,50.05,49.28,49.6,2379400,0.0,0.0
2014-11-10,49.68,50.01,49.5,49.93,2507200,0.0,0.0
2014-11-11,49.91,50.25,49.76,50.07,2884600,0.0,0.0
2014-11-12,50.05,50.39,49.44,50.29,2179900,0.0,0.0
2014-11-13,50.45,50.69,49.54,50.39,2876300,0.0,0.0
2014-11-14,50.45,51.29,50.11,51.27,4424300,0.0,0.0
2014-11-17,50.89,51.17,50.37,50.49,1568300,0.0,0.0
2014-11-18,50.49,51.15,50.31,50.87,1838100,0.0,0.0
2014-11-19,50.69,51.03,50.35,50.69,1343500,0.0,0.0
2014-11-20,50.59,50.77,49.88,50.55,2426900,0.0,0.0
2014-11-21,51.15,51.17,50.65,50.69,2745100,0.0,0.0
2014-11-24,50.99,51.5,50.91,51.25,2041000,0.0,0.0
2014-11-25,51.23,51.96,51.17,51.94,2261900,0.0,0.0
2014-11-26,51.88,52.0,51.46,51.68,1306600,0.0,0.0
2014-11-28,51.94,52.34,51.92,52.08,751000,0.0,0.0
2014-12-01,51.9,52.02,50.51,50.51,2709000,0.0,0.0
2014-12-02,50.79,51.03,50.63,50.67,2625500,0.0,0.0
2014-12-03,50.67,51.6,50.63,51.52,2231800,0.0,0.0
2014-12-04,51.44,52.08,51.15,51.64,4503500,0.0,0.0
2014-12-05,51.82,52.56,51.82,52.48,2260700,0.0,0.0
2014-12-08,52.4,52.62,52.04,52.32,1060200,0.0,0.0
2014-12-09,51.58,52.18,50.83,52.1,1532600,0.0,0.0
2014-12-10,51.92,52.46,51.54,51.62,1456100,0.0,0.0
2014-12-11,51.92,52.7,51.9,52.16,1591200,0.0,0.0
2014-12-12,51.98,52.16,51.35,51.38,1711600,0.0,0.0
2014-12-15,51.72,51.9,50.17,50.29,4511800,0.0,0.0
2014-12-16,49.84,50.15,49.14,49.14,4312700,0.0,0.0
2014-12-17,49.46,50.45,48.78,50.25,2926900,0.0,0.0
2014-12-18,50.91,51.4,50.47,51.38,2347000,0.0,0.0
2014-12-19,51.52,52.04,51.13,52.0,3023100,0.0,0.0
2014-12-22,52.0,52.34,51.56,51.64,1819800,0.0,0.0
2014-12-23,52.04,52.16,51.7,51.84,1849400,0.0,0.0
2014-12-24,51.74,52.34,51.66,52.06,561800,0.0,0.0
2014-12-26,52.28,52.56,52.18,52.2,314500,0.0,0.0
2014-12-29,52.08,52.1,51.52,51.86,1188200,0.0,0.0
2014-12-30,51.74,52.1,51.6,51.82,824400,0.0,0.0
2014-12-31,51.86,52.52,51.78,51.82,1115500,0.0,0.0
2015-01-02,52.04,52.18,50.61,51.52,1791600,0.0,0.0
2015-01-05,51.15,51.35,49.66,49.86,2112100,0.0,0.0
2015-01-06,49.76,49.78,48.39,49.4,3422600,0.0,0.0
2015-01-07,49.99,50.39,49.5,50.19,2239400,0.0,0.0
2015-01-08,50.63,51.68,50.47,51.58,2098400,0.0,0.0
2015-01-09,51.58,51.7,50.95,51.07,2061200,0.0,0.0
2015-01-12,51.03,51.03,50.35,50.55,1670500,0.0,0.0
2015-01-13,51.56,52.14,50.33,50.95,2895900,0.0,0.0
2015-01-14,50.37,51.5,49.97,51.5,1962700,0.0,0.0
2015-01-15,51.58,51.64,50.77,50.85,1157400,0.0,0.0
2015-01-16,50.61,51.4,50.39,51.36,1285900,0.0,0.0
2015-01-20,51.4,51.52,50.59,51.21,1490800,0.0,0.0
2015-01-21,51.05,51.64,50.65,51.4,1183800,0.0,0.0
2015-01-22,51.64,53.31,51.38,53.11,2673900,0.0,0.0
2015-01-23,53.13,53.43,52.68,52.76,1493200,0.0,0.0
2015-01-26,52.78,53.51,52.62,53.45,1615800,0.0,0.0
2015-01-27,52.89,53.21,52.16,52.58,1399100,0.0,0.0
2015-01-28,53.09,53.45,52.44,52.54,3175700,0.0,0.0
2015-01-29,52.44,52.72,51.9,52.4,2703100,0.0,0.0
2015-01-30,52.04,52.44,51.5,51.58,1681800,0.0,0.0
2015-02-02,51.64,51.94,50.75,51.88,3069500,0.0,0.0
2015-02-03,52.04,52.8,51.8,52.78,1687100,0.0,0.0
2015-02-04,53.03,53.15,52.0,52.3,2346100,0.0,0.0
2015-02-05,52.26,53.37,52.26,53.37,1186600,0.0,0.0
2015-02-06,53.57,54.13,52.32,52.36,4544100,0.0,0.0
2015-02-09,52.38,53.03,52.04,52.62,2400400,0.0,0.0
2015-02-10,53.35,54.56,53.17,54.54,3182900,0.0,0.0
2015-02-11,54.56,56.99,54.46,55.93,6616600,0.0,0.0
2015-02-12,56.35,56.87,55.83,56.49,4064700,0.0,0.0
2015-02-13,56.91,57.48,56.51,56.75,3179200,0.0,0.0
2015-02-17,56.75,57.4,56.29,56.91,2797700,0.0,0.0
2015-02-18,56.31,56.95,55.4,56.69,4485200,0.0,0.0
2015-02-19,56.69,56.99,56.31,56.31,2530900,0.0,0.0
2015-02-20,56.01,56.63,55.83,56.31,1913400,0.0,0.0
2015-02-23,56.01,56.15,55.34,55.46,2179100,0.0,0.0
2015-02-24,55.38,55.62,54.98,55.2,2516700,0.0,0.0
2015-02-25,55.26,55.56,55.08,55.46,2689700,0.0,0.0
2015-02-26,55.54,55.69,54.86,55.64,2964900,0.0,0.0
2015-02-27,55.62,56.19,55.62,56.15,2306200,0.0,0.0
2015-03-02,56.29,57.42,56.13,57.34,2030700,0.0,0.0
2015-03-03,57.28,58.14,56.57,58.14,4133000,0.0,0.0
2015-03-04,57.92,57.94,56.61,57.52,4532100,0.0,0.0
2015-03-05,57.54,58.26,57.48,57.66,1934800,0.0,0.0
2015-03-06,57.2,57.4,56.05,56.09,2665000,0.0,0.0
2015-03-09,56.41,56.41,55.83,56.17,1806500,0.0,0.0
2015-03-10,55.36,55.85,54.98,55.44,2936500,0.0,0.0
2015-03-11,55.36,55.85,55.26,55.69,2876900,0.0,0.0
2015-03-12,56.05,57.22,56.05,56.23,2314600,0.0,0.0
2015-03-13,56.15,56.43,55.56,55.91,3998600,0.0,0.0
2015-03-16,56.17,57.8,56.17,57.56,2623500,0.0,0.0
2015-03-17,57.4,57.6,57.01,57.38,1725500,0.0,0.0
2015-03-18,57.3,58.26,56.91,58.2,1586800,0.0,0.0
2015-03-19,57.98,58.61,57.92,58.52,1693700,0.0,0.0
