Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.26,14.45,14.14,14.34,2020800,0,0
2009-12-08,14.23,14.24,13.93,14.08,3019000,0,0
2009-12-09,14.02,14.13,13.85,14.09,1695800,0,0
2009-12-10,14.1,14.4,14.1,14.29,1654100,0,0
2009-12-11,14.36,14.44,14.25,14.35,1579600,0,0
2009-12-14,14.47,14.5,14.07,14.1,2426100,0,0
2009-12-15,14.1,14.31,13.93,13.99,4099200,0,0
2009-12-16,14.01,14.1,13.91,13.94,2065800,0,0
2009-12-17,13.86,13.91,13.47,13.48,4843600,0,0
2009-12-18,13.47,13.69,13.26,13.66,6409600,0,0
2009-12-21,13.73,14.09,13.68,14.07,2898300,0,0
2009-12-22,14.11,14.74,14.07,14.73,4401900,0,0
2009-12-23,14.73,14.8,14.45,14.7,2542700,0,0
2009-12-24,14.7,14.96,14.56,14.88,968600,0,0
2009-12-28,14.9,14.99,14.52,14.71,3303100,0,0
2009-12-29,14.72,14.74,14.58,14.63,1686100,0,0
2009-12-30,14.57,14.75,14.47,14.59,1309800,0,0
2009-12-31,14.65,14.71,14.46,14.5,1595800,0,0
2010-01-04,14.69,14.99,14.67,14.94,4011600,0,0
2010-01-05,14.95,14.97,14.8,14.94,2211800,0,0
2010-01-06,14.88,15.04,14.8,15.01,3313500,0,0
2010-01-07,14.99,15.05,14.81,14.99,2683300,0,0
2010-01-08,14.97,15.04,14.86,14.97,1658500,0,0
2010-01-11,14.94,14.98,14.74,14.94,1623100,0,0
2010-01-12,14.79,15.05,14.76,14.92,3089600,0,0
2010-01-13,14.97,15.31,14.97,15.17,2939300,0,0
2010-01-14,15.07,15.34,15.03,15.31,1382600,0,0
2010-01-15,15.17,15.57,15.1,15.38,5256200,0,0
2010-01-19,15.44,16.0,15.44,15.94,5783100,0,0
2010-01-20,15.82,15.89,15.4,15.63,3506100,0,0
2010-01-21,15.66,15.86,15.54,15.8,4642600,0,0
2010-01-22,15.82,16.19,15.74,15.79,4354500,0,0
2010-01-25,15.88,16.02,15.76,15.83,3154400,0,0
2010-01-26,15.74,15.88,15.59,15.63,4108500,0,0
2010-01-27,15.79,15.83,15.23,15.35,3743600,0,0
2010-01-28,15.34,15.34,14.84,15.08,5384800,0,0
2010-01-29,15.12,15.31,15.06,15.07,3172700,0,0
2010-02-01,14.93,15.28,14.93,15.25,4235600,0,0
2010-02-02,16.16,16.84,15.86,16.58,17807500,0,0
2010-02-03,16.5,16.64,16.4,16.45,4963200,0,0
2010-02-04,16.36,16.47,16.16,16.2,4564400,0,0
2010-02-05,16.24,16.27,15.64,15.99,3468700,0,0
2010-02-08,16.0,16.1,15.83,16.0,2683300,0,0
2010-02-09,16.2,16.36,15.98,16.03,2934400,0,0
2010-02-10,16.01,16.22,15.95,16.03,3198200,0,0
2010-02-11,15.97,16.23,15.89,16.11,3634400,0,0
2010-02-12,15.99,16.06,15.85,16.0,2785200,0,0
2010-02-16,16.06,16.16,15.88,16.09,5324400,0,0
2010-02-17,16.13,16.17,15.93,16.07,4235100,0,0
2010-02-18,16.15,16.25,16.12,16.24,2663800,0,0
2010-02-19,16.28,16.3,16.03,16.11,3229100,0,0
2010-02-22,15.71,16.21,15.71,16.19,2493400,0,0
2010-02-23,16.18,16.29,16.04,16.16,4279200,0,0
2010-02-24,16.25,16.58,16.25,16.57,4370500,0,0
2010-02-25,16.38,17.02,16.35,16.93,7577300,0,0
2010-02-26,16.99,17.31,16.91,17.25,5053500,0,0
2010-03-01,17.35,17.6,17.28,17.35,5051600,0,0
2010-03-02,17.28,17.42,17.28,17.37,4156000,0,0
2010-03-03,17.4,17.44,17.14,17.15,3860000,0,0
2010-03-04,17.25,17.27,17.06,17.11,3044400,0,0
2010-03-05,17.09,17.45,17.06,17.41,2081600,0,0
2010-03-08,17.41,17.54,17.3,17.52,2332300,0,0
2010-03-09,17.39,17.56,17.34,17.42,1675200,0,0
2010-03-10,17.36,17.65,17.3,17.55,4134700,0,0
2010-03-11,17.47,19.56,17.4,19.28,23730200,0,0
2010-03-12,19.33,19.37,18.39,18.64,14793700,0,0
2010-03-15,18.64,19.42,18.61,19.38,7393900,0,0
2010-03-16,19.35,19.72,19.08,19.18,4135600,0,0
2010-03-17,19.3,19.45,18.99,19.07,3067700,0,0
2010-03-18,19.05,19.68,19.0,19.56,4777200,0,0
2010-03-19,19.63,19.65,18.63,18.67,8233900,0,0
2010-03-22,18.43,18.97,18.33,18.77,4737600,0,0
2010-03-23,18.8,19.01,18.56,18.83,3379500,0,0
2010-03-24,18.83,18.92,18.59,18.67,1797600,0,0
2010-03-25,18.84,18.87,18.5,18.52,3506700,0,0
2010-03-26,18.64,18.65,18.19,18.26,2262500,0,0
2010-03-29,18.62,18.62,18.22,18.41,2473400,0,0
2010-03-30,18.47,18.52,18.23,18.34,1762700,0,0
2010-03-31,18.34,18.84,18.3,18.54,4013200,0,0
2010-04-01,18.78,18.85,18.4,18.53,3163100,0,0
2010-04-05,18.54,18.65,18.31,18.34,3733000,0,0
2010-04-06,18.32,18.42,17.99,18.03,6771800,0,0
2010-04-07,17.96,18.08,17.49,17.57,5964200,0,0
2010-04-08,17.55,17.6,17.24,17.56,4854400,0,0
2010-04-09,17.51,17.88,17.5,17.75,3479800,0,0
2010-04-12,17.73,17.83,17.54,17.56,2359900,0,0
2010-04-13,17.55,17.83,17.42,17.78,5249100,0,0
2010-04-14,17.78,18.36,17.7,18.33,4529500,0,0
2010-04-15,18.33,18.39,18.17,18.27,3022600,0,0
2010-04-16,18.25,18.39,18.1,18.14,4239300,0,0
2010-04-19,18.04,18.22,17.9,18.11,3108500,0,0
2010-04-20,18.28,18.32,18.0,18.22,2991000,0,0
2010-04-21,18.33,18.33,17.99,18.16,2754000,0,0
2010-04-22,18.13,18.3,17.94,18.19,2416700,0,0
2010-04-23,18.25,18.38,18.04,18.28,2469500,0,0
2010-04-26,18.35,18.72,18.01,18.02,3456500,0,0
2010-04-27,18.02,18.57,17.93,17.94,3477900,0,0
2010-04-28,18.1,18.2,17.94,18.02,2415300,0,0
2010-04-29,18.04,18.13,17.75,17.76,4540300,0,0
2010-04-30,17.92,18.21,17.77,17.88,3508900,0,0
2010-05-03,17.92,18.14,17.73,18.11,3284200,0,0
2010-05-04,17.14,17.14,15.89,16.01,13177400,0,0
2010-05-05,15.9,16.34,15.86,16.25,6225300,0,0
2010-05-06,16.39,16.66,15.25,16.01,6991500,0,0
2010-05-07,16.06,16.07,15.29,15.82,6664000,0,0
2010-05-10,16.42,16.54,16.05,16.21,4362600,0,0
2010-05-11,16.14,16.35,16.05,16.17,2852900,0,0
2010-05-12,16.13,16.43,16.03,16.4,2660300,0,0
2010-05-13,16.33,16.4,16.16,16.23,1766400,0,0
2010-05-14,16.15,16.28,15.69,15.78,2564700,0,0
2010-05-17,15.83,15.94,15.5,15.78,2849600,0,0
2010-05-18,15.87,15.96,15.52,15.63,3562100,0,0
2010-05-19,15.65,15.92,15.49,15.61,2992600,0,0
2010-05-20,15.33,15.41,14.83,14.84,4815600,0,0
2010-05-21,14.64,15.09,14.43,15.08,5861300,0,0
2010-05-24,14.95,15.29,14.4,15.0,3071400,0,0
2010-05-25,14.77,14.91,14.31,14.91,5190200,0,0
2010-05-26,14.93,15.24,14.58,14.92,5242300,0,0
2010-05-27,15.19,15.31,14.79,14.96,3809200,0,0
2010-05-28,14.72,15.04,14.59,14.9,2256200,0,0
2010-06-01,14.9,15.1,14.63,14.63,2257200,0,0
2010-06-02,14.71,14.8,14.55,14.72,4185000,0,0
2010-06-03,15.03,15.34,14.87,15.27,7678000,0,0
2010-06-04,14.91,15.2,14.72,14.78,3224000,0,0
2010-06-07,14.8,14.94,14.4,14.41,2653000,0,0
2010-06-08,14.38,14.6,13.85,14.0,5599400,0,0
2010-06-09,14.15,14.37,13.98,14.01,4383900,0,0
2010-06-10,14.16,14.43,14.12,14.2,5514400,0,0
2010-06-11,14.04,14.58,13.97,14.57,5715300,0,0
2010-06-14,14.59,14.86,14.57,14.67,3233200,0,0
2010-06-15,14.81,14.91,14.7,14.8,3263300,0,0
2010-06-16,14.73,15.06,14.69,14.98,2787700,0,0
2010-06-17,14.97,15.03,14.83,14.99,2274900,0,0
2010-06-18,14.99,15.06,14.93,14.98,2859600,0,0
2010-06-21,15.1,15.25,14.95,15.01,2103900,0,0
2010-06-22,15.01,15.24,14.86,14.89,2409600,0,0
2010-06-23,14.81,14.87,14.53,14.63,2841800,0,0
2010-06-24,14.54,14.59,14.15,14.16,4073300,0,0
2010-06-25,14.18,14.36,14.02,14.24,6270400,0,0
2010-06-28,14.21,14.43,14.06,14.06,2997800,0,0
2010-06-29,13.84,13.95,13.58,13.63,3641000,0,0
2010-06-30,13.66,14.15,13.5,13.93,5253200,0,0
2010-07-01,13.88,13.93,13.47,13.73,3283300,0,0
2010-07-02,13.75,13.9,13.53,13.64,2443800,0,0
2010-07-06,13.81,13.91,13.48,13.58,2388800,0,0
2010-07-07,13.58,14.03,13.49,14.02,1754800,0,0
2010-07-08,14.05,14.31,13.99,14.23,3328400,0,0
2010-07-09,14.0,14.11,13.74,13.99,3487300,0,0
2010-07-12,13.96,14.16,13.9,14.12,2398100,0,0
2010-07-13,14.25,14.53,14.22,14.31,2654700,0,0
2010-07-14,14.34,14.46,14.16,14.43,2451000,0,0
2010-07-15,14.47,14.58,14.28,14.57,2130800,0,0
2010-07-16,14.57,14.74,14.04,14.12,2847900,0,0
