Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,30.37,30.93,30.32,30.81,6432200,0.0,0.0
2009-12-08,30.75,30.75,30.2,30.38,4513900,0.0,0.0
2009-12-09,30.46,30.59,30.09,30.4,5762300,0.0,0.0
2009-12-10,30.67,30.9,30.41,30.44,4788800,0.0,0.0
2009-12-11,30.65,31.0,30.59,30.86,4778900,0.0,0.0
2009-12-14,31.0,31.37,30.97,31.19,5551000,0.0,0.0
2009-12-15,30.87,31.24,30.58,31.15,6417900,0.0,0.0
2009-12-16,30.96,31.33,30.47,30.48,9723700,0.0,0.0
2009-12-17,30.08,30.33,29.84,29.85,7910500,0.0,0.0
2009-12-18,29.89,30.06,29.45,29.56,10461200,0.0,0.0
2009-12-21,29.8,30.1,29.71,29.88,4992600,0.0,0.0
2009-12-22,29.99,30.12,29.83,29.9,4125300,0.0,0.0
2009-12-23,30.1,30.19,29.74,30.15,3458400,0.0,0.0
2009-12-24,30.23,30.23,30.06,30.11,993600,0.0,0.0
2009-12-28,30.16,30.19,29.96,30.06,2361600,0.0,0.0
2009-12-29,30.11,30.22,30.06,30.11,2659200,0.0,0.0
2009-12-30,29.93,30.07,29.83,30.06,2569200,0.0,0.0
2009-12-31,29.98,30.13,29.56,29.6,2923500,0.0,0.0
2010-01-04,29.91,30.49,29.81,30.47,7750500,0.0,0.0
2010-01-05,30.32,30.55,30.27,30.53,6796000,0.0,0.0
2010-01-06,30.53,30.61,30.38,30.53,6209200,0.0,0.0
2010-01-07,30.53,31.23,30.26,31.12,10266400,0.0,0.0
2010-01-08,30.9,31.86,30.8,31.8,7158300,0.0,0.0
2010-01-11,31.95,32.57,31.94,32.2,5366500,0.0,0.0
2010-01-12,32.01,32.1,31.61,31.84,4729900,0.0,0.0
2010-01-13,31.83,32.09,31.59,31.95,4298200,0.0,0.0
2010-01-14,31.89,32.26,31.8,32.14,3598200,0.0,0.0
2010-01-15,32.12,32.32,31.87,32.19,6009400,0.0,0.0
2010-01-19,32.26,32.63,32.07,32.35,5475600,0.0,0.0
2010-01-20,32.14,32.22,31.64,31.98,4842500,0.0,0.0
2010-01-21,31.98,32.1,30.72,30.75,7782500,0.0,0.0
2010-01-22,30.63,31.02,30.09,30.11,7262100,0.0,0.0
2010-01-25,30.42,30.71,30.26,30.37,3229900,0.0,0.0
2010-01-26,30.24,30.55,29.98,30.18,2911200,0.0,0.0
2010-01-27,30.32,30.49,29.78,30.4,6189000,0.0,0.0
2010-01-28,30.6,30.65,29.64,30.07,6192200,0.0,0.0
2010-01-29,29.07,29.58,28.37,29.18,15968700,0.0,0.0
2010-02-01,29.39,29.76,29.34,29.73,5390800,0.0,0.0
2010-02-02,29.77,29.9,29.49,29.84,7391100,0.0,0.0
2010-02-03,29.72,29.85,29.39,29.61,4576300,0.0,0.0
2010-02-04,29.57,29.57,28.45,28.49,10141900,0.0,0.0
2010-02-05,28.49,28.62,27.7,28.29,8936200,0.0,0.0
2010-02-08,28.34,28.34,27.79,27.84,6543000,0.0,0.0
2010-02-09,28.22,28.87,28.13,28.56,7206800,0.0,0.0
2010-02-10,28.48,28.69,28.22,28.48,4193500,0.0,0.0
2010-02-11,28.4,28.96,28.16,28.87,4640600,0.0,0.0
2010-02-12,28.54,28.69,28.19,28.59,5981200,0.0,0.0
2010-02-16,28.79,29.42,28.75,29.39,6264000,0.0,0.0
2010-02-17,29.62,29.86,29.49,29.76,4948700,0.3025,0.0
2010-02-18,29.74,30.41,29.67,30.34,5571200,0.0,0.0
2010-02-19,30.28,30.81,30.1,30.62,6097200,0.0,0.0
2010-02-22,30.77,30.83,30.45,30.56,4267300,0.0,0.0
2010-02-23,30.56,30.81,30.29,30.4,5456500,0.0,0.0
2010-02-24,30.53,31.1,30.49,30.89,5058400,0.0,0.0
2010-02-25,30.45,30.63,30.06,30.59,5920300,0.0,0.0
2010-02-26,30.59,30.78,30.38,30.57,4680300,0.0,0.0
2010-03-01,30.64,31.09,30.64,30.88,4768500,0.0,0.0
2010-03-02,30.99,31.2,30.85,30.97,4247200,0.0,0.0
2010-03-03,30.98,31.35,30.98,31.15,5817100,0.0,0.0
2010-03-04,31.19,31.38,31.02,31.35,3880200,0.0,0.0
2010-03-05,31.47,31.91,31.39,31.9,5769800,0.0,0.0
2010-03-08,31.9,31.97,31.55,31.58,3686600,0.0,0.0
2010-03-09,31.58,32.35,31.52,32.18,5812100,0.0,0.0
2010-03-10,32.1,32.35,32.05,32.23,5031800,0.0,0.0
2010-03-11,32.15,32.44,31.94,32.44,3701200,0.0,0.0
2010-03-12,32.58,32.83,32.32,32.68,5826100,0.0,0.0
2010-03-15,32.67,32.76,32.43,32.71,5144100,0.0,0.0
2010-03-16,32.84,32.87,32.47,32.76,6705400,0.0,0.0
2010-03-17,32.9,33.02,32.46,32.67,5372000,0.0,0.0
2010-03-18,32.67,33.14,32.57,33.06,5204400,0.0,0.0
2010-03-19,33.36,33.72,33.19,33.36,10167000,0.0,0.0
2010-03-22,33.15,33.49,33.05,33.16,5005800,0.0,0.0
2010-03-23,33.24,33.75,33.18,33.64,5809900,0.0,0.0
2010-03-24,33.67,34.29,33.53,33.86,8224200,0.0,0.0
2010-03-25,34.07,34.47,33.72,33.75,6320500,0.0,0.0
2010-03-26,33.82,34.25,33.76,33.95,4673400,0.0,0.0
2010-03-29,34.19,34.36,34.07,34.16,4530900,0.0,0.0
2010-03-30,34.26,34.47,33.91,34.22,5118300,0.0,0.0
2010-03-31,34.74,34.85,34.33,34.46,9356000,0.0,0.0
2010-04-01,34.64,34.9,34.04,34.28,7034100,0.0,0.0
2010-04-05,34.47,34.74,34.32,34.6,4409800,0.0,0.0
