Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,6.67,6.8,6.66,6.77,5170400,0.0,0.0
2009-12-08,6.77,6.79,6.66,6.69,3762000,0.0,0.0
2009-12-09,6.7,6.7,6.61,6.66,2372400,0.0,0.0
2009-12-10,6.7,6.75,6.67,6.68,1726400,0.0,0.0
2009-12-11,6.69,6.76,6.68,6.7,1571200,0.0,0.0
2009-12-14,6.68,6.73,6.62,6.65,2084000,0.0,0.0
2009-12-15,6.63,6.63,6.57,6.59,2323600,0.0,0.0
2009-12-16,6.62,6.66,6.57,6.58,1816400,0.0,0.0
2009-12-17,6.59,6.59,6.51,6.52,1620800,0.0,0.0
2009-12-18,6.56,6.56,6.49,6.55,2443200,0.0,0.0
2009-12-21,6.53,6.62,6.53,6.56,1430400,0.0,0.0
2009-12-22,6.55,6.61,6.55,6.61,2103600,0.0,0.0
2009-12-23,6.6,6.64,6.6,6.6,1963600,0.0,0.0
2009-12-24,6.62,6.75,6.61,6.73,1091200,0.0,0.0
2009-12-28,6.75,6.75,6.72,6.74,1322800,0.0,0.0
2009-12-29,6.74,6.76,6.72,6.74,1322000,0.0,0.0
2009-12-30,6.72,6.76,6.7,6.72,1028000,0.0,0.0
2009-12-31,6.72,6.75,6.67,6.67,926000,0.0,0.0
2010-01-04,6.69,6.69,6.61,6.64,2705200,0.0,0.0
2010-01-05,6.65,6.68,6.6,6.68,1854400,0.0,0.0
2010-01-06,6.7,6.73,6.62,6.64,2583200,0.0,0.0
2010-01-07,6.66,6.66,6.56,6.61,2227200,0.0,0.0
2010-01-08,6.58,6.63,6.56,6.61,1298800,0.0,0.0
2010-01-11,6.61,6.65,6.6,6.62,1304800,0.0,0.0
2010-01-12,6.62,6.71,6.6,6.69,1262800,0.0,0.0
2010-01-13,6.71,6.77,6.7,6.73,1285600,0.0,0.0
2010-01-14,6.71,6.73,6.66,6.73,1430000,0.0,0.0
2010-01-15,6.73,6.73,6.67,6.69,1252800,0.0,0.0
2010-01-19,6.7,6.76,6.68,6.75,1745200,0.0,0.0
2010-01-20,6.81,6.83,6.75,6.83,1169200,0.21,0.0
2010-01-21,6.85,6.92,6.79,6.84,2625600,0.0,0.0
2010-01-22,6.84,6.91,6.83,6.85,1940800,0.0,0.0
2010-01-25,6.88,6.92,6.82,6.85,1884400,0.0,0.0
2010-01-26,6.85,6.87,6.79,6.86,1164800,0.0,0.0
2010-01-27,6.88,6.92,6.85,6.9,1581600,0.0,0.0
2010-01-28,6.89,6.9,6.81,6.86,1787200,0.0,0.0
2010-01-29,6.89,6.92,6.84,6.87,1996800,0.0,0.0
2010-02-01,6.89,6.95,6.85,6.94,2498800,0.0,0.0
2010-02-02,6.93,7.04,6.93,7.03,2017200,0.0,0.0
2010-02-03,7.0,7.03,6.96,7.0,1518400,0.0,0.0
2010-02-04,6.96,6.98,6.88,6.89,1852000,0.0,0.0
2010-02-05,6.9,6.93,6.85,6.92,2098800,0.0,0.0
2010-02-08,6.94,6.95,6.89,6.89,1730000,0.0,0.0
2010-02-09,6.92,7.0,6.9,6.96,1414000,0.0,0.0
2010-02-10,7.0,7.04,6.94,7.03,1916000,0.0,0.0
2010-02-11,7.01,7.06,6.93,7.06,1276000,0.0,0.0
2010-02-12,7.01,7.05,6.97,7.04,2121200,0.0,0.0
2010-02-16,7.06,7.15,7.02,7.14,2831200,0.0,0.0
2010-02-17,7.14,7.23,7.14,7.2,2933200,0.0,0.0
2010-02-18,7.57,7.57,7.42,7.5,7535600,0.0,0.0
2010-02-19,7.39,7.45,7.24,7.37,5826400,0.0,0.0
2010-02-22,7.41,7.43,7.34,7.38,2711600,0.0,0.0
2010-02-23,7.38,7.42,7.3,7.31,3058400,0.0,0.0
2010-02-24,7.31,7.38,7.31,7.35,2748000,0.0,0.0
2010-02-25,7.28,7.33,7.25,7.31,2755200,0.0,0.0
2010-02-26,7.33,7.35,7.26,7.29,2124400,0.0,0.0
2010-03-01,7.33,7.38,7.3,7.33,1599600,0.0,0.0
2010-03-02,7.37,7.44,7.33,7.42,2898800,0.0,0.0
2010-03-03,7.31,7.4,7.23,7.34,2535200,0.0,0.0
