Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,28.29,28.38,28.15,28.26,1159100,0.0,0
2009-12-08,28.18,28.22,27.77,28.0,872700,0.0,0
2009-12-09,28.05,28.05,27.69,27.8,955100,0.0,0
2009-12-10,27.95,28.26,27.9,28.0,1034100,0.0,0
2009-12-11,28.12,28.72,28.12,28.34,1325500,0.0,0
2009-12-14,28.92,28.92,28.4,28.43,1014600,0.0,0
2009-12-15,28.53,28.56,28.33,28.39,929600,0.0,0
2009-12-16,28.44,28.64,28.35,28.4,959700,0.0,0
2009-12-17,28.38,28.38,27.94,28.07,950200,0.0,0
2009-12-18,28.07,28.27,27.58,27.77,1699800,0.0,0
2009-12-21,27.74,28.09,27.74,27.97,745400,0.0,0
2009-12-22,27.96,28.48,27.93,28.48,1097700,0.0,0
2009-12-23,28.52,28.68,28.37,28.61,476100,0.0,0
2009-12-24,28.61,28.72,28.48,28.7,190700,0.0,0
2009-12-28,28.63,28.78,28.57,28.78,448900,0.0,0
2009-12-29,28.81,28.88,28.63,28.63,572300,0.0,0
2009-12-30,28.54,28.71,28.41,28.71,455500,0.0,0
2009-12-31,28.77,28.77,28.15,28.16,607600,0.0,0
2010-01-04,28.33,28.53,28.14,28.5,1048000,0.0,0
2010-01-05,28.52,29.83,28.33,29.25,3828900,0.0,0
2010-01-06,29.37,29.53,28.92,29.0,1492400,0.0,0
2010-01-07,29.13,29.13,28.61,28.71,1148300,0.0,0
2010-01-08,28.76,28.82,28.48,28.63,836600,0.0,0
2010-01-11,28.66,28.66,28.19,28.47,1257400,0.0,0
2010-01-12,28.48,29.74,28.44,29.7,2368700,0.0,0
2010-01-13,29.4,29.94,28.69,28.81,4881000,0.0,0
2010-01-14,28.9,29.18,28.73,29.08,1765300,0.0,0
2010-01-15,28.83,29.0,28.3,28.52,1959300,0.0,0
2010-01-19,29.32,29.91,29.32,29.39,3543800,0.0,0
2010-01-20,29.37,29.37,28.89,29.18,1827600,0.0,0
2010-01-21,29.38,29.38,28.47,28.48,2642200,0.0,0
2010-01-22,28.74,29.03,28.41,28.55,1648800,0.0,0
2010-01-25,28.64,28.97,28.44,28.68,1876100,0.0,0
2010-01-26,28.29,28.76,28.29,28.72,2754900,0.0,0
2010-01-27,28.66,29.39,28.64,29.34,2956700,0.0,0
2010-01-28,29.34,29.41,28.98,29.22,1950900,0.0,0
2010-01-29,29.27,29.29,28.66,28.66,2409800,0.0,0
2010-02-01,28.79,28.96,28.37,28.96,2235200,0.0,0
2010-02-02,29.78,29.87,29.07,29.27,2704500,0.0,0
2010-02-03,29.29,29.56,29.07,29.23,1416200,0.0,0
2010-02-04,29.12,29.24,28.92,29.03,2432000,0.0,0
2010-02-05,28.98,29.51,28.93,29.39,2325600,0.0,0
2010-02-08,29.48,29.48,29.03,29.07,1472300,0.0,0
2010-02-09,29.3,29.4,29.15,29.27,1694000,0.0,0
2010-02-10,29.17,29.33,28.92,29.29,1231300,0.0,0
2010-02-11,29.29,29.47,28.99,29.43,1341600,0.0,0
