Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.53,16.53,16.13,16.41,5057000,0.0,0.0
2009-12-08,16.36,16.58,16.28,16.57,3745000,0.0,0.0
2009-12-09,16.57,16.71,16.39,16.62,3660000,0.0,0.0
2009-12-10,16.39,17.04,16.39,16.72,4689500,0.0,0.0
2009-12-11,16.91,17.35,16.8,17.27,5666000,0.0,0.0
2009-12-14,17.36,17.41,17.09,17.31,4132500,0.0,0.0
2009-12-15,17.18,17.23,16.79,16.84,4622500,0.0,0.0
2009-12-16,16.91,16.96,16.7,16.87,2646500,0.0,0.0
2009-12-17,16.78,16.92,16.73,16.81,3750500,0.0,0.0
2009-12-18,16.88,16.98,16.45,16.83,5459500,0.0,0.0
2009-12-21,16.79,17.16,16.79,17.05,3005000,0.0,0.0
2009-12-22,17.09,17.44,17.04,17.4,2835000,0.0,0.0
2009-12-23,17.42,17.42,17.13,17.18,2514000,0.0,0.0
2009-12-24,17.18,17.31,17.13,17.3,494000,0.0,0.0
2009-12-28,17.39,17.92,17.31,17.75,5088000,0.0,0.0
2009-12-29,17.75,17.98,17.65,17.76,3251500,0.0,0.0
2009-12-30,17.71,18.13,17.61,17.88,3831500,0.0,0.0
2009-12-31,17.86,17.94,17.69,17.72,2215500,0.0,0.0
2010-01-04,17.84,17.9,17.65,17.81,3637000,0.0,0.0
2010-01-05,17.67,17.67,17.0,17.14,7804000,0.0,0.0
2010-01-06,16.91,17.12,16.51,16.61,9618000,0.0,0.0
2010-01-07,16.53,17.13,16.49,17.06,6298500,0.0,0.0
2010-01-08,16.99,17.45,16.84,17.11,6318000,0.0,0.0
2010-01-11,17.17,17.32,16.99,17.12,3100000,0.0,0.0
2010-01-12,17.02,17.19,16.53,16.68,7038500,0.0,0.0
2010-01-13,16.74,17.08,16.63,16.98,5804000,0.0,0.0
2010-01-14,16.97,17.46,16.88,17.29,4959500,0.0,0.0
2010-01-15,17.26,17.36,16.88,16.88,4206500,0.0,0.0
2010-01-19,16.86,17.3,16.78,17.21,4762500,0.0,0.0
2010-01-20,17.09,17.16,16.78,16.98,4676000,0.0,0.0
2010-01-21,17.0,17.07,16.01,16.34,11066000,0.0,0.0
2010-01-22,16.29,16.5,15.75,15.8,10386500,0.0,0.0
2010-01-25,16.35,16.48,15.92,15.92,5574500,0.0,0.0
2010-01-26,15.84,15.84,15.02,15.04,11907500,0.0,0.0
2010-01-27,15.24,15.36,14.75,15.31,11118500,0.0,0.0
2010-01-28,15.41,15.42,14.91,15.04,6062000,0.0,0.0
2010-01-29,15.19,15.62,14.94,15.06,7461500,0.0,0.0
2010-02-01,15.2,15.5,14.97,15.45,5944500,0.0,0.0
2010-02-02,15.49,15.85,15.39,15.62,5744000,0.0,0.0
2010-02-03,15.72,16.04,15.68,15.75,4853000,0.0,0.0
2010-02-04,15.63,15.63,14.83,15.08,9605500,0.0,0.0
2010-02-05,15.09,15.54,14.9,15.53,6857500,0.0,0.0
2010-02-08,15.69,15.88,15.31,15.31,8118000,0.0,0.0
2010-02-09,15.5,15.74,15.33,15.6,6248500,0.0,0.0
2010-02-10,15.23,15.45,14.9,15.09,11035500,0.0,0.0
2010-02-11,15.28,15.83,15.25,15.69,6733000,0.0,0.0
2010-02-12,15.57,15.9,15.51,15.86,4822500,0.0,0.0
2010-02-16,15.98,16.46,15.95,16.43,6140000,0.0,0.0
2010-02-17,16.47,16.52,16.03,16.22,5536500,0.0,0.0
2010-02-18,16.21,16.32,16.03,16.15,3133500,0.0,0.0
2010-02-19,16.04,16.42,16.03,16.33,5828000,0.0,0.0
2010-02-22,16.38,16.44,16.18,16.21,3766500,0.0,0.0
2010-02-23,16.12,16.36,16.07,16.12,4339000,0.0,0.0
2010-02-24,16.19,16.49,16.17,16.44,4109500,0.0,0.0
2010-02-25,16.18,16.64,16.07,16.58,4361000,0.0,0.0
2010-02-26,16.63,16.95,16.51,16.93,4721000,0.0,0.0
2010-03-01,16.92,17.11,16.77,17.05,3943000,0.0,0.0
2010-03-02,17.1,17.3,16.97,17.07,5128000,0.0,0.0
2010-03-03,17.1,17.22,16.9,16.93,4201500,0.0,0.0
2010-03-04,16.93,17.26,16.91,17.19,4111500,0.0,0.0
2010-03-05,17.27,17.32,17.09,17.26,4078500,0.0,0.0
2010-03-08,17.24,17.42,17.08,17.39,2684500,0.0,0.0
2010-03-09,17.34,17.39,17.19,17.31,4824500,0.0,0.0
2010-03-10,17.33,17.41,17.07,17.35,4408000,0.0,0.0
2010-03-11,17.32,17.67,17.26,17.61,3558000,0.0,0.0
2010-03-12,17.67,17.76,17.22,17.39,4762000,0.0,0.0
2010-03-15,17.13,17.23,16.88,17.18,3415000,0.0,0.0
2010-03-16,17.2,17.27,17.03,17.15,2029000,0.0,0.0
2010-03-17,17.23,17.4,17.16,17.27,2911500,0.0,0.0
2010-03-18,17.33,17.58,17.13,17.28,3108000,0.0,0.0
2010-03-19,17.05,17.42,16.99,17.05,4318000,0.0,0.0
