Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.13,27.3,26.88,27.09,1639500,0.0,0
2009-12-08,26.87,27.06,26.52,26.83,2805400,0.0,0
2009-12-09,26.75,27.23,26.58,27.21,2897000,0.0,0
2009-12-10,27.21,27.56,27.12,27.48,3245000,0.0,0
2009-12-11,27.61,27.67,27.06,27.23,3148100,0.0,0
2009-12-14,27.45,27.85,27.37,27.81,3098400,0.0,0
2009-12-15,27.59,27.86,27.56,27.66,2867600,0.0,0
2009-12-16,27.66,27.81,27.65,27.66,3358300,0.0,0
2009-12-17,27.56,27.65,27.31,27.53,3107600,0.0,0
2009-12-18,27.55,27.91,27.51,27.88,6092600,0.0,0
2009-12-21,27.94,28.17,27.93,28.06,2201500,0.0,0
2009-12-22,27.99,28.28,27.96,28.12,1950000,0.0,0
2009-12-23,28.07,28.18,27.95,28.13,1571200,0.0,0
2009-12-24,28.13,28.36,27.99,28.31,727800,0.0,0
2009-12-28,28.26,28.41,28.17,28.37,1453700,0.0,0
2009-12-29,28.33,28.41,28.16,28.33,1265100,0.0,0
2009-12-30,28.22,28.6,28.22,28.42,1500600,0.0,0
2009-12-31,28.42,28.47,28.1,28.12,1303700,0.0,0
2010-01-04,28.45,28.51,28.16,28.19,2353000,0.0,0
2010-01-05,28.15,28.28,27.83,28.19,3142100,0.0,0
2010-01-06,28.06,28.23,27.75,27.8,2884400,0.0,0
2010-01-07,27.72,28.0,27.56,27.71,3100300,0.0,0
2010-01-08,27.76,28.48,27.56,28.44,4249700,0.0,0
2010-01-11,28.3,28.74,28.3,28.57,4011700,0.0,0
2010-01-12,28.36,28.74,28.26,28.57,2969100,0.0,0
2010-01-13,28.69,29.0,28.55,28.9,2618300,0.0,0
2010-01-14,29.0,29.17,28.75,29.08,2617000,0.0,0
2010-01-15,29.03,29.26,28.45,28.79,3835100,0.0,0
2010-01-19,28.72,29.21,28.64,29.04,2161500,0.0,0
2010-01-20,28.85,28.95,28.14,28.57,2720100,0.0,0
2010-01-21,28.56,28.74,28.06,28.22,3110400,0.0,0
2010-01-22,28.19,28.35,27.51,27.55,2590200,0.0,0
2010-01-25,27.64,27.96,27.51,27.78,2774200,0.0,0
2010-01-26,27.71,27.9,27.44,27.48,4020100,0.0,0
2010-01-27,27.35,27.53,27.11,27.46,4070400,0.0,0
2010-01-28,27.28,27.52,26.9,27.14,3816100,0.0,0
2010-01-29,27.35,27.45,27.02,27.1,3805600,0.0,0
2010-02-01,27.01,27.55,27.01,27.37,2725100,0.0,0
2010-02-02,27.34,27.48,27.12,27.42,3239300,0.0,0
2010-02-03,27.25,27.59,27.2,27.44,2128300,0.0,0
2010-02-04,27.36,27.41,26.78,26.78,3174200,0.0,0
2010-02-05,26.89,27.18,26.57,26.94,4337100,0.0,0
2010-02-08,26.9,27.04,26.64,26.87,2227700,0.0,0
2010-02-09,27.03,27.19,26.56,26.82,3877000,0.0,0
2010-02-10,26.72,26.95,26.6,26.9,2102700,0.0,0
2010-02-11,26.81,27.16,26.54,27.09,2460700,0.0,0
2010-02-12,26.59,26.95,26.58,26.9,2794600,0.0,0
2010-02-16,26.97,27.27,26.78,27.26,2013900,0.0,0
2010-02-17,27.31,27.44,27.06,27.37,2483500,0.0,0
2010-02-18,27.42,27.77,27.34,27.75,2737500,0.0,0
2010-02-19,29.51,30.34,29.47,29.94,9866000,0.0,0
2010-02-22,29.83,30.04,29.46,29.61,4738500,0.0,0
2010-02-23,29.5,29.72,28.9,29.17,5932500,0.0,0
2010-02-24,29.23,29.64,29.21,29.53,4724600,0.0,0
2010-02-25,29.1,29.85,29.02,29.7,5224800,0.0,0
2010-02-26,29.73,29.73,29.43,29.61,3049700,0.0,0
2010-03-01,29.59,30.15,29.55,30.11,2811000,0.0,0
2010-03-02,29.99,30.46,29.97,30.32,4445000,0.0,0
2010-03-03,30.26,30.62,30.23,30.39,3484000,0.0,0
2010-03-04,30.46,30.65,30.16,30.59,3097000,0.0,0
2010-03-05,30.53,31.05,30.53,31.03,3588200,0.0,0
2010-03-08,30.92,31.11,30.88,31.1,2938800,0.0,0
2010-03-09,30.89,31.12,30.89,31.07,3283200,0.0,0
2010-03-10,31.07,31.62,30.99,31.54,4693900,0.0,0
2010-03-11,31.34,31.62,31.34,31.61,2652700,0.0,0
2010-03-12,31.46,31.73,31.41,31.67,2660700,0.0,0
2010-03-15,31.52,31.73,31.52,31.7,1812400,0.0,0
2010-03-16,31.71,31.8,31.55,31.7,2495800,0.0,0
2010-03-17,31.58,31.88,31.37,31.6,3349800,0.0,0
2010-03-18,31.49,31.86,31.48,31.71,2769500,0.0,0
2010-03-19,31.8,32.0,31.43,31.67,4131100,0.0,0
2010-03-22,31.43,31.97,31.43,31.94,2891400,0.0,0
2010-03-23,31.82,31.88,31.5,31.66,2440300,0.0,0
2010-03-24,31.63,31.9,31.63,31.79,3436200,0.0,0
2010-03-25,31.85,31.93,31.48,31.48,3036900,0.0,0
2010-03-26,31.49,31.69,31.17,31.33,2977400,0.0,0
2010-03-29,31.32,31.56,31.21,31.41,2821200,0.0,0
2010-03-30,31.49,31.58,31.29,31.44,2092900,0.0,0
2010-03-31,31.32,31.64,31.27,31.41,2393700,0.0,0
2010-04-01,31.45,31.94,31.25,31.58,2344700,0.0,0
2010-04-05,31.62,31.96,31.51,31.92,1537200,0.0,0
2010-04-06,31.9,32.03,31.83,32.0,2368600,0.0,0
2010-04-07,31.93,31.93,31.5,31.64,2212600,0.0,0
2010-04-08,31.64,31.64,31.24,31.58,2332100,0.0,0
2010-04-09,31.54,31.6,31.36,31.6,2233000,0.0,0
2010-04-12,31.56,31.71,31.46,31.6,2696200,0.0,0
2010-04-13,31.34,32.11,31.34,32.08,3396700,0.0,0
2010-04-14,31.98,32.2,31.91,32.18,2817100,0.0,0
2010-04-15,32.01,32.42,31.93,32.35,3241800,0.0,0
2010-04-16,32.26,32.57,32.22,32.46,4682100,0.0,0
2010-04-19,32.31,32.46,32.16,32.31,4472000,0.0,0
2010-04-20,32.34,32.49,32.26,32.42,3612100,0.0,0
2010-04-21,32.42,32.72,32.28,32.69,2578600,0.0,0
2010-04-22,32.53,32.94,32.24,32.94,2582200,0.0,0
2010-04-23,32.81,33.15,32.56,33.12,2419600,0.0,0
2010-04-26,33.05,33.25,32.91,33.11,1745600,0.0,0
2010-04-27,33.08,33.34,32.68,32.72,3503800,0.0,0
2010-04-28,32.83,33.05,32.66,32.74,2416900,0.0,0
2010-04-29,32.81,33.24,32.62,33.1,1943700,0.0,0
2010-04-30,33.26,33.32,32.92,33.12,3356800,0.0,0
2010-05-03,33.64,34.34,33.59,34.18,6140100,0.0,0
2010-05-04,33.81,33.92,32.72,33.03,3862500,0.0,0
2010-05-05,33.26,33.58,33.07,33.53,3792800,0.0,0
2010-05-06,33.35,33.49,31.11,32.22,5085200,0.0,0
2010-05-07,32.19,32.36,31.12,31.12,6592200,0.0,0
2010-05-10,32.08,32.86,31.93,32.68,3542800,0.0,0
2010-05-11,32.53,33.33,32.19,32.91,3662300,0.0,0
2010-05-12,32.88,33.98,32.74,33.91,3502600,0.0,0
2010-05-13,33.64,33.91,33.23,33.26,3268000,0.0,0
2010-05-14,33.1,33.12,32.3,32.51,5117900,0.0,0
2010-05-17,32.72,33.13,32.43,33.01,4826400,0.0,0
2010-05-18,33.91,34.08,33.42,33.49,6251900,0.0,0
2010-05-19,33.48,33.69,32.39,32.55,6399200,0.0,0
2010-05-20,32.02,32.22,30.76,30.89,8803700,0.0,0
2010-05-21,30.47,32.28,30.42,32.04,10993000,0.0,0
2010-05-24,31.9,32.15,31.14,31.59,5291500,0.0,0
2010-05-25,30.56,31.86,30.56,31.86,6815500,0.0,0
2010-05-26,31.92,32.07,31.39,31.5,6399800,0.0,0
2010-05-27,31.9,32.68,31.8,32.64,5422000,0.0,0
2010-05-28,32.46,32.99,32.25,32.71,5660300,0.0,0
2010-06-01,32.5,32.86,32.17,32.25,4620600,0.0,0
2010-06-02,32.33,33.39,32.02,33.34,5704300,0.0,0
2010-06-03,33.26,33.86,33.09,33.74,3919600,0.0,0
2010-06-04,33.26,33.27,32.35,32.4,5076800,0.0,0
2010-06-07,32.51,32.79,31.83,31.86,3738200,0.0,0
2010-06-08,31.85,32.35,31.58,32.26,5037800,0.0,0
2010-06-09,32.44,32.72,32.07,32.16,3473400,0.0,0
2010-06-10,32.44,33.05,32.23,33.03,3520600,0.0,0
2010-06-11,32.54,33.28,32.54,33.24,2958600,0.0,0
2010-06-14,33.34,33.84,33.23,33.45,3092300,0.0,0
2010-06-15,33.59,34.27,33.59,34.26,3390000,0.0,0
2010-06-16,33.93,34.7,33.91,34.35,3889900,0.0,0
2010-06-17,34.32,34.56,34.08,34.53,3130000,0.0,0
2010-06-18,34.54,34.66,34.16,34.37,3905600,0.0,0
2010-06-21,34.46,34.68,33.88,34.04,2898200,0.0,0
2010-06-22,34.04,34.6,33.58,33.65,3182900,0.0,0
2010-06-23,33.77,33.91,33.4,33.62,2722500,0.0,0
2010-06-24,33.4,33.59,32.94,33.17,2975300,0.0,0
2010-06-25,33.19,33.61,32.97,33.26,6615600,0.0,0
2010-06-28,33.22,33.23,32.79,32.97,3782800,0.0,0
2010-06-29,32.71,32.71,31.81,32.01,5837900,0.0,0
2010-06-30,31.9,32.26,31.7,31.82,3618400,0.0,0
2010-07-01,31.84,31.95,31.11,31.64,5432900,0.0,0
2010-07-02,31.63,31.75,31.17,31.39,2873000,0.0,0
2010-07-06,31.89,32.07,31.43,31.83,3792600,0.0,0
2010-07-07,32.08,32.97,31.89,32.92,4333700,0.0,0
2010-07-08,33.04,33.1,32.53,32.87,2980600,0.0,0
2010-07-09,32.9,33.3,32.76,33.2,1992100,0.0,0
2010-07-12,33.14,33.47,33.03,33.45,2649500,0.0,0
2010-07-13,33.68,34.45,33.68,34.28,3185400,0.0,0
2010-07-14,34.42,34.51,33.78,34.09,3508300,0.0,0
2010-07-15,33.95,34.39,33.78,34.33,2704300,0.0,0
2010-07-16,34.29,34.29,33.45,33.5,3649200,0.0,0
2010-07-19,33.51,33.92,33.48,33.86,2492600,0.0,0
2010-07-20,33.31,34.51,33.25,34.42,3464500,0.0,0
2010-07-21,34.52,34.77,34.05,34.23,3744800,0.0,0
2010-07-22,34.51,35.2,34.32,34.76,4195800,0.0,0
2010-07-23,34.57,35.43,34.55,35.37,2870300,0.0,0
2010-07-26,35.59,36.04,35.33,36.04,3145100,0.0,0
2010-07-27,36.02,36.49,35.92,36.2,3005400,0.0,0
2010-07-28,36.2,36.55,36.11,36.22,2901800,0.0,0
2010-07-29,36.22,36.6,35.81,36.22,3654700,0.0,0
2010-07-30,35.87,36.59,35.74,36.38,3205400,0.0,0
2010-08-02,36.58,36.94,36.38,36.81,3179000,0.0,0
2010-08-03,36.58,37.04,36.49,36.86,2107100,0.0,0
2010-08-04,36.82,37.39,36.81,37.31,2850500,0.0,0
2010-08-05,36.93,37.2,36.79,37.0,2061200,0.0,0
2010-08-06,36.56,37.28,36.34,37.22,2357500,0.0,0
2010-08-09,37.25,37.43,37.09,37.19,1865100,0.0,0
2010-08-10,36.82,37.21,36.5,37.0,2652800,0.0,0
2010-08-11,36.53,36.65,35.82,35.92,2571700,0.0,0
2010-08-12,35.32,35.51,35.08,35.33,3859300,0.0,0
2010-08-13,35.31,35.63,35.2,35.29,2207100,0.0,0
2010-08-16,35.21,35.25,34.82,35.14,3539300,0.0,0
2010-08-17,35.48,36.17,35.29,35.96,3544600,0.0,0
2010-08-18,35.83,36.24,35.37,36.01,2328300,0.0,0
2010-08-19,35.74,36.02,35.24,35.48,3340800,0.0,0
2010-08-20,37.85,41.04,37.84,40.81,18975000,0.0,0
2010-08-23,39.84,40.02,38.87,39.19,10914700,0.0,0
2010-08-24,38.98,39.55,38.36,39.06,7195100,0.0,0
2010-08-25,38.66,39.03,38.42,38.98,5864200,0.0,0
2010-08-26,39.18,39.58,38.71,38.73,5774200,0.0,0
2010-08-27,38.95,39.42,38.39,39.3,4666700,0.0,0
2010-08-30,38.87,39.48,38.64,38.64,3610500,0.0,0
2010-08-31,38.51,39.24,38.28,39.11,4584900,0.0,0
2010-09-01,39.31,40.08,39.3,39.92,6272100,0.0,0
2010-09-02,39.95,40.27,39.39,40.27,3712500,0.0,0
2010-09-03,40.27,40.64,39.65,40.27,4220100,0.0,0
2010-09-07,40.42,40.9,40.29,40.64,4404800,0.0,0
2010-09-08,40.6,41.27,40.49,40.57,4323100,0.0,0
2010-09-09,40.81,41.02,40.08,40.25,2995400,0.0,0
2010-09-10,39.65,39.95,39.53,39.78,4332200,0.0,0
2010-09-13,40.38,40.62,40.12,40.34,4533700,0.0,0
2010-09-14,40.27,40.41,40.07,40.17,4242900,0.0,0
2010-09-15,40.03,40.43,39.86,40.36,3802600,0.0,0
2010-09-16,40.36,41.18,40.34,41.06,4331000,0.0,0
2010-09-17,41.18,41.27,40.78,41.07,9948200,0.0,0
2010-09-20,41.16,42.09,41.13,41.66,5229800,0.0,0
2010-09-21,41.55,42.3,41.44,41.94,5537800,0.0,0
2010-09-22,41.91,42.49,41.22,41.81,5181900,0.0,0
2010-09-23,41.69,41.96,41.06,41.24,3479600,0.0,0
2010-09-24,41.69,41.82,41.38,41.6,4362600,0.0,0
2010-09-27,41.43,41.59,41.04,41.14,3082400,0.0,0
2010-09-28,41.6,41.6,40.79,41.01,5535700,0.0,0
2010-09-29,41.03,41.1,40.6,40.68,3606300,0.0,0
2010-09-30,40.7,41.07,39.94,40.09,4525200,0.0,0
2010-10-01,40.55,41.34,40.48,41.1,3486200,0.0,0
2010-10-04,41.13,41.17,39.97,40.4,3590000,0.0,0
2010-10-05,41.06,41.81,40.81,41.6,3199800,0.0,0
2010-10-06,41.4,41.73,40.73,41.11,3578400,0.0,0
2010-10-07,41.38,42.1,40.97,42.01,4937100,0.0,0
2010-10-08,42.0,42.1,41.24,41.94,2832500,0.0,0
2010-10-11,41.78,42.33,41.65,41.97,3559800,0.0,0
2010-10-12,41.98,42.98,41.58,42.94,4409900,0.0,0
2010-10-13,43.04,43.83,42.88,43.53,4975800,0.0,0
2010-10-14,43.21,43.31,42.72,43.29,3772100,0.0,0
2010-10-15,43.09,43.09,42.13,42.67,5092500,0.0,0
2010-10-18,42.68,42.75,42.07,42.09,3185800,0.0,0
2010-10-19,41.89,42.43,41.5,41.96,3499600,0.0,0
2010-10-20,42.0,42.38,41.69,42.11,3453400,0.0,0
2010-10-21,42.2,42.71,41.81,42.21,2684400,0.0,0
2010-10-22,42.09,43.2,41.9,43.2,2496500,0.0,0
2010-10-25,43.41,43.87,43.18,43.18,2910700,0.0,0
2010-10-26,43.02,43.72,42.76,43.59,2576300,0.0,0
2010-10-27,43.28,43.72,43.11,43.66,2066800,0.0,0
2010-10-28,43.8,44.15,43.13,44.14,3344200,0.0,0
2010-10-29,44.11,44.21,43.67,43.91,2533400,0.0,0
2010-11-01,43.95,44.38,43.83,44.07,2530700,0.0,0
2010-11-02,44.38,44.62,44.19,44.33,2040700,0.0,0
2010-11-03,44.32,44.4,43.55,44.09,2117600,0.0,0
2010-11-04,44.4,44.79,44.2,44.57,2467500,0.0,0
2010-11-05,44.71,44.73,43.89,44.34,1723000,0.0,0
2010-11-08,44.12,44.61,44.04,44.43,1170400,0.0,0
2010-11-09,44.49,44.74,44.16,44.4,1850800,0.0,0
