Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,4.96,5.17,4.92,5.11,5696900,0.0,0
2009-12-08,5.15,5.39,5.05,5.38,8632700,0.0,0
2009-12-09,5.4,5.48,5.3,5.41,8248100,0.0,0
2009-12-10,5.5,5.69,5.42,5.6,9308100,0.0,0
2009-12-11,5.65,5.68,5.55,5.65,3819400,0.0,0
2009-12-14,5.65,5.91,5.62,5.87,6094600,0.0,0
2009-12-15,5.77,5.86,5.74,5.82,5915000,0.0,0
2009-12-16,5.87,5.89,5.71,5.77,5160600,0.0,0
2009-12-17,5.65,5.77,5.57,5.57,3906700,0.0,0
2009-12-18,5.58,5.64,5.57,5.59,7975500,0.0,0
2009-12-21,5.69,5.69,5.52,5.59,4191800,0.0,0
2009-12-22,5.59,5.63,5.55,5.6,4095000,0.0,0
2009-12-23,5.59,5.66,5.55,5.63,3379800,0.0,0
2009-12-24,5.68,5.78,5.62,5.77,1756700,0.0,0
2009-12-28,5.84,5.84,5.58,5.66,2445700,0.0,0
2009-12-29,5.68,5.7,5.6,5.62,2155700,0.0,0
2009-12-30,5.58,5.69,5.56,5.68,2334900,0.0,0
2009-12-31,5.82,5.94,5.72,5.76,4257500,0.0,0
2010-01-04,5.81,5.94,5.77,5.87,4444300,0.0,0
2010-01-05,5.88,5.88,5.78,5.81,6134700,0.0,0
2010-01-06,5.77,5.82,5.71,5.81,5586100,0.0,0
2010-01-07,5.75,5.81,5.61,5.66,6202400,0.0,0
2010-01-08,5.67,5.7,5.52,5.67,6480800,0.0,0
2010-01-11,5.66,5.83,5.63,5.83,5290500,0.0,0
2010-01-12,5.78,5.78,5.64,5.69,4630700,0.0,0
2010-01-13,5.7,5.81,5.61,5.76,3504500,0.0,0
2010-01-14,5.77,5.82,5.57,5.63,11506600,0.0,0
2010-01-15,5.59,5.65,5.45,5.59,8729100,0.0,0
2010-01-19,5.6,5.62,5.52,5.55,3647900,0.0,0
2010-01-20,5.48,5.59,5.42,5.58,5044800,0.0,0
2010-01-21,5.65,5.72,5.45,5.47,6134600,0.0,0
2010-01-22,5.45,5.48,5.31,5.34,5634000,0.0,0
2010-01-25,5.41,5.41,5.27,5.29,3630100,0.0,0
2010-01-26,5.25,5.32,5.17,5.2,4701300,0.0,0
2010-01-27,5.16,5.17,4.98,5.05,9869000,0.0,0
2010-01-28,5.07,5.2,5.04,5.09,5829200,0.0,0
2010-01-29,5.12,5.16,5.0,5.04,6768800,0.0,0
2010-02-01,5.09,5.19,5.05,5.15,7124600,0.0,0
2010-02-02,5.17,5.27,5.09,5.24,6027600,0.0,0
2010-02-03,5.25,5.37,5.14,5.22,5255000,0.0,0
2010-02-04,5.17,5.2,4.97,5.0,6372200,0.0,0
2010-02-05,5.13,5.13,4.84,4.99,10450500,0.0,0
2010-02-08,5.02,5.08,4.91,4.95,7221600,0.0,0
2010-02-09,5.02,5.07,4.92,4.99,8394300,0.0,0
2010-02-10,4.96,5.2,4.94,5.07,7902000,0.0,0
2010-02-11,5.06,5.27,4.99,5.25,6257700,0.0,0
2010-02-12,5.23,5.26,5.15,5.24,5480200,0.0,0
2010-02-16,5.32,5.38,5.28,5.36,4281600,0.0,0
2010-02-17,5.34,5.48,5.34,5.45,5921900,0.0,0
2010-02-18,5.45,5.55,5.4,5.53,4649300,0.0,0
2010-02-19,5.5,5.61,5.48,5.55,3164100,0.0,0
2010-02-22,5.58,5.6,5.43,5.51,3209600,0.0,0
2010-02-23,5.52,5.52,5.27,5.34,6859700,0.0,0
2010-02-24,5.35,5.43,5.27,5.32,8647700,0.0,0
2010-02-25,5.21,5.28,5.14,5.27,13394300,0.0,0
2010-02-26,5.38,6.01,5.28,5.85,32287700,0.0,0
2010-03-01,5.87,6.55,5.87,6.44,25938400,0.0,0
2010-03-02,6.38,6.53,6.32,6.37,10363400,0.0,0
2010-03-03,6.4,6.55,6.32,6.38,8881400,0.0,0
2010-03-04,6.41,6.5,6.33,6.47,6049600,0.0,0
2010-03-05,6.5,6.68,6.49,6.59,10231300,0.0,0
2010-03-08,6.59,6.76,6.53,6.64,7680800,0.0,0
2010-03-09,6.56,6.68,6.53,6.65,5570100,0.0,0
2010-03-10,6.61,6.75,6.51,6.69,3646900,0.0,0
2010-03-11,6.68,6.71,6.38,6.65,3331300,0.0,0
2010-03-12,6.62,6.68,6.5,6.57,8964700,0.0,0
2010-03-15,6.58,6.63,6.41,6.51,6364200,0.0,0
2010-03-16,6.52,6.58,6.47,6.58,2755800,0.0,0
2010-03-17,6.59,6.69,6.57,6.66,5708600,0.0,0
2010-03-18,6.64,6.78,6.62,6.74,6078400,0.0,0
2010-03-19,6.72,6.83,6.65,6.72,5120300,0.0,0
2010-03-22,6.65,6.86,6.58,6.81,5040800,0.0,0
2010-03-23,6.82,6.92,6.6,6.86,5494600,0.0,0
2010-03-24,6.81,6.81,6.55,6.65,9068700,0.0,0
2010-03-25,6.75,6.75,6.52,6.55,4007800,0.0,0
2010-03-26,6.55,6.69,6.5,6.5,5181500,0.0,0
2010-03-29,6.54,6.67,6.48,6.62,5037000,0.0,0
2010-03-30,6.62,6.69,6.51,6.63,4349200,0.0,0
2010-03-31,6.62,6.7,6.48,6.49,4942700,0.0,0
2010-04-01,6.55,6.63,6.48,6.62,4105700,0.0,0
2010-04-05,6.63,6.76,6.59,6.76,3438300,0.0,0
2010-04-06,6.72,6.76,6.65,6.65,4502700,0.0,0
2010-04-07,6.65,6.72,6.62,6.66,3771000,0.0,0
2010-04-08,6.64,6.65,6.51,6.61,3943700,0.0,0
2010-04-09,6.62,6.88,6.56,6.8,6470200,0.0,0
2010-04-12,6.84,6.88,6.75,6.84,4748000,0.0,0
2010-04-13,6.84,6.9,6.72,6.74,2656200,0.0,0
2010-04-14,6.74,7.25,6.74,7.06,11565100,0.0,0
2010-04-15,7.06,7.26,6.99,7.19,5203700,0.0,0
2010-04-16,7.15,7.21,6.94,6.99,4968200,0.0,0
2010-04-19,6.97,7.09,6.8,7.07,5215300,0.0,0
2010-04-20,7.36,7.75,7.36,7.6,16509800,0.0,0
2010-04-21,7.62,7.65,7.4,7.52,9949000,0.0,0
2010-04-22,7.49,7.69,7.41,7.68,6213100,0.0,0
2010-04-23,7.69,7.72,7.54,7.59,6346700,0.0,0
2010-04-26,7.63,7.72,7.6,7.7,6090200,0.0,0
2010-04-27,7.62,7.67,7.3,7.35,8140600,0.0,0
2010-04-28,7.43,7.5,7.15,7.23,10484900,0.0,0
2010-04-29,7.07,7.57,7.07,7.41,12983500,0.0,0
2010-04-30,7.43,7.46,6.91,6.95,11853500,0.0,0
2010-05-03,7.01,7.08,6.94,7.01,7390200,0.0,0
2010-05-04,6.93,6.94,6.44,6.59,10895000,0.0,0
2010-05-05,6.53,6.67,6.37,6.55,10946100,0.0,0
2010-05-06,6.51,9.56,5.8,6.28,11172900,0.0,0
2010-05-07,6.51,6.51,5.85,6.02,9367100,0.0,0
