Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.9,24.05,23.8,23.9,2446600.0,0.0,0.0
2009-12-08,23.67,23.8,23.31,23.45,2641000.0,0.0,0.0
2009-12-09,23.37,23.54,23.04,23.42,1933800.0,0.0,0.0
2009-12-10,23.68,23.86,23.49,23.7,3415000.0,0.0,0.0
2009-12-11,23.8,24.02,23.7,23.89,1474600.0,0.0,0.0
2009-12-14,24.01,24.54,23.88,24.47,2730900.0,0.0,0.0
2009-12-15,24.35,24.63,24.14,24.42,2869400.0,0.0,0.0
2009-12-16,24.59,24.64,24.18,24.32,1815700.0,0.0,0.0
2009-12-17,24.05,24.18,23.93,24.12,2324200.0,0.0,0.0
2009-12-18,24.24,24.39,23.84,23.88,2368900.0,0.0,0.0
2009-12-21,23.96,24.47,23.96,24.2,2277500.0,0.0,0.0
2009-12-22,24.2,24.43,24.07,24.1,1380800.0,0.0,0.0
2009-12-23,24.0,24.4,23.91,24.29,1242700.0,0.0,0.0
2009-12-24,24.35,24.63,24.35,24.4,361800.0,0.0,0.0
2009-12-28,24.37,24.49,24.19,24.33,908500.0,0.0,0.0
2009-12-29,24.31,24.54,24.24,24.29,1359900.0,0.0,0.0
2009-12-30,24.13,24.37,24.12,24.22,1306900.0,0.0,0.0
2009-12-31,24.29,24.29,23.96,23.96,1038100.0,0.0,0.0
2010-01-04,24.14,24.44,24.07,24.31,2965200.0,0.0,0.0
2010-01-05,24.2,24.31,23.9,24.06,2522700.0,0.0,0.0
2010-01-06,24.06,24.12,23.73,23.89,3274300.0,0.0,0.0
2010-01-07,23.9,24.47,23.76,24.13,3964200.0,0.0,0.0
2010-01-08,24.02,24.59,23.91,24.55,3080100.0,0.0,0.0
2010-01-11,24.72,25.38,24.63,25.15,4246200.0,0.0,0.0
2010-01-12,24.89,24.96,24.43,24.62,3134700.0,0.0,0.0
2010-01-13,24.66,24.71,24.42,24.59,2899200.0,0.0,0.0
2010-01-14,24.54,24.83,24.49,24.8,1948900.0,0.0,0.0
2010-01-15,24.82,24.98,24.63,24.85,3362200.0,0.0,0.0
2010-01-19,24.79,25.36,24.75,25.14,6178100.0,0.0,0.0
2010-01-20,24.95,25.0,24.44,24.97,5023600.0,0.0,0.0
2010-01-21,25.07,25.1,24.51,24.59,5283600.0,0.0,0.0
2010-01-22,24.53,24.66,23.62,23.63,4073800.0,0.0,0.0
2010-01-25,23.82,24.0,23.47,23.47,3773100.0,0.0,0.0
2010-01-26,23.39,23.53,22.92,23.31,4777700.0,0.0,0.0
2010-01-27,23.12,23.13,22.25,22.72,7332400.0,0.0,0.0
2010-01-28,22.74,22.8,21.97,22.32,4560500.0,0.0,0.0
2010-01-29,22.39,22.54,21.76,21.76,5131800.0,0.0,0.0
2010-02-01,22.17,22.37,21.88,22.15,5709800.0,0.0,0.0
2010-02-02,22.33,23.33,22.23,23.13,6393500.0,0.0,0.0
2010-02-03,22.96,23.37,22.88,23.16,2680100.0,0.0,0.0
2010-02-04,22.98,22.98,22.13,22.17,3715500.0,0.0,0.0
2010-02-05,22.11,22.19,21.4,22.07,6557400.0,0.0,0.0
