Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.88,11.88,11.68,11.76,1622500,0.0,0.0
2009-12-08,11.72,11.72,11.46,11.52,1762600,0.0,0.0
2009-12-09,11.49,11.56,11.37,11.55,1316100,0.0,0.0
2009-12-10,11.56,11.7,11.55,11.65,1054000,0.0,0.0
2009-12-11,11.66,11.81,11.62,11.75,626500,0.0,0.0
2009-12-14,11.78,11.88,11.72,11.79,907400,0.0,0.0
2009-12-15,11.73,11.79,11.63,11.67,825400,0.0,0.0
2009-12-16,11.68,11.76,11.57,11.61,925000,0.0,0.0
2009-12-17,11.57,11.62,11.43,11.44,890000,0.0,0.0
2009-12-18,11.44,11.52,11.26,11.43,1815700,0.0,0.0
2009-12-21,11.52,11.64,11.49,11.54,644400,0.0,0.0
2009-12-22,11.55,11.62,11.54,11.61,787300,0.0,0.0
2009-12-23,11.57,11.61,11.47,11.54,621100,0.0,0.0
2009-12-24,11.59,11.59,11.51,11.55,222800,0.0,0.0
2009-12-28,11.54,11.59,11.44,11.46,398200,0.0,0.0
2009-12-29,11.51,11.54,11.44,11.46,690200,0.0,0.0
2009-12-30,11.46,11.5,11.29,11.35,975600,0.0,0.0
2009-12-31,11.41,11.49,11.22,11.23,690800,0.0,0.0
2010-01-04,11.29,11.38,11.19,11.29,995500,0.0,0.0
2010-01-05,11.26,11.36,11.2,11.33,1120100,0.0,0.0
2010-01-06,11.34,11.73,11.32,11.69,1974900,0.0,0.0
2010-01-07,11.67,11.88,11.65,11.88,1518900,0.0,0.0
2010-01-08,11.84,11.95,11.76,11.91,1048500,0.0,0.0
2010-01-11,11.94,12.04,11.83,12.0,1014100,0.0,0.0
2010-01-12,11.91,12.05,11.82,11.86,1605500,0.0,0.0
2010-01-13,11.88,12.18,11.88,12.17,1002300,0.0,0.0
2010-01-14,12.16,12.26,12.02,12.25,1214000,0.0,0.0
2010-01-15,12.21,12.3,11.96,12.03,1261200,0.0,0.0
2010-01-19,12.01,12.24,11.97,12.2,958900,0.0,0.0
2010-01-20,12.1,12.12,11.92,11.99,681200,0.0,0.0
2010-01-21,11.97,12.06,11.85,11.87,1418900,0.0,0.0
2010-01-22,11.88,11.89,11.7,11.71,1560100,0.0,0.0
2010-01-25,11.8,11.82,11.54,11.63,905800,0.0,0.0
2010-01-26,11.61,11.67,11.44,11.45,834600,0.0,0.0
2010-01-27,11.44,11.52,11.3,11.45,1289600,0.0,0.0
2010-01-28,11.47,11.47,11.25,11.3,784500,0.0,0.0
2010-01-29,11.39,11.45,11.26,11.28,1605100,0.0,0.0
2010-02-01,11.33,11.42,11.28,11.34,1015100,0.0,0.0
2010-02-02,11.34,11.48,11.3,11.46,1066500,0.0,0.0
2010-02-03,11.42,11.56,11.37,11.4,874100,0.0,0.0
2010-02-04,11.29,11.38,11.14,11.14,1499300,0.0,0.0
2010-02-05,11.1,11.22,10.83,10.9,2948200,0.0,0.0
2010-02-08,10.89,10.91,10.75,10.75,1330500,0.0,0.0
2010-02-09,10.87,10.94,10.74,10.82,1251600,0.0,0.0
2010-02-10,10.82,10.88,10.61,10.67,1705500,0.0,0.0
2010-02-11,10.65,10.81,10.52,10.72,1853500,0.0,0.0
2010-02-12,10.66,10.74,10.55,10.71,1668100,0.0,0.0
2010-02-16,10.78,11.06,10.7,11.05,1283900,0.0,0.0
2010-02-17,11.41,11.68,11.28,11.62,3238900,0.0,0.0
2010-02-18,11.64,11.79,11.59,11.76,1318900,0.0,0.0
2010-02-19,11.72,12.05,11.72,11.91,1933600,0.0,0.0
2010-02-22,11.98,12.06,11.69,11.78,1786200,0.0,0.0
2010-02-23,11.76,11.89,11.73,11.78,2021500,0.0,0.0
2010-02-24,11.83,12.06,11.81,11.99,2511400,0.0,0.0
2010-02-25,12.59,13.06,12.58,12.84,4288900,0.0,0.0
2010-02-26,12.89,12.94,12.73,12.77,2187500,0.0,0.0
2010-03-01,12.87,12.88,12.66,12.82,2250000,0.0,0.0
2010-03-02,12.89,12.9,12.68,12.74,1368500,0.0,0.0
2010-03-03,12.79,12.84,12.59,12.64,1506500,0.0,0.0
2010-03-04,12.67,12.68,12.51,12.65,1005000,0.0,0.0
2010-03-05,12.68,12.82,12.64,12.74,1192100,0.0,0.0
2010-03-08,12.79,12.83,12.71,12.75,751200,0.0,0.0
2010-03-09,12.72,12.74,12.57,12.65,1267200,0.0,0.0
2010-03-10,12.65,12.76,12.64,12.65,1158800,0.0,0.0
2010-03-11,12.59,12.73,12.54,12.71,726300,0.0,0.0
2010-03-12,12.74,12.8,12.66,12.78,635700,0.0,0.0
2010-03-15,12.83,12.89,12.74,12.85,890100,0.0,0.0
2010-03-16,12.89,12.91,12.78,12.88,999900,0.0,0.0
2010-03-17,12.97,13.03,12.86,13.02,957100,0.0,0.0
2010-03-18,13.02,13.03,12.94,13.0,667300,0.0,0.0
2010-03-19,12.83,13.1,12.78,12.83,1279500,0.0,0.0
2010-03-22,12.75,13.04,12.75,12.98,909500,0.0,0.0
2010-03-23,13.13,13.49,13.08,13.49,1850400,0.0625,0.0
2010-03-24,13.41,13.55,13.32,13.36,1425300,0.0,0.0
2010-03-25,13.49,13.61,13.39,13.4,1434000,0.0,0.0
2010-03-26,13.48,13.59,13.26,13.37,997800,0.0,0.0
2010-03-29,13.39,13.72,13.39,13.72,1433400,0.0,0.0
2010-03-30,13.71,13.73,13.51,13.56,1184700,0.0,0.0
2010-03-31,13.47,13.58,13.39,13.55,1272500,0.0,0.0
2010-04-01,13.66,13.85,13.47,13.58,1366900,0.0,0.0
2010-04-05,13.62,13.63,13.46,13.5,1201100,0.0,0.0
2010-04-06,13.41,13.44,13.29,13.36,1435000,0.0,0.0
2010-04-07,13.3,13.35,13.17,13.22,1110100,0.0,0.0
2010-04-08,13.14,13.16,12.99,13.12,1078400,0.0,0.0
2010-04-09,13.15,13.22,13.08,13.11,1030900,0.0,0.0
2010-04-12,13.12,13.18,13.07,13.11,1467700,0.0,0.0
2010-04-13,13.07,13.16,12.96,13.11,1196400,0.0,0.0
2010-04-14,13.13,13.31,13.02,13.29,2270600,0.0,0.0
2010-04-15,13.29,13.62,13.23,13.56,1277000,0.0,0.0
2010-04-16,13.56,13.69,13.38,13.46,1621100,0.0,0.0
2010-04-19,13.46,13.57,13.37,13.54,944000,0.0,0.0
2010-04-20,13.58,13.76,13.51,13.72,1154300,0.0,0.0
2010-04-21,13.69,13.81,13.64,13.79,1072500,0.0,0.0
2010-04-22,13.68,14.02,13.61,14.0,1243200,0.0,0.0
2010-04-23,14.04,14.06,13.9,14.04,1153100,0.0,0.0
2010-04-26,14.0,14.09,13.92,13.98,1023200,0.0,0.0
2010-04-27,13.94,13.95,13.48,13.52,1441000,0.0,0.0
2010-04-28,13.68,13.85,13.61,13.85,1088200,0.0,0.0
2010-04-29,13.83,13.83,12.56,12.76,3770200,0.0,0.0
2010-04-30,12.79,12.81,12.35,12.44,2182600,0.0,0.0
2010-05-03,12.51,12.59,12.46,12.5,1531200,0.0,0.0
2010-05-04,12.34,12.42,12.17,12.4,2119200,0.0,0.0
2010-05-05,12.34,12.4,12.26,12.36,1554100,0.0,0.0
2010-05-06,12.25,12.37,11.19,11.82,1982600,0.0,0.0
2010-05-07,11.82,12.01,11.59,11.82,2193800,0.0,0.0
2010-05-10,12.31,12.52,12.25,12.42,1877500,0.0,0.0
2010-05-11,12.22,12.54,12.22,12.38,1184800,0.0,0.0
2010-05-12,12.4,12.61,12.4,12.61,912900,0.0,0.0
2010-05-13,12.54,12.56,12.35,12.36,1078800,0.0,0.0
2010-05-14,12.31,12.34,12.01,12.11,1054400,0.0,0.0
2010-05-17,12.29,12.75,12.29,12.54,2386500,0.0,0.0
2010-05-18,12.87,12.98,12.58,12.7,2556100,0.0,0.0
2010-05-19,12.67,12.72,12.28,12.44,1671700,0.0,0.0
2010-05-20,12.24,12.24,11.82,11.85,1935000,0.0,0.0
2010-05-21,11.77,12.17,11.73,12.17,2608900,0.0,0.0
2010-05-24,12.09,12.2,11.96,11.98,1675100,0.0,0.0
2010-05-25,11.6,12.0,11.54,11.98,2202600,0.0,0.0
2010-05-26,12.11,12.31,11.95,11.99,1520600,0.0,0.0
2010-05-27,12.24,12.3,12.14,12.3,1093300,0.0,0.0
2010-05-28,12.3,12.3,12.05,12.13,934400,0.0,0.0
2010-06-01,12.01,12.15,11.81,11.81,822500,0.0,0.0
2010-06-02,11.87,12.03,11.8,12.03,1053900,0.0,0.0
2010-06-03,12.12,12.18,12.01,12.12,1586100,0.0,0.0
2010-06-04,11.94,11.97,11.52,11.57,2144600,0.0,0.0
2010-06-07,11.66,11.68,11.34,11.36,1600100,0.0,0.0
2010-06-08,11.43,11.51,11.25,11.47,2515500,0.0,0.0
2010-06-09,11.5,11.71,11.46,11.51,1832700,0.0,0.0
2010-06-10,11.69,11.79,11.52,11.78,1504300,0.0,0.0
2010-06-11,11.65,11.9,11.57,11.9,981300,0.0,0.0
2010-06-14,11.94,12.15,11.94,12.05,1436200,0.0,0.0
2010-06-15,12.15,12.37,12.15,12.37,980800,0.0,0.0
2010-06-16,12.29,12.41,12.25,12.34,1033500,0.0,0.0
2010-06-17,12.34,12.34,12.0,12.1,1503500,0.0,0.0
2010-06-18,12.13,12.24,12.01,12.04,1490200,0.0,0.0
2010-06-21,12.23,12.24,11.85,11.88,1309000,0.0,0.0
2010-06-22,11.9,12.06,11.7,11.74,2003700,0.0,0.0
2010-06-23,11.69,11.72,11.53,11.64,1848900,0.0625,0.0
2010-06-24,11.65,11.86,11.58,11.66,2116000,0.0,0.0
2010-06-25,11.71,11.71,11.48,11.62,2245600,0.0,0.0
2010-06-28,11.71,11.71,11.51,11.54,1077500,0.0,0.0
2010-06-29,11.43,11.45,11.2,11.25,2293600,0.0,0.0
2010-06-30,11.21,11.37,11.13,11.14,1922000,0.0,0.0
2010-07-01,11.12,11.19,10.9,11.03,1898100,0.0,0.0
2010-07-02,11.02,11.12,10.89,10.92,781900,0.0,0.0
2010-07-06,11.11,11.2,10.91,10.99,1187900,0.0,0.0
2010-07-07,11.05,11.44,11.01,11.44,1461400,0.0,0.0
2010-07-08,11.5,11.61,11.42,11.57,1219600,0.0,0.0
2010-07-09,11.53,11.69,11.5,11.67,1197500,0.0,0.0
2010-07-12,11.58,11.7,11.56,11.61,790600,0.0,0.0
2010-07-13,11.73,11.95,11.71,11.91,1003500,0.0,0.0
2010-07-14,11.85,12.01,11.79,12.01,1011300,0.0,0.0
2010-07-15,12.01,12.04,11.81,12.01,881300,0.0,0.0
2010-07-16,11.92,11.95,11.62,11.65,975600,0.0,0.0
2010-07-19,11.66,11.77,11.49,11.66,834900,0.0,0.0
2010-07-20,11.44,11.94,11.44,11.93,954400,0.0,0.0
2010-07-21,11.94,12.07,11.84,11.96,1648600,0.0,0.0
2010-07-22,12.05,12.32,12.04,12.23,1068500,0.0,0.0
2010-07-23,12.22,12.46,12.17,12.45,974300,0.0,0.0
2010-07-26,12.46,12.69,12.38,12.69,892400,0.0,0.0
2010-07-27,12.74,12.74,12.57,12.65,1858000,0.0,0.0
2010-07-28,12.65,12.8,12.55,12.62,1935800,0.0,0.0
2010-07-29,12.41,12.57,11.87,11.93,2682900,0.0,0.0
2010-07-30,11.78,11.98,11.66,11.74,1685400,0.0,0.0
2010-08-02,11.87,12.11,11.8,12.09,1384900,0.0,0.0
2010-08-03,12.0,12.02,11.67,11.75,1496400,0.0,0.0
2010-08-04,11.75,11.8,11.62,11.71,1640000,0.0,0.0
2010-08-05,11.63,11.79,11.56,11.67,1071700,0.0,0.0
2010-08-06,11.53,11.59,11.39,11.52,1227700,0.0,0.0
2010-08-09,11.56,11.61,11.53,11.58,1219100,0.0,0.0
2010-08-10,11.51,11.59,11.33,11.46,1246200,0.0,0.0
2010-08-11,11.33,11.33,11.05,11.05,944600,0.0,0.0
2010-08-12,10.94,11.08,10.84,11.0,1566600,0.0,0.0
2010-08-13,10.98,11.01,10.9,10.9,906400,0.0,0.0
2010-08-16,10.88,10.96,10.84,10.91,1469000,0.0,0.0
2010-08-17,11.01,11.05,10.9,10.92,1923000,0.0,0.0
2010-08-18,10.94,10.94,10.87,10.87,1479600,0.0,0.0
2010-08-19,10.86,10.86,10.48,10.62,2633900,0.0,0.0
2010-08-20,10.53,10.71,10.5,10.7,1663500,0.0,0.0
2010-08-23,10.75,10.77,10.56,10.57,1955600,0.0,0.0
2010-08-24,10.44,10.49,10.37,10.41,2005900,0.0,0.0
2010-08-25,10.29,10.48,10.27,10.39,2097100,0.0,0.0
2010-08-26,10.42,10.45,10.13,10.13,2075300,0.0,0.0
2010-08-27,10.21,10.37,10.09,10.3,2395300,0.0,0.0
2010-08-30,10.33,10.33,10.08,10.08,1758800,0.0,0.0
2010-08-31,10.04,10.19,9.96,10.06,2332100,0.0,0.0
2010-09-01,10.17,10.29,10.05,10.18,2138600,0.0,0.0
2010-09-02,10.22,10.54,10.19,10.43,3527700,0.0,0.0
2010-09-03,10.56,10.6,10.36,10.42,2699900,0.0,0.0
2010-09-07,10.39,10.41,10.14,10.17,1762400,0.0,0.0
2010-09-08,10.2,10.26,10.06,10.14,2751300,0.0,0.0
2010-09-09,10.3,10.38,10.26,10.35,3824700,0.0,0.0
2010-09-10,10.42,10.52,10.32,10.49,3885200,0.0,0.0
2010-09-13,10.58,10.58,10.44,10.45,3375500,0.0,0.0
2010-09-14,10.47,10.48,10.29,10.32,3781800,0.0,0.0
