Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.86,14.94,14.62,14.72,2601800,0.0,0
2009-12-08,14.65,14.75,14.5,14.57,2846700,0.0,0
2009-12-09,14.66,14.87,14.44,14.85,2474500,0.0,0
2009-12-10,14.92,15.05,14.85,14.96,2755000,0.0,0
2009-12-11,14.91,15.04,14.67,14.84,2557300,0.0,0
2009-12-14,15.86,15.86,15.04,15.25,4454500,0.0,0
2009-12-15,15.21,15.32,15.02,15.07,2587600,0.0,0
2009-12-16,15.01,15.52,15.01,15.44,2304300,0.0,0
2009-12-17,15.33,15.41,15.03,15.04,2417600,0.0,0
2009-12-18,15.21,15.21,14.58,14.68,7463900,0.0,0
2009-12-21,14.79,15.7,14.69,15.52,5264300,0.0,0
2009-12-22,15.47,15.86,15.47,15.76,3093200,0.0,0
2009-12-23,15.83,15.99,15.68,15.98,1860100,0.0,0
2009-12-24,15.98,16.13,15.92,16.08,849000,0.0,0
2009-12-28,16.08,16.15,15.99,16.14,1496900,0.0,0
2009-12-29,16.14,16.19,15.99,16.08,2049900,0.0,0
2009-12-30,16.01,16.26,15.99,16.24,1847900,0.0,0
2009-12-31,16.18,16.32,16.17,16.24,1888600,0.0,0
2010-01-04,16.29,16.3,16.0,16.13,4254200,0.0,0
2010-01-05,16.11,16.28,16.06,16.22,2711400,0.0,0
2010-01-06,16.18,16.2,15.88,15.88,3562500,0.0,0
2010-01-07,15.85,15.97,15.74,15.93,2739000,0.0,0
2010-01-08,15.79,15.92,15.66,15.84,2378900,0.0,0
2010-01-11,15.88,16.38,15.88,16.33,2405000,0.0,0
2010-01-12,16.21,16.38,15.9,16.1,2053200,0.0,0
2010-01-13,16.21,16.37,16.0,16.16,3122000,0.0,0
2010-01-14,16.11,16.14,15.74,15.9,3551900,0.0,0
2010-01-15,15.76,15.89,15.54,15.7,2528600,0.0,0
2010-01-19,15.67,16.04,15.57,15.92,1990700,0.0,0
2010-01-20,15.83,15.83,15.39,15.49,2734500,0.0,0
2010-01-21,15.48,15.62,14.83,14.83,4307700,0.0,0
