Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.03,20.3,20.02,20.22,365100,0.0,0
2009-12-08,19.99,20.16,19.62,20.09,549700,0.0,0
2009-12-09,20.12,20.16,19.82,20.08,359400,0.0,0
2009-12-10,20.21,20.37,19.82,19.93,608600,0.0,0
2009-12-11,20.01,20.16,19.79,19.99,223900,0.0,0
2009-12-14,20.07,20.17,19.84,20.17,363700,0.0,0
2009-12-15,20.06,20.32,19.88,20.16,382900,0.0,0
2009-12-16,20.3,20.41,20.16,20.35,426500,0.0,0
2009-12-17,20.18,20.34,19.97,20.19,455500,0.0,0
2009-12-18,20.33,20.33,20.02,20.14,771300,0.0,0
2009-12-21,20.18,20.44,20.04,20.23,296600,0.0,0
2009-12-22,20.32,20.51,20.18,20.49,461000,0.0,0
2009-12-23,20.48,20.72,20.37,20.62,324500,0.0,0
2009-12-24,20.71,20.73,20.51,20.72,38700,0.0,0
2009-12-28,20.8,20.8,20.5,20.78,231400,0.0,0
2009-12-29,20.75,20.89,20.66,20.72,164600,0.0,0
2009-12-30,20.6,20.81,20.48,20.6,259900,0.0,0
2009-12-31,20.58,20.65,20.22,20.24,322800,0.0,0
2010-01-04,20.47,20.87,20.33,20.86,493100,0.0,0
2010-01-05,20.82,20.89,20.42,20.53,344300,0.0,0
2010-01-06,20.58,20.59,20.41,20.5,288000,0.0,0
2010-01-07,20.44,20.5,20.25,20.48,279300,0.0,0
2010-01-08,20.48,20.48,20.16,20.3,245500,0.0,0
2010-01-11,20.28,20.31,20.02,20.14,222200,0.0,0
2010-01-12,20.02,20.16,19.85,20.05,325500,0.0,0
2010-01-13,20.16,20.43,20.06,20.34,316200,0.0,0
2010-01-14,20.23,20.53,20.23,20.5,173000,0.0,0
2010-01-15,20.59,20.59,20.13,20.3,517800,0.0,0
2010-01-19,20.25,20.6,20.23,20.58,335000,0.0,0
2010-01-20,20.4,20.43,19.95,20.27,306000,0.0,0
2010-01-21,20.34,20.44,19.81,20.02,402300,0.0,0
2010-01-22,20.05,20.16,19.59,19.63,376500,0.0,0
2010-01-25,19.75,19.78,19.47,19.58,273300,0.0,0
2010-01-26,19.53,19.62,19.37,19.4,424800,0.0,0
