Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,25.52,25.86,25.39,25.45,2648100,0.0,0
2009-12-08,25.17,25.73,24.88,25.33,2977600,0.0,0
2009-12-09,25.19,25.23,24.66,25.05,2135500,0.0,0
2009-12-10,25.11,25.71,25.1,25.64,2291800,0.0,0
2009-12-11,25.75,26.04,25.59,26.03,1859000,0.0,0
2009-12-14,26.18,26.59,25.78,26.59,2274300,0.0,0
2009-12-15,26.44,26.46,25.86,25.96,2450100,0.0,0
2009-12-16,26.1,26.51,25.99,26.04,2495800,0.0,0
2009-12-17,25.73,26.01,25.38,25.39,2533100,0.0,0
2009-12-18,25.54,25.76,24.95,25.76,3084400,0.0,0
2009-12-21,25.82,26.59,25.63,26.56,2619700,0.0,0
2009-12-22,26.53,26.73,26.39,26.48,1470700,0.0,0
2009-12-23,26.61,27.08,26.43,27.05,1733000,0.0,0
2009-12-24,27.11,27.3,26.87,26.98,701200,0.0,0
2009-12-28,27.03,27.5,26.95,27.29,1640900,0.0,0
2009-12-29,27.33,27.95,27.21,27.72,2126000,0.0,0
2009-12-30,27.49,27.81,27.4,27.56,1814400,0.0,0
2009-12-31,27.52,27.66,27.1,27.13,1311900,0.0,0
2010-01-04,27.53,27.55,27.11,27.38,2816600,0.0,0
2010-01-05,27.28,27.56,26.86,26.95,5012300,0.0,0
2010-01-06,26.95,27.2,26.85,27.03,3784300,0.0,0
2010-01-07,27.3,28.17,26.84,28.11,4644000,0.0,0
2010-01-08,27.99,28.06,27.18,27.29,3930700,0.0,0
2010-01-11,27.54,27.72,27.19,27.69,2063500,0.0,0
2010-01-12,27.34,27.47,26.53,26.58,3468100,0.0,0
2010-01-13,26.79,27.03,26.5,26.97,1483700,0.0,0
2010-01-14,27.03,27.07,26.44,26.52,1820200,0.0,0
2010-01-15,26.37,26.76,25.93,26.01,3860200,0.0,0
2010-01-19,26.01,26.27,25.85,26.14,2361200,0.0,0
2010-01-20,25.77,25.91,25.49,25.72,2261000,0.0,0
2010-01-21,25.86,26.12,25.0,25.08,2916200,0.0,0
2010-01-22,25.51,25.53,24.6,24.65,4300400,0.0,0
2010-01-25,24.87,24.99,24.56,24.78,1993500,0.0,0
2010-01-26,24.61,25.81,24.61,25.29,2993900,0.0,0
2010-01-27,25.27,25.52,24.79,25.09,2651000,0.0,0
2010-01-28,25.28,25.41,24.88,25.13,2527100,0.0,0
2010-01-29,25.21,25.75,24.92,24.94,2197600,0.0,0
2010-02-01,25.16,25.44,24.85,25.41,3086200,0.0,0
2010-02-02,25.43,26.4,25.34,26.3,3353700,0.0,0
2010-02-03,26.03,26.17,25.6,26.03,2986400,0.0,0
2010-02-04,26.42,26.49,25.31,25.35,6400400,0.0,0
2010-02-05,24.77,24.9,23.67,24.51,5510000,0.0,0
2010-02-08,24.74,25.16,24.33,24.55,4291100,0.0,0
2010-02-09,24.92,25.09,24.54,24.63,4490800,0.0,0
2010-02-10,24.57,24.79,24.13,24.27,2645800,0.0,0
2010-02-11,24.17,24.43,24.03,24.41,3205800,0.0,0
2010-02-12,24.06,24.8,24.04,24.69,2623000,0.0,0
2010-02-16,25.16,25.4,24.86,25.33,2790300,0.0,0
2010-02-17,25.52,25.7,25.27,25.36,1438200,0.0,0
2010-02-18,25.23,25.34,25.0,25.29,1605500,0.0,0
2010-02-19,25.45,26.17,25.39,25.78,4429700,0.0,0
