Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.45,9.65,9.41,9.6,19842000,0.0,0.0
2009-12-08,8.42,8.67,8.17,8.46,154165200,0.0,0.0
2009-12-09,8.49,8.49,8.25,8.41,54756000,0.0,0.0
2009-12-10,8.42,8.48,8.35,8.43,27681200,0.0,0.0
2009-12-11,8.46,8.5,8.39,8.41,23406200,0.0,0.0
2009-12-14,8.47,8.52,8.31,8.37,25263400,0.0,0.0
2009-12-15,8.39,8.48,8.35,8.47,25776400,0.0,0.0
2009-12-16,8.47,8.75,8.44,8.62,33421800,0.0,0.0
2009-12-17,8.6,8.65,8.53,8.55,22512400,0.0,0.0
2009-12-18,8.56,8.62,8.43,8.46,29112800,0.0,0.0
2009-12-21,8.52,8.65,8.47,8.61,19977000,0.0,0.0
2009-12-22,8.63,8.69,8.6,8.65,9550200,0.0,0.0
2009-12-23,8.7,8.77,8.66,8.68,9945200,0.0,0.0
2009-12-24,8.7,8.73,8.64,8.67,3773800,0.0,0.0
2009-12-28,8.7,8.73,8.61,8.71,8425200,0.0,0.0
2009-12-29,8.7,8.75,8.58,8.59,11167800,0.0,0.0
2009-12-30,8.59,8.65,8.57,8.61,6931800,0.0,0.0
2009-12-31,8.6,8.68,8.57,8.62,13716200,0.0,0.0
2010-01-04,8.62,8.67,8.59,8.6,12718800,0.0,0.0
2010-01-05,8.61,8.63,8.47,8.5,19904000,0.0,0.0
2010-01-06,8.5,8.54,8.41,8.51,25134000,0.0,0.0
2010-01-07,8.51,8.6,8.43,8.59,21133400,0.0,0.0
2010-01-08,8.6,8.6,8.45,8.51,20974200,0.0,0.0
2010-01-11,8.49,8.56,8.46,8.54,14955600,0.0,0.0
2010-01-12,8.6,8.79,8.57,8.7,21871200,0.0,0.0
2010-01-13,8.74,8.78,8.49,8.67,17547800,0.0,0.0
2010-01-14,8.64,8.7,8.59,8.67,13050000,0.0,0.0
2010-01-15,8.67,8.7,8.61,8.7,16530400,0.0,0.0
2010-01-19,8.68,8.87,8.67,8.86,17032000,0.0,0.0
2010-01-20,8.83,9.09,8.77,9.07,24235600,0.0,0.0
2010-01-21,9.03,9.17,8.99,9.04,29565400,0.0,0.0
2010-01-22,9.01,9.23,8.97,9.15,28954000,0.0,0.0
2010-01-25,9.16,9.2,9.1,9.17,19007800,0.0,0.0
2010-01-26,9.09,9.17,9.04,9.07,14440800,0.0,0.0
2010-01-27,9.08,9.14,8.94,9.04,15561000,0.0,0.0
2010-01-28,8.95,9.11,8.92,8.96,11232400,0.0,0.0
2010-01-29,8.97,9.08,8.96,9.0,14122200,0.0,0.0
2010-02-01,9.04,9.12,8.99,9.03,12513800,0.0,0.0
2010-02-02,9.05,9.14,8.95,9.09,14047400,0.0,0.0
2010-02-03,9.05,9.11,9.01,9.04,13558600,0.0,0.0
2010-02-04,8.99,9.09,8.88,8.89,21101000,0.0,0.0
2010-02-05,8.88,8.97,8.82,8.9,15802000,0.0,0.0
2010-02-08,8.89,8.95,8.8,8.88,12450600,0.0,0.0
2010-02-09,8.99,8.99,8.91,8.98,10143600,0.0,0.0
