Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.86,10.15,9.86,9.92,3917900,0.0,0
2009-12-08,9.87,9.98,9.76,9.83,3366700,0.0,0
2009-12-09,9.73,9.78,9.58,9.72,3203800,0.0,0
2009-12-10,9.72,10.08,9.71,10.0,3859700,0.0,0
2009-12-11,10.15,10.21,10.05,10.16,2562500,0.0,0
2009-12-14,10.32,10.35,10.18,10.35,2457000,0.0,0
2009-12-15,10.26,10.41,10.19,10.3,2686400,0.0,0
2009-12-16,10.39,10.43,10.23,10.34,2632400,0.0,0
2009-12-17,10.15,10.35,10.15,10.23,2637500,0.0,0
2009-12-18,10.3,10.33,10.02,10.29,3802200,0.0,0
2009-12-21,10.31,10.55,10.24,10.49,2184900,0.0,0
2009-12-22,10.56,10.81,10.46,10.79,3997100,0.0,0
2009-12-23,10.84,10.94,10.6,10.62,3020900,0.0,0
2009-12-24,10.63,10.68,10.56,10.64,630700,0.0,0
2009-12-28,10.72,10.8,10.59,10.64,1294400,0.0,0
2009-12-29,10.73,10.76,10.66,10.66,1714500,0.0,0
2009-12-30,10.64,10.67,10.58,10.64,1968900,0.0,0
2009-12-31,10.66,10.67,10.47,10.48,1374400,0.0,0
2010-01-04,10.55,10.76,10.49,10.52,3959400,0.0,0
2010-01-05,10.48,10.58,10.09,10.17,9097500,0.0,0
2010-01-06,10.11,10.41,9.99,10.39,6889000,0.0,0
2010-01-07,10.58,10.67,10.05,10.22,7511700,0.0,0
2010-01-08,10.27,10.68,10.23,10.67,5684200,0.0,0
2010-01-11,10.95,11.22,10.85,11.14,6663400,0.0,0
2010-01-12,11.02,11.38,10.97,11.13,4553600,0.0,0
2010-01-13,11.15,11.19,10.87,11.02,3190400,0.0,0
2010-01-14,11.0,11.07,10.74,10.85,3322000,0.0,0
2010-01-15,10.79,10.9,10.54,10.56,3155400,0.0,0
2010-01-19,10.56,10.64,10.44,10.53,4890700,0.0,0
2010-01-20,10.41,10.48,10.29,10.29,5126600,0.0,0
