Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,36.45,36.74,36.31,36.48,485200,0.0,0
2009-12-08,36.45,36.54,35.95,36.12,682800,0.0,0
2009-12-09,36.21,36.26,35.42,35.84,790300,0.0,0
2009-12-10,36.06,36.64,35.99,36.49,562500,0.0,0
2009-12-11,36.48,36.61,36.0,36.14,565500,0.0,0
2009-12-14,36.27,36.45,36.09,36.1,657500,0.0,0
2009-12-15,36.11,36.11,35.67,35.73,601800,0.0,0
2009-12-16,35.55,36.44,35.0,36.24,643200,0.0,0
2009-12-17,36.11,36.11,35.52,35.76,569900,0.0,0
2009-12-18,35.84,36.22,35.38,35.83,905200,0.0,0
2009-12-21,35.82,36.55,35.79,36.35,491500,0.0,0
2009-12-22,36.23,37.06,36.23,36.96,446300,0.0,0
2009-12-23,37.0,37.82,37.0,37.46,898700,0.0,0
2009-12-24,37.46,37.77,37.46,37.62,167300,0.0,0
2009-12-28,37.82,37.82,37.51,37.76,415800,0.0,0
2009-12-29,37.89,38.12,37.66,37.93,474500,0.0,0
2009-12-30,37.69,38.08,37.66,38.07,464900,0.0,0
2009-12-31,38.2,38.37,37.81,37.81,628300,0.0,0
2010-01-04,37.93,38.76,37.93,38.43,654600,0.0,0
2010-01-05,38.45,38.57,37.73,38.17,892100,0.0,0
2010-01-06,38.03,38.76,38.01,38.56,776300,0.0,0
2010-01-07,38.41,38.78,38.12,38.67,814200,0.0,0
2010-01-08,38.79,38.81,38.37,38.72,529700,0.0,0
2010-01-11,38.73,39.21,38.63,39.17,587400,0.0,0
2010-01-12,38.9,38.98,37.6,37.69,963900,0.0,0
2010-01-13,37.91,39.05,37.81,38.98,900900,0.0,0
2010-01-14,38.96,39.01,38.43,38.93,479000,0.0,0
2010-01-15,38.91,38.94,37.9,38.17,660900,0.0,0
2010-01-19,38.17,39.5,38.17,38.78,1297300,0.0,0
2010-01-20,38.55,38.83,37.96,38.51,655400,0.0,0
2010-01-21,38.46,38.8,37.53,37.57,559000,0.0,0
2010-01-22,37.4,37.51,36.35,36.41,789800,0.0,0
2010-01-25,36.56,36.96,36.43,36.73,685400,0.0,0
2010-01-26,36.63,36.64,35.75,36.3,654900,0.0,0
2010-01-27,36.18,37.23,35.59,37.22,1408700,0.0,0
2010-01-28,38.24,38.24,34.23,35.26,3535900,0.0,0
2010-01-29,35.42,35.56,33.93,34.13,1674200,0.0,0
2010-02-01,34.2,35.88,34.07,35.58,1358800,0.0,0
2010-02-02,35.56,36.14,35.3,36.02,1164400,0.0,0
2010-02-03,35.83,36.2,35.4,35.61,965700,0.0,0
2010-02-04,35.36,35.63,35.17,35.27,1166200,0.0,0
2010-02-05,35.05,35.68,34.82,35.57,1017000,0.0,0
2010-02-08,35.64,35.72,35.13,35.19,848700,0.0,0
2010-02-09,35.45,35.88,35.02,35.59,600800,0.0,0
2010-02-10,35.6,35.6,34.94,35.32,581200,0.0,0
2010-02-11,35.28,35.9,34.91,35.81,596200,0.0,0
2010-02-12,35.25,35.95,34.86,35.77,945200,0.0,0
2010-02-16,35.94,36.3,35.86,36.26,382600,0.0,0
2010-02-17,36.3,36.7,36.21,36.6,510100,0.0,0
2010-02-18,36.61,37.35,36.48,37.28,543800,0.0,0
2010-02-19,37.23,37.69,36.81,37.56,661900,0.0,0
2010-02-22,37.65,37.69,37.2,37.42,536400,0.0,0
2010-02-23,37.38,37.63,36.91,37.01,464800,0.0,0
2010-02-24,37.2,37.33,36.28,36.65,1137400,0.0,0
2010-02-25,36.25,36.95,35.36,36.04,1371200,0.0,0
2010-02-26,36.23,36.27,35.69,35.96,764100,0.0,0
2010-03-01,36.18,36.21,35.47,35.85,1335700,0.0,0
2010-03-02,35.95,36.18,35.8,36.13,1762200,0.0,0
2010-03-03,36.13,37.52,35.95,37.23,1293200,0.0,0
2010-03-04,37.49,37.49,36.68,36.97,810800,0.22,0
2010-03-05,37.1,37.25,36.91,37.03,724200,0.0,0
2010-03-08,37.23,37.35,36.83,36.95,716100,0.0,0
2010-03-09,36.87,37.13,36.66,36.83,949700,0.0,0
2010-03-10,36.93,37.15,36.68,37.07,677600,0.0,0
2010-03-11,37.09,37.4,36.79,37.35,573300,0.0,0
2010-03-12,37.36,37.37,35.99,36.05,1182100,0.0,0
2010-03-15,36.04,36.34,35.9,36.29,874400,0.0,0
2010-03-16,36.46,36.75,36.18,36.71,706000,0.0,0
2010-03-17,36.89,37.39,36.69,37.19,744300,0.0,0
2010-03-18,37.31,37.84,37.31,37.76,828700,0.0,0
2010-03-19,36.79,37.9,36.55,36.79,1150100,0.0,0
2010-03-22,36.57,37.72,36.55,37.54,690300,0.0,0
2010-03-23,37.63,38.1,37.53,37.98,838200,0.0,0
2010-03-24,37.87,37.87,37.0,37.23,722900,0.0,0
2010-03-25,37.49,37.67,36.85,36.86,693900,0.0,0
2010-03-26,36.92,37.23,36.79,36.91,522700,0.0,0
2010-03-29,37.12,37.44,36.95,37.43,779600,0.0,0
