Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,66.32,66.83,65.92,66.28,1168300,0.0,0
2009-12-08,65.91,65.99,65.2,65.29,1845100,0.0,0
2009-12-09,65.35,66.46,64.79,66.38,1646600,0.0,0
2009-12-10,66.84,67.27,65.72,66.04,1251200,0.0,0
2009-12-11,66.5,66.53,65.03,65.45,1391500,0.0,0
2009-12-14,65.82,66.02,65.17,65.99,1129800,0.0,0
2009-12-15,65.5,66.46,65.34,65.68,1675700,0.0,0
2009-12-16,66.06,66.45,65.42,65.83,1343300,0.0,0
2009-12-17,65.37,65.57,64.79,64.99,1387900,0.0,0
2009-12-18,65.47,65.54,64.19,64.59,2117200,0.0,0
2009-12-21,64.57,65.02,63.89,64.35,2051900,0.0,0
2009-12-22,64.53,64.99,63.98,64.09,1933100,0.0,0
2009-12-23,64.08,64.25,63.69,64.1,1751800,0.0,0
2009-12-24,64.19,64.43,64.12,64.23,722500,0.0,0
2009-12-28,64.36,65.04,64.23,64.93,1387800,0.0,0
2009-12-29,64.76,65.42,64.76,65.13,714900,0.0,0
2009-12-30,64.85,65.74,64.8,65.38,1141600,0.0,0
2009-12-31,65.53,65.59,64.6,64.61,1003400,0.0,0
2010-01-04,65.09,65.79,65.05,65.62,1233000,0.0,0
2010-01-05,65.38,65.49,64.06,64.39,2170900,0.0,0
2010-01-06,64.39,65.16,64.36,64.97,2359700,0.0,0
2010-01-07,64.97,65.35,64.84,65.13,2105100,0.0,0
2010-01-08,64.93,65.63,64.84,65.56,1424900,0.0,0
2010-01-11,66.24,66.27,65.5,66.18,1343000,0.0,0
2010-01-12,65.45,65.82,64.93,65.47,1171200,0.0,0
2010-01-13,65.79,66.73,65.37,66.63,1257800,0.0,0
2010-01-14,66.67,66.67,65.07,65.17,1401500,0.0,0
2010-01-15,64.97,65.53,64.65,65.13,1788900,0.0,0
2010-01-19,64.96,65.59,64.84,65.23,1598500,0.0,0
2010-01-20,64.69,65.19,64.43,64.97,1456100,0.0,0
2010-01-21,64.96,65.67,63.94,63.96,1672400,0.0,0
2010-01-22,63.73,64.6,62.67,62.95,2019200,0.0,0
2010-01-25,63.77,64.43,63.51,63.9,1885800,0.0,0
2010-01-26,63.51,64.2,63.12,63.28,1939100,0.0,0
2010-01-27,62.31,63.18,60.1,61.76,6430200,0.0,0
2010-01-28,62.08,62.33,61.04,61.26,2827800,0.0,0
2010-01-29,61.79,61.89,60.48,60.6,3075600,0.0,0
2010-02-01,61.15,61.8,60.97,61.8,2450400,0.0,0
2010-02-02,61.79,62.43,61.29,62.14,1888000,0.0,0
2010-02-03,61.97,62.53,61.67,61.86,1658200,0.0,0
2010-02-04,61.29,61.55,59.98,60.01,2506800,0.0,0
2010-02-05,60.32,60.82,58.82,59.54,4520300,0.0,0
2010-02-08,59.64,61.28,59.53,59.65,2498700,0.0,0
2010-02-09,60.37,60.96,59.41,60.49,2950700,0.0,0
2010-02-10,60.4,61.21,59.95,60.52,2379200,0.0,0
2010-02-11,60.37,61.4,60.36,61.33,1680000,0.0,0
2010-02-12,60.47,62.02,60.03,61.89,3320000,0.0,0
2010-02-16,62.54,62.75,62.12,62.69,1770100,0.0,0
2010-02-17,62.87,63.38,62.27,62.79,1933200,0.0,0
2010-02-18,62.58,63.15,62.28,62.52,2129900,0.0,0
2010-02-19,62.33,62.56,61.84,62.13,2765400,0.0,0
2010-02-22,62.32,62.5,61.74,61.87,2019000,0.0,0
2010-02-23,61.66,61.83,61.06,61.27,1756300,0.0,0
2010-02-24,61.5,61.88,60.84,61.14,2892400,0.0,0
2010-02-25,60.36,60.71,59.56,60.35,3189800,0.0,0
2010-02-26,60.4,60.74,59.95,60.45,1571000,0.0,0
2010-03-01,60.72,61.25,60.27,61.19,1911500,0.0,0
2010-03-02,61.77,62.07,61.39,61.92,1983500,0.0,0
2010-03-03,62.31,62.83,61.96,61.99,1710700,0.45,0
2010-03-04,62.21,62.69,62.02,62.52,2547700,0.0,0
2010-03-05,62.96,63.95,62.65,63.92,2215000,0.0,0
2010-03-08,63.98,64.74,63.92,64.12,2471500,0.0,0
2010-03-09,63.94,64.34,63.73,64.12,1584900,0.0,0
2010-03-10,63.8,64.41,63.24,63.94,1712800,0.0,0
2010-03-11,63.6,64.34,63.19,64.34,1223700,0.0,0
2010-03-12,64.55,64.72,64.17,64.41,916500,0.0,0
2010-03-15,64.43,64.66,64.07,64.53,1280000,0.0,0
2010-03-16,64.58,65.23,64.39,65.22,1965300,0.0,0
2010-03-17,65.48,66.42,65.33,66.39,2223700,0.0,0
2010-03-18,66.03,66.64,66.03,66.46,2047800,0.0,0
2010-03-19,66.05,67.35,65.74,66.05,2463600,0.0,0
2010-03-22,66.0,66.49,65.63,66.42,990200,0.0,0
2010-03-23,66.52,66.9,65.99,66.9,1429600,0.0,0
2010-03-24,66.71,66.88,66.01,66.59,1313000,0.0,0
2010-03-25,66.89,66.97,65.75,65.84,1251100,0.0,0
2010-03-26,65.97,66.54,65.61,66.02,1523500,0.0,0
2010-03-29,66.21,66.59,65.56,66.23,1310300,0.0,0
2010-03-30,66.4,67.02,66.23,66.97,1691900,0.0,0
2010-03-31,66.81,67.4,66.81,67.17,1879400,0.0,0
2010-04-01,67.63,67.88,67.23,67.83,1639600,0.0,0
2010-04-05,67.91,68.19,67.57,67.94,2207300,0.0,0
2010-04-06,67.44,68.32,67.4,68.2,1399900,0.0,0
2010-04-07,67.89,68.58,67.52,68.33,2023700,0.0,0
2010-04-08,68.12,68.59,68.08,68.37,1212200,0.0,0
2010-04-09,68.43,68.98,68.35,68.75,2555800,0.0,0
2010-04-12,68.9,69.1,68.58,68.78,2661000,0.0,0
2010-04-13,68.58,68.9,68.48,68.74,1411100,0.0,0
2010-04-14,68.84,69.58,68.62,69.5,1635700,0.0,0
2010-04-15,69.48,71.09,69.31,70.92,2284500,0.0,0
2010-04-16,70.72,71.21,69.97,70.25,2213600,0.0,0
2010-04-19,69.77,70.52,69.33,70.51,1517200,0.0,0
2010-04-20,70.87,71.33,70.24,71.33,1763200,0.0,0
2010-04-21,71.33,71.33,70.43,70.86,1643500,0.0,0
2010-04-22,70.26,71.05,69.52,70.98,1793700,0.0,0
2010-04-23,71.1,71.44,70.4,71.39,1277000,0.0,0
2010-04-26,71.54,72.02,71.26,71.43,1304700,0.0,0
2010-04-27,71.25,71.35,69.93,69.93,1674600,0.0,0
2010-04-28,67.79,70.08,66.37,68.25,4587400,0.0,0
2010-04-29,67.94,69.55,67.94,68.23,3493500,0.0,0
2010-04-30,68.41,68.64,67.72,67.79,2218800,0.0,0
2010-05-03,68.16,68.3,67.69,67.99,1480500,0.0,0
2010-05-04,67.14,67.31,65.95,66.5,2177600,0.0,0
2010-05-05,66.1,66.67,65.56,66.28,2035100,0.0,0
2010-05-06,65.97,67.0,61.62,64.21,3363800,0.0,0
2010-05-07,64.09,65.12,63.13,63.83,3332700,0.0,0
2010-05-10,65.97,66.18,64.52,65.79,2978000,0.0,0
2010-05-11,65.11,65.7,64.89,65.06,1458500,0.0,0
2010-05-12,65.36,66.19,65.02,66.16,1243800,0.0,0
2010-05-13,65.91,66.04,64.99,65.15,1417100,0.0,0
2010-05-14,64.65,64.89,62.54,63.04,3078100,0.0,0
2010-05-17,63.32,63.87,61.73,63.19,3298200,0.0,0
2010-05-18,63.7,64.67,62.89,62.95,3089900,0.0,0
2010-05-19,62.52,62.57,60.96,61.94,3473800,0.0,0
2010-05-20,60.73,61.45,60.07,60.1,3900500,0.0,0
2010-05-21,59.63,62.42,58.83,62.39,5360900,0.0,0
2010-05-24,61.84,62.37,61.17,61.48,2913600,0.0,0
2010-05-25,59.73,61.8,59.73,61.74,2769400,0.0,0
2010-05-26,62.31,62.95,61.78,62.19,3165500,0.0,0
2010-05-27,63.35,63.87,62.55,63.86,2222000,0.0,0
2010-05-28,63.86,63.86,62.52,62.8,2809100,0.0,0
2010-06-01,62.35,63.04,61.71,61.71,1909000,0.0,0
2010-06-02,62.25,63.2,61.49,63.15,2122500,0.0,0
2010-06-03,63.13,63.25,61.68,62.23,3228900,0.45,0
2010-06-04,61.21,61.45,60.23,60.33,3909700,0.0,0
2010-06-07,60.57,61.39,60.31,60.43,3744200,0.0,0
2010-06-08,60.46,61.91,60.1,61.8,2843000,0.0,0
2010-06-09,62.37,62.97,61.67,61.94,2161600,0.0,0
2010-06-10,62.86,63.84,62.69,63.2,2333400,0.0,0
2010-06-11,62.49,63.36,62.49,63.31,1470200,0.0,0
2010-06-14,63.68,64.01,63.01,63.08,2204400,0.0,0
2010-06-15,63.5,64.57,63.15,64.55,2778100,0.0,0
2010-06-16,63.97,65.34,63.97,65.19,1927900,0.0,0
2010-06-17,65.52,65.76,64.44,65.72,2112400,0.0,0
2010-06-18,65.92,66.51,65.76,66.07,2069800,0.0,0
2010-06-21,66.73,67.78,66.18,66.61,2150200,0.0,0
2010-06-22,66.55,67.1,65.55,65.56,1776000,0.0,0
2010-06-23,65.52,65.96,64.38,65.28,2269200,0.0,0
2010-06-24,65.03,65.76,64.29,64.38,2435700,0.0,0
2010-06-25,64.67,65.12,63.86,64.67,2239200,0.0,0
2010-06-28,64.89,65.09,64.17,64.59,1151600,0.0,0
2010-06-29,63.89,64.07,62.63,62.98,1706000,0.0,0
2010-06-30,63.01,63.46,61.74,61.85,1917000,0.0,0
2010-07-01,61.63,62.87,61.62,62.49,2202400,0.0,0
2010-07-02,62.65,62.96,62.0,62.58,1478800,0.0,0
2010-07-06,63.2,63.48,62.29,63.05,1572700,0.0,0
2010-07-07,63.22,65.08,63.12,65.04,1672600,0.0,0
2010-07-08,65.6,66.0,65.16,66.0,1690800,0.0,0
2010-07-09,65.97,66.58,65.71,66.2,1476700,0.0,0
2010-07-12,65.98,66.54,65.72,66.34,1239700,0.0,0
2010-07-13,66.84,68.27,66.62,67.96,1926500,0.0,0
2010-07-14,66.2,67.71,65.98,67.42,2610400,0.0,0
2010-07-15,67.55,67.68,66.49,67.4,1602700,0.0,0
2010-07-16,67.05,67.05,65.68,65.9,2026900,0.0,0
2010-07-19,66.19,66.32,65.39,65.95,1396700,0.0,0
2010-07-20,65.31,67.21,65.19,67.11,1731300,0.0,0
2010-07-21,67.53,67.76,66.39,67.04,1976900,0.0,0
2010-07-22,67.83,69.48,67.61,68.64,2167000,0.0,0
2010-07-23,68.6,69.54,68.27,69.5,1373600,0.0,0
2010-07-26,69.31,69.99,69.24,69.71,1324100,0.0,0
2010-07-27,70.21,70.32,69.55,69.86,1358600,0.0,0
2010-07-28,69.2,70.59,69.2,70.23,1799100,0.0,0
2010-07-29,70.77,71.02,69.53,69.85,2140800,0.0,0
2010-07-30,69.06,71.15,69.04,70.67,2005100,0.0,0
2010-08-02,71.42,71.83,71.29,71.52,2507400,0.0,0
2010-08-03,71.11,71.8,71.07,71.46,1293600,0.0,0
2010-08-04,71.73,72.12,71.37,71.99,1213700,0.0,0
2010-08-05,71.66,72.16,71.46,72.08,1253700,0.0,0
2010-08-06,71.42,72.12,70.6,71.43,1203400,0.0,0
2010-08-09,71.64,72.35,71.64,72.26,1100900,0.0,0
2010-08-10,71.64,72.44,71.24,72.19,1546100,0.0,0
2010-08-11,70.84,71.38,70.35,70.7,1843700,0.0,0
2010-08-12,70.33,71.29,69.84,71.07,1871900,0.0,0
2010-08-13,70.78,71.29,70.55,71.05,1514900,0.0,0
2010-08-16,70.63,72.11,69.99,71.61,1622500,0.0,0
2010-08-17,72.39,73.04,71.96,72.56,1823100,0.0,0
2010-08-18,72.45,72.9,72.12,72.51,1555800,0.0,0
2010-08-19,72.21,72.26,71.23,71.72,2283500,0.0,0
2010-08-20,71.03,72.01,71.03,71.91,1584500,0.0,0
2010-08-23,72.18,72.42,71.16,71.21,1251000,0.0,0
2010-08-24,69.55,71.41,69.55,70.15,2430800,0.0,0
2010-08-25,69.76,70.31,68.8,69.94,1834200,0.0,0
2010-08-26,70.25,70.81,69.52,69.66,1187100,0.0,0
2010-08-27,70.08,71.04,69.4,71.04,1766900,0.0,0
2010-08-30,70.87,71.22,69.95,69.95,1152600,0.0,0
2010-08-31,69.59,70.36,69.28,70.02,1631100,0.0,0
2010-09-01,70.96,72.24,70.44,70.9,2879300,0.0,0
2010-09-02,71.01,71.01,69.74,70.49,3778600,0.45,0
2010-09-03,71.12,71.46,70.67,71.38,1535000,0.0,0
2010-09-07,71.03,71.36,70.57,70.72,1181000,0.0,0
2010-09-08,70.89,71.3,70.72,70.84,1420700,0.0,0
2010-09-09,71.51,71.61,70.76,70.83,1500900,0.0,0
2010-09-10,70.87,71.1,70.68,70.73,1011600,0.0,0
2010-09-13,71.23,71.64,71.04,71.48,1256700,0.0,0
2010-09-14,71.48,72.38,71.36,71.9,1362400,0.0,0
2010-09-15,71.69,72.21,71.3,72.16,1327600,0.0,0
2010-09-16,72.07,72.92,71.84,72.85,1285600,0.0,0
2010-09-17,72.72,72.77,72.22,72.29,1716200,0.0,0
2010-09-20,72.54,72.7,72.16,72.51,1600000,0.0,0
2010-09-21,72.47,72.6,71.71,72.07,1852200,0.0,0
2010-09-22,71.93,72.23,71.63,72.04,1446800,0.0,0
2010-09-23,71.86,72.41,71.08,72.02,1486200,0.0,0
2010-09-24,72.57,73.71,72.35,73.71,1672400,0.0,0
2010-09-27,73.35,74.05,73.35,73.48,1250800,0.0,0
2010-09-28,73.64,74.23,72.47,73.99,1407900,0.0,0
2010-09-29,73.78,73.84,73.24,73.42,918800,0.0,0
2010-09-30,73.63,74.45,73.19,73.85,1523900,0.0,0
2010-10-01,74.34,74.45,73.19,73.35,1727500,0.0,0
2010-10-04,73.06,73.47,72.52,72.85,1040300,0.0,0
2010-10-05,73.56,74.63,73.55,74.61,1606800,0.0,0
2010-10-06,74.5,75.02,74.14,74.6,972000,0.0,0
2010-10-07,74.83,74.85,73.56,73.81,1027300,0.0,0
2010-10-08,74.05,74.44,73.86,74.14,989300,0.0,0
2010-10-11,74.15,74.45,73.84,74.0,799800,0.0,0
2010-10-12,73.42,74.45,73.09,74.34,893200,0.0,0
2010-10-13,74.4,75.22,74.31,75.19,1860600,0.0,0
2010-10-14,74.95,75.17,73.84,74.22,1556200,0.0,0
2010-10-15,74.71,75.01,73.73,74.22,1446100,0.0,0
2010-10-18,74.22,74.57,73.84,74.27,680600,0.0,0
2010-10-19,73.23,73.6,72.49,73.15,1362100,0.0,0
2010-10-20,73.36,74.81,72.49,74.46,1181000,0.0,0
2010-10-21,74.59,75.98,73.74,75.89,1938700,0.0,0
2010-10-22,75.71,76.05,75.1,75.42,830900,0.0,0
2010-10-25,75.85,77.15,75.85,76.72,1185600,0.0,0
2010-10-26,76.38,76.5,75.59,76.5,1612900,0.0,0
2010-10-27,75.4,75.4,73.31,74.05,2791700,0.0,0
2010-10-28,75.15,75.15,73.85,74.39,1277200,0.0,0
2010-10-29,74.23,75.04,73.87,74.73,1342300,0.0,0
2010-11-01,75.11,75.31,74.45,74.73,1091200,0.0,0
2010-11-02,75.3,75.74,74.89,75.53,1437400,0.0,0
2010-11-03,75.78,75.78,74.64,75.47,1184900,0.0,0
2010-11-04,76.25,76.25,74.85,75.51,1994000,0.0,0
2010-11-05,75.76,76.14,75.54,76.04,1452200,0.0,0
2010-11-08,75.7,76.87,75.68,76.6,1150800,0.0,0
2010-11-09,76.34,76.9,74.92,75.29,1272900,0.0,0
2010-11-10,75.28,76.21,74.69,76.16,1015700,0.0,0
2010-11-11,75.33,76.35,75.27,75.94,936400,0.0,0
2010-11-12,75.62,75.63,74.37,74.93,950500,0.0,0
2010-11-15,75.05,75.76,74.83,74.87,777100,0.0,0
2010-11-16,73.89,74.6,73.67,73.96,1708100,0.0,0
2010-11-17,74.18,74.59,73.76,73.89,1213500,0.0,0
2010-11-18,74.66,75.8,74.6,75.17,1116000,0.0,0
2010-11-19,75.26,75.84,75.11,75.67,1599900,0.0,0
2010-11-22,75.47,75.53,74.45,75.27,1091600,0.0,0
2010-11-23,74.51,74.91,73.96,74.59,1388400,0.0,0
2010-11-24,74.86,75.84,74.42,75.8,975600,0.0,0
2010-11-26,75.19,75.84,74.99,75.31,596100,0.0,0
2010-11-29,75.1,75.39,73.67,75.21,1155000,0.0,0
2010-11-30,74.56,75.66,74.31,75.31,1257500,0.0,0
2010-12-01,76.1,76.59,75.28,76.51,1873900,0.0,0
2010-12-02,76.41,77.28,76.21,77.26,1612900,0.0,0
2010-12-03,76.95,77.59,76.53,77.44,1090100,0.45,0
2010-12-06,76.82,77.5,76.38,77.11,913700,0.0,0
2010-12-07,77.72,78.0,76.81,77.34,1599900,0.0,0
2010-12-08,77.56,77.68,76.52,76.91,1149600,0.0,0
2010-12-09,77.33,77.44,76.7,77.05,1280000,0.0,0
2010-12-10,77.22,77.28,76.47,76.78,1234700,0.0,0
2010-12-13,77.05,77.36,76.53,76.76,1405900,0.0,0
2010-12-14,76.5,76.55,75.8,76.1,1553100,0.0,0
2010-12-15,75.71,76.87,75.63,76.53,1642800,0.0,0
2010-12-16,77.17,77.23,76.14,77.16,1297200,0.0,0
2010-12-17,77.09,77.3,76.48,76.88,1813300,0.0,0
2010-12-20,76.99,78.07,76.73,77.93,1391000,0.0,0
2010-12-21,78.1,79.2,77.89,78.9,1512700,0.0,0
2010-12-22,79.06,79.06,78.27,78.63,931000,0.0,0
2010-12-23,78.5,78.89,78.32,78.52,640100,0.0,0
2010-12-27,78.38,78.68,78.04,78.41,398400,0.0,0
2010-12-28,78.51,78.72,78.0,78.6,526000,0.0,0
2010-12-29,78.8,79.09,78.63,78.86,691200,0.0,0
2010-12-30,78.71,78.76,77.86,77.98,2364300,0.0,0
2010-12-31,78.01,78.7,77.9,78.49,1069600,0.0,0
2011-01-03,78.91,78.91,78.18,78.28,1529600,0.0,0
2011-01-04,78.75,78.85,77.15,77.74,1475600,0.0,0
2011-01-05,77.33,77.77,77.21,77.68,1239000,0.0,0
2011-01-06,77.54,77.56,76.36,76.5,1746900,0.0,0
2011-01-07,76.6,77.65,76.49,77.52,2237500,0.0,0
2011-01-10,76.75,76.87,76.45,76.6,2054400,0.0,0
2011-01-11,76.75,76.86,76.28,76.7,1414200,0.0,0
2011-01-12,77.33,77.37,76.81,77.05,1271500,0.0,0
2011-01-13,77.19,77.27,76.08,76.37,1774600,0.0,0
2011-01-14,76.25,76.55,75.79,76.45,2014600,0.0,0
2011-01-18,76.51,77.15,76.35,76.82,1144200,0.0,0
2011-01-19,76.87,76.98,75.7,75.86,1439700,0.0,0
2011-01-20,75.88,76.04,74.87,74.96,1518900,0.0,0
2011-01-21,75.39,75.76,74.77,74.84,1578200,0.0,0
2011-01-24,74.25,75.26,74.02,75.17,1302800,0.0,0
2011-01-25,74.88,75.07,74.46,75.01,1876600,0.0,0
