Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,35.12,35.3,34.59,35.04,2021500,0.0,0
2009-12-08,34.87,35.61,34.43,35.38,1980700,0.0,0
2009-12-09,35.33,35.37,34.82,35.22,1632700,0.0,0
2009-12-10,35.31,35.92,35.25,35.37,1374900,0.0,0
2009-12-11,35.46,35.88,34.7,34.86,1989500,0.0,0
2009-12-14,35.25,35.73,34.9,35.68,1460100,0.0,0
2009-12-15,35.81,35.81,35.22,35.65,1092800,0.0,0
2009-12-16,35.69,36.27,35.56,35.77,1567100,0.0,0
2009-12-17,35.69,35.69,34.88,34.9,1332000,0.0,0
2009-12-18,35.01,35.33,34.71,34.85,3045600,0.0,0
2009-12-21,35.04,36.13,35.04,35.89,1287900,0.0,0
2009-12-22,35.97,36.47,35.59,35.64,1270600,0.0,0
2009-12-23,35.66,35.93,35.42,35.48,1322200,0.0,0
2009-12-24,35.72,35.72,35.47,35.66,252300,0.0,0
2009-12-28,35.69,35.81,35.04,35.23,920400,0.0,0
2009-12-29,35.37,35.57,35.0,35.57,1370700,0.0,0
2009-12-30,35.5,36.24,35.5,36.18,1081700,0.0,0
2009-12-31,36.3,36.32,35.93,35.93,802800,0.0,0
2010-01-04,36.38,37.07,36.22,36.55,1856900,0.0,0
2010-01-05,36.46,36.47,35.82,36.3,1463300,0.0,0
2010-01-06,36.32,36.78,36.05,36.13,2158300,0.0,0
2010-01-07,35.97,36.43,35.67,36.07,1443400,0.0,0
2010-01-08,36.04,37.19,35.84,36.98,2022100,0.0,0
2010-01-11,37.49,38.09,37.31,37.97,3492100,0.0,0
2010-01-12,37.41,37.5,35.42,35.5,3604800,0.0,0
2010-01-13,35.74,35.89,34.53,35.61,2906400,0.0,0
2010-01-14,35.44,35.67,34.82,35.14,2222300,0.0,0
2010-01-15,35.26,35.27,33.57,33.74,2758300,0.0,0
2010-01-19,33.85,34.16,33.61,33.94,2290800,0.0,0
2010-01-20,33.54,34.03,32.94,33.91,2324500,0.0,0
2010-01-21,33.82,34.8,33.35,33.44,2155800,0.0,0
2010-01-22,32.99,33.53,31.42,31.42,3232400,0.0,0
2010-01-25,31.54,32.26,31.48,31.97,2261200,0.0,0
2010-01-26,31.86,32.66,31.61,32.08,3121600,0.0,0
2010-01-27,31.63,32.62,31.47,32.57,3020100,0.0,0
2010-01-28,32.66,32.92,30.43,30.59,7112200,0.0,0
2010-01-29,30.96,31.16,29.88,30.25,4418800,0.0,0
2010-02-01,30.38,30.95,30.27,30.81,2880300,0.0,0
2010-02-02,31.09,31.26,30.72,31.09,3957400,0.0,0
2010-02-03,30.84,31.16,30.24,30.43,4359200,0.0,0
2010-02-04,30.04,30.17,29.39,29.55,3513000,0.0,0
2010-02-05,29.66,30.54,29.47,30.51,3161100,0.0,0
2010-02-08,30.43,30.88,29.93,30.21,2090600,0.0,0
2010-02-09,30.5,31.17,30.26,30.87,2996400,0.0,0
2010-02-10,30.94,31.37,30.22,30.87,1588900,0.0,0
2010-02-11,30.79,32.04,30.5,31.86,2724300,0.0,0
2010-02-12,31.29,32.51,30.98,32.12,2727400,0.0,0
2010-02-16,32.49,32.75,32.38,32.73,2311600,0.0,0
2010-02-17,32.97,32.97,32.05,32.32,2059200,0.0,0
2010-02-18,32.16,32.26,31.4,32.19,2923700,0.0,0
2010-02-19,32.0,32.71,31.82,32.68,2385200,0.0,0
2010-02-22,32.71,32.89,32.23,32.3,1956400,0.0,0
2010-02-23,32.12,32.26,30.02,30.38,6753100,0.0,0
2010-02-24,30.6,31.43,30.53,30.9,5820100,0.0,0
2010-02-25,30.48,31.05,29.94,30.94,3136800,0.0,0
2010-02-26,30.89,31.14,30.22,31.08,1865700,0.0,0
2010-03-01,31.24,32.29,31.24,32.2,2276000,0.0,0
2010-03-02,32.29,33.07,32.24,32.52,3253600,0.0,0
2010-03-03,32.72,32.87,32.05,32.26,1765600,0.0,0
2010-03-04,32.36,32.53,31.4,31.64,2282800,0.0,0
2010-03-05,31.75,32.13,31.2,31.82,2214600,0.0,0
2010-03-08,31.81,32.12,31.72,32.03,1275400,0.0,0
2010-03-09,31.96,32.12,31.43,31.85,1633900,0.0,0
2010-03-10,31.93,32.65,31.71,32.59,2558900,0.0,0
2010-03-11,32.35,32.76,31.64,31.84,2912700,0.0,0
2010-03-12,31.92,32.11,31.22,31.4,2967600,0.0,0
2010-03-15,30.32,30.55,29.84,29.95,6697300,0.0,0
2010-03-16,30.09,30.98,30.05,30.92,3331500,0.0,0
2010-03-17,31.23,31.33,30.75,31.06,3193100,0.0,0
2010-03-18,30.99,31.61,30.62,31.07,2863500,0.0,0
2010-03-19,31.26,31.31,30.65,31.05,3359700,0.0,0
2010-03-22,31.07,32.95,30.97,32.9,5771400,0.0,0
2010-03-23,32.94,34.24,32.85,34.1,4434600,0.0,0
2010-03-24,33.89,34.07,33.25,33.3,2871500,0.0,0
2010-03-25,33.78,34.63,33.72,33.94,3826200,0.0,0
2010-03-26,34.01,34.33,33.25,33.45,1961200,0.0,0
2010-03-29,33.72,34.18,33.68,34.08,2486200,0.0,0
2010-03-30,34.18,34.47,33.59,34.3,2970100,0.0,0
2010-03-31,33.84,34.52,33.73,34.2,2426400,0.0,0
2010-04-01,34.39,35.1,33.96,34.38,2279900,0.0,0
2010-04-05,34.62,35.36,34.6,35.18,1716500,0.0,0
2010-04-06,34.84,35.37,34.8,35.09,1785900,0.0,0
2010-04-07,34.92,35.54,34.38,35.36,2955200,0.0,0
2010-04-08,35.09,35.15,34.49,34.9,1841200,0.0,0
2010-04-09,34.9,35.36,34.68,35.26,1463700,0.0,0
2010-04-12,35.16,35.79,35.09,35.38,1256900,0.0,0
2010-04-13,35.37,35.6,35.09,35.48,1124400,0.0,0
2010-04-14,35.86,36.79,35.81,36.65,2868300,0.0,0
2010-04-15,36.84,36.86,36.06,36.32,1703600,0.0,0
2010-04-16,36.29,36.66,35.89,36.6,2268400,0.0,0
2010-04-19,36.35,36.78,36.0,36.52,2339900,0.0,0
2010-04-20,37.1,37.22,36.51,37.03,2135100,0.0,0
2010-04-21,37.05,37.46,36.1,36.65,2452200,0.0,0
2010-04-22,36.34,38.94,35.39,38.66,5108800,0.0,0
2010-04-23,39.0,39.53,38.58,39.31,3607600,0.0,0
2010-04-26,39.18,39.79,38.99,38.99,1991600,0.0,0
2010-04-27,38.78,39.53,37.59,37.62,3052700,0.0,0
2010-04-28,37.84,38.45,37.34,38.0,2091600,0.0,0
2010-04-29,38.26,39.07,37.87,38.89,1665800,0.0,0
2010-04-30,38.92,38.98,37.0,37.15,2493000,0.0,0
2010-05-03,37.21,38.32,37.05,38.14,1450800,0.0,0
2010-05-04,37.42,37.54,35.95,36.57,3201200,0.0,0
2010-05-05,36.36,36.64,35.26,35.68,3025900,0.0,0
2010-05-06,35.27,36.21,32.55,34.65,2773700,0.0,0
2010-05-07,34.49,35.08,32.78,33.87,3030900,0.0,0
2010-05-10,35.03,35.86,34.99,35.78,2467100,0.0,0
2010-05-11,35.35,36.24,35.21,35.75,1712000,0.0,0
2010-05-12,36.0,36.63,35.79,36.52,1383700,0.0,0
2010-05-13,36.17,36.84,35.59,35.74,1144100,0.0,0
2010-05-14,35.4,35.47,34.24,34.99,2213200,0.0,0
2010-05-17,35.25,35.89,34.53,35.64,1958400,0.0,0
2010-05-18,36.23,36.35,34.87,34.99,2114700,0.0,0
2010-05-19,34.88,36.09,34.09,35.02,2724000,0.0,0
2010-05-20,34.15,34.75,33.34,33.94,2340100,0.0,0
2010-05-21,33.58,35.31,33.07,34.6,2833500,0.0,0
2010-05-24,34.15,34.82,33.63,33.66,2136300,0.0,0
2010-05-25,32.57,34.02,32.38,33.8,2567100,0.0,0
2010-05-26,34.19,34.6,33.4,33.52,2159700,0.0,0
2010-05-27,34.23,34.81,34.23,34.76,2251200,0.0,0
2010-05-28,34.82,34.99,34.03,34.7,1915600,0.0,0
2010-06-01,34.49,35.51,34.15,34.16,1772000,0.0,0
2010-06-02,34.19,36.3,34.19,36.26,3285800,0.0,0
2010-06-03,36.47,37.72,36.37,37.56,4378000,0.0,0
2010-06-04,36.42,37.45,35.65,35.79,2490300,0.0,0
2010-06-07,35.82,36.2,34.11,34.16,3492200,0.0,0
2010-06-08,34.21,34.58,33.32,34.5,3480100,0.0,0
2010-06-09,34.63,35.64,33.83,33.97,2342100,0.0,0
2010-06-10,34.84,36.19,34.83,36.12,3026400,0.0,0
2010-06-11,35.39,36.85,35.2,36.79,1951700,0.0,0
2010-06-14,37.23,37.6,36.92,37.02,1648000,0.0,0
2010-06-15,37.24,39.08,37.12,38.96,3364700,0.0,0
2010-06-16,38.61,39.79,38.36,39.17,2501800,0.0,0
2010-06-17,39.2,39.41,38.39,39.1,1198700,0.0,0
2010-06-18,38.9,39.37,38.39,38.48,2472300,0.0,0
2010-06-21,39.01,39.29,38.11,38.37,1559400,0.0,0
2010-06-22,38.55,38.78,37.13,37.2,2187900,0.0,0
2010-06-23,37.17,37.57,36.39,37.13,2438700,0.0,0
2010-06-24,37.12,37.14,36.22,36.63,1579200,0.0,0
2010-06-25,36.86,37.31,36.08,36.89,2052400,0.0,0
2010-06-28,36.89,37.89,36.62,37.38,1963900,0.0,0
2010-06-29,36.58,36.64,35.48,35.77,2567200,0.0,0
2010-06-30,35.85,36.24,34.82,34.88,2088200,0.0,0
2010-07-01,34.8,35.32,33.92,34.84,3454100,0.0,0
2010-07-02,35.04,35.15,33.87,34.42,2583200,0.0,0
2010-07-06,35.0,35.46,33.85,34.34,2837300,0.0,0
2010-07-07,34.24,36.4,34.24,36.36,2046400,0.0,0
2010-07-08,36.73,36.82,35.05,35.51,3455300,0.0,0
