Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-10,30.78,31.08,28.65,29.14,35019100,0.0,0
2016-11-11,28.63,28.91,27.71,28.71,6020100,0.0,0
2016-11-14,28.19,29.23,27.62,29.0,4481900,0.0,0
2016-11-15,28.47,29.49,28.45,29.23,3667200,0.0,0
2016-11-16,29.56,30.78,29.41,30.45,4342300,0.0,0
2016-11-17,30.16,31.76,29.43,31.23,5252000,0.0,0
2016-11-18,30.88,31.8,30.54,31.39,4253400,0.0,0
2016-11-21,30.99,31.22,30.06,30.49,5036700,0.0,0
2016-11-22,30.28,31.85,29.23,31.41,5601700,0.0,0
2016-11-23,31.41,32.15,31.22,31.72,3619500,0.0,0
2016-11-25,31.47,31.49,31.0,31.31,827800,0.0,0
2016-11-28,31.0,32.18,30.9,31.45,1928500,0.0,0
2016-11-29,31.75,32.05,31.43,31.88,2139500,0.0,0
2016-11-30,31.95,32.95,31.7,32.16,2764900,0.0,0
2016-12-01,31.74,31.95,30.92,31.23,2914900,0.0,0
2016-12-02,30.89,31.9,30.75,31.69,1213100,0.0,0
2016-12-05,31.58,32.43,31.46,32.33,2004700,0.0,0
2016-12-06,32.13,32.53,31.9,32.49,1622900,0.0,0
2016-12-07,32.73,33.6,32.66,33.38,3809400,0.0,0
2016-12-08,33.54,34.58,33.25,34.52,2603000,0.0,0
2016-12-09,34.41,35.07,34.2,34.95,1993100,0.0,0
2016-12-12,34.95,35.75,34.88,35.28,1258300,0.0,0
2016-12-13,35.52,35.63,34.27,35.14,1814000,0.0,0
2016-12-14,35.18,35.54,33.59,33.77,3886300,0.0,0
2016-12-15,33.68,33.88,32.81,33.03,1555100,0.0,0
2016-12-16,32.99,34.07,32.93,33.87,3784000,0.0,0
2016-12-19,33.92,34.43,32.92,33.12,1983200,0.0,0
2016-12-20,32.87,33.73,32.85,33.57,944900,0.0,0
2016-12-21,33.28,33.83,33.1,33.64,703600,0.0,0
2016-12-22,33.62,35.18,33.43,34.9,1438500,0.0,0
2016-12-23,34.98,35.61,34.55,35.4,888300,0.0,0
2016-12-27,35.21,36.02,35.17,35.87,822200,0.0,0
2016-12-28,35.78,36.18,35.55,35.77,533800,0.0,0
2016-12-29,35.9,36.47,35.68,36.28,658500,0.0,0
2016-12-30,36.26,37.0,36.19,36.36,773000,0.0,0
2017-01-03,36.23,37.08,35.89,36.02,2007000,0.0,0
2017-01-04,36.19,36.9,34.99,35.53,1712300,0.0,0
2017-01-05,35.53,36.23,35.04,35.18,1099600,0.0,0
2017-01-06,34.99,35.51,34.64,35.38,1368000,0.0,0
2017-01-09,35.36,35.63,34.68,35.44,1333800,0.0,0
2017-01-10,37.26,37.43,34.77,35.39,3712600,0.0,0
2017-01-11,35.26,35.74,34.6,35.44,2185900,0.0,0
2017-01-12,35.25,35.55,34.7,35.51,1235200,0.0,0
2017-01-13,35.44,35.83,35.11,35.76,1010200,0.0,0
2017-01-17,35.68,35.76,35.3,35.44,1907200,0.0,0
2017-01-18,35.3,35.43,34.98,35.2,1214200,0.0,0
2017-01-19,35.34,35.54,34.9,35.51,890400,0.0,0
2017-01-20,35.5,36.08,35.32,35.65,1337000,0.0,0
2017-01-23,35.53,35.95,35.03,35.32,2035300,0.0,0
2017-01-24,35.22,36.19,35.15,36.02,1199600,0.0,0
2017-01-25,35.98,36.31,35.01,35.23,1183300,0.0,0
2017-01-26,35.14,35.6,35.0,35.08,1015300,0.188,0
2017-01-27,35.15,35.28,34.58,35.19,1088400,0.0,0
2017-01-30,34.96,35.66,34.96,35.52,912300,0.0,0
2017-01-31,35.42,36.26,35.42,36.08,1625200,0.0,0
2017-02-01,36.29,36.66,35.88,36.47,2212200,0.0,0
2017-02-02,36.4,37.48,36.32,37.1,2496300,0.0,0
2017-02-03,37.17,38.11,37.14,37.56,1495200,0.0,0
2017-02-06,37.78,38.0,37.39,37.89,1097600,0.0,0
2017-02-07,37.9,38.43,37.64,38.05,1362100,0.0,0
2017-02-08,37.93,38.32,37.25,37.81,1575200,0.0,0
2017-02-09,37.81,38.16,37.36,37.74,1138900,0.0,0
2017-02-10,37.66,38.21,37.27,37.92,868900,0.0,0
2017-02-13,37.89,38.34,37.49,38.07,1128300,0.0,0
2017-02-14,37.98,38.37,37.9,38.29,1098400,0.0,0
2017-02-15,38.14,38.38,37.85,38.27,1387700,0.0,0
2017-02-16,38.21,38.78,38.2,38.53,1034800,0.0,0
2017-02-17,38.4,38.58,37.95,38.26,1488000,0.0,0
2017-02-21,38.2,38.75,37.95,38.26,1295400,0.0,0
2017-02-22,38.05,38.62,38.05,38.48,800800,0.0,0
2017-02-23,38.58,38.58,37.92,38.14,564200,0.0,0
2017-02-24,38.14,38.3,37.97,38.22,374900,0.0,0
2017-02-27,38.33,38.33,37.74,38.12,603400,0.0,0
2017-02-28,38.08,38.42,37.84,37.84,653800,0.0,0
2017-03-01,37.76,38.66,37.73,38.58,734400,0.0,0
2017-03-02,38.33,39.0,38.2,38.84,818900,0.0,0
2017-03-03,38.7,39.08,38.17,39.01,1254100,0.0,0
2017-03-06,38.98,39.21,38.68,39.03,1784400,0.0,0
2017-03-07,38.88,39.64,38.67,39.34,1684000,0.0,0
2017-03-08,39.25,39.67,39.03,39.32,1926500,0.0,0
2017-03-09,39.39,39.69,39.15,39.57,1533800,0.0,0
2017-03-10,39.61,40.17,39.46,39.98,1544100,0.0,0
2017-03-13,39.97,40.18,39.89,40.1,1383900,0.0,0
2017-03-14,40.07,40.8,39.9,40.76,992300,0.0,0
2017-03-15,40.98,41.97,40.83,40.9,2309500,0.0,0
2017-03-16,40.83,41.04,40.31,40.55,1065300,0.0,0
2017-03-17,40.5,40.93,40.24,40.8,1609000,0.0,0
2017-03-20,40.85,41.16,40.64,41.02,1693200,0.0,0
2017-03-21,41.13,41.64,41.08,41.4,1640100,0.0,0
2017-03-22,41.54,41.98,40.97,40.98,1391700,0.0,0
2017-03-23,40.94,41.79,40.77,41.53,1135600,0.0,0
2017-03-24,41.52,41.75,41.2,41.2,1338300,0.0,0
2017-03-27,41.07,41.54,40.77,41.48,812700,0.0,0
2017-03-28,41.39,41.71,41.19,41.44,901800,0.0,0
2017-03-29,41.41,41.47,41.06,41.17,704000,0.0,0
2017-03-30,41.23,41.23,40.61,40.64,640800,0.0,0
2017-03-31,40.62,40.7,40.37,40.61,1003800,0.0,0
2017-04-03,40.57,40.8,40.31,40.56,914700,0.0,0
2017-04-04,40.63,40.77,40.11,40.74,1297300,0.0,0
2017-04-05,40.68,41.04,40.27,40.3,816300,0.0,0
2017-04-06,41.64,41.91,39.21,41.66,2956500,0.0,0
2017-04-07,40.68,41.77,40.31,41.51,2618100,0.0,0
2017-04-10,41.46,41.53,40.73,41.29,1236700,0.0,0
2017-04-11,41.31,41.41,40.65,41.41,1170500,0.0,0
2017-04-12,41.42,41.47,40.63,40.71,717600,0.0,0
2017-04-13,40.73,40.88,40.43,40.43,531800,0.0,0
2017-04-17,40.45,40.81,40.32,40.78,508300,0.0,0
2017-04-18,40.82,40.98,40.55,40.92,812900,0.0,0
2017-04-19,40.84,40.93,40.57,40.75,526300,0.0,0
2017-04-20,40.85,41.27,40.57,41.13,415600,0.0,0
2017-04-21,41.11,41.11,40.59,40.81,679600,0.0,0
2017-04-24,41.07,41.24,40.75,41.2,555600,0.0,0
2017-04-25,41.37,41.45,40.83,41.0,840100,0.0,0
2017-04-26,41.06,41.1,40.7,40.97,901200,0.188,0
2017-04-27,40.87,41.56,40.86,41.36,991400,0.0,0
2017-04-28,41.31,41.36,40.3,40.49,1186100,0.0,0
2017-05-01,40.6,40.71,40.11,40.54,1440300,0.0,0
2017-05-02,40.43,40.76,39.68,40.14,1039700,0.0,0
2017-05-03,39.93,40.19,39.6,39.67,800600,0.0,0
2017-05-04,39.94,40.15,39.52,40.02,959100,0.0,0
2017-05-05,39.94,40.38,39.94,40.32,595200,0.0,0
2017-05-08,40.17,40.37,39.88,40.33,739200,0.0,0
2017-05-09,40.37,40.64,40.07,40.49,715000,0.0,0
2017-05-10,40.43,41.19,40.4,41.19,1017200,0.0,0
2017-05-11,41.06,41.22,40.66,40.93,1006900,0.0,0
2017-05-12,40.8,41.09,40.8,40.93,523100,0.0,0
2017-05-15,40.87,41.67,40.87,41.64,601600,0.0,0
2017-05-16,41.93,43.17,41.8,43.13,1805900,0.0,0
2017-05-17,43.13,43.36,42.7,42.84,1248000,0.0,0
2017-05-18,42.72,42.89,42.4,42.62,2490800,0.0,0
2017-05-19,43.08,43.49,42.72,43.04,740200,0.0,0
2017-05-22,43.16,43.4,42.96,43.24,531800,0.0,0
2017-05-23,43.17,43.38,42.83,42.89,650800,0.0,0
2017-05-24,43.34,44.14,43.06,44.12,1182000,0.0,0
2017-05-25,44.21,44.54,44.03,44.26,561400,0.0,0
2017-05-26,44.18,44.43,43.95,44.29,434200,0.0,0
2017-05-30,44.13,44.93,44.04,44.78,756900,0.0,0
2017-05-31,44.92,45.41,44.92,45.01,879700,0.0,0
2017-06-01,45.08,45.97,44.94,45.9,740500,0.0,0
2017-06-02,46.13,46.55,45.59,45.95,634100,0.0,0
2017-06-05,45.73,46.03,45.01,45.3,653600,0.0,0
2017-06-06,45.25,45.3,44.56,45.27,568100,0.0,0
2017-06-07,45.35,45.79,44.93,45.5,691100,0.0,0
2017-06-08,45.49,45.5,45.08,45.1,374000,0.0,0
2017-06-09,45.18,45.35,44.47,44.64,862700,0.0,0
2017-06-12,44.77,44.89,43.84,44.06,611500,0.0,0
2017-06-13,44.23,44.85,44.1,44.6,592500,0.0,0
2017-06-14,44.42,44.74,44.09,44.22,760000,0.0,0
2017-06-15,44.09,44.27,43.7,43.96,480300,0.0,0
2017-06-16,43.82,43.91,42.57,43.71,1658200,0.0,0
2017-06-19,43.61,44.28,43.61,44.18,906200,0.0,0
2017-06-20,44.48,44.55,44.11,44.35,447500,0.0,0
2017-06-21,44.53,44.79,44.2,44.44,812100,0.0,0
2017-06-22,44.45,44.63,44.04,44.22,310800,0.0,0
2017-06-23,44.17,44.35,43.95,44.19,2435400,0.0,0
2017-06-26,44.25,44.36,43.7,43.98,483000,0.0,0
2017-06-27,43.92,44.0,43.18,43.34,591400,0.0,0
2017-06-28,43.51,44.36,43.31,44.0,663600,0.0,0
2017-06-29,43.94,43.95,42.71,42.8,762100,0.0,0
2017-06-30,42.96,43.17,42.64,42.71,652600,0.0,0
2017-07-03,42.7,42.83,42.02,42.54,618100,0.0,0
2017-07-05,42.36,42.74,41.96,41.97,820600,0.0,0
2017-07-06,41.83,41.94,41.46,41.61,726300,0.0,0
2017-07-07,41.72,42.09,41.47,41.8,516800,0.0,0
2017-07-10,41.9,41.96,41.3,41.45,1034900,0.0,0
2017-07-11,41.52,42.49,41.3,42.47,1129600,0.0,0
2017-07-12,42.68,43.19,42.43,42.68,931900,0.0,0
2017-07-13,42.7,42.86,42.17,42.45,696700,0.0,0
2017-07-14,42.48,42.76,42.29,42.34,358100,0.0,0
2017-07-17,42.36,42.85,42.09,42.67,512500,0.0,0
2017-07-18,42.7,43.01,42.54,42.8,568800,0.0,0
2017-07-19,42.87,43.23,42.72,43.04,592600,0.0,0
2017-07-20,43.1,43.17,42.89,42.95,470100,0.0,0
2017-07-21,42.97,43.84,42.94,43.65,1989000,0.0,0
2017-07-24,43.46,43.9,43.12,43.4,961900,0.0,0
2017-07-25,45.95,48.44,43.67,44.31,3175200,0.0,0
2017-07-26,44.14,44.63,42.85,42.95,1260000,0.0,0
2017-07-27,42.96,43.2,42.4,42.54,1866100,0.0,0
2017-07-28,42.38,42.85,42.29,42.5,951100,0.0,0
2017-07-31,42.34,42.82,42.33,42.66,1196700,0.0,0
2017-08-01,42.88,42.93,42.59,42.71,1093500,0.0,0
2017-08-02,42.72,42.99,42.13,42.62,1002600,0.188,0
2017-08-03,42.61,42.61,42.0,42.1,691500,0.0,0
2017-08-04,42.28,42.49,41.79,42.49,441600,0.0,0
2017-08-07,42.49,42.97,42.28,42.72,555500,0.0,0
2017-08-08,42.61,42.62,42.09,42.43,789300,0.0,0
2017-08-09,42.32,42.67,41.88,42.38,690700,0.0,0
2017-08-10,42.3,43.23,42.16,43.19,620000,0.0,0
2017-08-11,43.18,43.65,42.94,43.65,452800,0.0,0
2017-08-14,43.71,43.89,43.54,43.65,690800,0.0,0
2017-08-15,43.74,43.91,43.54,43.85,439800,0.0,0
2017-08-16,43.94,44.39,43.75,44.18,523200,0.0,0
2017-08-17,44.12,44.71,43.95,44.19,729800,0.0,0
2017-08-18,44.04,44.13,43.7,44.1,755600,0.0,0
2017-08-21,43.97,44.4,43.85,44.27,697200,0.0,0
2017-08-22,44.32,44.78,44.21,44.48,858600,0.0,0
2017-08-23,44.39,44.55,43.86,44.41,709100,0.0,0
2017-08-24,44.43,44.43,43.65,43.83,1029500,0.0,0
2017-08-25,43.89,44.06,43.65,43.87,983000,0.0,0
2017-08-28,44.02,44.02,43.56,43.72,981200,0.0,0
2017-08-29,43.62,43.99,43.57,43.9,975900,0.0,0
2017-08-30,43.94,44.07,43.52,44.0,731800,0.0,0
2017-08-31,43.94,44.52,43.84,44.3,652000,0.0,0
2017-09-01,44.53,44.95,44.37,44.8,545600,0.0,0
2017-09-05,44.86,45.03,44.38,44.55,1071500,0.0,0
2017-09-06,44.55,44.62,43.85,44.14,730500,0.0,0
2017-09-07,44.21,44.4,43.87,44.11,721100,0.0,0
2017-09-08,44.04,44.71,43.75,44.26,631400,0.0,0
2017-09-11,44.49,44.93,44.3,44.45,567100,0.0,0
2017-09-12,44.49,44.82,44.33,44.81,714000,0.0,0
2017-09-13,44.85,45.53,44.85,45.34,848300,0.0,0
2017-09-14,45.28,45.34,44.82,44.87,636300,0.0,0
2017-09-15,44.96,45.3,44.92,45.19,1962700,0.0,0
2017-09-18,45.1,45.25,44.68,45.08,583100,0.0,0
2017-09-19,45.09,45.23,44.8,45.19,666400,0.0,0
2017-09-20,45.17,45.51,44.98,45.44,815700,0.0,0
2017-09-21,45.51,45.53,44.64,44.67,284600,0.0,0
2017-09-22,44.79,44.94,44.15,44.2,380800,0.0,0
2017-09-25,44.18,44.42,43.85,44.0,857600,0.0,0
2017-09-26,44.09,44.63,44.0,44.35,598000,0.0,0
2017-09-27,44.64,45.04,44.45,44.85,686400,0.0,0
2017-09-28,44.79,45.42,44.69,45.37,685700,0.0,0
2017-09-29,45.25,45.93,45.25,45.67,910200,0.0,0
2017-10-02,45.59,46.92,45.47,46.31,1324700,0.0,0
2017-10-03,46.31,46.38,45.74,45.95,1275800,0.0,0
2017-10-04,47.41,47.58,45.1,47.15,2031300,0.0,0
2017-10-05,47.57,47.87,47.28,47.33,905800,0.0,0
2017-10-06,47.33,47.86,47.33,47.86,760100,0.0,0
2017-10-09,47.87,47.93,47.45,47.56,545200,0.0,0
2017-10-10,47.82,47.96,47.58,47.77,781700,0.0,0
2017-10-11,47.78,48.46,47.68,48.09,739300,0.0,0
2017-10-12,48.08,48.44,47.73,48.41,504700,0.0,0
2017-10-13,48.6,48.74,48.32,48.7,534800,0.0,0
2017-10-16,48.7,49.5,48.7,49.38,665600,0.0,0
2017-10-17,49.24,49.29,48.62,48.92,1048600,0.0,0
2017-10-18,49.07,49.25,48.92,49.25,763000,0.0,0
2017-10-19,49.16,49.37,48.83,49.0,487800,0.0,0
2017-10-20,49.1,49.46,48.93,49.32,501300,0.0,0
2017-10-23,49.3,49.75,49.21,49.58,710000,0.0,0
2017-10-24,49.35,49.87,49.14,49.4,409700,0.0,0
2017-10-25,49.73,49.83,49.04,49.31,596400,0.0,0
2017-10-26,49.34,49.61,49.26,49.29,298900,0.0,0
2017-10-27,49.3,49.55,48.78,49.5,374500,0.0,0
2017-10-30,49.38,49.65,48.96,49.07,475500,0.0,0
2017-10-31,49.22,50.22,49.09,49.67,478900,0.0,0
2017-11-01,49.7,50.62,49.7,50.02,650400,0.0,0
2017-11-02,49.96,50.7,49.76,50.64,996700,0.188,0
2017-11-03,50.57,51.26,50.31,50.95,660600,0.0,0
2017-11-06,51.23,51.3,50.56,50.9,446600,0.0,0
2017-11-07,51.02,51.18,50.3,50.5,435800,0.0,0
2017-11-08,50.57,51.24,50.51,51.22,465000,0.0,0
2017-11-09,51.03,51.28,50.42,50.47,415200,0.0,0
2017-11-10,50.21,51.07,49.47,50.8,733100,0.0,0
2017-11-13,50.72,51.67,50.64,51.6,747900,0.0,0
2017-11-14,51.53,52.8,51.31,52.2,809600,0.0,0
2017-11-15,52.1,52.1,51.52,51.56,1070200,0.0,0
2017-11-16,51.8,52.82,51.8,52.25,1499100,0.0,0
2017-11-17,52.02,52.79,51.97,52.02,853000,0.0,0
2017-11-20,52.02,52.7,52.02,52.49,617700,0.0,0
2017-11-21,52.53,52.99,52.43,52.54,726500,0.0,0
2017-11-22,52.54,53.06,52.27,53.04,541100,0.0,0
2017-11-24,53.18,53.43,52.97,53.22,130900,0.0,0
2017-11-27,53.21,53.26,52.77,52.82,997500,0.0,0
2017-11-28,52.87,53.23,52.52,52.82,2590800,0.0,0
2017-11-29,52.77,53.15,52.29,52.74,1096900,0.0,0
2017-11-30,52.73,53.27,52.55,53.15,2492700,0.0,0
2017-12-01,53.28,53.7,52.66,53.63,1410000,0.0,0
2017-12-04,53.78,53.92,53.4,53.72,795300,0.0,0
2017-12-05,53.87,53.87,53.22,53.23,666000,0.0,0
2017-12-06,53.23,53.67,53.14,53.23,559600,0.0,0
2017-12-07,53.04,53.93,53.03,53.75,1004800,0.0,0
2017-12-08,53.82,55.16,53.72,54.94,1608000,0.0,0
2017-12-11,54.89,55.92,54.85,55.61,1390400,0.0,0
2017-12-12,55.71,55.76,54.41,54.5,672700,0.0,0
2017-12-13,54.65,54.83,54.45,54.55,923600,0.0,0
2017-12-14,54.46,54.7,54.17,54.21,493700,0.0,0
2017-12-15,54.08,54.5,53.97,54.26,2592300,0.0,0
2017-12-18,54.41,55.24,54.29,54.87,1000100,0.0,0
2017-12-19,55.07,55.42,54.51,54.6,787900,0.0,0
2017-12-20,54.78,54.83,54.12,54.73,1110100,0.0,0
2017-12-21,54.79,54.99,54.06,54.19,776200,0.0,0
2017-12-22,54.43,54.74,54.14,54.57,835800,0.0,0
2017-12-26,54.56,54.61,53.88,53.95,492000,0.0,0
2017-12-27,54.09,54.48,53.97,54.22,571100,0.0,0
2017-12-28,54.39,54.82,54.18,54.61,668100,0.0,0
2017-12-29,54.67,56.22,54.57,55.19,1163400,0.0,0
2018-01-02,55.23,55.5,53.94,54.13,938900,0.0,0
2018-01-03,54.36,55.18,53.99,54.81,1631600,0.0,0
2018-01-04,54.31,56.69,52.01,55.94,3492400,0.0,0
2018-01-05,55.96,56.7,55.47,56.41,2317200,0.0,0
2018-01-08,56.53,57.38,56.01,57.25,958600,0.0,0
2018-01-09,57.18,57.39,56.68,56.74,891700,0.0,0
2018-01-10,56.96,57.15,56.28,56.58,997800,0.0,0
2018-01-11,56.72,56.94,56.24,56.7,1429700,0.0,0
2018-01-12,56.69,57.13,56.33,56.98,1095800,0.0,0
2018-01-16,57.09,57.77,57.04,57.21,1013600,0.0,0
2018-01-17,57.43,58.3,57.19,58.01,680100,0.0,0
2018-01-18,58.04,58.2,57.32,57.71,1657000,0.0,0
2018-01-19,57.86,58.93,57.86,58.7,976700,0.0,0
2018-01-22,58.92,59.49,58.7,58.95,794100,0.0,0
2018-01-23,58.81,59.3,58.51,58.97,577400,0.0,0
2018-01-24,59.05,59.39,58.46,58.53,828300,0.0,0
2018-01-25,58.73,59.11,57.58,57.92,704600,0.0,0
2018-01-26,57.91,58.52,57.49,58.46,445000,0.0,0
2018-01-29,58.16,58.88,57.76,57.77,709100,0.0,0
2018-01-30,57.36,57.77,56.74,56.95,950300,0.0,0
2018-01-31,57.15,57.82,56.89,57.29,861000,0.0,0
2018-02-01,57.28,57.67,55.92,56.3,1690200,0.191,0
2018-02-02,56.05,56.55,55.15,55.7,1788400,0.0,0
2018-02-05,55.65,56.43,55.09,55.26,2142200,0.0,0
