Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-04-28,16.36,16.36,15.96,16.18,5244400,0.0,0
2010-04-29,16.18,17.1,16.1,16.91,8773600,0.0,0
2010-04-30,16.87,16.91,16.36,16.4,1644400,0.0,0
2010-05-03,16.73,16.87,16.65,16.76,3302700,0.0,0
2010-05-04,16.76,16.76,15.81,15.81,2276500,0.0,0
2010-05-05,16.18,16.18,14.71,15.14,6999200,0.0,0
2010-05-06,15.07,15.11,13.57,14.3,8029400,0.0,0
2010-05-07,14.34,14.37,13.16,13.68,3881500,0.0,0
2010-05-10,14.52,14.6,13.75,13.98,3861100,0.0,0
2010-05-11,13.79,14.18,13.79,13.9,2626900,0.0,0
2010-05-12,14.12,14.74,14.12,14.56,5714300,0.0,0
2010-05-13,14.6,14.78,14.41,14.45,2475900,0.0,0
2010-05-14,14.19,14.26,13.79,13.79,3133400,0.0,0
2010-05-17,13.97,14.12,13.75,13.86,10117000,0.0,0
2010-05-18,14.01,14.21,13.42,13.82,6219800,0.0,0
2010-05-19,13.9,13.92,12.9,13.01,6227700,0.0,0
2010-05-20,12.6,12.6,11.91,12.43,10248400,0.0,0
2010-05-21,12.02,12.59,11.95,12.17,4560800,0.0,0
2010-05-24,12.28,12.61,12.26,12.43,1761300,0.0,0
2010-05-25,12.35,12.35,11.91,12.18,4649600,0.0,0
2010-05-26,12.49,12.79,12.35,12.61,2079300,0.0,0
2010-05-27,12.98,13.24,12.98,13.16,3156100,0.0,0
2010-05-28,13.16,13.16,11.95,13.07,222200,0.0,0
2010-06-01,12.98,13.09,12.65,12.87,900800,0.0,0
2010-06-02,12.95,12.99,12.66,12.74,829900,0.0,0
2010-06-03,12.83,12.87,12.61,12.74,2173600,0.0,0
2010-06-04,12.54,12.57,12.32,12.54,3147200,0.0,0
2010-06-07,12.61,12.65,12.31,12.42,2826800,0.0,0
2010-06-08,12.52,12.52,12.13,12.32,2037700,0.0,0
2010-06-09,12.35,12.57,12.28,12.35,1410200,0.0,0
2010-06-10,12.48,12.55,12.39,12.48,1401000,0.0,0
2010-06-11,12.46,12.64,12.46,12.6,452500,0.0,0
2010-06-14,12.64,12.93,12.64,12.86,1008500,0.0,0
2010-06-15,12.85,13.24,12.76,13.21,1974300,0.0,0
2010-06-16,13.18,13.21,12.96,12.97,1041500,0.0,0
2010-06-17,13.0,13.05,12.6,12.72,1090600,0.0,0
2010-06-18,12.74,12.76,12.61,12.65,1373700,0.0,0
2010-06-21,12.83,12.89,12.57,12.57,514100,0.0,0
2010-06-22,12.57,12.57,12.35,12.38,1502900,0.0,0
2010-06-23,12.43,12.46,12.21,12.24,1125700,0.0,0
2010-06-24,12.27,12.44,12.02,12.35,2151600,0.0,0
2010-06-25,12.43,12.44,12.28,12.37,612000,0.0,0
2010-06-28,12.4,12.4,12.28,12.4,355800,0.0,0
2010-06-29,12.31,12.31,11.95,11.95,2561000,0.0,0
2010-06-30,11.96,12.13,11.87,11.87,1534100,0.0,0
2010-07-01,11.94,11.99,11.32,11.43,4006100,0.0,0
2010-07-02,11.46,11.54,11.32,11.38,231700,0.0,0
2010-07-06,11.4,11.46,10.96,11.07,833700,0.0,0
2010-07-07,11.07,11.14,10.93,11.03,2137200,0.0,0
2010-07-08,10.99,11.14,10.99,11.07,2422200,0.0,0
2010-07-09,11.1,11.78,11.03,11.62,1478700,0.0,0
2010-07-12,11.63,11.78,11.62,11.63,786100,0.0,0
2010-07-13,11.64,12.13,11.64,12.06,1647300,0.0,0
2010-07-14,12.06,12.1,11.95,12.06,1537200,0.0,0
2010-07-15,12.08,12.08,11.76,12.04,905900,0.0,0
2010-07-16,11.99,11.99,11.76,11.91,624700,0.0,0
2010-07-19,11.9,12.28,11.85,12.1,497300,0.0,0
2010-07-20,12.09,12.09,11.87,11.9,1244700,0.0,0
2010-07-21,11.9,11.99,11.9,11.94,1801200,0.0,0
2010-07-22,11.96,12.2,11.96,12.17,1126300,0.0,0
2010-07-23,12.17,12.35,12.15,12.34,1415100,0.0,0
2010-07-26,12.5,13.01,12.5,12.98,3400400,0.0,0
2010-07-27,13.18,13.49,12.68,13.4,5778800,0.0,0
2010-07-28,13.4,13.4,13.1,13.18,2440000,0.0,0
2010-07-29,13.31,13.35,13.12,13.19,1598500,0.0,0
2010-07-30,13.18,13.29,13.0,13.24,2023100,0.0,0
2010-08-02,13.35,13.43,13.27,13.28,1543000,0.0,0
2010-08-03,13.3,13.32,13.01,13.16,1558700,0.0,0
2010-08-04,13.16,13.57,13.16,13.46,4194300,0.0,0
2010-08-05,13.46,13.46,13.38,13.41,252300,0.0,0
