Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.53,20.66,20.32,20.46,2059700,0.0,0
2009-12-08,20.45,20.63,20.12,20.49,2133700,0.0,0
2009-12-09,20.51,20.69,20.33,20.63,2789700,0.0,0
2009-12-10,20.65,21.11,20.65,20.86,3299900,0.0,0
2009-12-11,20.97,21.0,20.64,20.82,2392000,0.0,0
2009-12-14,21.01,21.25,20.9,21.14,1866600,0.0,0
2009-12-15,21.08,21.41,20.97,21.01,3210400,0.0,0
2009-12-16,21.14,21.66,21.12,21.23,3431200,0.0,0
2009-12-17,21.16,21.28,20.94,20.94,2684800,0.0,0
2009-12-18,21.09,21.11,20.72,20.94,4790300,0.0,0
2009-12-21,21.02,21.28,21.0,21.25,2690100,0.0,0
2009-12-22,21.34,21.52,21.28,21.34,2783500,0.0,0
2009-12-23,21.44,21.52,21.32,21.43,1344800,0.0,0
2009-12-24,21.52,21.6,21.44,21.56,609100,0.0,0
2009-12-28,21.64,21.65,21.37,21.47,1056600,0.0,0
2009-12-29,21.44,21.53,21.26,21.39,1245400,0.0,0
2009-12-30,21.36,21.71,21.35,21.7,1453400,0.0,0
2009-12-31,21.74,21.78,21.41,21.41,1337900,0.0,0
2010-01-04,21.71,21.72,21.44,21.5,1518700,0.0,0
2010-01-05,21.53,21.6,21.1,21.16,7795500,0.0,0
2010-01-06,21.15,21.31,20.95,20.99,2783800,0.0,0
2010-01-07,21.14,21.14,20.72,20.88,1788500,0.0,0
2010-01-08,20.86,21.08,20.69,21.0,2050100,0.0,0
2010-01-11,21.0,21.05,20.77,20.97,2244800,0.0,0
2010-01-12,20.89,21.03,20.44,20.63,2334500,0.0,0
2010-01-13,20.72,20.84,20.35,20.8,2016800,0.0,0
2010-01-14,20.72,20.75,20.42,20.66,2258700,0.0,0
2010-01-15,20.48,20.72,20.1,20.18,2334700,0.0,0
2010-01-19,20.21,20.52,20.21,20.46,1519700,0.0,0
2010-01-20,20.26,20.46,19.95,20.27,4018300,0.0,0
2010-01-21,20.29,20.59,19.96,20.07,3660800,0.0,0
2010-01-22,20.07,20.07,19.29,19.31,4439300,0.0,0
2010-01-25,19.37,19.62,19.36,19.48,3903200,0.0,0
2010-01-26,19.42,19.71,19.29,19.48,3405400,0.0,0
2010-01-27,19.38,19.69,19.28,19.63,3045200,0.0,0
2010-01-28,19.6,19.68,19.01,19.45,5168400,0.0,0
2010-01-29,19.45,19.86,18.99,19.02,3841700,0.0,0
2010-02-01,19.16,19.59,19.01,19.54,3192400,0.0,0
2010-02-02,19.6,19.67,19.33,19.57,3464700,0.0,0
2010-02-03,19.49,19.88,19.21,19.84,4436600,0.0,0
2010-02-04,19.6,19.61,18.82,19.12,5575400,0.0,0
2010-02-05,19.1,19.43,18.94,19.37,3763400,0.0,0
2010-02-08,19.48,19.69,19.16,19.37,2366100,0.0,0
2010-02-09,19.62,19.66,19.17,19.46,3501900,0.0,0
2010-02-10,19.45,19.72,19.31,19.65,2453100,0.0,0
2010-02-11,19.59,20.08,19.43,20.04,3088200,0.0,0
2010-02-12,19.85,20.25,19.62,20.07,2693100,0.0,0
2010-02-16,20.23,20.34,20.13,20.3,2811700,0.341,0
2010-02-17,20.4,20.42,19.9,20.19,3858100,0.0,0
2010-02-18,20.2,20.38,20.06,20.35,2677000,0.0,0
2010-02-19,20.43,20.55,20.21,20.46,1697200,0.0,0
2010-02-22,20.59,20.59,20.18,20.21,2296900,0.0,0
2010-02-23,20.16,20.28,19.93,20.06,3270700,0.0,0
2010-02-24,20.22,20.54,20.22,20.37,1743000,0.0,0
2010-02-25,20.13,20.27,19.83,20.24,2271600,0.0,0
2010-02-26,20.19,20.35,19.96,20.19,1847800,0.0,0
2010-03-01,20.36,20.54,20.22,20.52,1702800,0.0,0
2010-03-02,20.35,20.6,20.28,20.37,2904700,0.0,0
2010-03-03,20.49,20.52,20.09,20.16,1826200,0.0,0
2010-03-04,20.26,20.3,19.91,20.15,3051500,0.0,0
2010-03-05,20.25,20.47,20.04,20.34,2023900,0.0,0
2010-03-08,20.31,20.34,20.16,20.22,1065800,0.0,0
2010-03-09,20.13,20.19,19.98,20.09,1778900,0.0,0
2010-03-10,20.07,20.4,20.05,20.36,2512500,0.0,0
2010-03-11,20.3,20.59,20.03,20.53,4054200,0.0,0
2010-03-12,20.52,21.09,20.45,21.07,5353000,0.0,0
2010-03-15,20.9,21.08,20.69,20.78,3585700,0.0,0
2010-03-16,21.16,21.37,20.75,21.16,4567100,0.0,0
2010-03-17,21.14,21.46,21.14,21.35,3174100,0.0,0
2010-03-18,21.31,21.33,21.04,21.25,2156700,0.0,0
2010-03-19,21.29,21.41,20.97,21.08,3595500,0.0,0
2010-03-22,21.05,21.56,21.04,21.49,2569300,0.0,0
2010-03-23,21.57,21.73,21.46,21.69,2561600,0.0,0
2010-03-24,21.49,21.58,21.27,21.31,2218000,0.0,0
2010-03-25,21.47,21.59,21.27,21.27,2118900,0.0,0
2010-03-26,21.37,21.51,21.08,21.22,1697700,0.0,0
2010-03-29,21.27,21.46,21.25,21.31,1372400,0.0,0
2010-03-30,21.27,21.45,21.1,21.22,2656700,0.0,0
2010-03-31,21.05,21.28,20.96,21.02,4635100,0.0,0
2010-04-01,21.16,21.43,20.99,21.19,1889400,0.0,0
2010-04-05,21.26,21.53,21.25,21.4,2151800,0.0,0
2010-04-06,21.38,21.44,21.23,21.41,2179600,0.0,0
2010-04-07,21.31,21.62,21.21,21.43,1878500,0.0,0
2010-04-08,21.28,21.28,21.03,21.24,3080700,0.0,0
2010-04-09,21.29,21.4,21.16,21.37,2405300,0.0,0
2010-04-12,21.46,21.57,21.36,21.44,1967700,0.0,0
2010-04-13,21.46,21.75,21.41,21.72,1841200,0.0,0
2010-04-14,21.84,22.71,21.77,22.69,5311600,0.0,0
2010-04-15,22.62,22.85,22.4,22.59,4048900,0.0,0
2010-04-16,22.57,22.57,22.22,22.49,4432400,0.0,0
2010-04-19,22.52,22.57,21.9,22.3,3529100,0.0,0
2010-04-20,22.98,23.13,22.76,22.8,4983400,0.0,0
2010-04-21,22.84,22.89,22.21,22.49,3665600,0.0,0
2010-04-22,22.19,22.77,21.93,22.75,3585900,0.0,0
2010-04-23,22.81,22.86,22.38,22.84,2511100,0.0,0
2010-04-26,22.89,23.06,22.75,22.85,2786700,0.0,0
2010-04-27,22.78,22.85,22.13,22.17,2773200,0.0,0
2010-04-28,22.42,22.57,22.1,22.38,4026300,0.0,0
2010-04-29,22.58,22.66,22.31,22.64,2379500,0.0,0
2010-04-30,22.71,22.71,21.77,21.8,2875800,0.0,0
2010-05-03,21.84,22.16,21.78,22.14,2459000,0.0,0
2010-05-04,21.96,22.04,21.34,21.52,5799500,0.0,0
2010-05-05,21.54,21.82,21.27,21.63,3692700,0.0,0
2010-05-06,22.05,22.05,19.5,20.83,7999800,0.0,0
2010-05-07,20.69,21.13,20.04,20.75,6228600,0.0,0
2010-05-10,21.49,21.56,21.19,21.54,3200700,0.0,0
2010-05-11,21.42,21.72,21.26,21.43,3046200,0.0,0
2010-05-12,21.43,21.82,21.34,21.8,2888400,0.0,0
2010-05-13,21.69,21.88,21.35,21.41,3213800,0.0,0
2010-05-14,21.31,21.41,20.71,20.96,2783800,0.0,0
2010-05-17,20.87,21.37,20.83,21.36,3090200,0.342,0
2010-05-18,21.46,21.52,20.64,20.81,3384100,0.0,0
2010-05-19,20.73,21.06,20.44,20.92,2922700,0.0,0
2010-05-20,20.45,20.71,20.1,20.28,3602900,0.0,0
2010-05-21,19.92,20.93,19.91,20.67,3978200,0.0,0
2010-05-24,20.59,20.68,20.24,20.24,2409200,0.0,0
2010-05-25,19.79,20.31,19.4,20.28,4477100,0.0,0
2010-05-26,20.36,20.68,20.1,20.17,3169100,0.0,0
2010-05-27,20.62,21.25,20.46,21.21,4128800,0.0,0
2010-05-28,21.16,21.23,20.81,21.04,4765600,0.0,0
2010-06-01,20.83,21.19,20.64,20.66,2811500,0.0,0
2010-06-02,20.84,21.12,20.62,21.12,2298700,0.0,0
2010-06-03,21.15,21.36,20.98,21.33,2019400,0.0,0
2010-06-04,20.88,21.27,20.53,20.63,3104000,0.0,0
2010-06-07,20.79,20.91,20.05,20.1,2475900,0.0,0
2010-06-08,20.19,20.41,19.81,20.34,4264900,0.0,0
2010-06-09,20.55,20.96,20.22,20.4,3373300,0.0,0
2010-06-10,20.77,21.18,20.59,20.95,3521600,0.0,0
2010-06-11,20.61,21.4,20.61,21.35,2680800,0.0,0
2010-06-14,21.34,21.73,21.34,21.43,3286800,0.0,0
2010-06-15,21.53,22.32,21.49,22.29,3852900,0.0,0
2010-06-16,22.25,22.45,22.01,22.4,2913200,0.0,0
2010-06-17,22.54,22.54,22.17,22.44,1849700,0.0,0
2010-06-18,22.39,22.63,22.24,22.44,2455900,0.0,0
2010-06-21,22.63,22.66,21.98,22.16,2130100,0.0,0
2010-06-22,22.26,22.53,21.83,21.88,1856500,0.0,0
2010-06-23,21.85,22.24,21.68,22.05,2104300,0.0,0
2010-06-24,21.96,22.13,21.51,21.71,2293100,0.0,0
2010-06-25,21.69,21.86,21.47,21.8,3101300,0.0,0
2010-06-28,21.91,22.17,21.65,22.02,2130300,0.0,0
2010-06-29,21.67,21.67,20.95,21.09,3513600,0.0,0
2010-06-30,21.17,21.37,20.87,20.96,3672400,0.0,0
2010-07-01,20.94,21.24,20.56,21.11,3410100,0.0,0
2010-07-02,21.24,21.41,20.54,20.85,2240800,0.0,0
2010-07-06,21.1,21.43,20.78,21.06,3369800,0.0,0
2010-07-07,21.12,22.06,20.97,22.03,3000800,0.0,0
2010-07-08,22.17,22.25,21.71,21.99,2670900,0.0,0
2010-07-09,22.0,22.12,21.85,22.08,1586300,0.0,0
2010-07-12,22.11,22.41,22.05,22.3,3087700,0.0,0
2010-07-13,22.38,22.69,22.33,22.6,2366900,0.0,0
2010-07-14,22.63,23.03,22.49,22.65,2920000,0.0,0
2010-07-15,22.51,22.77,22.28,22.75,2149600,0.0,0
2010-07-16,22.67,22.76,22.17,22.19,2757500,0.0,0
2010-07-19,22.22,22.89,22.14,22.84,2602600,0.0,0
2010-07-20,22.47,22.81,22.07,22.79,2615600,0.0,0
2010-07-21,22.88,22.88,22.26,22.32,2879800,0.0,0
2010-07-22,22.6,23.11,22.54,23.09,2609000,0.0,0
2010-07-23,22.98,23.26,22.84,23.25,2301500,0.0,0
2010-07-26,23.19,23.84,23.06,23.81,4683400,0.0,0
2010-07-27,23.96,23.96,23.58,23.64,2376000,0.0,0
2010-07-28,23.64,23.78,23.28,23.42,1858500,0.0,0
2010-07-29,23.47,23.54,22.66,22.95,2854000,0.0,0
2010-07-30,22.69,23.09,22.54,23.0,2783600,0.0,0
2010-08-02,23.25,23.28,22.91,23.16,2670200,0.0,0
2010-08-03,23.11,23.22,22.91,23.12,1813300,0.0,0
2010-08-04,23.09,23.13,22.58,22.98,3774100,0.0,0
2010-08-05,22.75,23.24,22.73,23.24,3939800,0.0,0
2010-08-06,23.33,23.7,22.8,23.05,3867500,0.0,0
2010-08-09,23.05,23.3,22.74,23.28,2274500,0.0,0
2010-08-10,23.12,23.12,22.69,22.97,2556700,0.0,0
2010-08-11,22.44,22.47,21.93,22.12,3187900,0.0,0
2010-08-12,21.8,21.98,21.65,21.86,2584700,0.0,0
