Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,55.93,56.86,55.87,55.98,1996100,0.0,0
2009-12-08,55.9,56.5,55.78,56.33,3490800,0.0,0
2009-12-09,56.32,56.32,55.35,55.96,3161000,0.0,0
2009-12-10,55.96,57.55,55.86,57.35,2366100,0.0,0
2009-12-11,57.49,57.81,56.99,57.22,1615100,0.0,0
2009-12-14,57.75,58.17,57.53,57.91,1458800,0.0,0
2009-12-15,58.03,58.94,57.67,58.6,2428400,0.0,0
2009-12-16,58.89,58.92,58.23,58.48,2066200,0.0,0
2009-12-17,58.28,58.66,57.77,58.53,2082200,0.0,0
2009-12-18,58.82,58.82,57.89,58.2,1929700,0.0,0
2009-12-21,58.63,59.29,58.37,58.47,2071100,0.0,0
2009-12-22,58.45,58.86,57.8,57.89,1556100,0.0,0
2009-12-23,58.14,58.37,57.69,57.74,1096800,0.0,0
2009-12-24,58.05,58.13,57.5,57.75,590200,0.0,0
2009-12-28,58.14,58.37,57.8,58.33,1040900,0.0,0
2009-12-29,58.41,58.83,58.33,58.77,1138400,0.0,0
2009-12-30,58.88,58.88,57.93,58.31,697900,0.0,0
2009-12-31,58.12,58.32,57.43,57.46,929900,0.0,0
2010-01-04,57.91,58.36,57.46,58.25,2035200,0.0,0
2010-01-05,58.2,58.5,58.14,58.46,2133200,0.0,0
2010-01-06,57.69,57.69,55.87,56.08,4230000,0.0,0
2010-01-07,57.12,57.12,55.52,56.2,3789500,0.0,0
2010-01-08,56.27,56.43,55.39,55.87,2608500,0.0,0
2010-01-11,55.83,56.62,55.83,56.5,1276100,0.0,0
2010-01-12,56.46,57.41,56.03,57.29,3582000,0.0,0
2010-01-13,57.3,57.81,56.92,57.46,2064300,0.0,0
2010-01-14,57.53,57.57,56.93,56.99,1846900,0.0,0
2010-01-15,56.89,57.16,56.51,56.92,2652000,0.0,0
2010-01-19,57.22,58.35,56.8,58.06,2766600,0.0,0
2010-01-20,58.09,58.35,57.05,57.36,1331000,0.0,0
2010-01-21,57.37,57.67,56.01,56.38,2065100,0.0,0
2010-01-22,56.09,56.53,55.65,55.68,1683300,0.0,0
2010-01-25,56.21,56.6,55.52,56.48,2246800,0.0,0
2010-01-26,56.56,57.57,55.99,57.32,2978500,0.0,0
2010-01-27,55.3,56.54,53.59,54.72,8194200,0.0,0
2010-01-28,54.8,56.32,54.8,55.44,2918300,0.0,0
2010-01-29,55.64,55.75,53.97,54.07,3149900,0.0,0
2010-02-01,54.23,54.97,53.47,54.73,1965300,0.0,0
2010-02-02,54.76,55.61,54.55,55.58,1962400,0.0,0
2010-02-03,55.48,55.48,55.08,55.34,2029300,0.0,0
2010-02-04,55.05,55.26,53.77,53.87,2597000,0.0,0
2010-02-05,53.79,53.83,52.61,53.58,3209800,0.0,0
2010-02-08,53.7,53.96,52.91,53.6,2296300,0.0,0
2010-02-09,53.66,54.46,53.66,54.01,1693200,0.0,0
2010-02-10,54.06,54.17,53.13,53.88,1863400,0.0,0
2010-02-11,53.89,54.5,53.37,54.23,2399000,0.0,0
2010-02-12,53.82,54.27,53.32,54.23,1959300,0.0,0
2010-02-16,54.32,55.16,54.27,55.05,1782500,0.0,0
2010-02-17,55.11,55.62,54.51,55.41,2029600,0.0,0
2010-02-18,55.41,55.82,55.19,55.81,1467500,0.0,0
2010-02-19,55.5,55.93,55.11,55.85,1758300,0.0,0
2010-02-22,55.75,55.81,55.02,55.09,1979300,0.0,0
2010-02-23,54.18,54.69,53.45,53.81,3488600,0.0,0
2010-02-24,53.83,54.56,53.59,54.49,2268600,0.0,0
2010-02-25,53.89,54.54,53.71,54.48,2235500,0.12,0
2010-02-26,54.62,54.86,54.35,54.49,1308500,0.0,0
2010-03-01,54.68,55.81,54.68,55.64,1467000,0.0,0
2010-03-02,56.01,57.07,55.82,56.84,2741500,0.0,0
2010-03-03,56.87,56.95,55.79,55.97,1673600,0.0,0
2010-03-04,56.11,56.55,56.03,56.46,1459500,0.0,0
