Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,23.54,24.27,23.4,23.53,11892600,0.0,0.0
2009-12-08,23.41,23.78,23.14,23.61,8756300,0.0,0.0
2009-12-09,23.71,23.84,23.49,23.79,7395900,0.0,0.0
2009-12-10,23.86,23.86,23.5,23.71,11364500,0.0,0.0
2009-12-11,23.52,23.92,23.52,23.79,5439700,0.0,0.0
2009-12-14,24.07,24.43,23.75,24.39,6021700,0.0,0.0
2009-12-15,24.31,24.54,24.0,24.1,6026800,0.0,0.0
2009-12-16,24.24,24.56,24.06,24.12,7290700,0.0,0.0
2009-12-17,23.81,23.96,23.46,23.5,5574500,0.0,0.0
2009-12-18,23.79,23.79,23.13,23.36,7327100,0.0,0.0
2009-12-21,23.47,23.66,23.21,23.45,10019200,0.0,0.0
2009-12-22,23.52,23.67,23.34,23.49,5107900,0.0,0.0
2009-12-23,23.58,23.68,23.21,23.42,3035300,0.0,0.0
2009-12-24,23.4,23.53,23.18,23.34,1951100,0.0,0.0
2009-12-28,23.55,23.55,23.07,23.15,3389200,0.0,0.0
2009-12-29,23.3,23.4,23.15,23.26,4687400,0.0,0.0
2009-12-30,23.07,23.39,23.02,23.38,2705500,0.0,0.0
2009-12-31,23.39,23.51,23.3,23.32,3146500,0.0,0.0
2010-01-04,23.67,23.97,23.39,23.94,5348500,0.0,0.0
2010-01-05,23.8,24.56,23.75,24.5,6288000,0.0,0.0
2010-01-06,24.48,24.8,24.28,24.75,4722000,0.0,0.0
2010-01-07,24.58,25.14,24.42,25.1,7066000,0.0,0.0
2010-01-08,24.93,25.24,24.7,25.23,5395400,0.0,0.0
2010-01-11,25.49,25.66,25.2,25.4,8013200,0.0,0.0
2010-01-12,25.72,25.93,25.3,25.4,7270700,0.0,0.0
2010-01-13,25.45,25.64,24.83,25.01,7478000,0.0,0.0
2010-01-14,24.99,25.36,24.45,25.25,6330300,0.0,0.0
2010-01-15,25.09,25.09,24.63,24.97,8547700,0.0,0.0
2010-01-19,24.98,26.59,24.83,25.96,16577200,0.0,0.0
2010-01-20,25.69,25.72,25.07,25.53,7655100,0.0,0.0
2010-01-21,24.93,25.36,24.15,24.64,12712800,0.0,0.0
2010-01-22,24.55,24.61,23.73,23.83,9272300,0.0,0.0
2010-01-25,24.16,24.48,23.94,24.02,5194200,0.0,0.0
2010-01-26,23.73,24.33,23.46,23.57,5466800,0.0,0.0
2010-01-27,23.57,24.11,23.3,24.01,6360500,0.0,0.0
2010-01-28,24.06,24.15,23.3,23.5,5678500,0.0,0.0
2010-01-29,23.77,23.96,23.19,23.3,5509100,0.0,0.0
2010-02-01,23.81,24.27,23.54,23.71,5295100,0.0,0.0
2010-02-02,24.07,24.17,23.52,23.99,7118700,0.0,0.0
2010-02-03,23.34,23.48,22.64,22.95,16874600,0.0,0.0
2010-02-04,23.17,23.32,22.64,22.91,14933000,0.0,0.0
2010-02-05,23.11,23.32,22.14,22.88,11624500,0.0,0.0
2010-02-08,22.83,22.86,22.16,22.19,7146200,0.0,0.0
2010-02-09,22.43,23.57,22.03,23.19,18333100,0.0,0.0
2010-02-10,23.15,23.28,22.78,23.04,8246400,0.0,0.0
2010-02-11,22.89,22.93,22.63,22.78,7678700,0.0,0.0
2010-02-12,22.51,22.9,22.23,22.85,8534000,0.0,0.0
2010-02-16,23.13,23.24,22.73,23.13,7745000,0.0,0.0
2010-02-17,23.24,23.33,22.91,23.0,6831200,0.0,0.0
2010-02-18,22.91,23.11,22.91,22.99,7162700,0.0,0.0
2010-02-19,22.89,23.24,22.73,23.11,8700400,0.0,0.0
2010-02-22,23.17,23.37,23.03,23.26,7150100,0.0,0.0
2010-02-23,23.22,23.34,22.67,22.98,8419200,0.0,0.0
2010-02-24,22.95,23.52,22.84,23.48,6359700,0.0,0.0
2010-02-25,23.22,23.66,22.97,23.64,9399300,0.0,0.0
2010-02-26,23.67,24.15,23.36,24.0,10848200,0.0,0.0
2010-03-01,24.08,24.6,23.92,24.1,5968900,0.0,0.0
2010-03-02,24.16,24.35,23.98,24.27,5082300,0.0,0.0
2010-03-03,24.33,24.42,24.15,24.24,4300200,0.0,0.0
2010-03-04,24.36,25.18,24.29,25.14,10159400,0.0,0.0
2010-03-05,25.27,25.75,25.15,25.67,7946200,0.0,0.0
2010-03-08,26.81,27.08,26.41,26.98,17506100,0.0,0.0
2010-03-09,26.88,27.37,26.7,26.92,10304600,0.0,0.0
2010-03-10,27.01,27.84,26.92,27.56,12029400,0.0,0.0
2010-03-11,27.62,28.01,27.34,27.91,10313700,0.0,0.0
2010-03-12,28.13,28.32,27.64,27.78,7205200,0.0,0.0
2010-03-15,27.68,28.04,27.47,27.87,6455900,0.0,0.0
2010-03-16,27.84,28.18,27.78,28.16,5179600,0.0,0.0
2010-03-17,28.38,28.78,28.26,28.38,6832400,0.0,0.0
2010-03-18,28.57,28.57,27.83,28.0,7401900,0.0,0.0
2010-03-19,27.59,28.22,27.49,27.59,9555800,0.0,0.0
2010-03-22,27.35,27.84,27.08,27.52,7516700,0.0,0.0
2010-03-23,27.55,27.84,27.26,27.82,5471400,0.0,0.0
2010-03-24,27.72,28.16,27.6,27.65,5393700,0.0,0.0
2010-03-25,27.91,28.36,27.72,27.78,6387400,0.0,0.0
2010-03-26,27.81,28.38,27.72,27.88,5156200,0.0,0.0
2010-03-29,28.02,28.42,27.94,28.36,5373100,0.0,0.0
2010-03-30,28.36,28.52,28.25,28.28,3992400,0.0,0.0
2010-03-31,28.08,28.59,28.08,28.59,5480000,0.0,0.0
2010-04-01,28.75,29.05,28.63,29.03,6289800,0.0,0.0
2010-04-05,29.16,29.68,29.14,29.65,5058500,0.0,0.0
2010-04-06,29.62,29.78,29.5,29.58,5089600,0.0,0.0
2010-04-07,29.44,29.62,28.89,29.08,7172400,0.0,0.0
2010-04-08,28.98,30.09,28.92,30.01,8725400,0.0,0.0
2010-04-09,30.16,30.31,29.58,29.86,5316400,0.0,0.0
2010-04-12,30.05,30.16,29.83,30.1,4517100,0.0,0.0
2010-04-13,29.97,30.03,29.56,29.99,3268200,0.0,0.0
2010-04-14,29.85,30.7,29.85,30.63,5472700,0.0,0.0
2010-04-15,30.01,30.56,30.0,30.52,4128100,0.0,0.0
2010-04-16,30.34,30.53,29.52,29.93,8943200,0.0,0.0
2010-04-19,29.66,30.35,29.6,30.33,5890000,0.0,0.0
2010-04-20,30.53,30.98,30.35,30.97,4480300,0.0,0.0
2010-04-21,30.95,31.02,30.08,30.53,6910500,0.0,0.0
2010-04-22,30.2,30.83,29.95,30.79,5199900,0.0,0.0
2010-04-23,30.42,31.09,30.21,31.07,5242800,0.0,0.0
2010-04-26,31.0,31.5,30.82,30.9,5365700,0.0,0.0
2010-04-27,30.63,30.76,29.06,29.22,7850600,0.0,0.0
2010-04-28,29.58,30.16,28.81,28.96,11471100,0.0,0.0
2010-04-29,29.33,30.17,29.18,30.09,7489700,0.0,0.0
2010-04-30,30.5,31.48,30.03,30.07,13051400,0.0,0.0
2010-05-03,30.31,30.64,30.08,30.18,7439400,0.0,0.0
2010-05-04,29.82,29.82,29.11,29.34,8081300,0.0,0.0
2010-05-05,28.94,29.38,28.75,28.95,7493000,0.0,0.0
2010-05-06,28.88,28.99,25.16,27.8,12622900,0.0,0.0
2010-05-07,27.8,28.19,26.43,26.85,12986000,0.0,0.0
2010-05-10,28.15,29.58,28.15,29.1,10905300,0.0,0.0
2010-05-11,28.55,29.08,28.33,28.52,7706000,0.0,0.0
2010-05-12,28.74,29.06,28.51,28.92,6956200,0.0,0.0
2010-05-13,28.83,29.01,28.38,28.41,4431400,0.0,0.0
