Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,12.12,12.28,11.82,12.18,135200,0.0,0
2009-12-08,12.08,12.28,11.82,11.95,76300,0.0,0
2009-12-09,11.99,12.17,11.9,12.12,43800,0.0,0
2009-12-10,12.17,12.26,11.66,11.71,76900,0.0,0
2009-12-11,11.83,12.08,11.33,11.5,184900,0.0,0
2009-12-14,11.58,12.12,11.4,12.02,119800,0.0,0
2009-12-15,12.01,12.04,11.4,11.49,147100,0.0,0
2009-12-16,11.66,11.69,11.37,11.62,74800,0.0,0
2009-12-17,11.48,11.91,11.48,11.84,147900,0.0,0
2009-12-18,11.94,12.37,11.87,12.37,327400,0.0,0
2009-12-21,12.44,12.6,12.36,12.44,149100,0.0,0
2009-12-22,12.44,12.48,12.12,12.18,206800,0.0,0
2009-12-23,12.24,12.52,12.18,12.41,107400,0.0,0
2009-12-24,12.44,12.47,12.34,12.34,40100,0.0,0
2009-12-28,12.37,12.39,12.1,12.28,78500,0.0,0
2009-12-29,12.28,12.34,12.22,12.3,168200,0.0,0
2009-12-30,12.19,12.43,12.02,12.43,100800,0.0,0
2009-12-31,12.4,12.86,12.4,12.48,102100,0.0,0
2010-01-04,12.69,12.93,12.63,12.74,68800,0.0,0
2010-01-05,12.66,12.71,12.22,12.28,66100,0.0,0
2010-01-06,12.3,12.63,11.72,12.59,226400,0.0,0
2010-01-07,12.61,12.81,12.39,12.68,74700,0.0,0
2010-01-08,12.59,13.17,12.59,13.09,187600,0.0,0
2010-01-11,13.16,13.19,12.99,13.04,32900,0.0,0
2010-01-12,13.02,13.2,12.95,13.06,58400,0.0,0
2010-01-13,13.09,13.42,12.99,13.01,142500,0.0,0
2010-01-14,12.99,13.2,12.91,13.05,56000,0.0,0
2010-01-15,13.1,13.1,12.47,12.83,145300,0.0,0
2010-01-19,12.88,13.45,12.88,13.21,97200,0.0,0
2010-01-20,13.06,13.29,12.63,13.22,108000,0.0,0
2010-01-21,13.25,13.37,12.46,12.81,107700,0.0,0
2010-01-22,12.75,13.16,12.64,12.67,64800,0.0,0
2010-01-25,12.81,13.1,12.64,12.92,65600,0.0,0
2010-01-26,12.82,12.82,12.14,12.21,92500,0.0,0
2010-01-27,12.14,12.45,12.14,12.43,119200,0.0,0
2010-01-28,12.47,12.47,12.13,12.24,89200,0.0,0
2010-01-29,12.28,12.4,12.06,12.24,106200,0.0,0
2010-02-01,12.25,12.41,11.91,12.39,190200,0.0,0
2010-02-02,12.37,12.5,12.23,12.42,106100,0.0,0
2010-02-03,12.31,13.36,12.31,12.72,197200,0.0,0
2010-02-04,12.63,12.91,11.85,11.9,144900,0.0,0
2010-02-05,11.96,12.33,11.75,12.25,118700,0.0,0
2010-02-08,12.18,12.22,11.91,12.0,70800,0.0,0
2010-02-09,12.17,12.26,11.88,12.14,65400,0.0,0
2010-02-10,12.07,12.53,11.93,12.41,72100,0.0,0
2010-02-11,12.34,13.06,12.16,13.04,139000,0.0,0
2010-02-12,12.89,13.27,12.83,13.27,114100,0.07,0
2010-02-16,13.37,13.45,13.17,13.44,49500,0.0,0
2010-02-17,13.54,13.54,13.29,13.54,61600,0.0,0
2010-02-18,13.54,13.84,13.35,13.78,267300,0.0,0
2010-02-19,13.77,14.05,13.7,13.86,99200,0.0,0
2010-02-22,13.96,14.27,13.91,14.01,193000,0.0,0
2010-02-23,14.01,14.1,13.8,13.84,76200,0.0,0
2010-02-24,13.93,14.14,13.8,13.89,45200,0.0,0
2010-02-25,13.63,13.74,13.54,13.55,78400,0.0,0
2010-02-26,13.61,13.61,13.26,13.48,193500,0.0,0
2010-03-01,13.46,13.87,13.17,13.51,145300,0.0,0
2010-03-02,13.3,13.69,13.3,13.53,193700,0.0,0
2010-03-03,13.58,13.82,13.42,13.54,71400,0.0,0
2010-03-04,13.6,13.75,13.08,13.7,44900,0.0,0
2010-03-05,13.76,14.0,13.62,13.96,78700,0.0,0
2010-03-08,13.8,13.87,13.54,13.6,67800,0.0,0
2010-03-09,13.57,13.69,13.51,13.63,71500,0.0,0
2010-03-10,13.6,13.74,13.43,13.51,71500,0.0,0
2010-03-11,13.39,13.6,13.35,13.46,70000,0.0,0
2010-03-12,13.5,13.54,13.33,13.45,78000,0.0,0
2010-03-15,13.46,13.48,13.11,13.46,97200,0.0,0
2010-03-16,13.54,13.78,13.45,13.78,62000,0.0,0
2010-03-17,13.84,14.19,13.72,14.15,189900,0.0,0
2010-03-18,14.22,14.44,14.08,14.15,175500,0.0,0
2010-03-19,14.32,14.36,13.98,14.32,180200,0.0,0
2010-03-22,14.08,14.52,14.07,14.42,82500,0.0,0
2010-03-23,14.46,14.62,14.28,14.56,70800,0.0,0
2010-03-24,14.47,14.69,14.44,14.48,83600,0.0,0
2010-03-25,14.63,14.92,14.41,14.45,77200,0.0,0
2010-03-26,14.54,14.98,14.45,14.62,49000,0.0,0
2010-03-29,14.72,14.88,14.42,14.43,70400,0.0,0
2010-03-30,14.42,14.81,13.98,14.36,167700,0.0,0
2010-03-31,14.24,14.53,14.12,14.19,118800,0.0,0
2010-04-01,14.27,14.47,13.88,14.05,62600,0.0,0
2010-04-05,14.12,14.45,14.09,14.44,66800,0.0,0
2010-04-06,14.44,14.45,14.09,14.36,39200,0.0,0
2010-04-07,14.3,14.44,14.12,14.37,324900,0.0,0
2010-04-08,14.26,14.54,13.95,14.45,140300,0.0,0
2010-04-09,14.43,14.74,14.18,14.63,108200,0.0,0
2010-04-12,14.6,14.88,14.41,14.87,100100,0.0,0
2010-04-13,14.81,15.18,14.66,15.15,174600,0.0,0
2010-04-14,15.22,15.57,15.2,15.57,127200,0.0,0
2010-04-15,15.51,15.74,15.51,15.7,39600,0.0,0
2010-04-16,15.72,15.72,15.3,15.46,164200,0.0,0
2010-04-19,15.34,15.39,15.02,15.12,161800,0.0,0
2010-04-20,15.18,15.51,15.09,15.46,80200,0.0,0
2010-04-21,15.43,15.61,15.08,15.37,88400,0.0,0
2010-04-22,15.13,15.71,15.04,15.61,80400,0.0,0
2010-04-23,15.58,15.58,15.25,15.34,92900,0.0,0
2010-04-26,15.31,15.41,15.22,15.23,43100,0.0,0
2010-04-27,15.2,15.27,14.52,14.58,62000,0.0,0
2010-04-28,14.65,14.81,14.15,14.46,155600,0.0,0
2010-04-29,14.53,14.66,14.02,14.65,149200,0.0,0
2010-04-30,14.64,14.64,14.08,14.23,131300,0.0,0
2010-05-03,14.37,14.82,14.18,14.8,197700,0.0,0
2010-05-04,14.52,14.53,13.87,14.45,214000,0.0,0
2010-05-05,14.27,14.57,14.15,14.44,260300,0.0,0
2010-05-06,14.37,14.62,13.58,14.2,134400,0.0,0
2010-05-07,14.12,14.21,13.52,13.66,142200,0.0,0
2010-05-10,14.44,14.5,14.01,14.39,119600,0.07,0
2010-05-11,14.22,14.82,14.0,14.53,115100,0.0,0
2010-05-12,14.54,15.58,14.39,15.56,138600,0.0,0
2010-05-13,15.42,15.49,15.11,15.33,92100,0.0,0
2010-05-14,15.16,15.16,14.86,15.06,105900,0.0,0
2010-05-17,15.16,15.28,14.64,15.12,204200,0.0,0
2010-05-18,15.33,15.33,14.11,14.3,230500,0.0,0
2010-05-19,14.28,14.35,13.76,14.09,79200,0.0,0
2010-05-20,13.69,13.87,12.85,12.9,231600,0.0,0
2010-05-21,12.69,13.29,12.66,13.22,222500,0.0,0
2010-05-24,13.19,13.42,12.82,12.85,74000,0.0,0
2010-05-25,12.49,12.87,12.37,12.82,83300,0.0,0
2010-05-26,12.91,13.16,12.65,12.84,388000,0.0,0
2010-05-27,13.16,13.7,13.07,13.67,167700,0.0,0
2010-05-28,13.65,13.65,13.28,13.38,112500,0.0,0
2010-06-01,13.19,13.42,12.75,12.77,117600,0.0,0
2010-06-02,12.82,12.9,12.63,12.77,166800,0.0,0
2010-06-03,12.92,13.14,12.54,13.03,168300,0.0,0
2010-06-04,12.85,12.92,12.56,12.64,231700,0.0,0
2010-06-07,12.68,12.78,12.25,12.27,125800,0.0,0
2010-06-08,12.36,12.37,11.93,12.19,148400,0.0,0
2010-06-09,12.36,12.56,12.08,12.2,120100,0.0,0
2010-06-10,12.46,12.67,12.24,12.66,82800,0.0,0
2010-06-11,12.43,12.64,12.21,12.6,107000,0.0,0
2010-06-14,12.8,13.02,12.68,12.74,103600,0.0,0
2010-06-15,12.9,13.15,12.63,13.09,102900,0.0,0
2010-06-16,12.95,13.17,12.89,13.02,85900,0.0,0
2010-06-17,13.13,13.24,12.94,13.22,93300,0.0,0
2010-06-18,13.32,13.48,13.0,13.27,189100,0.0,0
2010-06-21,13.51,13.51,12.92,12.95,59800,0.0,0
2010-06-22,13.04,13.17,12.69,12.69,56300,0.0,0
2010-06-23,12.64,12.84,12.43,12.65,63300,0.0,0
2010-06-24,12.52,12.79,12.41,12.61,84200,0.0,0
2010-06-25,12.72,13.3,12.72,12.96,603400,0.0,0
2010-06-28,12.98,13.24,12.88,12.89,77900,0.0,0
2010-06-29,12.65,12.86,12.5,12.64,112700,0.0,0
2010-06-30,12.66,12.94,12.46,12.5,84400,0.0,0
2010-07-01,12.03,12.63,12.03,12.57,147300,0.0,0
2010-07-02,12.71,12.73,12.33,12.46,77900,0.0,0
2010-07-06,12.71,12.88,12.39,12.47,139100,0.0,0
2010-07-07,12.57,13.03,12.48,13.0,108200,0.0,0
2010-07-08,13.19,13.49,12.86,13.47,214900,0.0,0
2010-07-09,13.48,13.63,13.37,13.6,90400,0.0,0
2010-07-12,13.61,13.63,13.38,13.51,129600,0.0,0
2010-07-13,12.62,12.73,12.16,12.29,676700,0.0,0
2010-07-14,12.17,12.24,11.79,11.95,157500,0.0,0
2010-07-15,11.93,11.97,11.37,11.83,199900,0.0,0
2010-07-16,11.69,11.79,11.22,11.27,211700,0.0,0
2010-07-19,11.3,11.75,11.12,11.71,112800,0.0,0
2010-07-20,11.53,11.83,11.53,11.71,123400,0.0,0
2010-07-21,11.81,11.81,11.46,11.47,61700,0.0,0
2010-07-22,11.68,11.79,11.5,11.54,173500,0.0,0
2010-07-23,11.46,11.97,11.4,11.71,200800,0.0,0
2010-07-26,11.79,11.93,11.55,11.59,236200,0.0,0
2010-07-27,11.73,11.76,11.21,11.23,193600,0.0,0
2010-07-28,11.23,12.36,11.23,11.98,230200,0.0,0
2010-07-29,12.06,12.57,11.79,12.55,158300,0.0,0
2010-07-30,12.32,12.99,12.17,12.89,173800,0.0,0
2010-08-02,13.12,13.48,13.04,13.26,142400,0.0,0
2010-08-03,13.14,13.55,13.05,13.43,131200,0.0,0
2010-08-04,13.5,13.73,13.5,13.59,81800,0.0,0
2010-08-05,13.46,13.71,13.46,13.55,75500,0.0,0
2010-08-06,13.34,13.8,13.22,13.74,95700,0.0,0
2010-08-09,13.86,14.02,13.62,13.97,85300,0.07,0
2010-08-10,13.93,13.93,13.62,13.64,95600,0.0,0
2010-08-11,13.54,13.62,13.11,13.18,125100,0.0,0
2010-08-12,13.02,13.48,13.01,13.39,194300,0.0,0
2010-08-13,13.3,13.62,13.21,13.23,116900,0.0,0
2010-08-16,13.13,13.78,13.13,13.69,186700,0.0,0
2010-08-17,13.87,13.87,13.66,13.72,95500,0.0,0
2010-08-18,13.66,13.85,13.37,13.62,132700,0.0,0
2010-08-19,13.53,13.67,13.32,13.39,104600,0.0,0
2010-08-20,13.34,13.7,13.21,13.62,146900,0.0,0
2010-08-23,13.73,13.78,13.33,13.38,124900,0.0,0
2010-08-24,13.17,13.73,13.17,13.55,109800,0.0,0
2010-08-25,13.46,13.83,13.45,13.78,109100,0.0,0
2010-08-26,13.89,13.91,13.63,13.64,85600,0.0,0
2010-08-27,13.81,13.95,13.54,13.92,156600,0.0,0
2010-08-30,13.53,13.9,13.53,13.59,116900,0.0,0
2010-08-31,13.53,13.94,13.3,13.93,232200,0.0,0
2010-09-01,13.98,14.43,13.72,14.41,145600,0.0,0
2010-09-02,14.49,14.49,14.03,14.34,90300,0.0,0
2010-09-03,14.44,14.5,14.21,14.34,147300,0.0,0
2010-09-07,14.22,14.22,13.91,14.01,83900,0.0,0
2010-09-08,14.1,14.57,14.1,14.51,133800,0.0,0
2010-09-09,14.62,14.75,14.42,14.52,119200,0.0,0
2010-09-10,14.66,14.85,14.5,14.59,60700,0.0,0
2010-09-13,14.81,15.02,14.64,14.93,198200,0.0,0
2010-09-14,14.91,15.03,14.84,14.91,116300,0.0,0
2010-09-15,14.84,15.36,14.84,15.25,93200,0.0,0
