Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,50.4,51.68,50.01,51.01,6100600.0,0.0,0
2009-12-08,50.57,51.48,50.21,50.44,4980000.0,0.0,0
2009-12-09,50.71,51.14,49.99,50.74,5055000.0,0.0,0
2009-12-10,51.3,51.48,50.21,50.79,3819500.0,0.0,0
2009-12-11,51.15,51.65,49.65,50.2,5037600.0,0.0,0
2009-12-14,50.49,50.77,49.4,50.19,4228800.0,0.0,0
2009-12-15,50.16,52.39,49.82,50.29,5325500.0,0.0,0
2009-12-16,50.77,51.44,50.22,50.79,3410100.0,0.0,0
2009-12-17,50.18,50.21,47.48,47.68,8549600.0,0.0,0
2009-12-18,47.65,48.24,46.56,46.99,7128700.0,0.0,0
2009-12-21,48.79,49.95,48.6,49.62,7642200.0,0.0,0
2009-12-22,49.0,50.14,48.89,49.91,5654000.0,0.0,0
2009-12-23,50.71,51.57,50.25,51.31,4596400.0,0.0,0
2009-12-24,51.0,51.85,50.83,51.58,1950500.0,0.0,0
2009-12-28,52.27,52.43,51.44,51.76,2311300.0,0.0,0
2009-12-29,51.3,51.35,50.16,50.79,3227100.0,0.0,0
2009-12-30,50.22,51.14,50.14,50.85,1871000.0,0.0,0
2009-12-31,51.23,51.35,50.83,50.83,1820600.0,0.0,0
2010-01-04,51.44,53.07,51.13,52.51,4072100.0,0.0,0
2010-01-05,53.13,54.32,53.13,53.74,6505800.0,0.0,0
2010-01-06,54.77,56.12,53.59,55.8,9995100.0,0.0,0
2010-01-07,55.39,56.46,54.84,55.96,5544100.0,0.0,0
2010-01-08,55.94,56.99,55.72,56.76,4074500.0,0.0,0
2010-01-11,57.74,58.1,55.64,56.43,4027700.0,0.0,0
2010-01-12,53.89,54.77,52.48,53.18,10232000.0,0.0,0
2010-01-13,52.98,53.4,51.65,53.22,6831400.0,0.0,0
2010-01-14,53.42,53.69,51.59,51.77,4516300.0,0.0,0
2010-01-15,52.31,53.26,51.66,52.39,5458800.0,0.0,0
2010-01-19,52.33,53.7,52.24,53.64,4479800.0,0.0,0
2010-01-20,52.92,53.08,51.75,52.79,4317400.0,0.0,0
2010-01-21,52.83,53.95,51.07,51.12,5739800.0,0.0,0
2010-01-22,51.13,51.48,49.63,49.89,3872100.0,0.0,0
2010-01-25,50.52,51.63,49.99,50.0,3217100.0,0.0,0
2010-01-26,49.48,51.25,48.56,49.85,4684000.0,0.0,0
2010-01-27,50.05,50.49,48.28,49.39,4180800.0,0.0,0
2010-01-28,48.93,49.53,46.65,47.28,7023300.0,0.0,0
2010-01-29,47.86,48.75,45.27,45.54,5921900.0,0.0,0
2010-02-01,46.02,47.88,45.99,47.88,3562000.0,0.0,0
2010-02-02,48.34,48.42,47.06,47.99,5062300.0,0.05,0
2010-02-03,48.85,49.77,48.34,49.09,4821300.0,0.0,0
2010-02-04,48.05,48.29,46.0,46.0,4867200.0,0.0,0
2010-02-05,46.37,47.14,45.03,47.0,4786900.0,0.0,0
2010-02-08,47.41,48.22,46.43,46.45,3891800.0,0.0,0
