Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,27.88,28.3,27.82,27.88,4251500,0.0,0.0
2009-12-08,28.43,29.74,28.23,29.56,13735700,0.0,0.0
2009-12-09,29.56,29.56,28.54,29.12,6157100,0.0,0.0
2009-12-10,29.22,29.36,28.81,29.02,5175300,0.0,0.0
2009-12-11,28.95,29.36,28.95,29.32,5339900,0.0,0.0
2009-12-14,28.98,29.08,28.19,28.47,11762300,0.0,0.0
2009-12-15,28.33,28.95,28.12,28.47,6940000,0.0,0.0
2009-12-16,28.64,28.84,28.36,28.36,3673600,0.0,0.0
2009-12-17,28.06,28.43,27.78,27.82,4770100,0.0,0.0
2009-12-18,28.12,29.7,28.02,29.26,18175300,0.0,0.0
2009-12-21,29.46,29.6,28.57,28.78,7264800,0.0,0.0
2009-12-22,28.74,28.84,27.51,27.78,9707600,0.0,0.0
2009-12-23,27.92,28.09,27.16,27.2,9174300,0.0,0.0
2009-12-24,27.51,27.78,27.27,27.37,3781700,0.0,0.0
2009-12-28,27.44,27.71,26.31,26.89,8326400,0.0,0.0
2009-12-29,26.92,27.1,26.37,26.75,4424800,0.0,0.0
2009-12-30,26.79,26.79,26.34,26.58,5604400,0.0,0.0
2009-12-31,26.51,26.96,26.31,26.62,4787700,0.0,0.0
2010-01-04,27.03,27.51,26.99,27.34,7511700,0.0,0.0
2010-01-05,27.27,28.33,26.48,26.96,18863900,0.0,0.0
2010-01-06,27.44,27.58,27.03,27.34,12137000,0.0,0.0
2010-01-07,27.47,28.09,27.34,27.88,13517500,0.0,0.0
2010-01-08,27.75,27.85,26.51,26.62,18596000,0.0,0.0
2010-01-11,27.03,27.03,26.31,26.34,10368800,0.0,0.0
2010-01-12,26.2,26.24,25.17,25.38,10715400,0.0,0.0
2010-01-13,25.41,26.24,25.41,26.07,8125600,0.0,0.0
2010-01-14,25.93,26.82,25.89,26.44,11342500,0.0,0.0
2010-01-15,26.41,26.51,25.83,26.0,9741100,0.0,0.0
2010-01-19,26.0,26.37,25.55,26.2,6744100,0.0,0.0
2010-01-20,25.93,25.93,25.35,25.65,7053500,0.0,0.0
2010-01-21,25.83,26.0,25.11,25.28,9960900,0.0,0.0
2010-01-22,25.04,25.52,24.56,24.73,10517400,0.0,0.0
2010-01-25,25.21,25.52,24.59,24.63,8891900,0.0,0.0
2010-01-26,24.73,25.07,24.49,24.66,7430000,0.0,0.0
2010-01-27,24.69,25.52,24.59,25.38,11567600,0.0,0.0
