Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,48.76,49.24,47.11,47.27,1580800,0.0,0
2009-12-08,47.68,49.31,47.66,49.06,1469800,0.0,0
2009-12-09,48.9,49.54,48.65,49.22,933800,0.0,0
2009-12-10,49.32,49.63,48.72,48.93,734800,0.0,0
2009-12-11,49.02,49.7,48.63,49.59,758600,0.0,0
2009-12-14,49.6,49.93,49.16,49.9,774200,0.0,0
2009-12-15,49.76,49.76,48.2,48.34,795800,0.0,0
2009-12-16,48.53,48.74,47.8,48.5,744200,0.0,0
2009-12-17,48.3,49.5,48.16,48.79,884400,0.0,0
2009-12-18,49.06,49.92,48.96,49.92,974200,0.0,0
2009-12-21,50.02,50.64,49.5,50.61,613600,0.0,0
2009-12-22,50.8,51.54,50.43,51.45,628200,0.0,0
2009-12-23,51.34,51.56,50.95,50.99,376100,0.0,0
2009-12-24,51.03,51.56,50.82,51.42,352100,0.0,0
2009-12-28,51.46,51.61,51.07,51.44,374100,0.0,0
2009-12-29,51.6,51.87,51.32,51.43,333100,0.0,0
2009-12-30,51.3,51.71,51.14,51.62,316500,0.0,0
2009-12-31,51.8,52.28,51.44,51.47,441400,0.0,0
2010-01-04,52.04,52.06,51.03,51.57,721000,0.0,0
2010-01-05,51.4,52.63,51.33,52.49,779200,0.0,0
2010-01-06,52.66,54.56,52.44,54.24,1355100,0.0,0
2010-01-07,54.31,56.69,53.97,56.27,1827000,0.0,0
2010-01-08,55.84,57.21,55.74,56.82,1381700,0.0,0
2010-01-11,56.9,57.08,56.15,56.28,550400,0.0,0
2010-01-12,55.96,56.18,54.87,55.17,779500,0.0,0
2010-01-13,55.21,57.06,54.55,56.65,1475700,0.0,0
2010-01-14,56.64,58.24,56.54,57.98,942900,0.0,0
2010-01-15,57.64,57.93,56.13,56.3,1404200,0.0,0
2010-01-19,56.34,57.83,55.76,57.48,1286100,0.0,0
2010-01-20,56.68,60.27,56.68,59.78,3381000,0.0,0
2010-01-21,59.87,61.8,59.87,60.48,2716300,0.0,0
2010-01-22,60.31,60.48,57.92,58.17,1646200,0.0,0
2010-01-25,58.77,59.13,56.78,57.71,1181900,0.0,0
2010-01-26,57.3,58.11,56.38,56.74,1468300,0.0,0
2010-01-27,56.81,58.98,56.58,58.71,1356600,0.0,0
2010-01-28,58.75,59.33,57.91,58.27,1040700,0.0,0
2010-01-29,58.41,58.51,56.56,56.75,1837500,0.0,0
2010-02-01,57.12,57.91,57.12,57.64,857400,0.0,0
2010-02-02,57.81,58.33,57.29,57.71,667400,0.0,0
2010-02-03,57.3,57.32,55.47,55.54,1246000,0.0,0
2010-02-04,55.24,55.34,53.8,54.36,2136400,0.0,0
2010-02-05,54.37,55.98,53.94,55.92,1775800,0.0,0
2010-02-08,55.64,55.9,54.7,54.86,853000,0.0,0
2010-02-09,55.4,56.17,54.92,55.4,595900,0.0,0
2010-02-10,55.41,56.46,55.18,55.92,574100,0.0,0
2010-02-11,56.01,56.08,55.32,55.71,429900,0.0,0
2010-02-12,55.21,55.55,54.55,55.46,830700,0.0,0
2010-02-16,56.21,57.98,56.0,57.81,1116600,0.0,0
2010-02-17,58.0,58.21,56.79,57.32,1018500,0.0,0
2010-02-18,57.45,58.1,57.26,58.05,1454200,0.0,0
2010-02-19,58.0,58.98,57.89,58.95,1711800,0.0,0
2010-02-22,59.31,60.27,59.25,60.09,1179800,0.0,0
2010-02-23,60.09,60.09,58.41,59.42,1805100,0.0,0
2010-02-24,59.79,61.33,59.65,60.73,1590300,0.7,0
2010-02-25,60.05,60.05,58.67,59.47,1080300,0.0,0
2010-02-26,59.44,60.29,58.83,60.13,1042000,0.0,0
2010-03-01,60.07,60.67,59.8,60.42,829200,0.0,0
2010-03-02,60.55,61.42,60.46,60.93,694500,0.0,0
2010-03-03,60.99,61.1,59.13,59.48,832000,0.0,0
2010-03-04,58.92,59.48,58.45,59.14,1004500,0.0,0
2010-03-05,59.55,61.06,59.55,61.0,708100,0.0,0
2010-03-08,60.92,61.28,60.57,61.14,906200,0.0,0
2010-03-09,60.84,61.48,60.25,61.19,1177500,0.0,0
2010-03-10,61.19,62.13,60.91,61.78,1067500,0.0,0
2010-03-11,61.63,62.51,61.45,62.36,490800,0.0,0
2010-03-12,62.85,63.16,61.95,62.13,849900,0.0,0
2010-03-15,62.05,62.5,61.91,62.37,709900,0.0,0
2010-03-16,63.68,63.68,62.24,63.25,852000,0.0,0
2010-03-17,63.4,64.39,63.31,64.29,621100,0.0,0
2010-03-18,64.14,65.31,64.06,65.23,1273700,0.0,0
2010-03-19,64.67,66.01,64.47,64.67,1057600,0.0,0
2010-03-22,64.32,64.82,63.49,64.65,543300,0.0,0
2010-03-23,64.71,64.71,63.56,64.62,462000,0.0,0
2010-03-24,64.38,65.23,64.28,64.49,288100,0.0,0
2010-03-25,64.95,65.7,63.95,64.03,606700,0.0,0
2010-03-26,64.29,64.99,62.39,62.75,963200,0.0,0
2010-03-29,62.93,63.26,61.91,62.86,658900,0.0,0
2010-03-30,62.76,63.03,61.12,61.94,2020300,0.0,0
2010-03-31,61.75,62.23,61.15,61.64,1217400,0.0,0
2010-04-01,62.02,62.13,61.15,61.79,561900,0.0,0
2010-04-05,62.06,63.55,61.67,63.38,741800,0.0,0
2010-04-06,63.49,65.73,63.38,65.59,1411300,0.0,0
2010-04-07,65.48,66.0,64.23,64.73,1174100,0.0,0
2010-04-08,64.68,65.57,64.37,65.33,812000,0.0,0
2010-04-09,65.4,66.36,65.19,66.27,740200,0.0,0
2010-04-12,66.28,66.53,65.55,66.25,475800,0.0,0
2010-04-13,66.25,66.3,65.16,65.95,471800,0.0,0
2010-04-14,66.33,67.56,66.28,67.4,571400,0.0,0
2010-04-15,68.04,68.04,66.82,66.89,694400,0.0,0
2010-04-16,67.03,67.2,63.91,65.43,2127500,0.0,0
2010-04-19,65.55,67.44,64.24,65.31,2139400,0.0,0
2010-04-20,65.86,67.06,65.15,66.01,1323000,0.0,0
2010-04-21,66.26,67.95,66.08,67.0,1283400,0.0,0
2010-04-22,66.73,68.34,66.25,68.2,758900,0.0,0
2010-04-23,68.21,68.9,67.47,68.72,609300,0.0,0
2010-04-26,68.49,68.85,66.2,66.36,797900,0.0,0
2010-04-27,66.01,67.02,64.86,65.3,1328300,0.0,0
2010-04-28,65.74,67.39,65.74,66.34,1067000,0.0,0
2010-04-29,67.41,69.71,67.24,69.46,1579000,0.0,0
2010-04-30,69.16,69.55,67.69,67.83,814800,0.0,0
2010-05-03,68.38,69.29,68.34,69.23,706800,0.0,0
2010-05-04,68.33,68.62,67.28,67.65,1038500,0.0,0
2010-05-05,67.2,68.74,66.51,67.88,720800,0.0,0
2010-05-06,67.58,68.66,62.6,65.44,1699800,0.0,0
2010-05-07,66.07,67.38,64.92,65.29,2062900,0.0,0
2010-05-10,68.4,69.11,67.06,68.69,1570500,0.0,0
2010-05-11,67.41,69.89,67.41,68.94,1157300,0.0,0
2010-05-12,69.44,70.51,68.97,70.43,813400,0.0,0
2010-05-13,70.17,71.03,69.84,70.06,693200,0.0,0
2010-05-14,69.48,69.58,66.89,67.76,1133000,0.0,0
2010-05-17,67.93,68.66,66.61,68.21,916700,0.0,0
2010-05-18,68.72,68.78,64.56,64.93,2288700,0.0,0
2010-05-19,64.8,66.09,63.6,64.76,2046200,0.0,0
2010-05-20,63.68,64.09,61.88,61.89,1508800,0.0,0
2010-05-21,60.96,65.29,60.46,65.23,2559400,0.0,0
2010-05-24,65.31,65.31,63.1,63.21,1920500,0.0,0
2010-05-25,62.02,62.99,61.22,62.75,1866400,0.0,0
2010-05-26,63.59,64.08,62.21,62.37,1929600,0.0,0
2010-05-27,63.42,64.05,62.48,63.83,1745800,0.7,0
2010-05-28,63.88,64.13,61.79,62.08,1592100,0.0,0
2010-06-01,61.71,62.32,60.3,60.74,1448700,0.0,0
2010-06-02,61.25,62.45,60.83,62.41,1013000,0.0,0
2010-06-03,62.36,62.96,61.07,61.86,1194800,0.0,0
2010-06-04,60.75,60.97,58.86,59.04,1201900,0.0,0
2010-06-07,59.54,59.84,58.13,58.16,1280500,0.0,0
2010-06-08,58.36,60.17,58.06,60.0,1442600,0.0,0
2010-06-09,60.23,60.38,59.22,59.74,1894400,0.0,0
2010-06-10,60.29,61.72,60.2,61.61,1216200,0.0,0
2010-06-11,60.96,61.49,60.05,61.41,770600,0.0,0
2010-06-14,61.9,62.38,60.49,60.74,1117200,0.0,0
2010-06-15,61.45,62.36,60.89,62.17,1036200,0.0,0
2010-06-16,62.03,65.17,61.93,64.18,2532800,0.0,0
2010-06-17,65.01,71.28,64.84,69.99,5959000,0.0,0
2010-06-18,68.99,71.18,67.86,71.06,3728800,0.0,0
2010-06-21,70.75,75.19,70.72,73.99,3348100,0.0,0
2010-06-22,73.86,75.32,72.88,73.41,1836300,0.0,0
2010-06-23,73.66,74.23,70.9,71.3,2025000,0.0,0
2010-06-24,70.93,70.93,67.62,67.91,2199700,0.0,0
2010-06-25,68.52,70.05,68.35,69.23,1421900,0.0,0
2010-06-28,68.76,70.23,68.55,69.91,1143700,0.0,0
2010-06-29,68.89,69.76,67.29,67.6,1449700,0.0,0
2010-06-30,67.69,68.84,66.42,66.55,1003400,0.0,0
2010-07-01,66.55,68.77,65.96,68.31,1834300,0.0,0
2010-07-02,68.97,68.97,66.07,66.5,892400,0.0,0
2010-07-06,67.88,68.68,66.53,67.34,1100800,0.0,0
2010-07-07,67.77,70.06,67.49,69.9,1165800,0.0,0
2010-07-08,70.36,70.97,68.34,69.42,1100200,0.0,0
2010-07-09,68.99,70.89,68.77,70.69,833200,0.0,0
2010-07-12,70.45,70.52,69.13,69.82,608900,0.0,0
2010-07-13,70.66,71.83,70.37,71.69,890400,0.0,0
