Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,11.83,11.96,11.83,11.88,8948000,0.0,0.0
2009-12-08,11.78,11.85,11.66,11.69,14510800,0.0,0.0
2009-12-09,11.69,11.69,11.36,11.4,23438000,0.0,0.0
2009-12-10,11.44,11.67,11.44,11.54,11972400,0.0,0.0
2009-12-11,11.62,11.81,11.61,11.75,10860000,0.0,0.0
2009-12-14,11.78,11.83,11.61,11.81,9257600,0.0,0.0
2009-12-15,11.76,11.98,11.71,11.84,9604800,0.0,0.0
2009-12-16,11.9,11.9,11.71,11.78,7639600,0.0,0.0
2009-12-17,11.7,11.78,11.6,11.64,11679600,0.0,0.0
2009-12-18,11.85,12.02,11.78,11.85,20323200,0.0,0.0
2009-12-21,11.87,12.01,11.86,11.94,7399200,0.0,0.0
2009-12-22,11.94,12.02,11.81,11.98,8238800,0.0,0.0
2009-12-23,11.97,12.06,11.94,12.04,6148400,0.0,0.0
2009-12-24,12.04,12.06,11.96,12.01,2302000,0.0,0.0
2009-12-28,12.01,12.06,11.92,12.05,5648000,0.0,0.0
2009-12-29,12.05,12.22,12.0,12.18,8083200,0.0,0.0
2009-12-30,12.12,12.19,12.09,12.17,6932000,0.0,0.0
2009-12-31,12.18,12.26,12.15,12.16,6347600,0.0,0.0
2010-01-04,12.15,12.16,11.98,12.02,11972400,0.0,0.0
2010-01-05,11.99,12.11,11.9,12.07,6275200,0.0,0.0
2010-01-06,12.03,12.09,11.95,12.0,13399200,0.0,0.0
2010-01-07,11.98,12.14,11.97,12.12,7187600,0.0,0.0
2010-01-08,12.11,12.12,11.95,12.09,7249600,0.0,0.0
2010-01-11,12.13,12.13,11.9,11.94,10678000,0.0,0.0
2010-01-12,11.89,11.98,11.83,11.93,11485600,0.0,0.0
2010-01-13,11.98,12.08,11.92,12.03,5648800,0.0,0.0
2010-01-14,12.05,12.11,11.91,11.96,7311600,0.0,0.0
2010-01-15,11.92,11.96,11.77,11.85,11293200,0.0,0.0
2010-01-19,11.81,11.92,11.77,11.91,7453200,0.0,0.0
2010-01-20,11.81,11.85,11.7,11.81,8008400,0.0,0.0
2010-01-21,11.83,11.84,11.6,11.71,13983200,0.0,0.0
2010-01-22,11.69,11.82,11.58,11.59,13320000,0.0,0.0
2010-01-25,11.66,11.78,11.65,11.71,10749600,0.0,0.0
2010-01-26,11.65,11.8,11.6,11.73,6711200,0.0,0.0
2010-01-27,11.71,11.81,11.64,11.78,13560400,0.0,0.0
2010-01-28,11.82,11.96,11.66,11.69,7158000,0.0,0.0
2010-01-29,11.71,11.9,11.69,11.73,10402400,0.0,0.0
2010-02-01,11.77,11.86,11.69,11.79,6407600,0.0,0.0
2010-02-02,11.83,11.83,11.7,11.76,9539200,0.0,0.0
2010-02-03,11.72,11.79,11.65,11.78,7889200,0.0,0.0
2010-02-04,11.69,11.73,11.42,11.42,17924800,0.0,0.0
2010-02-05,11.41,11.45,11.2,11.35,13110800,0.0,0.0
2010-02-08,11.34,11.43,11.27,11.28,8177200,0.0,0.0
2010-02-09,11.37,11.61,11.35,11.5,9438000,0.0,0.0
2010-02-10,11.5,11.58,11.45,11.53,7698400,0.0,0.0
2010-02-11,11.49,11.62,11.43,11.58,7010000,0.0,0.0
2010-02-12,11.5,11.51,11.36,11.5,11152000,0.0,0.0
2010-02-16,11.56,11.71,11.47,11.71,9628000,0.0,0.0
2010-02-17,11.75,11.9,11.71,11.86,10640400,0.0,0.0
2010-02-18,11.87,11.88,11.76,11.86,6468000,0.0,0.0
2010-02-19,11.8,11.89,11.78,11.84,9498000,0.0,0.0
2010-02-22,11.88,11.92,11.78,11.83,6864800,0.0,0.0
2010-02-23,11.83,11.88,11.7,11.8,7738800,0.0,0.0
2010-02-24,11.78,11.96,11.78,11.95,11618000,0.0,0.0
2010-02-25,11.96,12.2,11.78,12.17,15967600,0.0,0.0
2010-02-26,12.19,12.48,12.19,12.44,19633200,0.0,0.0
2010-03-01,12.5,12.64,12.44,12.56,10674000,0.0,0.0
2010-03-02,12.52,12.57,12.45,12.52,9844800,0.0,0.0
2010-03-03,12.46,12.51,12.38,12.45,8670400,0.0,0.0
2010-03-04,12.72,12.73,12.61,12.65,6306400,0.27,0.0
2010-03-05,12.68,12.81,12.68,12.77,7460000,0.0,0.0
2010-03-08,12.71,12.89,12.71,12.87,7084000,0.0,0.0
2010-03-09,12.86,12.94,12.81,12.89,6042400,0.0,0.0
2010-03-10,12.88,12.95,12.79,12.92,5592800,0.0,0.0
2010-03-11,12.92,13.06,12.85,13.04,6960000,0.0,0.0
2010-03-12,12.98,13.09,12.98,13.07,7208400,0.0,0.0
2010-03-15,13.04,13.23,13.04,13.16,9514000,0.0,0.0
2010-03-16,13.15,13.28,13.11,13.16,10107200,0.0,0.0
2010-03-17,13.16,13.34,13.14,13.25,14751600,0.0,0.0
2010-03-18,13.72,14.09,13.71,13.96,43696000,0.0,0.0
2010-03-19,13.89,13.9,13.67,13.75,18789600,0.0,0.0
2010-03-22,13.63,13.87,13.62,13.81,11696000,0.0,0.0
2010-03-23,13.91,13.95,13.83,13.93,8986000,0.0,0.0
2010-03-24,13.9,13.91,13.65,13.72,11069200,0.0,0.0
2010-03-25,13.87,13.98,13.75,13.76,11321600,0.0,0.0
2010-03-26,13.8,13.98,13.72,13.82,8661600,0.0,0.0
2010-03-29,13.87,13.9,13.76,13.83,6522400,0.0,0.0
2010-03-30,13.84,13.91,13.75,13.8,6461200,0.0,0.0
2010-03-31,13.74,13.86,13.7,13.74,7916000,0.0,0.0
2010-04-01,13.83,13.91,13.79,13.84,8376400,0.0,0.0
2010-04-05,13.87,13.99,13.77,13.86,7081600,0.0,0.0
2010-04-06,13.75,13.86,13.74,13.82,8428000,0.0,0.0
2010-04-07,13.83,13.87,13.71,13.76,8851200,0.0,0.0
2010-04-08,13.74,13.89,13.66,13.83,10410400,0.0,0.0
2010-04-09,13.87,14.08,13.77,14.06,12502000,0.0,0.0
2010-04-12,14.08,14.2,14.06,14.12,8867200,0.0,0.0
2010-04-13,14.1,14.2,13.98,14.12,7025200,0.0,0.0
2010-04-14,14.14,14.18,14.02,14.17,6804400,0.0,0.0
2010-04-15,14.13,14.18,14.02,14.14,7014400,0.0,0.0
2010-04-16,14.13,14.21,14.02,14.06,13739200,0.0,0.0
2010-04-19,14.01,14.17,13.88,14.13,8790400,0.0,0.0
2010-04-20,14.21,14.32,14.19,14.28,9584400,0.0,0.0
2010-04-21,14.29,14.42,14.24,14.35,10800800,0.0,0.0
2010-04-22,14.26,14.68,14.25,14.63,13848800,0.0,0.0
2010-04-23,14.55,14.67,14.45,14.57,10151200,0.0,0.0
2010-04-26,14.57,14.67,14.54,14.59,6050400,0.0,0.0
2010-04-27,14.52,14.68,14.32,14.35,11016800,0.0,0.0
2010-04-28,14.39,14.59,14.24,14.29,10812000,0.0,0.0
2010-04-29,14.42,14.53,14.35,14.5,9083600,0.0,0.0
2010-04-30,14.48,14.56,14.19,14.19,9869600,0.0,0.0
2010-05-03,14.21,14.66,14.19,14.54,8428400,0.0,0.0
2010-05-04,14.59,14.69,14.42,14.46,14530400,0.0,0.0
2010-05-05,14.37,14.45,13.97,14.06,17310400,0.0,0.0
2010-05-06,13.94,14.21,12.53,13.52,26330000,0.0,0.0
2010-05-07,13.34,13.54,13.05,13.2,21502400,0.0,0.0
2010-05-10,13.82,14.35,13.79,14.33,26477600,0.0,0.0
2010-05-11,14.17,14.41,14.17,14.29,13755200,0.0,0.0
2010-05-12,14.34,14.58,14.21,14.56,9956000,0.0,0.0
2010-05-13,14.52,14.58,14.09,14.13,20976800,0.0,0.0
2010-05-14,13.95,14.02,13.68,13.79,19014000,0.0,0.0
2010-05-17,13.79,13.81,13.47,13.77,16944400,0.0,0.0
2010-05-18,13.87,14.03,13.59,13.64,18855600,0.0,0.0
2010-05-19,13.56,13.6,13.28,13.51,23478800,0.0,0.0
2010-05-20,13.19,13.39,13.01,13.15,25056400,0.0,0.0
2010-05-21,12.93,13.42,12.74,13.35,17064000,0.0,0.0
2010-05-24,13.31,13.45,13.22,13.34,22684400,0.0,0.0
2010-05-25,13.11,13.65,12.95,13.63,21164000,0.0,0.0
2010-05-26,13.75,13.77,13.45,13.56,16727200,0.0,0.0
2010-05-27,13.7,13.83,13.6,13.82,14743600,0.0,0.0
2010-05-28,13.77,13.81,13.46,13.53,15556800,0.0,0.0
2010-06-01,13.36,13.58,13.22,13.31,14684000,0.0,0.0
2010-06-02,13.33,13.66,13.33,13.65,12660800,0.0,0.0
2010-06-03,13.89,14.02,13.84,13.97,11356800,0.27,0.0
2010-06-04,13.73,13.75,13.32,13.43,15403600,0.0,0.0
2010-06-07,13.39,13.48,13.19,13.21,11056400,0.0,0.0
2010-06-08,13.21,13.37,13.03,13.33,12263200,0.0,0.0
2010-06-09,13.38,13.54,13.22,13.29,12914000,0.0,0.0
2010-06-10,13.51,13.77,13.5,13.62,11831200,0.0,0.0
2010-06-11,13.53,13.79,13.48,13.73,8808400,0.0,0.0
2010-06-14,13.76,13.85,13.65,13.71,8746400,0.0,0.0
2010-06-15,13.72,14.04,13.72,14.04,8697600,0.0,0.0
2010-06-16,13.92,14.14,13.87,14.01,12700400,0.0,0.0
2010-06-17,14.12,14.18,13.97,14.15,11802400,0.0,0.0
2010-06-18,14.2,14.28,14.13,14.22,11196400,0.0,0.0
2010-06-21,14.33,14.41,14.01,14.11,11192000,0.0,0.0
2010-06-22,14.13,14.23,13.7,13.75,10388000,0.0,0.0
2010-06-23,13.79,13.89,13.57,13.76,11658800,0.0,0.0
2010-06-24,13.29,13.41,13.13,13.21,36104000,0.0,0.0
2010-06-25,13.26,13.37,13.08,13.31,18090000,0.0,0.0
2010-06-28,13.38,13.45,13.21,13.38,12720400,0.0,0.0
2010-06-29,13.21,13.22,12.8,12.94,23320800,0.0,0.0
2010-06-30,12.89,13.12,12.77,12.82,18551200,0.0,0.0
2010-07-01,12.88,13.0,12.67,12.92,20482400,0.0,0.0
2010-07-02,12.94,13.08,12.8,12.88,11626800,0.0,0.0
2010-07-06,12.95,13.13,12.59,12.76,16874800,0.0,0.0
2010-07-07,12.81,13.02,12.72,13.01,17171600,0.0,0.0
2010-07-08,13.14,13.38,13.1,13.34,17801600,0.0,0.0
2010-07-09,13.32,13.33,13.19,13.31,10962400,0.0,0.0
2010-07-12,13.28,13.37,13.15,13.25,8889600,0.0,0.0
2010-07-13,13.36,13.46,13.29,13.37,12129600,0.0,0.0
2010-07-14,13.32,13.4,13.18,13.39,11656000,0.0,0.0
2010-07-15,13.35,13.44,13.16,13.41,14103200,0.0,0.0
2010-07-16,13.35,13.41,13.04,13.09,13703600,0.0,0.0
2010-07-19,13.12,13.18,12.94,13.02,9580000,0.0,0.0
2010-07-20,12.89,13.29,12.83,13.25,14804000,0.0,0.0
2010-07-21,13.31,13.49,13.15,13.22,15788800,0.0,0.0
2010-07-22,13.36,13.69,13.35,13.58,13528000,0.0,0.0
2010-07-23,13.57,13.88,13.51,13.81,11518800,0.0,0.0
2010-07-26,13.8,14.03,13.76,13.9,10491600,0.0,0.0
2010-07-27,13.99,14.02,13.82,13.98,10412400,0.0,0.0
2010-07-28,13.98,14.05,13.83,13.88,8456400,0.0,0.0
2010-07-29,13.98,14.07,13.79,13.96,9664400,0.0,0.0
2010-07-30,13.86,14.03,13.79,13.98,8702800,0.0,0.0
2010-08-02,14.12,14.23,14.03,14.11,10268000,0.0,0.0
2010-08-03,14.08,14.08,13.83,13.87,12723600,0.0,0.0
2010-08-04,13.89,14.11,13.88,14.04,12157600,0.0,0.0
2010-08-05,13.94,14.11,13.91,14.06,8065600,0.0,0.0
2010-08-06,13.93,14.06,13.81,14.04,7698800,0.0,0.0
2010-08-09,14.07,14.23,14.02,14.07,7893600,0.0,0.0
2010-08-10,13.93,14.12,13.82,14.03,9386400,0.0,0.0
2010-08-11,13.81,13.81,13.57,13.68,12152000,0.0,0.0
2010-08-12,13.47,13.62,13.42,13.57,9752000,0.0,0.0
2010-08-13,13.55,13.57,13.38,13.4,8794400,0.0,0.0
2010-08-16,13.31,13.56,13.24,13.49,9525600,0.0,0.0
2010-08-17,13.62,13.8,13.56,13.61,10123600,0.0,0.0
2010-08-18,13.61,13.8,13.46,13.71,8782800,0.0,0.0
2010-08-19,13.63,13.67,13.39,13.54,9880800,0.0,0.0
2010-08-20,13.42,13.55,13.38,13.52,7151600,0.0,0.0
2010-08-23,13.59,13.74,13.47,13.47,7856000,0.0,0.0
2010-08-24,13.29,13.42,13.17,13.29,10616000,0.0,0.0
2010-08-25,13.18,13.35,12.97,13.31,12604400,0.0,0.0
2010-08-26,13.41,13.61,13.35,13.36,13606400,0.0,0.0
2010-08-27,13.42,13.51,13.23,13.46,10624800,0.0,0.0
2010-08-30,13.42,13.55,13.28,13.35,10087600,0.0,0.0
2010-08-31,13.29,13.43,13.21,13.29,11941600,0.0,0.0
2010-09-01,13.5,13.71,13.44,13.69,13737200,0.0,0.0
2010-09-02,13.89,14.08,13.83,14.06,9632000,0.27,0.0
2010-09-03,14.21,14.34,14.11,14.31,12278000,0.0,0.0
2010-09-07,14.22,14.35,14.21,14.26,8101200,0.0,0.0
2010-09-08,14.3,14.39,14.24,14.28,9198000,0.0,0.0
2010-09-09,14.42,14.45,14.18,14.24,7006800,0.0,0.0
2010-09-10,14.29,14.42,14.19,14.21,8159200,0.0,0.0
2010-09-13,14.34,14.5,14.33,14.39,9858400,0.0,0.0
2010-09-14,14.35,14.62,14.33,14.5,9995200,0.0,0.0
2010-09-15,14.48,14.78,14.44,14.75,15811600,0.0,0.0
2010-09-16,14.7,14.81,14.63,14.77,8692800,0.0,0.0
2010-09-17,14.82,14.94,14.74,14.89,12146400,0.0,0.0
2010-09-20,14.89,15.23,14.89,15.1,15101600,0.0,0.0
2010-09-21,15.02,15.04,14.88,14.97,13273600,0.0,0.0
2010-09-22,14.93,15.03,14.78,14.9,10488800,0.0,0.0
2010-09-23,14.82,15.05,14.76,14.96,17721600,0.0,0.0
2010-09-24,15.67,15.74,15.31,15.33,33384400,0.0,0.0
2010-09-27,15.3,15.32,15.06,15.24,18776000,0.0,0.0
2010-09-28,15.23,15.57,15.14,15.54,21709600,0.0,0.0
2010-09-29,15.47,15.49,15.27,15.4,14574000,0.0,0.0
2010-09-30,15.42,15.57,15.32,15.44,13493200,0.0,0.0
2010-10-01,15.6,15.6,15.38,15.46,14170000,0.0,0.0
2010-10-04,15.4,15.46,15.23,15.39,10353200,0.0,0.0
2010-10-05,15.53,15.7,15.47,15.66,13471200,0.0,0.0
2010-10-06,15.61,15.67,15.57,15.67,9634400,0.0,0.0
2010-10-07,15.66,15.67,15.47,15.6,12183600,0.0,0.0
2010-10-08,15.59,15.91,15.59,15.81,19038400,0.0,0.0
2010-10-11,15.73,15.86,15.7,15.8,9902800,0.0,0.0
2010-10-12,15.99,16.07,15.76,15.78,22497200,0.0,0.0
2010-10-13,15.87,15.94,15.7,15.8,10490800,0.0,0.0
2010-10-14,15.75,15.85,15.67,15.75,9410000,0.0,0.0
2010-10-15,15.85,15.89,15.73,15.8,8276800,0.0,0.0
2010-10-18,15.8,15.82,15.7,15.73,6297600,0.0,0.0
2010-10-19,15.5,15.71,15.43,15.55,10816400,0.0,0.0
2010-10-20,15.61,15.74,15.58,15.65,7533200,0.0,0.0
2010-10-21,15.73,15.96,15.7,15.82,11593200,0.0,0.0
2010-10-22,15.82,15.9,15.74,15.78,4240400,0.0,0.0
2010-10-25,15.91,16.0,15.8,15.81,8882800,0.0,0.0
2010-10-26,15.73,15.84,15.66,15.76,10289600,0.0,0.0
2010-10-27,15.65,15.67,15.47,15.61,8974000,0.0,0.0
2010-10-28,15.67,15.74,15.52,15.63,6505600,0.0,0.0
2010-10-29,15.59,15.7,15.54,15.69,8051600,0.0,0.0
2010-11-01,15.78,15.8,15.53,15.63,7583200,0.0,0.0
2010-11-02,15.76,15.85,15.7,15.75,7117600,0.0,0.0
2010-11-03,15.75,15.83,15.6,15.77,7029200,0.0,0.0
2010-11-04,15.94,16.09,15.88,16.07,9876000,0.0,0.0
2010-11-05,16.04,16.21,16.04,16.21,9038800,0.0,0.0
2010-11-08,16.12,16.15,15.98,16.11,7300400,0.0,0.0
2010-11-09,16.12,16.12,15.97,16.03,9705200,0.0,0.0
2010-11-10,16.02,16.18,15.96,16.16,8811200,0.0,0.0
2010-11-11,16.06,16.15,15.99,16.12,6689600,0.0,0.0
2010-11-12,16.03,16.12,15.81,15.92,7630400,0.0,0.0
2010-11-15,15.97,15.98,15.74,15.76,7975600,0.0,0.0
2010-11-16,15.72,15.85,15.46,15.51,12930800,0.0,0.0
2010-11-17,15.56,15.79,15.52,15.68,10762000,0.0,0.0
2010-11-18,15.83,15.98,15.83,15.89,8432000,0.0,0.0
2010-11-19,15.97,16.63,15.97,16.53,19276800,0.0,0.0
2010-11-22,16.39,16.57,16.39,16.55,7275600,0.0,0.0
2010-11-23,16.39,16.55,16.35,16.43,6632000,0.0,0.0
2010-11-24,16.46,16.76,16.46,16.67,8905600,0.0,0.0
2010-11-26,16.63,16.69,16.55,16.56,4050400,0.0,0.0
2010-11-29,16.45,16.45,16.17,16.41,9700400,0.0,0.0
2010-11-30,16.28,16.69,16.26,16.59,13166000,0.0,0.0
2010-12-01,16.86,17.01,16.84,16.89,7963600,0.0,0.0
2010-12-02,17.17,17.2,17.0,17.17,6449200,0.31,0.0
2010-12-03,17.1,17.19,16.97,17.11,8116400,0.0,0.0
2010-12-06,17.1,17.19,17.01,17.15,4806400,0.0,0.0
2010-12-07,17.27,17.29,17.03,17.04,7686800,0.0,0.0
2010-12-08,17.09,17.13,16.89,17.07,5462800,0.0,0.0
2010-12-09,17.23,17.3,17.05,17.1,6420400,0.0,0.0
2010-12-10,17.15,17.27,17.1,17.16,5095200,0.0,0.0
2010-12-13,17.52,17.69,17.4,17.44,12956400,0.0,0.0
2010-12-14,17.39,17.54,17.3,17.45,7558800,0.0,0.0
2010-12-15,17.45,17.51,17.28,17.31,7000800,0.0,0.0
2010-12-16,17.3,17.44,17.15,17.44,7224400,0.0,0.0
