Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-01-27,19.75,20.5,19.75,20.14,5809300,0.0,0
2011-01-28,20.14,20.14,19.83,19.83,2611900,0.0,0
2011-01-31,19.81,21.02,19.63,20.67,2505300,0.0,0
2011-02-01,20.98,21.12,20.22,20.42,2155300,0.0,0
2011-02-02,20.6,20.88,20.41,20.58,1173100,0.0,0
2011-02-03,20.43,20.68,20.42,20.58,668300,0.0,0
2011-02-04,20.66,21.49,20.42,20.68,720200,0.0,0
2011-02-07,20.66,20.78,20.33,20.45,1204800,0.0,0
2011-02-08,20.38,20.67,20.34,20.64,3632000,0.0,0
2011-02-09,20.6,20.78,20.25,20.29,873200,0.0,0
2011-02-10,20.22,20.33,19.83,20.14,1149600,0.0,0
2011-02-11,20.64,20.64,19.91,20.0,2107900,0.0,0
2011-02-14,20.2,20.2,19.91,20.12,1122500,0.0,0
2011-02-15,20.08,20.16,19.87,20.13,887500,0.0,0
2011-02-16,20.07,20.62,20.07,20.62,853400,0.0,0
2011-02-17,20.52,21.58,20.52,21.42,1733100,0.0,0
2011-02-18,21.48,22.08,21.33,21.96,1360800,0.0,0
2011-02-22,21.53,21.8,20.79,20.95,1109400,0.0,0
2011-02-23,20.74,21.19,20.6,21.14,1125400,0.0,0
2011-02-24,20.98,21.03,20.57,20.58,496900,0.0,0
2011-02-25,20.65,20.75,20.44,20.61,556100,0.0,0
2011-02-28,20.71,21.21,20.59,21.09,872400,0.0,0
2011-03-01,20.62,21.81,20.56,21.52,1033500,0.0,0
2011-03-02,21.45,21.61,21.21,21.35,419700,0.0,0
2011-03-03,21.29,21.36,20.67,21.21,2173600,0.0,0
2011-03-04,21.03,21.44,20.87,21.06,719100,0.0,0
2011-03-07,21.63,22.08,21.29,21.41,1476600,0.0,0
2011-03-08,21.41,21.8,21.33,21.49,921300,0.0,0
2011-03-09,21.41,21.56,21.16,21.39,470800,0.0,0
2011-03-10,20.99,21.36,20.52,20.64,1128300,0.0,0
2011-03-11,20.47,21.0,20.47,20.62,706900,0.0,0
2011-03-14,20.45,21.22,20.44,20.98,786600,0.0,0
2011-03-15,20.54,21.08,20.47,20.89,859600,0.0,0
2011-03-16,20.87,20.92,20.39,20.64,1261100,0.0,0
2011-03-17,20.96,21.01,20.65,20.69,363600,0.0,0
2011-03-18,20.78,21.14,20.78,21.13,663900,0.0,0
2011-03-21,21.13,21.46,20.97,21.41,377600,0.0,0
2011-03-22,21.34,21.79,21.27,21.53,720600,0.0,0
2011-03-23,21.42,21.71,21.12,21.24,812000,0.0,0
2011-03-24,21.29,21.52,20.96,21.46,225200,0.0,0
2011-03-25,21.58,22.32,21.58,21.9,475200,0.0,0
2011-03-28,21.87,22.22,21.68,21.8,605300,0.0,0
2011-03-29,21.82,22.16,21.66,22.16,410800,0.0,0
2011-03-30,22.21,22.32,21.9,22.06,912000,0.0,0
2011-03-31,22.08,22.17,21.53,21.66,5847400,0.0,0
2011-04-01,21.73,21.94,21.42,21.64,609800,0.0,0
2011-04-04,21.63,22.21,21.63,22.01,945500,0.0,0
2011-04-05,21.92,21.92,21.55,21.74,273400,0.0,0
2011-04-06,21.8,21.83,21.46,21.81,653900,0.0,0
2011-04-07,21.72,21.9,21.36,21.79,242400,0.0,0
2011-04-08,22.02,22.02,21.34,21.44,446100,0.0,0
2011-04-11,21.41,22.18,21.32,21.93,483700,0.0,0
2011-04-12,21.79,22.41,21.67,22.27,1260300,0.0,0
2011-04-13,22.35,22.54,22.15,22.26,1031600,0.0,0
2011-04-14,22.18,22.25,21.79,21.94,161600,0.0,0
2011-04-15,21.91,22.23,21.84,22.22,246800,0.0,0
2011-04-18,21.97,22.11,21.59,21.65,311500,0.0,0
2011-04-19,21.65,22.36,21.63,21.89,371200,0.0,0
2011-04-20,22.14,22.21,21.52,21.63,1493500,0.0,0
2011-04-21,21.79,23.18,21.79,22.8,1009500,0.0,0
2011-04-25,22.9,23.05,22.05,22.68,1074200,0.0,0
2011-04-26,22.68,22.79,22.28,22.58,491200,0.0,0
2011-04-27,22.66,23.09,22.62,22.78,848500,0.0,0
2011-04-28,22.82,24.98,22.72,23.25,2091200,0.0,0
2011-04-29,23.3,23.87,23.21,23.7,1065600,0.0,0
2011-05-02,23.7,23.91,23.59,23.66,437800,0.0,0
2011-05-03,23.67,23.75,23.2,23.28,470700,0.0,0
2011-05-04,23.4,23.46,22.67,22.88,599000,0.0,0
2011-05-05,22.82,23.66,22.8,23.61,415600,0.0,0
2011-05-06,23.74,23.89,23.47,23.66,198500,0.0,0
2011-05-09,23.71,24.41,23.62,24.02,742200,0.0,0
2011-05-10,24.13,24.47,23.86,23.97,328500,0.0,0
2011-05-11,24.12,24.19,23.82,23.94,701900,0.0,0
2011-05-12,23.86,24.2,23.28,24.01,657000,0.0,0
2011-05-13,24.09,24.36,23.72,24.27,383700,0.0,0
2011-05-16,24.18,24.96,23.95,24.51,694400,0.0,0
2011-05-17,24.5,25.87,24.5,25.43,1846300,0.0,0
2011-05-18,24.69,25.64,24.37,25.4,1327400,0.0,0
2011-05-19,25.3,25.5,24.86,25.14,643200,0.0,0
2011-05-20,25.16,25.43,24.98,25.33,599400,0.0,0
2011-05-23,25.13,25.4,24.75,24.94,732900,0.0,0
2011-05-24,25.17,25.18,23.89,24.28,1721400,0.0,0
2011-05-25,24.28,25.27,24.05,24.38,1114400,0.0,0
2011-05-26,24.4,24.74,24.22,24.6,669100,0.0,0
2011-05-27,24.83,25.24,24.66,24.87,1110200,0.0,0
2011-05-31,25.2,26.17,24.78,24.97,4236000,0.0,0
2011-06-01,25.05,25.13,24.35,24.45,618100,0.0,0
2011-06-02,24.51,25.47,24.47,25.38,597600,0.0,0
2011-06-03,25.1,25.35,24.7,25.08,360400,0.0,0
2011-06-06,25.09,25.21,24.64,24.7,281200,0.0,0
2011-06-07,24.73,25.43,24.7,25.2,782900,0.0,0
2011-06-08,25.09,25.26,24.89,24.93,397200,0.0,0
2011-06-09,25.02,25.02,24.69,24.97,153200,0.0,0
2011-06-10,24.93,24.93,24.02,24.24,280900,0.0,0
2011-06-13,24.22,24.8,24.17,24.3,508900,0.0,0
2011-06-14,24.44,24.74,24.24,24.28,242200,0.0,0
2011-06-15,24.08,24.71,23.57,23.59,848200,0.0,0
2011-06-16,23.56,23.71,22.67,23.1,1063300,0.0,0
2011-06-17,23.21,24.72,23.21,24.01,1302500,0.0,0
2011-06-20,23.92,23.99,23.31,23.43,515400,0.0,0
2011-06-21,23.4,24.38,23.25,24.23,291000,0.0,0
2011-06-22,24.09,24.19,23.74,23.8,345900,0.0,0
2011-06-23,23.62,24.53,23.42,24.39,927900,0.0,0
2011-06-24,24.32,24.41,23.52,23.77,1285600,0.0,0
2011-06-27,23.73,23.91,23.27,23.32,285800,0.0,0
2011-06-28,23.55,23.86,23.1,23.74,435400,0.0,0
2011-06-29,23.77,24.36,23.58,24.19,629500,0.0,0
2011-06-30,24.29,25.12,24.13,24.71,779500,0.0,0
2011-07-01,24.67,24.81,23.93,24.46,628000,0.0,0
2011-07-05,24.38,24.55,23.95,24.51,190400,0.0,0
2011-07-06,24.51,24.74,24.12,24.34,307200,0.0,0
2011-07-07,24.46,25.22,24.36,24.87,210400,0.0,0
2011-07-08,24.53,24.59,24.04,24.28,150200,0.0,0
2011-07-11,24.05,24.2,23.79,23.86,106500,0.0,0
2011-07-12,23.66,24.08,23.59,23.83,289700,0.0,0
2011-07-13,24.04,24.68,23.77,23.87,197800,0.0,0
2011-07-14,23.87,24.14,23.48,24.03,504500,0.0,0
2011-07-15,24.33,24.97,24.33,24.62,517000,0.0,0
2011-07-18,24.58,24.68,23.9,24.21,347400,0.0,0
2011-07-19,24.29,24.85,24.29,24.46,287000,0.0,0
2011-07-20,24.43,24.58,23.87,23.97,441800,0.0,0
2011-07-21,24.19,24.38,24.05,24.2,1398100,0.0,0
2011-07-22,24.28,24.86,24.16,24.54,754100,0.0,0
2011-07-25,24.25,24.66,23.98,24.09,719400,0.0,0
2011-07-26,24.11,24.24,23.92,24.02,432600,0.0,0
2011-07-27,23.84,24.31,23.7,24.1,1087900,0.0,0
2011-07-28,24.39,25.24,24.05,24.1,824400,0.0,0
2011-07-29,23.82,23.9,23.54,23.76,1750000,0.0,0
2011-08-01,23.97,24.17,23.55,23.7,502600,0.0,0
2011-08-02,23.53,23.79,22.95,23.0,436400,0.0,0
2011-08-03,22.94,23.12,22.53,23.09,608000,0.0,0
2011-08-04,22.73,22.99,22.29,22.3,909100,0.0,0
2011-08-05,22.47,22.63,21.21,21.93,1560600,0.0,0
2011-08-08,21.21,21.76,20.67,20.71,1136300,0.0,0
2011-08-09,20.9,21.46,20.45,21.45,1107200,0.0,0
2011-08-10,21.09,21.74,20.91,20.99,1437800,0.0,0
2011-08-11,21.17,21.92,20.95,21.75,944900,0.0,0
2011-08-12,21.8,22.04,21.38,21.45,289600,0.0,0
2011-08-15,21.56,22.21,21.5,22.11,808000,0.0,0
2011-08-16,21.98,22.36,21.85,22.1,517500,0.0,0
2011-08-17,22.14,22.83,22.14,22.61,547400,0.0,0
2011-08-18,22.27,22.27,21.2,21.74,1153000,0.0,0
2011-08-19,21.38,21.86,21.02,21.06,1435200,0.0,0
2011-08-22,21.35,22.09,21.25,21.95,1520900,0.0,0
2011-08-23,22.08,22.1,21.18,21.76,847500,0.0,0
2011-08-24,21.56,22.39,21.55,22.01,857000,0.0,0
2011-08-25,22.02,22.09,21.59,21.82,670100,0.0,0
2011-08-26,21.73,22.88,21.45,22.44,772400,0.0,0
2011-08-29,22.66,23.54,22.39,23.43,462700,0.0,0
2011-08-30,23.29,23.54,22.94,23.34,465300,0.0,0
2011-08-31,23.41,23.69,23.27,23.52,583800,0.0,0
2011-09-01,23.5,23.7,23.27,23.31,294700,0.0,0
2011-09-02,23.03,23.43,22.91,23.4,532000,0.0,0
2011-09-06,22.81,23.1,22.5,22.86,575500,0.0,0
2011-09-07,23.13,23.4,22.86,23.05,849800,0.0,0
2011-09-08,22.87,23.22,22.87,23.1,401100,0.0,0
2011-09-09,22.97,23.12,22.1,22.47,450800,0.0,0
2011-09-12,22.21,22.42,21.79,22.05,323300,0.0,0
2011-09-13,22.11,22.11,21.76,21.9,566200,0.0,0
2011-09-14,22.02,22.02,21.44,21.46,889700,0.0,0
2011-09-15,21.72,22.11,21.51,21.98,641100,0.0,0
2011-09-16,22.11,22.48,21.9,22.43,359200,0.0,0
2011-09-19,22.19,22.67,21.85,22.41,605600,0.0,0
2011-09-20,22.43,22.48,21.79,21.94,1251900,0.0,0
2011-09-21,21.94,22.78,21.81,22.67,1314000,0.0,0
2011-09-22,22.09,22.11,20.38,20.71,1613800,0.0,0
2011-09-23,20.02,21.17,19.56,21.11,1210800,0.0,0
2011-09-26,20.99,21.4,20.48,21.22,1182000,0.0,0
2011-09-27,21.45,22.05,21.34,21.73,1738600,0.0,0
2011-09-28,21.81,22.45,21.62,21.69,1368500,0.0,0
2011-09-29,21.99,22.21,20.87,21.21,923900,0.0,0
2011-09-30,20.96,21.33,20.58,20.68,539600,0.0,0
2011-10-03,20.6,21.04,19.82,19.87,745200,0.0,0
2011-10-04,19.72,20.23,19.33,19.92,660200,0.0,0
2011-10-05,20.79,21.36,20.66,21.04,1000300,0.0,0
2011-10-06,21.1,21.97,20.83,21.71,1575400,0.0,0
