Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,32.88,33.63,32.87,33.05,4900500.0,0.0,0.0
2009-12-08,32.63,33.11,32.08,32.4,7861900.0,0.0,0.0
2009-12-09,32.53,32.8,32.03,32.62,4465200.0,0.0,0.0
2009-12-10,33.15,34.4,32.93,34.3,8892600.0,0.0,0.0
2009-12-11,34.05,34.4,33.83,34.39,5307000.0,0.0,0.0
2009-12-14,34.91,34.94,34.46,34.67,3985400.0,0.0,0.0
2009-12-15,34.55,35.45,34.44,35.01,3960700.0,0.0,0.0
2009-12-16,35.25,35.83,34.96,35.11,5370700.0,0.0,0.0
2009-12-17,34.83,35.26,34.62,34.79,4545900.0,0.0,0.0
2009-12-18,34.91,35.09,33.65,33.87,9687400.0,0.0,0.0
2009-12-21,34.23,34.86,34.07,34.37,3641900.0,0.0,0.0
2009-12-22,34.44,34.75,34.16,34.3,3539300.0,0.0,0.0
2009-12-23,34.55,35.16,34.36,35.04,3498700.0,0.0,0.0
2009-12-24,35.01,35.41,34.98,35.2,1002000.0,0.0,0.0
2009-12-28,35.56,35.75,35.23,35.42,2635300.0,0.0,0.0
2009-12-29,35.57,35.62,35.05,35.1,2923500.0,0.0,0.0
2009-12-30,34.93,35.06,34.58,34.91,2388000.0,0.0,0.0
2009-12-31,35.22,35.25,34.51,34.51,1883500.0,0.0,0.0
2010-01-04,35.15,36.11,35.14,36.07,5385800.0,0.0,0.0
2010-01-05,36.23,36.99,36.07,36.7,4680500.0,0.0,0.0
2010-01-06,36.65,37.33,36.09,37.22,5213600.0,0.0,0.0
2010-01-07,37.02,37.18,36.55,36.86,4111600.0,0.0,0.0
2010-01-08,36.57,37.48,36.47,36.87,6855900.0,0.0,0.0
2010-01-11,37.25,37.33,36.15,36.51,5479500.0,0.0,0.0
2010-01-12,36.15,36.47,35.61,36.28,5615300.0,0.0,0.0
2010-01-13,36.39,36.65,35.61,36.28,5629100.0,0.0,0.0
2010-01-14,36.21,36.96,36.13,36.75,4252200.0,0.0,0.0
2010-01-15,36.75,36.97,35.83,36.19,4960100.0,0.0,0.0
2010-01-19,36.08,36.92,36.0,36.85,4368500.0,0.0,0.0
2010-01-20,36.31,36.31,35.58,35.95,4885100.0,0.0,0.0
