Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,28.45,29.04,28.17,28.86,8144100,0.0,0
2009-12-08,28.82,29.22,28.4,29.09,7661300,0.0,0
2009-12-09,28.91,29.5,28.79,29.37,7151600,0.0,0
2009-12-10,29.39,29.5,28.77,28.83,9181100,0.0,0
2009-12-11,28.99,29.22,28.48,28.71,7456000,0.0,0
2009-12-14,28.84,29.24,28.71,29.1,3841100,0.0,0
2009-12-15,28.91,29.29,28.81,29.25,3543600,0.0,0
2009-12-16,29.23,29.65,29.23,29.36,3462700,0.0,0
2009-12-17,29.12,29.66,28.9,29.51,5251000,0.0,0
2009-12-18,29.12,29.25,28.53,28.98,9321300,0.0,0
2009-12-21,29.05,29.64,29.04,29.25,4318300,0.0,0
2009-12-22,29.23,29.43,28.82,29.12,5399600,0.0,0
2009-12-23,29.11,29.56,29.05,29.53,2984700,0.0,0
2009-12-24,29.48,29.81,29.39,29.8,1436900,0.0,0
2009-12-28,29.79,30.0,29.52,29.66,2572000,0.0,0
2009-12-29,29.6,29.69,29.32,29.53,2422700,0.0,0
2009-12-30,29.37,30.15,29.36,30.13,3045900,0.0,0
2009-12-31,30.2,30.52,29.95,29.97,4306200,0.0,0
2010-01-04,30.17,30.41,29.66,29.82,5320100,0.0,0
2010-01-05,29.74,29.96,29.12,29.3,7933900,0.0,0
2010-01-06,29.19,29.65,28.87,29.09,5193900,0.0,0
2010-01-07,28.99,29.25,28.77,29.02,5373000,0.0,0
2010-01-08,28.89,29.3,28.59,29.25,4718400,0.0,0
2010-01-11,29.25,29.44,28.55,28.73,5526800,0.0,0
2010-01-12,28.61,28.8,27.96,28.3,7329600,0.0,0
2010-01-13,28.53,29.54,28.52,29.42,6933200,0.0,0
2010-01-14,29.33,29.87,29.31,29.35,5474000,0.0,0
2010-01-15,29.55,29.66,28.77,28.91,5337800,0.0,0
2010-01-19,28.92,29.52,28.92,29.05,5129400,0.0,0
2010-01-20,28.84,28.84,27.74,28.35,5545900,0.0,0
2010-01-21,28.24,28.82,27.58,27.72,9320500,0.0,0
2010-01-22,27.51,28.01,26.83,26.85,9246500,0.0,0
2010-01-25,27.05,27.41,26.67,26.98,5594800,0.0,0
2010-01-26,26.86,27.51,26.63,26.96,5227400,0.0,0
2010-01-27,26.76,27.22,26.44,26.98,5722600,0.0,0
2010-01-28,26.69,26.97,25.71,26.01,9192700,0.0,0
2010-01-29,26.13,26.41,25.22,25.41,8728400,0.0,0
2010-02-01,25.38,26.31,25.38,26.26,5670000,0.0,0
2010-02-02,26.29,27.15,26.17,27.01,8363000,0.0,0
2010-02-03,26.9,27.18,26.74,27.06,5400500,0.0,0
2010-02-04,26.81,27.0,26.03,26.07,8937500,0.0,0
2010-02-05,26.23,26.58,25.7,26.5,9856400,0.0,0
2010-02-08,26.6,27.1,26.34,26.62,5738000,0.0,0
2010-02-09,26.96,27.2,26.52,27.05,6610900,0.0,0
2010-02-10,26.94,27.13,26.63,26.83,4356600,0.0,0
2010-02-11,26.82,27.59,26.6,27.51,5711200,0.0,0
2010-02-12,27.11,27.57,26.86,27.44,4397400,0.0,0
2010-02-16,27.83,28.19,27.68,28.17,7300700,0.0,0
2010-02-17,28.17,28.18,27.65,27.98,11614800,0.0,0
2010-02-18,27.55,27.65,26.39,27.63,19885800,0.0,0
2010-02-19,27.45,27.79,27.04,27.29,10254200,0.0,0
2010-02-22,27.48,27.48,26.64,26.73,6244100,0.0,0
2010-02-23,26.52,26.65,25.84,26.08,7964600,0.0,0
2010-02-24,26.22,26.47,25.79,26.02,9370800,0.0,0
2010-02-25,25.6,26.31,25.47,26.18,7590900,0.0,0
2010-02-26,26.16,26.42,25.99,26.18,6076300,0.0,0
2010-03-01,26.4,27.49,26.27,27.44,9051400,0.0,0
2010-03-02,27.5,27.64,26.86,27.12,7709200,0.0,0
2010-03-03,27.27,27.92,27.03,27.25,7451900,0.0,0
2010-03-04,27.33,27.41,27.07,27.35,5098000,0.0,0
2010-03-05,27.45,28.11,27.45,27.96,6557700,0.0,0
2010-03-08,28.23,28.69,28.21,28.36,5319400,0.0,0
2010-03-09,28.09,28.66,28.09,28.39,4808300,0.0,0
2010-03-10,28.28,29.05,28.28,28.94,7204400,0.0,0
2010-03-11,28.91,29.08,28.68,29.06,5345100,0.0,0
2010-03-12,29.25,29.39,28.57,28.71,4583900,0.0,0
2010-03-15,29.02,29.05,28.39,28.63,3756000,0.0,0
2010-03-16,28.77,28.98,28.48,28.95,4010400,0.0,0
2010-03-17,28.57,29.13,28.57,28.82,5094900,0.0,0
2010-03-18,28.76,29.11,28.64,29.05,3209700,0.0,0
2010-03-19,29.08,29.29,28.05,28.31,8786600,0.0,0
2010-03-22,28.09,28.93,28.09,28.73,3625200,0.0,0
2010-03-23,28.75,28.77,28.29,28.56,5347700,0.0,0
2010-03-24,28.42,29.03,28.3,28.93,4908300,0.0,0
2010-03-25,29.22,29.23,28.44,28.45,6013700,0.0,0
2010-03-26,28.84,28.88,28.33,28.55,5679800,0.0,0
2010-03-29,28.73,28.95,28.28,28.38,3203800,0.0,0
2010-03-30,28.36,28.54,27.96,28.41,3747100,0.0,0
2010-03-31,28.13,28.64,28.13,28.38,3523500,0.0,0
2010-04-01,28.99,30.24,28.98,29.88,12611400,0.0,0
2010-04-05,29.94,30.45,29.82,30.33,5016200,0.0,0
2010-04-06,30.16,30.42,29.93,30.38,4068500,0.0,0
2010-04-07,30.28,31.04,30.22,30.63,8154800,0.0,0
2010-04-08,30.47,30.53,29.73,30.39,5252600,0.0,0
2010-04-09,30.44,30.99,30.41,30.99,6107500,0.0,0
2010-04-12,30.66,30.99,30.28,30.48,5231100,0.0,0
2010-04-13,30.27,30.55,30.14,30.26,3983300,0.0,0
2010-04-14,30.51,31.37,30.42,31.28,5129700,0.0,0
2010-04-15,31.2,31.4,31.08,31.11,4956800,0.0,0
2010-04-16,31.08,31.48,30.54,30.66,7605300,0.0,0
2010-04-19,30.49,30.87,29.83,30.34,4666600,0.0,0
2010-04-20,30.35,30.39,29.95,30.24,5718500,0.0,0
2010-04-21,30.27,30.8,30.1,30.69,5389100,0.0,0
2010-04-22,30.1,30.96,30.07,30.83,3592500,0.0,0
2010-04-23,30.72,31.64,30.66,31.55,5342300,0.0,0
2010-04-26,31.58,31.83,31.22,31.3,3894500,0.0,0
2010-04-27,31.05,31.31,30.17,30.4,5337900,0.0,0
2010-04-28,30.69,31.02,30.37,30.99,5745100,0.0,0
2010-04-29,31.01,31.62,30.78,31.26,6314100,0.0,0
2010-04-30,31.4,31.4,30.21,30.24,4173900,0.0,0
2010-05-03,30.31,30.64,30.27,30.42,4605600,0.0,0
2010-05-04,29.99,30.08,29.0,29.67,5445300,0.0,0
2010-05-05,29.54,29.82,29.19,29.72,4770800,0.0,0
2010-05-06,29.57,29.92,26.63,28.79,7345400,0.0,0
2010-05-07,28.57,28.74,26.91,27.45,11932600,0.0,0
2010-05-10,28.73,29.66,28.55,29.59,9181400,0.0,0
2010-05-11,29.35,29.73,29.05,29.18,5858600,0.0,0
2010-05-12,29.18,29.74,28.91,29.7,4380200,0.0,0
2010-05-13,29.22,29.96,29.21,29.39,3302000,0.0,0
2010-05-14,28.8,29.6,28.36,29.44,8527300,0.0,0
2010-05-17,29.52,29.87,29.02,29.62,6192400,0.0,0
2010-05-18,29.93,30.17,29.05,29.25,4543400,0.0,0
2010-05-19,29.07,29.66,28.9,29.26,4495700,0.0,0
2010-05-20,28.73,29.0,27.92,28.4,7141400,0.0,0
2010-05-21,27.75,28.76,27.74,28.64,9349600,0.0,0
2010-05-24,27.61,28.78,27.61,28.26,4437000,0.0,0
2010-05-25,27.61,28.93,27.1,28.86,8365300,0.0,0
2010-05-26,28.9,29.71,28.16,28.29,10610400,0.0,0
2010-05-27,30.9,33.71,30.69,33.29,27567200,0.0,0
2010-05-28,32.8,33.62,32.46,32.87,12368000,0.0,0
2010-06-01,32.27,33.69,32.27,32.81,13584500,0.0,0
2010-06-02,32.78,34.0,32.59,33.97,8245800,0.0,0
2010-06-03,34.02,34.37,33.42,33.91,10890400,0.0,0
2010-06-04,33.42,34.37,32.82,33.04,12262500,0.0,0
2010-06-07,33.36,33.95,32.21,32.3,10634000,0.0,0
2010-06-08,32.27,32.74,31.69,32.61,11203600,0.0,0
2010-06-09,32.83,33.98,32.61,32.72,8171900,0.0,0
2010-06-10,33.21,33.78,32.94,33.57,6615800,0.0,0
2010-06-11,33.07,34.97,33.07,34.88,12592500,0.0,0
2010-06-14,35.22,35.61,34.57,34.82,7654100,0.0,0
2010-06-15,34.85,36.15,34.85,36.09,9689100,0.0,0
2010-06-16,35.63,36.09,35.53,35.76,9675600,0.0,0
2010-06-17,35.91,36.45,35.54,36.44,7893200,0.0,0
2010-06-18,36.44,36.49,35.95,35.95,8880600,0.0,0
2010-06-21,36.34,36.52,35.08,35.35,7709700,0.0,0
2010-06-22,35.46,35.67,34.57,34.69,5098900,0.0,0
2010-06-23,34.69,35.25,34.37,34.98,5249700,0.0,0
2010-06-24,34.79,35.19,34.32,34.56,6383100,0.0,0
