Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,14.6,15.15,13.91,14.82,68304600,0.0,0
2009-12-08,14.58,14.64,14.02,14.1,26887800,0.0,0
2009-12-09,14.25,14.56,14.11,14.45,16789700,0.0,0
2009-12-10,14.55,14.64,14.15,14.19,10425300,0.0,0
2009-12-11,14.31,14.33,13.97,14.01,10418600,0.0,0
2009-12-14,14.21,14.48,14.05,14.43,10137200,0.0,0
2009-12-15,14.33,14.65,14.29,14.41,11153800,0.0,0
2009-12-16,14.93,15.74,14.85,15.57,42085000,0.0,0
2009-12-17,15.62,16.1,15.27,15.5,25403300,0.0,0
2009-12-18,15.63,15.68,15.31,15.49,20320700,0.0,0
2009-12-21,15.58,16.11,15.56,16.04,10694800,0.0,0
2009-12-22,16.04,16.63,16.02,16.47,19826100,0.0,0
2009-12-23,16.62,16.74,16.41,16.7,11054900,0.0,0
2009-12-24,16.74,16.77,16.6,16.66,3420300,0.0,0
2009-12-28,16.63,16.78,16.23,16.39,11644000,0.0,0
2009-12-29,16.34,16.64,16.3,16.6,11896200,0.0,0
2009-12-30,16.75,17.3,16.63,17.19,17600200,0.0,0
2009-12-31,17.23,17.45,17.18,17.2,17508500,0.0,0
2010-01-04,17.05,17.15,16.68,17.03,20005100,0.0,0
2010-01-05,16.96,17.46,16.96,17.28,18216200,0.0,0
2010-01-06,17.27,17.42,17.1,17.39,16229200,0.0,0
2010-01-07,17.3,17.37,16.92,17.05,13694800,0.0,0
2010-01-08,16.91,17.2,16.81,17.08,11954200,0.0,0
2010-01-11,17.18,17.25,16.6,16.84,13915300,0.0,0
2010-01-12,16.6,16.66,15.92,16.27,15685800,0.0,0
2010-01-13,16.38,16.55,15.75,16.49,12721700,0.0,0
2010-01-14,16.29,16.41,15.96,16.24,15213100,0.0,0
2010-01-15,16.12,16.25,15.55,15.76,20454800,0.0,0
2010-01-19,15.64,16.15,15.59,16.05,13633200,0.0,0
2010-01-20,15.85,16.05,15.64,15.99,17993200,0.0,0
2010-01-21,15.98,16.26,15.55,15.7,15215800,0.0,0
2010-01-22,15.52,15.8,15.07,15.16,26697900,0.0,0
2010-01-25,15.41,15.71,15.3,15.42,16091900,0.0,0
2010-01-26,15.34,15.44,14.92,14.93,17865900,0.0,0
2010-01-27,14.92,15.39,14.75,15.33,20312600,0.0,0
2010-01-28,15.45,15.51,14.61,14.82,17194100,0.0,0
