Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.06,16.08,15.73,15.93,614200,0.0,0
2009-12-08,15.88,16.02,15.6,15.83,643100,0.0,0
2009-12-09,15.98,15.98,15.78,15.82,607700,0.0,0
2009-12-10,15.95,15.95,15.74,15.82,567300,0.0,0
2009-12-11,15.84,16.22,15.76,16.22,1007100,0.0,0
2009-12-14,16.29,16.45,16.14,16.45,697400,0.0,0
2009-12-15,16.34,16.52,16.24,16.51,1114300,0.0,0
2009-12-16,16.36,16.57,16.36,16.49,1087900,0.0,0
2009-12-17,16.48,16.75,16.32,16.75,1127300,0.0,0
2009-12-18,16.64,17.16,16.64,17.08,2429300,0.0,0
2009-12-21,17.09,17.11,16.61,16.7,1458300,0.0,0
2009-12-22,16.71,16.72,16.34,16.56,757800,0.0,0
2009-12-23,16.63,16.7,16.42,16.48,541500,0.0,0
2009-12-24,16.42,16.82,16.21,16.82,890700,0.0,0
2009-12-28,16.74,16.82,16.57,16.65,592900,0.0,0
2009-12-29,16.73,16.75,16.39,16.64,619200,0.0,0
2009-12-30,16.6,16.6,16.29,16.57,772300,0.143,0
2009-12-31,16.58,16.76,16.21,16.24,878400,0.0,0
2010-01-04,16.46,16.61,16.27,16.36,876900,0.0,0
2010-01-05,16.54,16.63,16.3,16.63,664000,0.0,0
2010-01-06,16.68,16.68,16.46,16.62,971500,0.0,0
2010-01-07,16.66,17.01,16.51,16.97,1219300,0.0,0
2010-01-08,16.91,17.23,16.9,17.2,789700,0.0,0
2010-01-11,17.25,17.26,17.05,17.07,703000,0.0,0
2010-01-12,17.01,17.16,16.98,17.13,618100,0.0,0
2010-01-13,17.31,17.37,17.08,17.33,734000,0.0,0
2010-01-14,17.25,17.38,17.18,17.26,676800,0.0,0
2010-01-15,17.35,17.39,17.21,17.23,700800,0.0,0
2010-01-19,17.23,17.61,17.23,17.52,1010300,0.0,0
2010-01-20,17.43,17.55,17.24,17.25,581700,0.0,0
2010-01-21,17.3,17.45,16.87,16.87,1016400,0.0,0
2010-01-22,16.98,17.39,16.46,16.46,1425800,0.0,0
2010-01-25,16.68,16.91,16.45,16.83,762800,0.0,0
2010-01-26,16.84,17.26,16.75,17.09,688600,0.0,0
2010-01-27,17.04,17.45,16.84,17.45,906900,0.0,0
2010-01-28,17.61,17.61,17.23,17.5,1019400,0.143,0
2010-01-29,17.52,17.61,17.3,17.59,1001400,0.0,0
2010-02-01,17.63,17.64,17.28,17.55,902500,0.0,0
2010-02-02,17.55,17.64,17.31,17.45,793200,0.0,0
2010-02-03,17.35,17.47,16.98,17.05,621200,0.0,0
2010-02-04,16.98,17.2,16.38,16.39,1479000,0.0,0
2010-02-05,16.51,16.72,16.13,16.45,1956700,0.0,0
2010-02-08,16.64,16.69,16.21,16.21,864600,0.0,0
2010-02-09,16.43,16.43,16.02,16.08,1156800,0.0,0
2010-02-10,16.11,16.26,15.92,16.22,914900,0.0,0
2010-02-11,16.13,16.53,16.01,16.4,914000,0.0,0
2010-02-12,16.39,17.04,16.25,17.0,1132900,0.0,0
2010-02-16,17.06,17.59,17.06,17.54,1222400,0.0,0
2010-02-17,17.61,17.84,17.57,17.84,1006800,0.0,0
2010-02-18,17.82,18.19,17.79,18.11,898100,0.0,0
2010-02-19,18.03,18.14,17.91,18.0,794300,0.0,0
2010-02-22,18.08,18.08,17.71,17.83,861800,0.0,0
2010-02-23,17.81,18.0,17.45,17.66,1100600,0.0,0
2010-02-24,17.68,17.91,17.66,17.83,643000,0.0,0
2010-02-25,17.87,17.94,17.63,17.92,489900,0.143,0
2010-02-26,17.9,18.01,17.71,17.73,739200,0.0,0
2010-03-01,17.76,17.92,17.56,17.71,893600,0.0,0
2010-03-02,17.82,17.87,17.49,17.71,706200,0.0,0
2010-03-03,17.79,17.92,17.6,17.7,613900,0.0,0
2010-03-04,17.7,17.79,17.62,17.76,407900,0.0,0
2010-03-05,17.83,18.07,17.7,18.01,783100,0.0,0
2010-03-08,18.03,18.19,17.96,18.11,617300,0.0,0
2010-03-09,18.06,18.49,18.04,18.44,722600,0.0,0
2010-03-10,18.45,18.61,18.3,18.5,957800,0.0,0
2010-03-11,18.42,18.6,18.25,18.5,547500,0.0,0
2010-03-12,18.55,18.61,18.3,18.47,861300,0.0,0
2010-03-15,18.5,18.68,18.35,18.54,636200,0.0,0
2010-03-16,18.6,19.01,18.58,18.94,734600,0.0,0
2010-03-17,18.97,19.25,18.97,19.13,829500,0.0,0
2010-03-18,19.06,19.53,19.04,19.3,1030500,0.0,0
2010-03-19,18.97,19.31,18.78,18.97,1403800,0.0,0
2010-03-22,18.85,19.3,18.85,19.27,651000,0.0,0
2010-03-23,19.0,19.21,18.99,19.13,740600,0.0,0
2010-03-24,18.99,19.69,18.99,19.4,1096600,0.0,0
2010-03-25,19.47,19.55,19.3,19.32,1006200,0.0,0
2010-03-26,19.39,19.53,19.31,19.48,656200,0.0,0
2010-03-29,19.55,19.55,19.37,19.52,609300,0.0,0
2010-03-30,19.51,19.62,19.34,19.55,560100,0.143312,0
2010-03-31,19.5,19.84,19.48,19.52,784400,0.0,0
2010-04-01,19.65,19.65,19.2,19.36,621100,0.0,0
2010-04-05,19.51,19.76,19.37,19.75,510200,0.0,0
2010-04-06,19.62,20.24,19.62,20.06,813100,0.0,0
2010-04-07,20.12,20.3,20.02,20.18,1204000,0.0,0
2010-04-08,20.1,20.21,20.05,20.14,702900,0.0,0
2010-04-09,20.18,20.3,20.04,20.19,782900,0.0,0
2010-04-12,20.34,20.34,19.94,19.97,474000,0.0,0
2010-04-13,19.92,20.41,19.88,20.34,579600,0.0,0
2010-04-14,20.49,20.72,20.29,20.7,622400,0.0,0
