Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,20.02,20.17,19.69,19.81,24138100,0.0,0
2009-12-08,19.66,19.7,19.29,19.31,27902700,0.0,0
2009-12-09,19.38,19.4,19.05,19.34,28550400,0.0,0
2009-12-10,19.68,19.97,19.59,19.9,34877300,0.0,0
2009-12-11,20.0,20.14,19.82,20.07,26741900,0.0,0
2009-12-14,20.23,20.65,20.19,20.54,32293900,0.0,0
2009-12-15,20.36,20.67,20.32,20.41,24653700,0.0,0
2009-12-16,20.57,20.67,20.34,20.37,30037100,0.0,0
2009-12-17,20.33,20.43,20.06,20.16,35972600,0.0,0
2009-12-18,21.16,21.8,21.13,21.45,88246400,0.0,0
2009-12-21,21.49,21.65,21.34,21.53,26935500,0.0,0
2009-12-22,21.6,21.7,21.36,21.55,23847200,0.0,0
2009-12-23,21.55,21.81,21.46,21.79,19257800,0.0,0
2009-12-24,21.78,21.99,21.74,21.98,7782700,0.0,0
2009-12-28,21.88,22.02,21.78,22.0,15927500,0.0,0
2009-12-29,22.04,22.12,21.95,22.04,16214100,0.0,0
2009-12-30,21.96,22.07,21.76,21.97,18697400,0.0,0
2009-12-31,21.97,21.98,21.57,21.61,17714100,0.0,0
2010-01-04,21.73,22.2,21.73,21.9,26795000,0.0,0
2010-01-05,21.78,21.9,21.46,21.87,28669900,0.0,0
2010-01-06,21.83,21.96,21.48,21.55,24560700,0.0,0
2010-01-07,21.55,21.68,21.22,21.48,30469700,0.0,0
2010-01-08,21.39,21.81,21.37,21.75,23542400,0.0,0
2010-01-11,21.75,21.85,21.47,21.75,19002400,0.0,0
2010-01-12,21.64,21.68,21.42,21.64,26204600,0.0,0
2010-01-13,21.7,22.02,21.63,21.85,24912300,0.0,0
2010-01-14,22.19,22.58,22.12,22.37,44685200,0.05,0
2010-01-15,22.49,22.64,22.06,22.28,42296200,0.0,0
2010-01-19,22.35,22.51,22.18,22.36,22732200,0.0,0
2010-01-20,22.12,22.19,21.64,22.13,39971500,0.0,0
2010-01-21,22.24,22.55,21.71,21.92,41756100,0.0,0
2010-01-22,22.02,22.12,21.29,21.32,33681500,0.0,0
2010-01-25,21.4,21.43,21.03,21.22,26366600,0.0,0
2010-01-26,21.13,21.3,20.92,21.08,28746000,0.0,0
2010-01-27,21.1,21.23,20.78,21.07,28819300,0.0,0
2010-01-28,21.26,21.35,20.56,20.72,41245700,0.0,0
2010-01-29,20.88,21.04,20.29,20.36,49957800,0.0,0
2010-02-01,20.62,20.64,20.18,20.5,29572800,0.0,0
2010-02-02,20.6,21.06,20.52,20.98,32150600,0.0,0
2010-02-03,20.97,21.05,20.77,20.97,23101100,0.0,0
2010-02-04,20.85,21.0,20.39,20.4,33254900,0.0,0
2010-02-05,20.62,20.9,20.37,20.79,45919600,0.0,0
2010-02-08,20.78,20.88,20.39,20.41,32929200,0.0,0
2010-02-09,20.72,20.94,20.53,20.76,34084100,0.0,0
2010-02-10,20.76,20.85,20.24,20.4,40139200,0.0,0
2010-02-11,20.36,20.76,20.16,20.62,28159000,0.0,0
2010-02-12,20.4,20.75,20.28,20.67,33657700,0.0,0
2010-02-16,20.92,21.06,20.69,21.02,21582200,0.0,0
2010-02-17,21.15,21.44,21.14,21.35,26147200,0.0,0
2010-02-18,21.29,21.69,21.24,21.65,31679100,0.0,0
2010-02-19,21.55,21.67,21.35,21.47,25941000,0.0,0
2010-02-22,21.71,22.05,21.58,21.9,37081800,0.0,0
2010-02-23,21.9,21.98,21.52,21.61,25098300,0.0,0
2010-02-24,21.75,21.92,21.6,21.87,24530400,0.0,0
2010-02-25,21.59,21.98,21.37,21.96,29145200,0.0,0
2010-02-26,22.04,22.04,21.67,21.76,21048700,0.0,0
2010-03-01,21.72,21.99,21.67,21.84,19744300,0.0,0
2010-03-02,21.89,22.03,21.65,21.7,23535000,0.0,0
2010-03-03,21.64,21.8,21.54,21.63,20726400,0.0,0
2010-03-04,21.6,21.95,21.44,21.86,20925500,0.0,0
2010-03-05,21.95,22.07,21.93,22.03,19312900,0.0,0
2010-03-08,22.05,22.05,21.79,21.81,16843600,0.0,0
2010-03-09,21.72,22.16,21.68,21.97,21835800,0.0,0
2010-03-10,21.89,22.09,21.79,21.96,23095900,0.0,0
2010-03-11,21.9,22.29,21.9,22.2,24214600,0.0,0
2010-03-12,22.18,22.24,21.83,22.12,35344700,0.0,0
2010-03-15,22.0,22.41,21.97,22.32,22025300,0.0,0
2010-03-16,22.41,22.43,21.98,22.26,25478300,0.0,0
2010-03-17,22.28,22.69,22.2,22.49,30309400,0.0,0
