Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,38.31,38.62,38.04,38.34,1315100,0,0
2009-12-08,38.0,38.33,37.57,38.07,1207300,0,0
2009-12-09,37.95,38.02,37.44,37.74,923700,0,0
2009-12-10,37.75,38.08,37.5,37.61,1108800,0,0
2009-12-11,37.95,38.0,37.47,37.57,1142800,0,0
2009-12-14,37.77,38.04,37.65,37.92,1383600,0,0
2009-12-15,37.71,37.95,37.46,37.52,973800,0,0
2009-12-16,37.65,37.97,37.59,37.63,1330400,0,0
2009-12-17,37.54,37.62,37.24,37.35,829000,0,0
2009-12-18,37.51,37.61,36.91,37.55,1752500,0,0
2009-12-21,37.72,38.46,37.43,38.17,1155300,0,0
2009-12-22,38.32,38.63,38.17,38.33,1008700,0,0
2009-12-23,38.39,38.61,38.03,38.39,717600,0,0
2009-12-24,38.46,38.68,38.2,38.54,323600,0,0
2009-12-28,38.62,38.67,38.23,38.33,611000,0,0
2009-12-29,38.38,38.42,38.11,38.3,399600,0,0
2009-12-30,38.3,38.71,38.3,38.48,641600,0,0
2009-12-31,38.65,38.7,38.12,38.12,694300,0,0
2010-01-04,39.24,39.24,38.1,38.5,1278200,0,0
2010-01-05,38.35,38.57,38.07,38.56,1134100,0,0
2010-01-06,38.44,38.75,38.18,38.39,1105000,0,0
2010-01-07,38.22,38.58,38.15,38.27,695300,0,0
2010-01-08,38.11,38.31,37.89,37.93,875000,0,0
2010-01-11,37.93,38.17,37.55,38.13,778200,0,0
2010-01-12,38.9,39.46,38.67,38.85,1660700,0,0
2010-01-13,38.95,39.21,38.75,38.98,1386200,0,0
2010-01-14,38.77,38.98,38.46,38.79,684800,0,0
2010-01-15,38.45,39.15,38.02,38.21,1359300,0,0
2010-01-19,38.21,38.71,38.0,38.61,924200,0,0
2010-01-20,38.25,38.36,37.7,37.95,989700,0,0
2010-01-21,37.85,38.43,37.57,37.84,1404700,0,0
2010-01-22,37.81,38.77,37.66,37.86,1383500,0,0
