Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,26.54,26.76,26.05,26.22,2011100,0.0,0
2009-12-08,25.95,26.41,25.55,26.15,2965400,0.0,0
2009-12-09,26.05,26.64,25.75,26.57,2938800,0.0,0
2009-12-10,26.68,26.84,26.49,26.52,3230700,0.0,0
2009-12-11,26.78,26.78,26.22,26.35,1711100,0.0,0
2009-12-14,26.82,26.82,26.41,26.61,1505600,0.0,0
2009-12-15,26.41,26.52,25.93,25.99,2486200,0.0,0
2009-12-16,26.03,26.23,25.57,25.74,3380200,0.0,0
2009-12-17,25.62,25.95,25.31,25.83,2612300,0.0,0
2009-12-18,25.95,26.29,25.84,26.27,5423300,0.0,0
2009-12-21,26.32,26.6,26.28,26.55,1551500,0.0,0
2009-12-22,26.71,26.97,26.55,26.73,2224100,0.0,0
2009-12-23,26.78,26.83,26.54,26.7,1611300,0.0,0
2009-12-24,26.76,26.89,26.62,26.79,438100,0.0,0
2009-12-28,26.81,26.88,26.59,26.7,1188200,0.0,0
2009-12-29,26.73,26.89,26.65,26.7,918800,0.0,0
2009-12-30,26.64,26.89,26.59,26.76,1020600,0.0,0
2009-12-31,26.79,26.79,26.41,26.44,1429000,0.0,0
2010-01-04,26.96,26.97,26.47,26.68,2631700,0.0,0
2010-01-05,26.66,27.18,26.59,27.16,2299300,0.0,0
2010-01-06,27.02,27.79,27.0,27.52,3565000,0.0,0
2010-01-07,27.44,27.92,27.32,27.89,2455700,0.0,0
2010-01-08,27.83,28.14,27.65,27.92,2404300,0.0,0
2010-01-11,27.88,28.52,27.69,28.38,2623600,0.0,0
2010-01-12,28.16,28.43,27.84,28.3,2259700,0.0,0
2010-01-13,28.41,28.52,27.96,28.43,2716500,0.0,0
2010-01-14,28.25,28.51,28.16,28.37,2043500,0.0,0
2010-01-15,28.37,28.52,27.62,27.7,4074700,0.0,0
2010-01-19,27.59,28.2,27.38,28.0,1868500,0.0,0
2010-01-20,27.65,27.7,26.77,27.48,2157300,0.0,0
2010-01-21,27.44,27.78,26.75,27.03,2984600,0.0,0
2010-01-22,27.06,27.16,26.3,26.36,3116300,0.0,0
2010-01-25,26.75,26.87,26.25,26.32,3457200,0.0,0
2010-01-26,26.33,26.46,25.93,26.01,2453000,0.0,0
2010-01-27,25.8,26.22,25.52,26.17,2871600,0.0,0
2010-01-28,26.24,26.53,25.44,25.68,4466400,0.0,0
2010-01-29,26.25,27.02,26.11,26.26,5301300,0.0,0
2010-02-01,26.36,26.46,25.97,26.32,3485000,0.0,0
2010-02-02,26.61,26.71,25.86,26.33,3708300,0.0,0
2010-02-03,26.13,26.75,26.06,26.14,2443000,0.0,0
2010-02-04,25.97,25.98,25.15,25.2,3303600,0.0,0
2010-02-05,25.33,25.34,24.38,24.9,5544800,0.0,0
2010-02-08,24.59,25.23,24.53,24.76,3114300,0.0,0
2010-02-09,25.11,25.87,25.02,25.47,2949100,0.0,0
2010-02-10,25.5,25.62,25.16,25.42,2405600,0.0,0
2010-02-11,25.29,26.07,25.23,26.01,2894200,0.0,0
2010-02-12,25.63,26.1,25.38,25.91,3004100,0.0,0
2010-02-16,26.21,26.39,25.84,26.36,2021500,0.0,0
2010-02-17,26.68,26.74,26.06,26.35,1645500,0.09,0
2010-02-18,26.39,26.55,26.17,26.25,2082900,0.0,0
2010-02-19,26.12,26.45,26.08,26.27,3030000,0.0,0
2010-02-22,26.34,26.47,25.67,25.84,2563000,0.0,0
2010-02-23,25.89,26.13,25.41,25.5,2630200,0.0,0
2010-02-24,25.7,26.22,25.68,26.09,2658900,0.0,0
2010-02-25,25.58,26.15,25.35,26.08,2751700,0.0,0
2010-02-26,26.08,26.22,25.7,25.83,2807900,0.0,0
2010-03-01,25.89,26.49,25.86,26.33,2145700,0.0,0
2010-03-02,26.38,27.51,26.38,27.11,5291700,0.0,0
2010-03-03,27.11,28.06,26.98,27.95,5350300,0.0,0
2010-03-04,27.98,28.21,27.87,28.09,3577500,0.0,0
2010-03-05,28.16,28.66,28.05,28.65,3147700,0.0,0
2010-03-08,28.58,28.8,28.38,28.49,2294500,0.0,0
2010-03-09,28.36,29.04,28.28,28.94,3788200,0.0,0
2010-03-10,28.85,29.2,28.6,29.05,2958500,0.0,0
2010-03-11,28.85,29.11,28.62,29.09,2562100,0.0,0
2010-03-12,29.23,30.57,29.1,30.21,6948100,0.0,0
2010-03-15,30.04,30.25,29.7,30.25,2590800,0.0,0
2010-03-16,30.54,30.64,30.31,30.51,2547800,0.0,0
2010-03-17,30.45,31.07,30.18,30.99,3477200,0.0,0
2010-03-18,30.85,30.99,30.56,30.72,3197400,0.0,0
2010-03-19,30.97,31.05,30.46,30.87,3969200,0.0,0
2010-03-22,30.71,31.69,30.55,31.59,2991800,0.0,0
2010-03-23,31.59,31.6,31.16,31.59,3118200,0.0,0
2010-03-24,31.59,31.86,31.4,31.46,2686700,0.0,0
2010-03-25,31.73,32.54,31.46,31.74,4161900,0.0,0
2010-03-26,31.84,32.16,31.62,31.91,2481800,0.0,0
2010-03-29,31.98,32.23,31.81,32.05,1773900,0.0,0
2010-03-30,32.05,32.21,31.76,32.03,1965100,0.0,0
2010-03-31,31.86,32.02,31.52,31.67,2733400,0.0,0
2010-04-01,31.79,32.33,31.67,32.03,2009200,0.0,0
2010-04-05,32.16,32.87,32.03,32.7,3137700,0.0,0
2010-04-06,32.66,32.87,32.5,32.65,2261700,0.0,0
2010-04-07,32.62,32.71,32.22,32.46,1930300,0.0,0
2010-04-08,32.43,32.64,31.97,32.55,2192300,0.0,0
2010-04-09,32.5,33.25,32.5,33.2,2208500,0.0,0
2010-04-12,33.25,33.33,32.97,33.16,1377600,0.0,0
2010-04-13,33.19,33.46,32.99,33.44,2001600,0.0,0
2010-04-14,33.28,33.94,33.2,33.92,1652600,0.0,0
2010-04-15,33.84,34.25,33.76,34.13,2458000,0.0,0
2010-04-16,34.08,34.32,33.36,33.53,3368000,0.0,0
2010-04-19,33.48,34.23,33.37,34.08,3692400,0.0,0
2010-04-20,34.41,34.49,32.74,33.11,6253300,0.0,0
2010-04-21,32.96,33.63,32.89,33.43,3247700,0.0,0
2010-04-22,33.1,34.03,32.89,33.92,2824200,0.0,0
2010-04-23,33.95,35.16,33.95,35.1,3565800,0.0,0
2010-04-26,35.07,35.54,34.9,35.1,2181600,0.0,0
2010-04-27,35.06,35.5,33.86,33.95,3823800,0.0,0
2010-04-28,34.19,34.49,33.79,33.93,2428300,0.0,0
2010-04-29,34.13,35.04,33.9,34.9,2311200,0.0,0
2010-04-30,35.04,35.3,33.98,33.99,2028300,0.0,0
2010-05-03,34.17,35.18,34.08,35.12,1925200,0.0,0
2010-05-04,34.48,34.61,32.88,33.68,4926700,0.0,0
2010-05-05,33.49,33.95,32.84,32.99,3767900,0.0,0
2010-05-06,32.6,33.14,29.04,31.31,6345600,0.0,0
2010-05-07,30.78,32.05,30.29,30.38,6321200,0.0,0
2010-05-10,32.3,33.06,32.16,32.71,4056700,0.0,0
2010-05-11,32.54,33.08,32.11,32.54,2660300,0.0,0
2010-05-12,32.68,33.14,32.18,33.11,5399700,0.0,0
2010-05-13,33.03,34.19,32.9,32.98,3470200,0.0,0
2010-05-14,32.75,32.78,31.52,32.22,3619600,0.0,0
2010-05-17,32.38,32.57,31.07,31.86,3522700,0.09,0
2010-05-18,32.06,32.64,31.31,31.42,2099100,0.0,0
2010-05-19,31.23,31.74,30.24,30.75,3480800,0.0,0
2010-05-20,30.0,30.01,28.65,28.68,5970600,0.0,0
2010-05-21,28.21,29.37,28.03,29.36,6020100,0.0,0
2010-05-24,28.96,29.44,28.55,28.91,3354100,0.0,0
2010-05-25,28.22,28.76,27.65,28.71,4094800,0.0,0
2010-05-26,28.87,30.27,28.75,29.22,6320500,0.0,0
2010-05-27,29.97,30.56,29.85,30.49,4162900,0.0,0
2010-05-28,30.57,30.65,29.7,30.02,2796100,0.0,0
2010-06-01,29.83,30.59,29.37,29.44,3865400,0.0,0
