Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,17.61,17.7,17.07,17.22,3934700,0.0,0.0
2009-12-08,17.04,17.43,17.01,17.07,3353800,0.0,0.0
2009-12-09,17.06,17.2,16.95,16.97,3172500,0.0,0.0
2009-12-10,17.0,17.13,16.75,16.86,2550800,0.0,0.0
2009-12-11,17.0,17.01,16.72,16.93,2974100,0.0,0.0
2009-12-14,16.96,17.14,16.83,17.11,3225400,0.0,0.0
2009-12-15,16.83,16.94,16.72,16.8,3265100,0.0,0.0
2009-12-16,16.85,17.01,16.73,16.81,3060000,0.0,0.0
2009-12-17,16.75,16.79,16.48,16.58,3423800,0.0,0.0
2009-12-18,16.59,16.65,16.36,16.53,5004100,0.0,0.0
2009-12-21,16.58,16.73,16.52,16.67,2895500,0.0,0.0
2009-12-22,16.72,16.82,16.6,16.78,2716400,0.0,0.0
2009-12-23,16.76,17.03,16.67,16.89,2144100,0.0,0.0
2009-12-24,16.99,17.15,16.92,17.11,936500,0.0,0.0
2009-12-28,17.18,17.3,17.0,17.09,3733000,0.0,0.0
2009-12-29,17.16,17.17,16.71,16.75,2259000,0.0,0.0
2009-12-30,16.71,16.81,16.63,16.81,2197600,0.0,0.0
2009-12-31,16.81,16.94,16.41,16.43,2934500,0.0,0.0
2010-01-04,16.69,16.73,16.15,16.17,4278600,0.0,0.0
2010-01-05,16.23,16.3,15.88,16.13,4180600,0.0,0.0
2010-01-06,16.05,16.26,15.97,16.03,2963700,0.0,0.0
2010-01-07,16.04,16.31,15.88,16.25,3924800,0.0,0.0
2010-01-08,16.21,16.39,16.19,16.36,3059700,0.0,0.0
2010-01-11,16.44,16.59,16.37,16.54,2572600,0.0,0.0
2010-01-12,16.42,16.54,16.15,16.26,3143400,0.0,0.0
2010-01-13,16.3,16.45,16.19,16.39,4628700,0.0,0.0
2010-01-14,16.31,16.39,16.15,16.34,2974200,0.0,0.0
2010-01-15,16.31,16.39,16.22,16.32,3852600,0.0,0.0
2010-01-19,16.3,16.86,16.29,16.83,4474800,0.0,0.0
2010-01-20,16.73,16.73,16.37,16.52,3440500,0.0,0.0
2010-01-21,16.55,16.62,16.0,16.03,4652700,0.0,0.0
2010-01-22,16.01,16.24,15.73,15.79,4995500,0.0,0.0
2010-01-25,15.98,15.98,15.56,15.79,3107500,0.0,0.0
2010-01-26,15.67,15.68,15.28,15.32,4624800,0.0,0.0
2010-01-27,15.32,15.46,15.05,15.45,5059200,0.0,0.0
2010-01-28,15.6,15.6,15.2,15.37,4295100,0.0,0.0
2010-01-29,15.44,15.53,15.15,15.25,5562500,0.0,0.0
2010-02-01,15.33,15.66,15.32,15.56,3151000,0.0,0.0
2010-02-02,15.58,15.97,15.43,15.92,4240600,0.0,0.0
2010-02-03,15.87,15.89,15.59,15.72,2955200,0.0,0.0
2010-02-04,15.62,15.62,14.93,14.94,8205900,0.0,0.0
2010-02-05,15.02,15.19,14.66,15.08,7692600,0.0,0.0
2010-02-08,15.11,15.16,14.62,14.67,4526100,0.0,0.0
2010-02-09,14.81,14.93,14.61,14.81,4926200,0.4235,0.0
2010-02-10,14.77,15.24,14.68,15.09,4662300,0.0,0.0
2010-02-11,15.05,15.38,14.95,15.34,3974300,0.0,0.0
2010-02-12,15.06,15.18,14.89,15.07,5211200,0.0,0.0
2010-02-16,15.32,15.87,15.22,15.84,4711500,0.0,0.0
2010-02-17,15.92,16.14,15.91,16.03,3515600,0.0,0.0
