Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,45.54,45.79,45.29,45.6,8948000,0.0,0
2009-12-08,45.36,45.48,44.97,45.16,11168700,0.0,0
2009-12-09,45.21,45.56,45.04,45.43,9118300,0.0,0
2009-12-10,45.51,45.88,45.32,45.43,10030400,0.0,0
2009-12-11,45.47,45.88,45.41,45.51,8932500,0.0,0
2009-12-14,45.65,46.05,45.54,46.0,9535800,0.0,0
2009-12-15,45.77,45.86,45.18,45.35,11430900,0.0,0
2009-12-16,45.54,45.75,45.35,45.38,9871800,0.0,0
2009-12-17,45.26,45.35,44.92,44.96,10983600,0.0,0
2009-12-18,45.24,45.26,44.1,44.93,22847800,0.0,0
2009-12-21,45.0,45.15,44.7,44.75,9550100,0.0,0
2009-12-22,44.63,44.89,44.54,44.75,7178900,0.0,0
2009-12-23,44.57,44.78,44.35,44.75,5630600,0.0,0
2009-12-24,44.71,44.88,44.57,44.73,3357000,0.0,0
2009-12-28,44.91,45.0,44.38,44.71,6880600,0.0,0
2009-12-29,44.65,45.17,44.64,44.95,7281400,0.0,0
2009-12-30,44.81,45.18,44.65,44.8,5666200,0.0,0
2009-12-31,44.91,44.92,44.21,44.26,5942200,0.0,0
2010-01-04,44.61,44.75,44.26,44.62,9190800,0.0,0
2010-01-05,44.62,44.73,44.24,44.63,8649400,0.0,0
2010-01-06,44.48,44.5,44.16,44.42,9908400,0.0,0
2010-01-07,44.22,44.31,43.97,44.18,8972800,0.0,0
2010-01-08,44.06,44.19,43.84,44.12,8464600,0.0,0
2010-01-11,43.86,44.0,43.08,43.94,14774600,0.0,0
2010-01-12,44.31,44.79,44.16,44.45,13460700,0.0,0
2010-01-13,44.56,45.11,44.46,44.91,16968100,0.0,0
2010-01-14,44.84,45.07,44.81,44.95,9139500,0.0,0
2010-01-15,44.97,45.16,44.12,44.4,15768300,0.0,0
2010-01-19,44.38,45.13,44.38,45.05,11577700,0.0,0
2010-01-20,44.83,44.88,44.19,44.44,11557800,0.44,0
2010-01-21,44.52,44.8,43.71,44.0,14298400,0.0,0
2010-01-22,43.93,44.62,43.54,44.34,17703200,0.0,0
2010-01-25,44.72,44.83,44.22,44.58,11630800,0.0,0
2010-01-26,44.24,44.81,44.11,44.62,13079000,0.0,0
2010-01-27,44.45,44.83,44.08,44.71,15228400,0.0,0
2010-01-28,45.34,46.55,45.27,45.35,26930000,0.0,0
2010-01-29,45.52,45.76,45.19,45.25,17067100,0.0,0
2010-02-01,45.47,45.76,45.22,45.58,12908100,0.0,0
2010-02-02,45.53,46.35,45.33,46.25,17680700,0.0,0
2010-02-03,46.13,46.22,45.85,46.06,11083500,0.0,0
2010-02-04,45.73,45.83,45.08,45.14,14306600,0.0,0
2010-02-05,44.91,45.17,44.43,45.07,14844400,0.0,0
2010-02-08,44.89,45.22,44.71,44.86,11431800,0.0,0
2010-02-09,45.13,45.58,44.86,45.41,11427100,0.0,0
2010-02-10,45.39,45.47,45.01,45.34,9854600,0.0,0
2010-02-11,45.16,45.7,45.05,45.55,10383400,0.0,0
2010-02-12,45.41,45.68,45.06,45.41,16188300,0.0,0
2010-02-16,46.02,46.22,45.84,46.19,13273100,0.0,0
2010-02-17,46.17,46.3,45.96,46.21,14384400,0.0,0
2010-02-18,46.12,46.69,45.84,46.61,17709000,0.0,0
2010-02-19,46.52,46.86,46.33,46.65,10897800,0.0,0
2010-02-22,46.83,46.97,46.54,46.63,9675300,0.0,0
2010-02-23,46.49,46.92,46.26,46.47,11948500,0.0,0
2010-02-24,46.48,47.02,46.41,46.97,12808800,0.0,0
2010-02-25,46.49,46.95,46.33,46.83,10085600,0.0,0
2010-02-26,46.87,46.97,46.42,46.52,10640900,0.0,0
2010-03-01,46.66,46.91,46.43,46.69,7748600,0.0,0
2010-03-02,46.85,46.96,46.57,46.84,8004000,0.0,0
2010-03-03,46.8,46.98,46.63,46.72,8608300,0.0,0
2010-03-04,46.8,47.16,46.62,46.81,8600300,0.0,0
2010-03-05,46.83,46.89,46.36,46.83,10101100,0.0,0
2010-03-08,46.72,46.81,46.34,46.46,11293300,0.0,0
2010-03-09,46.38,46.69,46.36,46.54,7100900,0.0,0
2010-03-10,46.49,46.53,46.22,46.33,9813200,0.0,0
2010-03-11,46.14,46.45,45.96,46.44,10047900,0.0,0
2010-03-12,46.56,46.72,46.36,46.55,8099000,0.0,0
2010-03-15,46.46,46.83,46.46,46.83,7674900,0.0,0
2010-03-16,46.85,46.98,46.63,46.71,8939300,0.0,0
2010-03-17,46.89,47.08,46.59,47.06,10135400,0.0,0
2010-03-18,46.98,47.15,46.8,46.86,8867400,0.0,0
2010-03-19,46.94,47.05,46.7,46.94,17458100,0.0,0
2010-03-22,46.7,47.13,46.7,46.97,9648000,0.0,0
2010-03-23,47.0,47.48,46.8,47.44,11807900,0.0,0
2010-03-24,47.3,47.35,46.67,46.77,11732100,0.0,0
2010-03-25,47.01,47.14,46.75,46.77,8203200,0.0,0
2010-03-26,46.82,47.0,46.61,46.83,10630300,0.0,0
2010-03-29,46.86,47.08,46.75,46.86,8176700,0.0,0
2010-03-30,46.86,47.03,46.69,46.8,6113600,0.0,0
2010-03-31,46.71,46.81,46.45,46.52,8193800,0.0,0
2010-04-01,46.66,46.83,46.47,46.58,10554900,0.0,0
2010-04-05,46.61,46.97,46.54,46.88,8579800,0.0,0
2010-04-06,46.75,46.75,46.33,46.4,11052300,0.0,0
2010-04-07,46.25,46.32,45.74,45.95,14043500,0.0,0
2010-04-08,45.91,46.21,45.67,46.0,8458800,0.0,0
2010-04-09,46.0,46.32,45.96,46.12,9146700,0.0,0
2010-04-12,45.91,46.3,45.88,46.1,9164400,0.0,0
2010-04-13,46.02,46.57,46.01,46.32,11229400,0.0,0
2010-04-14,46.26,46.49,46.11,46.46,7685600,0.0,0
2010-04-15,46.34,46.42,46.11,46.32,11314800,0.0,0
2010-04-16,46.17,46.68,46.05,46.21,12568700,0.0,0
2010-04-19,46.19,46.5,46.1,46.48,9548900,0.0,0
2010-04-20,46.66,46.68,46.34,46.46,11230400,0.0,0
2010-04-21,46.47,46.8,46.41,46.78,9858500,0.0,0
2010-04-22,46.69,46.86,46.49,46.75,8372900,0.0,0
2010-04-23,46.67,46.79,46.47,46.72,8452600,0.0,0
2010-04-26,46.65,47.05,46.61,47.01,9262400,0.0,0
2010-04-27,46.5,46.98,46.35,46.4,12849900,0.0,0
2010-04-28,46.42,47.02,46.24,46.8,13090000,0.4818,0
2010-04-29,46.14,46.65,45.07,46.08,27302400,0.0,0
2010-04-30,46.33,46.67,46.02,46.05,15768900,0.0,0
2010-05-03,46.25,46.56,45.82,46.44,9756600,0.0,0
2010-05-04,46.16,46.33,45.61,45.72,11402600,0.0,0
2010-05-05,45.65,46.36,45.56,46.05,11611000,0.0,0
2010-05-06,45.87,46.43,29.17,45.01,28560400,0.0,0
2010-05-07,44.9,45.34,44.45,44.68,23976600,0.0,0
2010-05-10,45.62,46.45,45.31,46.25,16011300,0.0,0
2010-05-11,45.96,46.65,45.92,46.21,12397400,0.0,0
2010-05-12,46.02,46.77,46.01,46.69,11004800,0.0,0
2010-05-13,46.61,46.99,46.47,46.49,11157600,0.0,0
2010-05-14,46.5,46.82,46.05,46.33,14651600,0.0,0
