Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,24.37,24.7,24.37,24.45,1143500,0.0,0
2009-12-08,24.31,24.63,24.13,24.57,1283300,0.0,0
2009-12-09,24.56,24.81,24.5,24.81,860000,0.0,0
2009-12-10,24.82,25.13,24.68,24.93,986600,0.0,0
2009-12-11,25.07,25.41,24.91,25.38,643900,0.0,0
2009-12-14,25.42,25.54,25.28,25.39,850900,0.0,0
2009-12-15,25.26,25.34,25.12,25.19,668800,0.0,0
2009-12-16,25.31,25.38,25.05,25.28,792100,0.0,0
2009-12-17,25.23,25.34,25.01,25.03,1134200,0.0,0
2009-12-18,25.11,25.27,24.66,24.99,1417400,0.0,0
2009-12-21,25.01,25.25,24.97,25.1,495900,0.0,0
2009-12-22,25.2,25.21,24.72,24.9,998000,0.0,0
2009-12-23,25.03,25.03,24.78,24.93,690400,0.0,0
2009-12-24,24.98,25.1,24.91,24.97,266800,0.0,0
2009-12-28,24.97,25.15,24.97,25.13,528700,0.0,0
2009-12-29,25.17,25.26,25.15,25.2,538800,0.0,0
2009-12-30,25.12,25.22,24.92,25.02,723600,0.0,0
2009-12-31,25.02,25.06,24.62,24.62,858800,0.0,0
2010-01-04,24.67,24.96,24.62,24.82,873500,0.0,0
2010-01-05,24.74,24.91,24.3,24.48,1432200,0.0,0
2010-01-06,24.45,24.74,24.35,24.74,961100,0.0,0
2010-01-07,24.62,24.7,24.48,24.69,686000,0.0,0
2010-01-08,24.59,24.86,24.41,24.84,614000,0.0,0
2010-01-11,24.9,25.26,24.9,25.25,719200,0.0,0
2010-01-12,25.09,25.37,25.08,25.2,790000,0.0,0
2010-01-13,25.32,25.4,25.04,25.34,737100,0.0,0
2010-01-14,25.28,25.44,25.22,25.39,375300,0.0,0
2010-01-15,25.29,25.32,24.83,24.99,970500,0.0,0
2010-01-19,24.95,25.26,24.95,25.26,831100,0.0,0
2010-01-20,25.19,25.19,24.68,25.11,1911400,0.0,0
2010-01-21,25.07,25.37,24.67,24.78,699100,0.0,0
2010-01-22,24.82,24.82,24.21,24.22,885300,0.0,0
2010-01-25,24.47,24.58,24.14,24.5,784700,0.0,0
2010-01-26,24.39,24.86,24.28,24.85,1154000,0.0,0
2010-01-27,24.85,24.88,24.37,24.61,2482100,0.0,0
2010-01-28,24.73,24.78,24.32,24.63,1181300,0.525,0
2010-01-29,24.66,24.81,24.45,24.46,1064500,0.0,0
2010-02-01,24.56,24.65,24.29,24.63,665000,0.0,0
2010-02-02,24.59,24.8,24.34,24.78,592300,0.0,0
2010-02-03,24.65,24.84,24.59,24.78,870900,0.0,0
2010-02-04,24.57,24.71,24.18,24.2,770500,0.0,0
2010-02-05,24.15,24.22,23.77,24.15,885400,0.0,0
2010-02-08,24.19,24.19,23.74,23.74,557300,0.0,0
2010-02-09,23.89,24.21,23.75,24.01,1154700,0.0,0
2010-02-10,24.01,24.09,23.74,23.92,1057000,0.0,0
2010-02-11,23.9,24.13,23.64,24.13,716800,0.0,0
2010-02-12,24.09,24.13,23.76,24.1,1151000,0.0,0
2010-02-16,24.29,24.83,24.2,24.83,976500,0.0,0
2010-02-17,24.91,25.02,24.79,25.02,857300,0.0,0
2010-02-18,24.97,25.21,24.87,25.19,684900,0.0,0
2010-02-19,25.1,25.77,25.1,25.51,1134600,0.0,0
2010-02-22,25.65,25.84,25.36,25.42,955200,0.0,0
2010-02-23,25.42,25.57,25.34,25.4,728200,0.0,0
2010-02-24,25.55,25.75,25.3,25.7,1303500,0.0,0
2010-02-25,25.45,25.66,25.18,25.65,1174300,0.0,0
2010-02-26,25.64,25.73,24.85,24.86,2290300,0.0,0
2010-03-01,24.87,25.13,24.87,25.01,1901200,0.0,0
2010-03-02,25.14,25.64,25.14,25.49,1893800,0.0,0
2010-03-03,25.63,25.94,25.59,25.64,1213500,0.0,0
2010-03-04,25.73,25.8,25.56,25.74,688500,0.0,0
2010-03-05,25.91,26.03,25.78,25.94,678200,0.0,0
2010-03-08,25.96,25.96,25.8,25.85,686000,0.0,0
2010-03-09,25.83,25.94,25.6,25.71,2269400,0.0,0
2010-03-10,25.64,25.74,25.36,25.54,952500,0.0,0
2010-03-11,25.38,25.6,25.31,25.6,1151000,0.0,0
2010-03-12,25.72,25.72,25.43,25.49,723500,0.0,0
2010-03-15,25.39,25.53,25.33,25.51,1015900,0.0,0
2010-03-16,25.52,25.79,25.43,25.75,539800,0.0,0
2010-03-17,25.77,26.05,25.73,25.88,672600,0.0,0
2010-03-18,25.93,26.01,25.83,25.9,734300,0.0,0
2010-03-19,25.79,26.1,25.63,25.79,1087900,0.0,0
2010-03-22,25.73,25.79,25.51,25.78,812100,0.0,0
2010-03-23,25.75,25.93,25.71,25.83,720800,0.0,0
2010-03-24,25.79,25.82,25.56,25.56,904500,0.0,0
2010-03-25,25.62,25.75,25.43,25.45,851100,0.0,0
2010-03-26,25.5,25.68,25.4,25.64,1572600,0.0,0
2010-03-29,25.75,26.09,25.64,26.09,721300,0.0,0
2010-03-30,26.11,26.2,25.89,26.01,807600,0.0,0
2010-03-31,25.99,26.01,25.73,25.76,784700,0.0,0
2010-04-01,25.87,26.02,25.85,26.02,761100,0.0,0
