Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,22.23,22.47,22.2,22.29,1943400,0.0,0.0
2009-12-08,22.12,22.16,21.67,21.74,2355200,0.0,0.0
2009-12-09,21.78,21.98,21.49,21.96,2035000,0.0,0.0
2009-12-10,22.07,22.22,21.7,21.82,2484200,0.0,0.0
2009-12-11,21.96,21.96,21.44,21.62,2879200,0.0,0.0
2009-12-14,21.76,22.08,21.67,22.06,2149600,0.0,0.0
2009-12-15,21.93,22.16,21.68,21.73,2088200,0.0,0.0
2009-12-16,21.88,22.03,21.79,21.91,1748200,0.0,0.0
2009-12-17,21.88,21.88,21.52,21.55,1324400,0.0,0.0
2009-12-18,21.71,21.76,21.3,21.35,3043600,0.0,0.0
2009-12-21,21.46,21.67,21.38,21.52,1366000,0.0,0.0
2009-12-22,21.63,21.83,21.52,21.75,1395400,0.0,0.0
2009-12-23,21.85,21.92,21.59,21.91,1252600,0.0,0.0
2009-12-24,21.93,22.08,21.89,22.01,331600,0.0,0.0
2009-12-28,21.99,22.23,21.93,22.09,2281000,0.0,0.0
2009-12-29,22.08,22.17,21.86,21.93,1723400,0.0,0.0
2009-12-30,21.81,22.05,21.71,21.9,1407800,0.0,0.0
2009-12-31,21.97,21.97,21.61,21.63,769400,0.0,0.0
2010-01-04,21.91,22.41,21.8,22.39,2413400,0.0,0.0
2010-01-05,22.32,22.59,22.32,22.41,2258600,0.0,0.0
2010-01-06,22.33,22.91,22.33,22.76,3028800,0.0,0.0
2010-01-07,22.67,22.87,22.5,22.86,2439600,0.0,0.0
2010-01-08,22.81,22.91,22.64,22.82,2696400,0.0,0.0
2010-01-11,22.87,22.91,22.65,22.79,1988800,0.0,0.0
2010-01-12,22.54,22.66,22.23,22.48,2229400,0.0,0.0
2010-01-13,22.61,22.73,22.33,22.71,1718400,0.0,0.0
2010-01-14,23.21,23.53,23.07,23.2,4485400,0.0,0.0
2010-01-15,23.18,23.27,22.78,22.93,3006000,0.0,0.0
