Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,37.08,37.52,36.99,37.17,779300,0.0,0
2009-12-08,37.11,37.69,36.96,37.11,702600,0.0,0
2009-12-09,37.25,37.28,36.63,37.02,838000,0.0,0
2009-12-10,37.23,37.98,37.23,37.74,709100,0.0,0
2009-12-11,37.74,37.82,37.09,37.11,473200,0.0,0
2009-12-14,37.4,37.52,37.33,37.41,753000,0.0,0
2009-12-15,37.21,37.38,36.74,36.76,1535800,0.0,0
2009-12-16,36.61,37.0,36.43,36.45,1080200,0.0,0
2009-12-17,35.47,36.07,35.38,35.96,1608100,0.0,0
2009-12-18,35.99,36.08,35.38,35.73,1389300,0.0,0
2009-12-21,36.01,36.46,35.87,36.34,797000,0.0,0
2009-12-22,36.55,36.82,36.45,36.8,711800,0.0,0
2009-12-23,36.79,36.87,36.51,36.59,489900,0.0,0
2009-12-24,36.81,37.05,36.73,37.0,236900,0.0,0
2009-12-28,37.11,37.22,36.95,37.01,273300,0.0,0
2009-12-29,37.09,37.21,36.81,36.81,204000,0.0,0
2009-12-30,36.94,37.24,36.94,37.2,351400,0.0,0
2009-12-31,37.55,37.86,37.31,37.33,384200,0.0,0
2010-01-04,37.73,38.08,37.73,37.82,546500,0.0,0
2010-01-05,37.68,37.68,36.12,36.36,1387400,0.0,0
2010-01-06,36.53,36.74,35.5,35.9,1742200,0.0,0
2010-01-07,35.75,35.84,35.37,35.61,601300,0.0,0
2010-01-08,35.63,35.76,35.11,35.41,631700,0.0,0
2010-01-11,36.17,37.03,35.83,36.96,1289800,0.0,0
2010-01-12,37.36,38.92,37.36,38.53,1353800,0.0,0
2010-01-13,38.7,39.55,38.63,39.28,885400,0.0,0
2010-01-14,39.08,39.5,39.04,39.49,550800,0.0,0
2010-01-15,39.51,39.66,39.2,39.5,762500,0.0,0
2010-01-19,39.5,40.4,39.38,40.31,1044200,0.0,0
2010-01-20,40.06,40.19,39.5,40.1,581100,0.0,0
2010-01-21,40.18,40.4,39.52,39.88,725900,0.0,0
2010-01-22,39.81,40.36,39.61,39.89,959300,0.0,0
2010-01-25,39.97,40.01,38.93,38.97,847100,0.0,0
2010-01-26,38.77,40.11,38.66,39.83,1191600,0.0,0
2010-01-27,39.78,40.46,39.78,40.35,838500,0.0,0
2010-01-28,40.36,41.07,40.13,40.8,764200,0.0,0
2010-01-29,40.96,41.79,40.75,41.5,1116100,0.0,0
2010-02-01,41.67,42.02,40.97,41.43,1243000,0.0,0
2010-02-02,40.56,43.21,40.4,43.04,3031500,0.0,0
2010-02-03,42.45,43.96,42.22,43.37,1630200,0.0,0
2010-02-04,43.21,43.56,42.9,42.91,1229800,0.0,0
2010-02-05,43.0,43.03,41.89,42.45,1243000,0.0,0
2010-02-08,42.56,43.28,42.36,42.87,1015800,0.0,0
2010-02-09,43.35,43.74,43.15,43.41,1032700,0.0,0
2010-02-10,43.37,43.37,42.83,42.94,439300,0.0,0
2010-02-11,42.81,44.29,42.19,44.11,1323100,0.0,0
2010-02-12,43.97,45.58,43.45,45.5,2082100,0.0,0
2010-02-16,45.91,45.91,45.32,45.43,991400,0.0,0
2010-02-17,45.38,45.65,44.88,45.1,1103300,0.0,0
2010-02-18,45.1,46.14,44.96,46.11,1217800,0.0,0
2010-02-19,46.22,47.01,46.07,46.75,1218400,0.0,0
2010-02-22,46.53,46.53,45.56,46.11,971400,0.0,0
2010-02-23,46.07,46.22,45.7,45.9,929600,0.0,0
2010-02-24,45.64,46.02,45.45,45.71,857700,0.063,0
2010-02-25,45.51,46.94,45.46,46.59,1510500,0.0,0
2010-02-26,46.73,46.88,46.28,46.52,571600,0.0,0
2010-03-01,47.26,48.17,47.25,48.01,1218800,0.0,0
2010-03-02,48.23,49.48,48.1,49.44,1314100,0.0,0
2010-03-03,49.38,49.48,48.67,49.02,905000,0.0,0
2010-03-04,49.17,49.25,48.0,48.12,1109600,0.0,0
2010-03-05,48.45,48.66,46.78,47.61,2312900,0.0,0
2010-03-08,47.62,47.85,46.46,47.05,1747600,0.0,0
2010-03-09,46.88,46.9,46.17,46.29,1432100,0.0,0
2010-03-10,46.14,47.05,46.1,47.02,903500,0.0,0
2010-03-11,47.02,47.77,46.92,47.65,844700,0.0,0
2010-03-12,47.65,47.8,47.19,47.56,514300,0.0,0
2010-03-15,47.44,47.84,47.21,47.8,830000,0.0,0
2010-03-16,47.96,48.41,47.83,48.35,498000,0.0,0
2010-03-17,48.64,48.66,46.7,46.98,1698900,0.0,0
2010-03-18,47.16,47.2,46.75,47.1,648800,0.0,0
2010-03-19,47.19,47.37,46.77,47.28,910900,0.0,0
2010-03-22,47.22,48.25,47.2,47.98,425700,0.0,0
2010-03-23,50.87,53.95,50.34,53.68,5727700,0.0,0
2010-03-24,53.74,54.39,52.98,54.24,2279500,0.0,0
2010-03-25,54.38,55.06,52.94,53.05,2023100,0.0,0
2010-03-26,53.18,53.34,52.47,53.29,981300,0.0,0
2010-03-29,53.5,54.64,53.49,54.64,798300,0.0,0
2010-03-30,54.62,55.6,54.43,55.07,1049700,0.0,0
2010-03-31,55.13,56.06,55.04,55.11,899900,0.0,0
2010-04-01,55.73,55.97,55.26,55.44,705400,0.0,0
2010-04-05,55.71,57.63,55.62,57.25,932200,0.0,0
2010-04-06,56.96,57.34,56.36,56.95,682600,0.0,0
2010-04-07,56.62,56.73,55.5,55.91,992500,0.0,0
2010-04-08,55.42,55.45,54.43,55.37,781400,0.0,0
2010-04-09,55.42,55.63,54.95,55.37,466800,0.0,0
2010-04-12,55.64,56.29,55.2,56.22,894400,0.0,0
2010-04-13,56.29,57.17,56.12,57.03,795400,0.0,0
2010-04-14,57.24,57.65,56.75,57.24,647000,0.0,0
2010-04-15,57.12,58.51,57.01,58.17,715600,0.0,0
2010-04-16,58.17,58.4,56.19,56.64,975800,0.0,0
2010-04-19,56.31,56.77,55.27,55.81,913900,0.0,0
2010-04-20,56.15,56.45,55.79,56.31,526800,0.0,0
2010-04-21,56.38,56.38,55.06,55.43,537700,0.0,0
2010-04-22,55.27,56.68,54.43,56.18,1059400,0.0,0
2010-04-23,56.37,57.14,55.93,56.85,909100,0.0,0
2010-04-26,56.14,56.91,56.14,56.53,837900,0.0,0
2010-04-27,56.15,56.58,55.08,55.76,912100,0.0,0
2010-04-28,55.62,55.63,54.49,55.41,1207000,0.0,0
2010-04-29,55.62,60.61,55.48,59.56,3449600,0.0,0
2010-04-30,59.33,59.44,57.26,57.38,1343700,0.0,0
2010-05-03,57.15,59.23,57.07,59.0,1175700,0.0,0
2010-05-04,58.19,58.54,57.66,58.15,797500,0.0,0
2010-05-05,57.4,58.09,56.13,57.87,964800,0.0,0
2010-05-06,57.6,58.15,50.71,55.68,1409100,0.0,0
2010-05-07,55.63,56.31,53.7,54.03,1481600,0.0,0
2010-05-10,56.54,58.52,56.54,58.17,1282000,0.0,0
2010-05-11,57.25,59.82,56.88,59.53,1641500,0.0,0
2010-05-12,59.69,60.68,59.61,60.39,1603100,0.0,0
2010-05-13,60.14,60.14,58.32,58.61,1067200,0.0,0
2010-05-14,58.22,58.38,56.63,56.79,1015000,0.0,0
2010-05-17,57.1,57.55,55.42,56.28,1018500,0.0,0
2010-05-18,56.79,57.1,54.86,54.91,949600,0.0,0
2010-05-19,54.86,55.73,54.01,54.71,1155900,0.0,0
2010-05-20,54.11,54.25,51.54,52.6,2215600,0.0,0
2010-05-21,51.81,55.09,50.84,54.98,1947700,0.0,0
2010-05-24,54.71,55.04,53.38,53.53,987800,0.0,0
2010-05-25,52.18,52.79,49.83,52.65,2235000,0.0,0
2010-05-26,53.61,55.89,53.38,54.59,2374800,0.063,0
2010-05-27,55.46,56.84,55.46,56.6,1952400,0.0,0
2010-05-28,56.45,57.05,55.78,55.82,1536100,0.0,0
2010-06-01,53.88,55.55,53.08,53.1,1861000,0.0,0
2010-06-02,53.46,54.45,53.21,54.01,1227100,0.0,0
2010-06-03,54.26,55.73,54.03,55.34,1736300,0.0,0
2010-06-04,54.22,55.21,53.42,53.53,1766100,0.0,0
2010-06-07,53.36,54.05,52.34,52.44,1434300,0.0,0
2010-06-08,52.51,54.18,51.9,54.18,1620900,0.0,0
2010-06-09,53.89,56.08,53.89,54.81,1557600,0.0,0
2010-06-10,55.44,56.27,55.21,55.99,718600,0.0,0
2010-06-11,55.4,56.98,55.34,56.28,865800,0.0,0
2010-06-14,56.91,57.02,56.04,56.14,809000,0.0,0
2010-06-15,56.44,56.64,55.69,56.54,737000,0.0,0
2010-06-16,56.09,56.16,55.25,55.65,1160900,0.0,0
2010-06-17,55.88,56.16,55.26,55.83,455600,0.0,0
2010-06-18,55.83,56.37,55.12,55.21,652200,0.0,0
2010-06-21,55.85,57.23,55.85,56.34,1211800,0.0,0
2010-06-22,56.59,57.04,55.49,55.57,717900,0.0,0
2010-06-23,55.92,56.74,54.41,55.01,946800,0.0,0
2010-06-24,54.24,54.74,53.69,54.28,931800,0.0,0
2010-06-25,54.49,55.78,54.12,55.61,1499200,0.0,0
2010-06-28,55.67,55.77,54.31,55.71,1011100,0.0,0
2010-06-29,55.31,56.52,54.68,55.63,2168100,0.0,0
2010-06-30,55.69,56.52,55.34,55.5,1299600,0.0,0
2010-07-01,55.6,55.6,52.9,54.01,1613500,0.0,0
2010-07-02,54.12,55.26,53.43,53.79,1029300,0.0,0
2010-07-06,54.38,55.22,53.41,53.61,1120200,0.0,0
2010-07-07,52.47,53.07,51.58,53.03,2410700,0.0,0
2010-07-08,53.41,54.43,53.38,54.02,875900,0.0,0
2010-07-09,54.05,54.6,53.32,54.54,720500,0.0,0
2010-07-12,54.53,54.63,53.03,53.44,973800,0.0,0
2010-07-13,54.01,54.46,53.62,53.87,744300,0.0,0
2010-07-14,53.41,53.88,52.88,53.66,568100,0.0,0
2010-07-15,53.55,55.38,53.45,55.24,1117900,0.0,0
2010-07-16,55.01,55.34,53.68,53.82,977700,0.0,0
2010-07-19,52.65,52.89,51.32,51.94,3229700,0.0,0
2010-07-20,51.62,52.38,51.4,52.22,1430300,0.0,0
2010-07-21,52.37,52.53,51.64,51.79,1278600,0.0,0
2010-07-22,52.22,53.7,52.22,52.62,1639800,0.0,0
2010-07-23,52.56,53.05,51.89,52.78,901900,0.0,0
2010-07-26,51.57,54.96,51.57,54.63,1205400,0.0,0
2010-07-27,55.13,55.83,53.92,54.25,1314200,0.0,0
2010-07-28,54.77,55.02,52.31,52.76,1181000,0.0,0
2010-07-29,53.22,53.24,51.58,51.91,1290300,0.0,0
2010-07-30,51.42,52.89,51.28,52.62,821200,0.0,0
2010-08-02,53.39,53.97,52.92,53.29,600500,0.0,0
2010-08-03,53.0,54.48,52.56,54.12,951400,0.0,0
2010-08-04,54.45,55.21,54.4,54.7,848600,0.0,0
2010-08-05,54.59,56.06,52.92,54.39,2103700,0.0,0
2010-08-06,54.01,54.8,53.26,54.56,824900,0.0,0
2010-08-09,54.94,55.51,54.63,55.37,534800,0.0,0
2010-08-10,54.93,55.64,54.59,55.41,904200,0.0,0
2010-08-11,54.74,54.84,53.44,53.5,1060200,0.0,0
2010-08-12,54.08,56.61,53.14,55.63,3135700,0.0,0
2010-08-13,55.72,55.93,55.09,55.37,1244000,0.0,0
2010-08-16,55.39,56.37,54.84,55.2,1349400,0.0,0
2010-08-17,55.43,55.87,54.79,55.43,932500,0.0,0
2010-08-18,55.53,55.9,54.98,55.24,868900,0.0,0
2010-08-19,55.32,55.56,54.78,55.26,726400,0.0,0
2010-08-20,54.99,55.29,54.12,54.68,602800,0.0,0
2010-08-23,54.79,55.24,54.35,54.5,429000,0.0,0
2010-08-24,53.85,54.66,53.37,54.02,622700,0.0,0
2010-08-25,53.15,54.29,52.75,54.06,1058200,0.063,0
2010-08-26,54.12,54.17,53.73,54.0,972600,0.0,0
2010-08-27,54.23,54.75,53.58,54.67,603500,0.0,0
2010-08-30,54.63,54.97,54.13,54.19,453500,0.0,0
2010-08-31,53.75,54.18,53.57,53.62,995900,0.0,0
2010-09-01,54.37,55.48,54.28,54.54,674800,0.0,0
2010-09-02,54.66,55.0,54.04,54.46,914000,0.0,0
2010-09-03,54.85,55.23,54.5,54.8,892400,0.0,0
2010-09-07,54.91,54.93,54.25,54.56,605000,0.0,0
2010-09-08,54.84,55.87,54.7,55.4,1013000,0.0,0
2010-09-09,55.91,55.96,55.15,55.39,572400,0.0,0
2010-09-10,55.5,55.72,55.05,55.4,526900,0.0,0
2010-09-13,55.86,57.07,55.75,56.79,863500,0.0,0
2010-09-14,56.52,58.58,56.41,58.46,1193300,0.0,0
2010-09-15,58.38,60.77,58.38,60.6,1617300,0.0,0
2010-09-16,61.24,61.49,59.09,59.48,1667100,0.0,0
2010-09-17,59.6,60.33,57.67,58.27,1176500,0.0,0
2010-09-20,58.37,60.04,58.37,59.37,698400,0.0,0
2010-09-21,60.29,60.44,59.37,59.76,730500,0.0,0
2010-09-22,59.44,60.84,59.25,60.68,1060000,0.0,0
2010-09-23,60.22,61.04,59.76,60.41,641800,0.0,0
2010-09-24,61.13,63.48,60.91,62.68,1584200,0.0,0
2010-09-27,62.86,62.99,61.5,61.93,1035200,0.0,0
2010-09-28,62.13,62.32,61.27,61.57,856600,0.0,0
2010-09-29,61.37,61.59,60.16,60.67,1231200,0.0,0
2010-09-30,60.73,61.28,59.53,60.4,1120400,0.0,0
2010-10-01,60.81,61.13,60.26,60.64,580000,0.0,0
2010-10-04,60.82,62.06,60.2,60.36,777500,0.0,0
2010-10-05,61.2,62.19,61.15,61.81,640200,0.0,0
2010-10-06,62.17,62.6,61.59,61.84,509800,0.0,0
2010-10-07,61.9,62.22,61.5,61.9,437500,0.0,0
2010-10-08,61.87,62.92,61.61,62.48,560500,0.0,0
2010-10-11,62.4,62.65,61.43,61.67,404300,0.0,0
2010-10-12,61.37,62.86,61.09,62.71,692300,0.0,0
2010-10-13,63.01,63.9,62.46,62.6,903300,0.0,0
2010-10-14,62.19,62.25,61.53,61.76,661000,0.0,0
2010-10-15,62.25,62.6,60.65,61.16,862500,0.0,0
2010-10-18,61.19,61.5,60.38,60.82,1123700,0.0,0
2010-10-19,59.88,60.81,59.17,59.89,764400,0.0,0
2010-10-20,60.31,60.81,60.31,60.63,452300,0.0,0
2010-10-21,60.97,61.8,60.55,60.83,510100,0.0,0
2010-10-22,60.99,61.58,60.99,61.13,278200,0.0,0
2010-10-25,62.11,62.52,61.83,62.26,431200,0.0,0
2010-10-26,62.16,62.56,61.74,62.43,523100,0.0,0
2010-10-27,62.5,63.16,62.08,62.57,519600,0.0,0
2010-10-28,63.1,63.3,62.34,62.6,282000,0.0,0
2010-10-29,62.33,62.62,61.38,61.96,371900,0.0,0
2010-11-01,62.49,63.73,62.29,62.99,899500,0.0,0
2010-11-02,63.72,64.31,62.18,62.38,1526100,0.0,0
2010-11-03,61.61,62.07,59.35,59.96,1606100,0.0,0
2010-11-04,60.5,60.73,59.11,60.48,1154600,0.0,0
2010-11-05,60.34,60.62,59.26,60.11,893500,0.0,0
2010-11-08,60.01,60.34,59.87,60.22,478300,0.0,0
2010-11-09,60.19,60.44,54.79,56.19,4406100,0.0,0
2010-11-10,56.65,60.56,55.28,56.74,2018000,0.0,0
2010-11-11,56.23,56.81,55.82,56.74,849600,0.0,0
2010-11-12,56.34,56.6,55.28,55.56,735200,0.0,0
2010-11-15,55.96,56.71,55.88,56.51,948000,0.0,0
2010-11-16,56.23,56.82,55.81,55.95,821800,0.0,0
2010-11-17,56.39,56.7,55.81,56.13,622800,0.0,0
2010-11-18,56.73,58.17,56.73,57.28,897400,0.0,0
2010-11-19,57.43,57.89,56.27,57.2,448900,0.0,0
2010-11-22,57.81,59.3,57.75,59.21,921600,0.0,0
2010-11-23,58.75,58.83,58.04,58.4,618400,0.07,0
2010-11-24,58.9,60.03,58.78,59.42,617600,0.0,0
2010-11-26,59.19,59.19,58.68,58.77,154200,0.0,0
2010-11-29,58.26,58.67,57.19,57.45,854100,0.0,0
2010-11-30,56.8,57.05,56.37,56.72,695100,0.0,0
2010-12-01,57.53,58.19,57.43,57.56,541700,0.0,0
2010-12-02,57.39,59.26,57.27,59.18,536200,0.0,0
2010-12-03,59.13,60.92,58.93,60.37,787400,0.0,0
2010-12-06,60.68,60.94,60.29,60.55,550100,0.0,0
2010-12-07,60.97,61.2,60.36,60.77,516600,0.0,0
2010-12-08,60.61,62.02,60.61,61.98,672200,0.0,0
2010-12-09,62.41,63.83,62.11,62.77,621400,0.0,0
2010-12-10,62.62,62.69,61.26,62.2,781000,0.0,0
2010-12-13,62.46,62.74,61.85,62.54,495500,0.0,0
2010-12-14,62.55,62.56,61.86,62.03,451800,0.0,0
2010-12-15,61.81,62.9,61.81,62.42,543400,0.0,0
2010-12-16,62.62,64.04,62.18,64.03,461200,0.0,0
2010-12-17,63.87,64.08,63.11,63.11,1372200,0.0,0
2010-12-20,63.18,63.53,62.49,62.59,485200,0.0,0
2010-12-21,62.7,63.45,61.69,62.04,552500,0.0,0
2010-12-22,62.14,62.39,61.27,61.69,656900,0.0,0
2010-12-23,61.69,62.29,61.55,62.04,216000,0.0,0
2010-12-27,62.04,62.04,61.07,61.58,210600,0.0,0
2010-12-28,61.49,62.01,61.01,61.09,196400,0.0,0
2010-12-29,61.49,61.79,60.15,61.28,510100,0.0,0
2010-12-30,60.7,60.72,59.62,59.66,409200,0.0,0
2010-12-31,59.56,60.24,59.21,59.63,603400,0.0,0
2011-01-03,60.03,61.48,59.93,59.99,529800,0.0,0
2011-01-04,60.19,60.2,58.71,59.57,775300,0.0,0
2011-01-05,59.27,60.11,58.67,59.48,491900,0.0,0
2011-01-06,59.61,62.78,59.59,62.18,1037500,0.0,0
2011-01-07,62.29,62.5,61.46,62.05,567500,0.0,0
2011-01-10,61.7,62.94,61.12,62.39,756000,0.0,0
2011-01-11,62.72,63.31,62.47,62.93,550300,0.0,0
2011-01-12,63.43,63.52,62.29,62.29,623600,0.0,0
2011-01-13,62.06,62.67,61.66,62.3,609800,0.0,0
2011-01-14,62.21,63.53,61.76,63.14,625400,0.0,0
2011-01-18,63.27,64.11,62.15,62.9,1096500,0.0,0
2011-01-19,62.8,63.13,62.2,62.38,542300,0.0,0
2011-01-20,64.03,68.66,63.94,67.02,3628800,0.0,0
2011-01-21,67.53,67.89,65.89,66.1,822000,0.0,0
2011-01-24,66.09,67.66,66.0,66.65,710200,0.0,0
2011-01-25,66.4,69.24,66.33,69.17,1251500,0.0,0
2011-01-26,69.49,70.06,68.95,69.38,1139200,0.0,0
2011-01-27,68.93,70.11,68.74,69.74,592700,0.0,0
2011-01-28,69.77,70.1,68.44,68.54,660500,0.0,0
2011-01-31,67.16,68.65,66.73,68.47,911300,0.0,0
2011-02-01,67.13,69.77,66.63,69.68,1857300,0.0,0
2011-02-02,69.31,69.52,68.04,68.51,1026600,0.0,0
2011-02-03,67.78,68.09,66.47,67.4,1158700,0.0,0
2011-02-04,67.63,67.88,67.08,67.48,668600,0.0,0
2011-02-07,67.35,68.22,67.08,67.25,678400,0.0,0
2011-02-08,67.29,67.79,67.04,67.68,788400,0.0,0
2011-02-09,67.75,67.99,67.3,67.79,846000,0.0,0
2011-02-10,67.22,67.94,66.8,67.74,721000,0.0,0
2011-02-11,67.37,69.63,67.15,69.17,842900,0.0,0
2011-02-14,69.17,70.59,68.9,70.3,629400,0.0,0
2011-02-15,69.82,69.87,68.82,69.25,577000,0.0,0
2011-02-16,70.16,72.21,69.97,69.97,1097600,0.0,0
2011-02-17,70.24,72.38,70.24,71.67,765100,0.0,0
2011-02-18,71.61,71.81,70.84,71.28,830200,0.0,0
2011-02-22,70.81,71.53,69.68,69.88,693000,0.0,0
2011-02-23,69.77,69.98,68.53,68.96,510400,0.07,0
2011-02-24,67.83,68.84,67.42,68.23,1126400,0.0,0
2011-02-25,68.71,71.59,68.48,71.54,977100,0.0,0
2011-02-28,71.84,72.47,71.45,72.03,867200,0.0,0
2011-03-01,72.38,73.48,71.32,71.68,1075800,0.0,0
2011-03-02,71.43,73.03,71.15,71.84,897200,0.0,0
2011-03-03,72.1,73.17,71.94,72.99,520300,0.0,0
2011-03-04,72.89,73.37,72.67,73.14,489900,0.0,0
2011-03-07,73.17,73.28,71.53,71.63,737600,0.0,0
2011-03-08,71.53,72.95,70.94,72.75,991000,0.0,0
2011-03-09,72.06,72.51,71.41,72.14,571800,0.0,0
2011-03-10,71.18,72.75,70.26,72.75,920400,0.0,0
2011-03-11,72.41,73.13,72.26,72.68,671800,0.0,0
2011-03-14,71.86,72.45,71.06,71.43,425500,0.0,0
2011-03-15,69.68,71.51,69.38,71.11,707300,0.0,0
2011-03-16,71.1,71.18,69.6,69.78,468400,0.0,0
2011-03-17,70.78,71.25,70.07,70.65,437500,0.0,0
2011-03-18,71.53,71.63,70.75,70.85,489700,0.0,0
2011-03-21,72.0,72.29,71.49,71.52,375400,0.0,0
2011-03-22,72.04,72.35,71.33,71.44,543300,0.0,0
2011-03-23,71.22,71.52,69.96,70.52,775900,0.0,0
2011-03-24,69.0,70.85,68.34,70.6,1788400,0.0,0
2011-03-25,70.8,72.17,70.61,71.55,428700,0.0,0
2011-03-28,72.06,72.64,71.72,71.78,425000,0.0,0
2011-03-29,72.08,72.95,71.87,72.56,393100,0.0,0
2011-03-30,73.44,74.79,73.43,74.02,520200,0.0,0
2011-03-31,74.35,74.99,74.27,74.95,543800,0.0,0
2011-04-01,75.01,75.36,74.46,75.3,542300,0.0,0
2011-04-04,75.08,75.67,74.27,75.27,373900,0.0,0
2011-04-05,75.31,76.67,75.31,75.93,525400,0.0,0
2011-04-06,76.42,76.52,75.49,76.1,264000,0.0,0
2011-04-07,75.54,76.42,75.44,76.38,552100,0.0,0
2011-04-08,76.33,76.8,76.17,76.61,307700,0.0,0
2011-04-11,77.27,79.63,77.27,79.46,1053600,0.0,0
2011-04-12,80.03,80.55,79.17,80.49,2072900,0.0,0
2011-04-13,81.81,82.7,80.94,82.47,901300,0.0,0
2011-04-14,82.44,83.31,82.01,83.12,741700,0.0,0
2011-04-15,83.11,84.18,82.71,83.47,628200,0.0,0
2011-04-18,82.98,83.14,81.16,81.99,594600,0.0,0
2011-04-19,82.27,82.96,81.81,82.38,510600,0.0,0
2011-04-20,83.41,83.53,82.4,83.13,504200,0.0,0
2011-04-21,83.13,84.13,83.0,83.98,353500,0.0,0
2011-04-25,84.07,84.11,82.91,83.19,326900,0.0,0
2011-04-26,83.57,84.98,83.57,84.44,602200,0.0,0
2011-04-27,84.82,86.66,84.64,86.47,694000,0.0,0
2011-04-28,86.68,86.99,85.03,85.23,899400,0.0,0
