Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-04-12,26.92,27.69,25.9,27.52,654700,0.0,0
2012-04-13,27.52,30.32,27.45,29.95,1685000,0.0,0
2012-04-16,29.95,29.95,29.13,29.59,550200,0.0,0
2012-04-17,29.47,29.75,29.14,29.14,179600,0.0,0
2012-04-18,29.14,29.5,27.93,29.14,207100,0.0,0
2012-04-19,29.14,30.13,28.98,29.14,598100,0.0,0
2012-04-20,29.22,29.95,29.22,29.4,149700,0.0,0
2012-04-23,29.34,29.34,28.67,28.88,95700,0.0,0
2012-04-24,29.14,29.14,28.07,28.13,124500,0.0,0
2012-04-25,28.17,28.74,27.93,28.13,266200,0.0,0
2012-04-26,28.02,28.33,27.88,28.29,183900,0.0,0
2012-04-27,28.54,28.54,27.5,27.61,536000,0.0,0
2012-04-30,27.8,28.25,27.52,27.56,4105700,0.0,0
2012-05-01,27.31,27.6,26.37,26.52,6878600,0.0,0
2012-05-02,26.39,26.45,25.61,25.9,11287600,0.0,0
2012-05-03,25.85,25.89,25.14,25.41,11800000,0.0,0
2012-05-04,24.97,25.17,24.38,24.42,10881000,0.0,0
2012-05-07,24.37,24.73,23.68,23.76,12257200,0.0,0
2012-05-08,23.55,24.62,23.27,24.37,14601300,0.0,0
2012-05-09,24.13,26.63,24.07,26.3,13990000,0.0,0
2012-05-10,26.75,27.0,25.52,26.29,8862000,0.0,0
2012-05-11,25.69,26.03,25.42,25.77,4460100,0.0,0
2012-05-14,25.25,25.56,24.91,25.35,6398200,0.0,0
2012-05-15,25.38,26.16,25.14,25.64,6362800,0.0,0
2012-05-16,25.47,26.22,25.3,25.99,6118600,0.0,0
2012-05-17,25.82,25.9,25.26,25.31,5850500,0.0,0
2012-05-18,25.44,25.65,25.09,25.4,7940800,0.0,0
2012-05-21,25.28,26.18,25.05,26.06,5480100,0.0,0
2012-05-22,25.81,26.12,25.36,25.61,5415000,0.0,0
2012-05-23,25.38,25.49,25.0,25.43,5268900,0.0,0
2012-05-24,25.44,25.45,24.89,25.2,4210400,0.0,0
2012-05-25,25.1,25.43,24.96,25.34,3217900,0.0,0
2012-05-29,25.32,25.68,24.98,25.1,3979600,0.0,0
2012-05-30,24.93,24.96,24.43,24.64,6000600,0.0,0
2012-05-31,24.5,24.57,24.06,24.31,8098000,0.0,0
2012-06-01,23.88,24.42,23.78,24.22,5701700,0.0,0
2012-06-04,23.72,24.44,23.68,23.91,4844900,0.0,0
2012-06-05,23.78,24.37,23.74,24.2,4046500,0.0,0
2012-06-06,24.31,25.9,24.14,25.52,8609400,0.0,0
2012-06-07,25.96,26.51,25.69,25.77,7694300,0.0,0
2012-06-08,25.63,26.19,25.51,26.0,4302100,0.0,0
2012-06-11,26.27,26.75,26.09,26.39,5999000,0.0,0
2012-06-12,26.36,27.31,26.3,27.11,6809900,0.0,0
2012-06-13,26.93,27.11,26.34,26.53,2876200,0.0,0
2012-06-14,26.53,27.23,26.16,27.14,4460000,0.0,0
2012-06-15,27.2,28.26,27.02,28.25,9892400,0.0,0
2012-06-18,27.83,27.93,27.39,27.41,4254400,0.0,0
2012-06-19,27.57,27.95,27.31,27.41,4873500,0.0,0
