Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,40.56,40.67,39.71,39.85,480700,0.0,0
2009-12-08,39.64,40.01,39.05,39.38,516600,0.0,0
2009-12-09,39.45,39.46,38.39,38.67,870300,0.0,0
2009-12-10,39.04,39.58,38.86,38.95,793400,0.0,0
2009-12-11,39.03,39.91,38.99,39.82,514300,0.0,0
2009-12-14,40.1,40.33,39.38,40.19,676300,0.0,0
2009-12-15,39.87,40.19,39.48,39.7,524500,0.0,0
2009-12-16,39.83,40.23,39.57,39.64,349400,0.0,0
2009-12-17,39.26,39.48,38.81,39.13,350300,0.0,0
2009-12-18,39.11,39.32,38.39,38.52,926500,0.0,0
2009-12-21,38.72,39.65,38.72,39.62,682000,0.0,0
2009-12-22,40.0,40.16,39.6,39.84,703100,0.0,0
2009-12-23,40.06,40.48,39.47,39.75,793600,0.0,0
2009-12-24,39.88,40.28,39.73,40.13,97200,0.0,0
2009-12-28,40.21,40.5,39.73,39.99,516900,0.0,0
2009-12-29,39.96,40.38,39.84,40.3,429500,0.0,0
2009-12-30,40.01,40.7,39.98,40.64,350900,0.0,0
2009-12-31,40.6,40.69,39.98,40.02,343900,0.0,0
2010-01-04,40.25,40.87,39.86,40.43,540500,0.0,0
2010-01-05,40.36,42.02,40.33,41.95,834600,0.0,0
2010-01-06,41.82,43.05,41.82,42.95,1111400,0.0,0
2010-01-07,42.74,43.78,42.74,42.95,476800,0.0,0
2010-01-08,42.68,43.02,42.44,42.88,332400,0.0,0
2010-01-11,43.13,43.16,42.43,42.79,327100,0.0,0
2010-01-12,44.03,44.19,42.15,42.64,851600,0.0,0
2010-01-13,42.91,43.21,42.64,43.01,433400,0.0,0
2010-01-14,42.84,43.41,42.8,42.93,571500,0.0,0
2010-01-15,42.59,43.19,42.36,42.51,308200,0.0,0
2010-01-19,42.62,42.89,42.24,42.8,417400,0.0,0
2010-01-20,42.34,42.73,42.19,42.55,509800,0.0,0
2010-01-21,42.59,42.81,41.56,41.95,598200,0.0,0
2010-01-22,41.98,42.14,40.67,40.83,397600,0.0,0
2010-01-25,41.31,41.31,40.28,40.35,662300,0.0,0
2010-01-26,40.27,40.64,39.29,39.36,1022900,0.0,0
2010-01-27,39.22,39.67,38.9,39.57,602700,0.0,0
2010-01-28,39.65,39.82,39.15,39.35,877000,0.0,0
2010-01-29,39.55,39.67,38.56,38.65,635200,0.0,0
2010-02-01,38.94,39.31,38.66,39.16,440100,0.0,0
2010-02-02,39.11,40.03,39.04,40.0,373300,0.0,0
2010-02-03,39.68,39.69,39.09,39.39,691400,0.0,0
2010-02-04,39.02,39.75,38.86,38.9,747900,0.0,0
2010-02-05,38.88,38.88,37.63,38.06,1108200,0.0,0
2010-02-08,38.23,38.78,37.84,37.97,578300,0.0,0
2010-02-09,38.31,38.86,38.02,38.62,353700,0.0,0
2010-02-10,38.39,38.87,38.23,38.49,442000,0.0,0
2010-02-11,38.52,39.28,38.27,39.22,370500,0.0,0
2010-02-12,38.92,39.6,38.62,39.57,443500,0.0,0
2010-02-16,39.8,40.2,39.43,40.19,422700,0.0,0
2010-02-17,40.92,42.37,40.82,41.69,1247000,0.0,0
2010-02-18,41.7,42.03,41.59,41.99,408900,0.0,0
2010-02-19,42.02,42.29,41.44,41.69,502100,0.0,0
2010-02-22,41.66,41.82,41.46,41.67,328900,0.0,0
2010-02-23,41.46,42.09,41.22,41.81,432000,0.0,0
2010-02-24,41.87,42.58,41.72,42.52,478900,0.0,0
2010-02-25,41.92,42.33,41.64,42.29,458700,0.0,0
2010-02-26,42.39,42.9,42.27,42.81,401800,0.0,0
2010-03-01,42.9,43.6,42.79,43.58,400300,0.0,0
2010-03-02,43.59,43.86,43.14,43.42,513200,0.0,0
2010-03-03,43.18,43.18,41.69,41.75,1443100,0.0,0
2010-03-04,41.94,42.3,41.8,42.2,990600,0.0,0
2010-03-05,42.49,43.59,42.43,43.59,902700,0.0,0
2010-03-08,43.7,45.89,43.63,45.49,1511700,0.0,0
2010-03-09,45.26,46.02,44.72,44.97,780600,0.0,0
2010-03-10,44.86,45.69,44.67,45.53,588400,0.0,0
2010-03-11,45.19,47.58,44.97,46.89,1776800,0.0,0
2010-03-12,47.04,47.99,46.67,46.96,634900,0.0,0
2010-03-15,51.15,53.75,50.42,51.55,4416500,0.0,0
2010-03-16,51.78,53.02,51.75,52.9,2330600,0.0,0
2010-03-17,52.9,53.3,52.23,53.3,1135600,0.0,0
2010-03-18,53.34,53.86,52.75,53.2,1172500,0.0,0
2010-03-19,52.86,53.59,52.38,52.86,1418100,0.0,0
2010-03-22,52.63,55.2,52.14,54.57,1712000,0.038,0
2010-03-23,55.69,55.99,54.15,55.22,2206300,0.0,0
2010-03-24,55.05,55.95,54.23,55.82,1582200,0.0,0
2010-03-25,56.04,56.39,54.58,54.66,1151400,0.0,0
2010-03-26,54.69,56.18,54.68,56.14,941700,0.0,0
2010-03-29,56.09,56.67,55.01,56.13,1002700,0.0,0
2010-03-30,56.03,56.48,55.58,56.19,548600,0.0,0
2010-03-31,56.08,56.9,55.99,56.47,1039000,0.0,0
2010-04-01,56.86,57.46,56.62,57.36,954400,0.0,0
2010-04-05,57.38,59.36,57.38,59.1,1087000,0.0,0
2010-04-06,59.06,59.26,58.57,59.14,821100,0.0,0
2010-04-07,59.19,59.54,58.6,59.0,777300,0.0,0
2010-04-08,58.86,60.43,58.13,60.36,989700,0.0,0
2010-04-09,60.72,61.69,60.72,61.69,1218600,0.0,0
2010-04-12,61.82,62.02,61.16,61.77,872000,0.0,0
2010-04-13,61.77,62.06,61.54,61.88,673400,0.0,0
