Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.31,18.44,18.11,18.36,2756700,0.0,0
2009-12-08,18.12,18.24,17.85,17.89,2637700,0.0,0
2009-12-09,17.96,18.28,17.64,18.21,2775700,0.0,0
2009-12-10,18.3,18.7,18.3,18.59,2984300,0.0,0
2009-12-11,18.67,18.92,18.66,18.88,2797800,0.0,0
2009-12-14,19.51,20.19,19.25,20.15,4794500,0.0,0
2009-12-15,20.13,20.8,19.91,20.64,4224000,0.0,0
2009-12-16,20.98,21.18,20.68,20.8,2628000,0.0,0
2009-12-17,20.85,21.01,20.54,20.56,3349200,0.0,0
2009-12-18,20.8,20.8,20.33,20.78,2762900,0.0,0
2009-12-21,20.91,21.26,20.7,21.19,1905500,0.0,0
2009-12-22,21.26,21.89,21.25,21.79,5503000,0.0,0
2009-12-23,22.02,22.02,21.35,21.44,2206800,0.0,0
2009-12-24,21.52,21.72,21.42,21.5,617000,0.0,0
2009-12-28,21.65,21.65,21.35,21.51,1465300,0.0,0
2009-12-29,21.65,21.65,21.3,21.41,1268200,0.0,0
2009-12-30,21.16,21.34,20.87,20.91,1912800,0.0,0
2009-12-31,21.01,21.01,20.75,20.75,967500,0.0,0
2010-01-04,21.03,21.18,20.91,21.15,2460200,0.0,0
2010-01-05,21.22,21.4,21.01,21.23,2156000,0.0,0
2010-01-06,21.26,22.0,21.16,21.84,2901900,0.0,0
2010-01-07,21.88,22.25,21.76,22.17,1940800,0.0,0
2010-01-08,22.03,22.12,21.6,21.76,2612400,0.0,0
2010-01-11,21.82,21.86,20.56,20.89,6053300,0.0,0
2010-01-12,20.76,20.84,20.34,20.5,3404200,0.0,0
2010-01-13,20.51,20.61,19.95,20.54,3291000,0.0,0
2010-01-14,20.12,20.31,19.25,19.35,5720000,0.0,0
2010-01-15,19.43,19.48,18.95,18.97,5393000,0.0,0
2010-01-19,18.42,18.57,17.88,18.4,7047900,0.0,0
2010-01-20,18.41,18.62,18.08,18.57,4834200,0.0,0
2010-01-21,18.64,19.03,18.41,18.42,5301500,0.0,0
2010-01-22,18.67,19.08,18.24,18.29,5362000,0.0,0
2010-01-25,18.54,18.67,18.19,18.33,2922900,0.0,0
2010-01-26,18.34,18.56,18.07,18.35,2911100,0.0,0
2010-01-27,18.34,18.45,17.84,18.43,3536400,0.0,0
2010-01-28,18.91,18.91,18.1,18.12,3047800,0.0,0
2010-01-29,18.35,18.59,18.12,18.14,2578100,0.0,0
2010-02-01,18.37,18.52,18.2,18.3,2303300,0.0,0
2010-02-02,18.38,18.45,18.18,18.3,1734200,0.0,0
2010-02-03,18.32,18.58,18.22,18.37,2372700,0.0,0
2010-02-04,18.2,18.21,17.57,17.61,2989300,0.0,0
2010-02-05,17.56,17.63,16.68,17.08,5757600,0.0,0
2010-02-08,17.19,17.53,16.97,17.25,2515200,0.0,0
2010-02-09,17.48,17.69,17.23,17.52,2515900,0.0,0
2010-02-10,17.45,17.51,17.03,17.35,2385700,0.0,0
2010-02-11,17.33,17.61,17.12,17.51,1444300,0.0,0
2010-02-12,17.31,17.49,17.13,17.41,1876700,0.0,0
2010-02-16,17.62,17.67,17.4,17.59,2156300,0.0,0
2010-02-17,17.64,17.75,17.42,17.53,1916700,0.0,0
2010-02-18,17.47,17.95,17.46,17.92,2115700,0.0,0
2010-02-19,17.86,18.09,17.71,17.8,3549600,0.0,0
2010-02-22,18.44,19.4,18.39,19.17,7420900,0.0,0
2010-02-23,19.12,19.27,18.79,18.95,4103800,0.0,0
2010-02-24,19.01,19.33,18.9,19.07,3267800,0.0,0
2010-02-25,18.85,19.15,18.46,19.14,2050800,0.0,0
2010-02-26,19.09,19.26,18.84,18.92,3186900,0.0,0
2010-03-01,19.03,19.21,18.88,19.1,3216800,0.0,0
2010-03-02,19.15,19.28,18.85,18.86,2210100,0.0,0
2010-03-03,18.94,19.21,18.72,18.72,2875300,0.0,0
2010-03-04,18.73,18.84,18.44,18.54,3170100,0.0,0
2010-03-05,18.57,18.71,18.33,18.61,2373200,0.0,0
2010-03-08,18.61,18.69,18.51,18.52,1648700,0.0,0
2010-03-09,18.45,18.74,18.43,18.61,2230200,0.0,0
2010-03-10,18.55,18.59,18.27,18.53,2430600,0.0,0
2010-03-11,18.48,18.63,18.31,18.6,1493200,0.0,0
2010-03-12,18.8,19.05,18.55,19.04,3572200,0.0,0
2010-03-15,19.01,19.13,18.72,18.89,916600,0.0,0
2010-03-16,18.99,19.47,18.84,19.36,2672600,0.0,0
2010-03-17,19.45,19.97,19.45,19.67,3671500,0.0,0
2010-03-18,19.62,19.97,19.49,19.53,1891800,0.0,0
2010-03-19,19.33,19.71,19.24,19.33,2255700,0.0,0
2010-03-22,19.21,19.67,19.15,19.63,2178200,0.0,0
2010-03-23,19.69,19.98,19.59,19.97,1952000,0.0,0
2010-03-24,19.98,19.98,19.74,19.89,2438200,0.0,0
2010-03-25,19.92,19.95,19.38,19.4,2351800,0.0,0
2010-03-26,19.51,19.61,19.17,19.32,1686100,0.0,0
2010-03-29,19.45,19.47,19.3,19.37,3011100,0.0,0
2010-03-30,19.4,19.41,18.94,19.02,2863800,0.0,0
2010-03-31,18.94,19.16,18.76,19.07,3920800,0.0,0
2010-04-01,19.15,19.48,19.15,19.46,1787300,0.0,0
2010-04-05,19.46,19.7,19.39,19.66,1335200,0.0,0
2010-04-06,19.6,19.87,19.4,19.87,2761400,0.0,0
2010-04-07,19.79,19.83,19.54,19.67,2773400,0.0,0
2010-04-08,19.59,19.81,19.48,19.8,2178100,0.0,0
2010-04-09,19.8,20.25,19.73,20.25,3297400,0.0,0
2010-04-12,20.38,20.41,19.91,19.91,3387000,0.0,0
2010-04-13,19.86,19.88,19.5,19.72,2319800,0.0,0
2010-04-14,19.81,19.81,19.42,19.46,3509300,0.0,0
2010-04-15,19.45,19.72,19.28,19.53,3433700,0.0,0
2010-04-16,19.45,19.64,19.07,19.24,2466800,0.0,0
2010-04-19,19.18,19.38,19.06,19.38,2654000,0.0,0
2010-04-20,19.46,19.76,19.34,19.68,1907300,0.0,0
2010-04-21,19.67,20.16,19.67,20.1,3133000,0.0,0
2010-04-22,19.93,20.16,19.71,20.12,2427600,0.0,0
2010-04-23,20.02,20.27,19.87,20.0,3808200,0.0,0
2010-04-26,19.93,19.96,19.29,19.84,3979000,0.0,0
2010-04-27,19.78,20.09,19.47,19.48,3078000,0.0,0
2010-04-28,19.59,19.91,19.49,19.67,2050200,0.0,0
2010-04-29,19.82,20.3,19.79,20.24,2204800,0.0,0
2010-04-30,20.24,20.32,19.91,20.04,3018500,0.0,0
2010-05-03,20.12,20.15,19.8,20.03,2089600,0.0,0
2010-05-04,19.73,19.8,19.26,19.56,3846800,0.0,0
2010-05-05,18.57,19.95,18.05,19.5,5435800,0.0,0
2010-05-06,19.64,20.84,18.33,19.92,8701600,0.0,0
2010-05-07,19.97,20.41,19.45,19.58,5553100,0.0,0
2010-05-10,20.21,20.53,20.04,20.51,2965100,0.0,0
2010-05-11,20.23,20.86,20.12,20.5,3574000,0.0,0
2010-05-12,20.63,21.64,20.62,21.59,3863300,0.0,0
2010-05-13,21.48,22.94,21.48,22.52,6980800,0.0,0
2010-05-14,22.29,22.65,22.03,22.33,6317900,0.0,0
2010-05-17,22.34,22.67,21.95,22.34,4052500,0.0,0
2010-05-18,22.5,22.91,21.96,21.96,5731200,0.0,0
2010-05-19,21.73,22.01,21.2,21.71,5226300,0.0,0
2010-05-20,21.29,21.3,20.43,20.63,7554700,0.0,0
2010-05-21,20.22,21.14,20.21,21.03,4367600,0.0,0
2010-05-24,20.92,21.09,20.54,20.72,3192300,0.0,0
2010-05-25,20.15,20.56,19.87,20.54,3880400,0.0,0
2010-05-26,20.6,21.13,20.52,20.57,2983900,0.0,0
2010-05-27,20.51,20.88,19.92,20.8,3436600,0.0,0
2010-05-28,20.77,20.87,20.45,20.64,2651200,0.0,0
2010-06-01,20.45,20.71,20.11,20.11,2826900,0.0,0
2010-06-02,20.33,20.59,20.12,20.57,2092100,0.0,0
2010-06-03,20.64,21.12,20.61,20.99,2584800,0.0,0
2010-06-04,20.51,21.1,20.51,20.78,5977900,0.0,0
2010-06-07,20.82,20.82,19.85,19.92,2971400,0.0,0
2010-06-08,19.92,20.2,19.69,20.16,3390900,0.0,0
2010-06-09,20.85,20.96,20.41,20.49,3116200,0.0,0
2010-06-10,20.82,21.21,20.66,21.2,2192600,0.0,0
2010-06-11,20.98,21.67,20.97,21.66,2406900,0.0,0
2010-06-14,21.85,21.97,21.57,21.68,3680800,0.0,0
2010-06-15,21.86,22.33,21.56,22.3,2263500,0.0,0
2010-06-16,22.23,22.79,22.12,22.58,2825600,0.0,0
2010-06-17,22.65,23.02,22.37,22.93,3527100,0.0,0
2010-06-18,23.03,23.05,22.61,22.75,3552500,0.0,0
2010-06-21,22.89,23.13,22.33,22.47,2035000,0.0,0
2010-06-22,22.47,22.75,21.98,22.02,1835100,0.0,0
2010-06-23,22.02,22.28,21.68,22.04,2515000,0.0,0
2010-06-24,21.95,22.08,21.47,21.54,1892500,0.0,0
2010-06-25,21.66,21.83,21.33,21.76,1515600,0.0,0
2010-06-28,21.67,22.03,21.52,21.78,1638100,0.0,0
2010-06-29,21.22,21.52,20.64,20.81,1990500,0.0,0
2010-06-30,20.71,21.05,20.52,20.56,1983100,0.0,0
2010-07-01,20.71,20.71,20.13,20.38,2709100,0.0,0
2010-07-02,20.36,20.58,19.99,20.16,1672900,0.0,0
2010-07-06,20.52,20.73,19.99,20.23,1696700,0.0,0
2010-07-07,20.14,20.73,20.04,20.72,2475900,0.0,0
2010-07-08,21.05,21.14,20.79,21.08,1384600,0.0,0
2010-07-09,21.08,21.54,20.84,21.53,1232000,0.0,0
2010-07-12,21.42,21.6,21.11,21.21,1039800,0.0,0
2010-07-13,21.38,21.56,21.2,21.48,2172200,0.0,0
2010-07-14,21.33,21.56,21.06,21.4,1597800,0.0,0
2010-07-15,21.37,21.4,20.93,21.2,1446300,0.0,0
2010-07-16,21.03,21.03,20.17,20.22,2752400,0.0,0
2010-07-19,20.29,20.62,20.25,20.48,1713400,0.0,0
2010-07-20,20.19,21.31,20.09,21.27,1999300,0.0,0
2010-07-21,21.44,21.57,21.05,21.18,2479600,0.0,0
2010-07-22,21.48,21.83,21.42,21.79,2020100,0.0,0
2010-07-23,21.79,22.08,21.6,22.08,1552700,0.0,0
2010-07-26,22.04,22.4,21.96,22.4,1234000,0.0,0
2010-07-27,22.55,22.56,21.89,21.96,1894300,0.0,0
2010-07-28,21.96,21.96,21.54,21.68,1874500,0.0,0
2010-07-29,21.95,21.96,21.24,21.56,2146200,0.0,0
2010-07-30,21.37,21.84,21.16,21.38,2787900,0.0,0
2010-08-02,21.65,21.96,21.53,21.66,2686400,0.0,0
2010-08-03,21.63,21.7,21.12,21.34,2697200,0.0,0
2010-08-04,20.25,20.8,19.32,20.2,9765800,0.0,0
2010-08-05,19.79,19.98,19.42,19.5,4622300,0.0,0
2010-08-06,19.3,19.61,19.18,19.3,3553300,0.0,0
2010-08-09,19.29,19.44,19.19,19.4,1995100,0.0,0
2010-08-10,19.26,19.35,19.08,19.33,2021400,0.0,0
2010-08-11,19.08,19.18,18.58,18.64,2753700,0.0,0
2010-08-12,18.28,18.85,18.28,18.76,2447100,0.0,0
2010-08-13,18.65,18.98,18.62,18.8,1554900,0.0,0
2010-08-16,18.67,18.84,18.42,18.7,1630700,0.0,0
2010-08-17,18.81,19.56,18.72,19.15,3443200,0.0,0
2010-08-18,19.11,19.37,18.93,19.22,1468000,0.0,0
2010-08-19,19.08,19.15,18.67,18.83,1391100,0.0,0
2010-08-20,18.71,18.85,18.48,18.77,2091900,0.0,0
2010-08-23,18.81,19.07,18.57,18.61,1406500,0.0,0
2010-08-24,18.37,18.46,17.92,18.1,3214900,0.0,0
2010-08-25,17.95,18.1,17.82,17.97,3970200,0.0,0
2010-08-26,18.02,18.27,17.77,17.85,2031500,0.0,0
2010-08-27,17.93,18.33,17.72,18.33,2239900,0.0,0
2010-08-30,18.2,18.46,17.85,17.87,1569400,0.0,0
2010-08-31,17.76,18.02,17.72,17.86,1665800,0.0,0
2010-09-01,18.18,18.46,18.17,18.37,1670700,0.0,0
2010-09-02,18.36,18.63,18.32,18.62,1404200,0.0,0
2010-09-03,18.84,18.95,18.54,18.79,1190200,0.0,0
2010-09-07,18.67,18.75,18.35,18.38,999700,0.0,0
2010-09-08,18.38,18.73,18.35,18.65,1192500,0.0,0
2010-09-09,18.89,18.92,18.06,18.18,1759800,0.0,0
2010-09-10,18.21,18.33,18.05,18.14,1786800,0.0,0
2010-09-13,18.3,18.36,17.31,17.64,6002600,0.0,0
2010-09-14,17.67,17.86,17.35,17.76,4935700,0.0,0
2010-09-15,17.73,18.05,17.62,17.87,1801900,0.0,0
2010-09-16,17.83,17.87,17.55,17.63,1562700,0.0,0
2010-09-17,17.77,18.25,17.65,18.13,3322800,0.0,0
2010-09-20,18.17,18.69,18.12,18.62,2623100,0.0,0
2010-09-21,18.56,18.91,18.54,18.69,2612400,0.0,0
2010-09-22,18.69,18.88,18.32,18.42,1165700,0.0,0
2010-09-23,18.24,18.6,18.07,18.2,1228300,0.0,0
2010-09-24,18.38,18.83,18.38,18.78,1663800,0.0,0
2010-09-27,18.78,19.45,18.73,19.29,2718300,0.0,0
2010-09-28,19.39,19.41,18.83,19.22,1954200,0.0,0
2010-09-29,19.12,19.25,19.06,19.17,1610000,0.0,0
2010-09-30,19.21,19.47,18.93,18.99,1518700,0.0,0
2010-10-01,19.15,19.18,18.87,18.93,1861000,0.0,0
2010-10-04,18.78,19.1,18.64,18.75,1588500,0.0,0
2010-10-05,18.81,19.08,18.63,19.07,2538000,0.0,0
2010-10-06,18.99,19.17,18.82,19.01,1486500,0.0,0
2010-10-07,19.11,19.75,18.94,19.72,2749100,0.0,0
2010-10-08,19.73,20.09,19.57,19.91,2137400,0.0,0
2010-10-11,19.86,20.09,19.76,20.01,993300,0.0,0
2010-10-12,20.01,20.17,19.78,20.12,1632100,0.0,0
2010-10-13,20.27,20.36,20.15,20.33,1575500,0.0,0
2010-10-14,20.32,20.41,19.95,20.07,954800,0.0,0
2010-10-15,20.21,20.31,19.76,19.99,1967600,0.0,0
2010-10-18,20.02,20.19,19.94,20.19,877400,0.0,0
