Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,34.43,34.67,34.19,34.26,8485800,0.0,0
2009-12-08,34.13,34.5,33.68,34.03,13153600,0.0,0
2009-12-09,33.85,34.25,33.72,34.17,11420800,0.0,0
2009-12-10,34.36,34.95,34.31,34.77,14892100,0.0,0
2009-12-11,34.82,35.02,34.14,34.27,16493100,0.0,0
2009-12-14,34.42,34.51,34.03,34.09,11754500,0.0,0
2009-12-15,34.03,34.55,33.93,34.26,11314100,0.0,0
2009-12-16,34.27,34.38,34.08,34.11,9732900,0.0,0
2009-12-17,34.09,34.22,33.77,33.82,9368300,0.0,0
2009-12-18,33.84,34.04,33.62,34.02,18465600,0.0,0
2009-12-21,34.26,34.91,34.2,34.66,11653500,0.0,0
2009-12-22,34.84,35.03,34.64,34.99,9687400,0.0,0
2009-12-23,35.09,35.11,34.9,35.07,8751300,0.0,0
2009-12-24,35.06,35.19,34.95,35.19,3760100,0.0,0
2009-12-28,35.15,35.33,34.92,35.31,7410700,0.0,0
2009-12-29,35.31,35.78,35.2,35.61,8834400,0.0,0
2009-12-30,35.35,35.87,35.29,35.77,7559300,0.0,0
2009-12-31,35.78,35.81,35.31,35.31,7696900,0.0,0
2010-01-04,35.71,36.11,35.55,35.83,14570200,0.0,0
2010-01-05,36.27,36.88,36.25,36.69,24241000,0.0,0
2010-01-06,36.83,36.96,36.16,36.33,22743800,0.0,0
2010-01-07,36.45,37.42,36.29,37.38,25266300,0.0,0
2010-01-08,37.48,38.01,37.32,37.76,25938200,0.0,0
2010-01-11,37.84,37.93,37.13,37.62,14672400,0.0,0
2010-01-12,37.29,37.56,36.69,37.01,18009100,0.0,0
2010-01-13,37.29,37.36,36.81,37.17,12426700,0.0,0
2010-01-14,36.83,37.19,36.8,36.92,13751800,0.0,0
2010-01-15,37.1,37.43,36.72,37.04,21540300,0.0,0
2010-01-19,37.11,37.93,37.06,37.64,16564800,0.0,0
2010-01-20,37.33,37.35,36.48,36.9,18151500,0.0,0
2010-01-21,36.88,37.4,36.58,36.71,18703200,0.0,0
2010-01-22,36.72,37.07,35.62,35.71,22205300,0.0,0
2010-01-25,35.85,36.4,35.64,35.8,15304700,0.0,0
2010-01-26,35.8,36.23,35.54,35.79,18325500,0.0,0
2010-01-27,35.51,36.11,35.32,36.03,27302900,0.0,0
2010-01-28,32.14,32.14,30.54,30.9,130892200,0.0,0
2010-01-29,31.16,31.2,29.38,29.91,112830300,0.0,0
2010-02-01,29.96,30.51,29.52,30.35,54762600,0.0,0
2010-02-02,30.39,30.45,29.75,29.97,45670300,0.0,0
2010-02-03,29.74,30.32,29.46,30.25,36836200,0.0,0
2010-02-04,29.97,29.98,29.12,29.13,39883900,0.0,0
2010-02-05,29.32,29.46,28.57,29.03,39365100,0.0,0
2010-02-08,29.09,29.15,28.6,28.63,27373800,0.0,0
2010-02-09,28.94,29.23,28.73,28.94,28585600,0.0,0
2010-02-10,28.78,29.13,28.48,28.57,23742400,0.0,0
2010-02-11,28.45,29.1,28.24,29.01,34201400,0.0,0
2010-02-12,29.14,29.77,28.99,29.65,37313700,0.0,0
2010-02-16,29.84,30.0,29.54,29.78,34301800,0.0,0
2010-02-17,29.84,30.3,29.78,30.1,24733000,0.0,0
2010-02-18,30.13,30.48,30.06,30.39,19503800,0.0,0
2010-02-19,30.39,30.42,30.13,30.22,26638700,0.0,0
2010-02-22,30.39,30.45,29.53,29.77,27657900,0.0,0
2010-02-23,29.77,29.88,29.31,29.42,17926000,0.0,0
2010-02-24,29.6,29.65,28.88,29.03,27111500,0.17,0
2010-02-25,28.54,29.13,27.96,28.5,34843000,0.0,0
2010-02-26,28.46,28.47,27.99,28.12,30557500,0.0,0
2010-03-01,28.23,28.23,27.19,27.26,59161000,0.0,0
2010-03-02,28.17,29.49,28.04,29.08,77896200,0.0,0
2010-03-03,29.5,30.02,29.42,29.66,42163800,0.0,0
2010-03-04,29.85,30.11,29.58,30.09,29404500,0.0,0
2010-03-05,30.27,30.3,29.61,29.72,26466900,0.0,0
2010-03-08,29.77,29.91,29.6,29.74,13854600,0.0,0
2010-03-09,29.69,29.83,29.52,29.65,20134400,0.0,0
2010-03-10,29.57,29.98,29.52,29.81,15250000,0.0,0
2010-03-11,29.79,30.09,29.68,29.98,16325300,0.0,0
2010-03-12,29.99,30.2,29.75,29.86,20712100,0.0,0
2010-03-15,29.9,29.95,29.64,29.8,17334500,0.0,0
2010-03-16,29.82,29.98,29.58,29.91,27699200,0.0,0
2010-03-17,29.94,30.05,29.68,29.82,23287400,0.0,0
2010-03-18,30.08,31.07,30.02,31.0,45529100,0.0,0
2010-03-19,31.06,31.13,30.5,30.7,33417800,0.0,0
2010-03-22,30.73,31.08,30.57,30.88,16394500,0.0,0
2010-03-23,31.0,31.11,30.69,31.06,13840700,0.0,0
2010-03-24,30.85,31.0,30.68,30.81,12980800,0.0,0
2010-03-25,32.61,33.61,32.2,32.34,67289200,0.0,0
