Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,67.57,67.95,67.21,67.56,444100,0.0,0
2009-12-08,67.33,67.4,66.88,66.93,294900,0.0,0
2009-12-09,66.94,67.34,66.75,67.22,269300,0.0,0
2009-12-10,67.55,67.75,67.29,67.51,250500,0.0,0
2009-12-11,67.63,68.06,67.44,67.79,243200,0.0,0
2009-12-14,68.07,68.23,67.65,68.12,414900,0.0,0
2009-12-15,68.05,68.37,67.79,68.14,410500,0.0,0
2009-12-16,68.45,68.65,68.18,68.64,373500,0.0,0
2009-12-17,68.11,68.77,68.04,68.38,404400,0.0,0
2009-12-18,68.77,69.36,68.35,69.36,630500,0.0,0
2009-12-21,69.52,69.71,68.76,69.4,441200,0.0,0
2009-12-22,69.1,69.76,68.79,69.03,369500,0.0,0
2009-12-23,68.96,69.16,68.48,68.54,478400,0.0,0
2009-12-24,68.7,68.83,68.48,68.63,108600,0.0,0
2009-12-28,68.83,68.83,67.99,68.18,576100,0.0,0
2009-12-29,68.26,69.08,68.19,68.88,425100,0.0,0
2009-12-30,68.54,69.21,68.54,69.12,174400,0.0,0
2009-12-31,68.97,69.45,68.97,69.02,295500,0.0,0
2010-01-04,69.49,69.74,68.63,68.83,444800,0.0,0
2010-01-05,68.57,68.81,67.54,67.83,327200,0.0,0
2010-01-06,68.0,68.14,67.63,67.81,266400,0.0,0
2010-01-07,67.93,68.21,67.8,67.95,354600,0.0,0
2010-01-08,67.93,68.02,67.52,67.83,276900,0.0,0
2010-01-11,68.2,68.37,67.79,68.28,394000,0.0,0
2010-01-12,68.12,68.89,68.0,68.36,280600,0.0,0
2010-01-13,68.35,69.27,68.3,69.15,192200,0.0,0
2010-01-14,68.79,69.32,68.73,69.3,204600,0.0,0
2010-01-15,69.08,69.2,68.27,68.32,208000,0.0,0
2010-01-19,68.31,69.53,68.31,69.51,254200,0.0,0
2010-01-20,68.95,69.93,68.95,69.76,344000,0.0,0
2010-01-21,69.67,69.99,68.87,69.08,352900,0.0,0
2010-01-22,69.1,69.1,67.83,68.05,289800,0.0,0
2010-01-25,68.49,68.72,67.75,68.12,195800,0.0,0
2010-01-26,67.85,69.16,67.83,68.08,321400,0.0,0
2010-01-27,67.88,69.19,67.88,69.19,278900,0.0,0
2010-01-28,69.23,69.23,68.16,68.4,209600,0.0,0
2010-01-29,68.7,70.01,68.43,69.07,348000,0.0,0
2010-02-01,69.4,69.41,68.61,68.93,179100,0.0,0
2010-02-02,68.84,69.4,68.77,69.29,202600,0.0,0
2010-02-03,69.08,69.1,68.49,68.68,287300,0.0,0
2010-02-04,68.47,68.85,67.29,67.29,484500,0.0,0
2010-02-05,67.33,67.53,66.2,67.09,413000,0.0,0
2010-02-08,67.18,67.22,66.42,66.7,306300,0.0,0
2010-02-09,67.2,67.59,66.71,67.46,175600,0.0,0
2010-02-10,67.13,68.46,66.76,67.96,376800,0.0,0
2010-02-11,68.04,68.04,64.08,64.45,1755900,0.0,0
2010-02-12,63.95,65.4,63.64,65.22,892500,0.0,0
2010-02-16,65.54,66.42,65.13,66.34,667300,0.0,0
