Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,9.18,9.27,9.1,9.13,10931000,0.0,0.0
2009-12-08,9.02,9.15,8.94,9.05,12023000,0.0,0.0
2009-12-09,9.07,9.11,8.96,9.09,13367000,0.0,0.0
2009-12-10,9.14,9.58,9.11,9.52,42289400,0.0,0.0
2009-12-11,9.56,9.59,9.41,9.55,22741400,0.0,0.0
2009-12-14,9.58,9.76,9.53,9.74,18096200,0.0,0.0
2009-12-15,9.67,9.77,9.67,9.7,13952600,0.0,0.0
2009-12-16,9.68,9.78,9.56,9.57,15798400,0.0,0.0
2009-12-17,9.52,9.59,9.43,9.49,12483200,0.0,0.0
2009-12-18,9.57,10.13,9.49,10.1,59943800,0.0,0.0
2009-12-21,10.1,10.12,9.83,9.87,23654200,0.0,0.0
2009-12-22,9.96,10.15,9.88,10.12,16175600,0.0,0.0
2009-12-23,10.1,10.15,9.96,10.13,8513200,0.0,0.0
2009-12-24,10.13,10.13,10.02,10.09,4096000,0.0,0.0
2009-12-28,10.08,10.22,10.04,10.16,10327600,0.0,0.0
2009-12-29,10.17,10.18,9.97,10.03,14801600,0.0,0.0
2009-12-30,9.96,10.06,9.89,9.94,9208400,0.0,0.0
2009-12-31,9.96,10.01,9.84,9.84,7526400,0.0,0.0
2010-01-04,9.95,9.95,9.77,9.83,16370000,0.0,0.0
2010-01-05,9.79,10.24,9.76,10.06,30058800,0.0,0.0
2010-01-06,10.01,10.07,9.92,9.99,14209600,0.0,0.0
2010-01-07,9.93,10.04,9.89,9.96,10256000,0.0,0.0
2010-01-08,9.9,10.07,9.89,9.93,10274800,0.0,0.0
2010-01-11,9.97,9.97,9.75,9.9,11387000,0.0,0.0
2010-01-12,9.77,9.89,9.6,9.73,15429600,0.0,0.0
2010-01-13,9.77,10.02,9.71,9.97,15098400,0.0,0.0
2010-01-14,9.91,10.07,9.9,10.04,15517400,0.0,0.0
2010-01-15,10.12,10.13,9.77,9.93,21862600,0.0,0.0
2010-01-19,9.98,10.15,9.88,10.06,18908200,0.0,0.0
2010-01-20,10.13,10.15,9.75,9.93,33950400,0.0,0.0
2010-01-21,10.29,10.43,9.95,10.1,53670800,0.0,0.0
2010-01-22,10.08,10.16,9.75,9.77,24557600,0.0,0.0
2010-01-25,9.81,9.84,9.5,9.55,24673800,0.0,0.0
2010-01-26,9.47,9.7,9.46,9.61,22492600,0.0,0.0
2010-01-27,9.61,9.63,9.44,9.56,21200200,0.0,0.0
2010-01-28,9.6,9.65,9.32,9.42,28730400,0.0,0.0
2010-01-29,9.43,9.61,9.28,9.29,18741800,0.0,0.0
2010-02-01,9.38,9.5,9.29,9.48,13498800,0.0,0.0
2010-02-02,9.45,9.59,9.35,9.58,15336200,0.0,0.0
2010-02-03,9.55,9.59,9.43,9.57,14938600,0.0,0.0
2010-02-04,9.49,9.55,9.29,9.3,19542400,0.0,0.0
2010-02-05,9.29,9.4,9.07,9.26,22069800,0.0,0.0
2010-02-08,9.24,9.45,9.13,9.35,15988600,0.0,0.0
2010-02-09,9.45,9.51,9.24,9.46,20816200,0.0,0.0
2010-02-10,9.4,9.61,9.4,9.54,20032800,0.0,0.0
2010-02-11,9.49,9.67,9.35,9.62,18518200,0.0,0.0
2010-02-12,9.41,9.67,9.41,9.64,15750800,0.0,0.0
2010-02-16,9.68,9.76,9.58,9.76,16820000,0.0,0.0
2010-02-17,9.84,9.94,9.8,9.87,12950400,0.0,0.0
2010-02-18,9.9,9.95,9.81,9.92,9300600,0.0,0.0
2010-02-19,9.88,10.01,9.88,9.96,9731800,0.0,0.0
2010-02-22,9.95,9.96,9.73,9.77,16983800,0.0,0.0
2010-02-23,9.71,9.77,9.58,9.67,16508400,0.0,0.0
2010-02-24,9.7,9.84,9.69,9.84,12921000,0.0,0.0
2010-02-25,9.66,9.8,9.57,9.77,18623800,0.0,0.0
2010-02-26,9.78,9.81,9.67,9.77,12100000,0.0,0.0
2010-03-01,9.78,9.96,9.77,9.93,12703000,0.0,0.0
2010-03-02,9.89,9.98,9.84,9.95,17122200,0.0,0.0
2010-03-03,9.94,9.97,9.78,9.84,11035000,0.0,0.0
2010-03-04,9.83,9.88,9.75,9.78,12892600,0.0,0.0
2010-03-05,9.83,9.98,9.75,9.97,12328800,0.0,0.0
2010-03-08,9.93,10.06,9.92,9.95,8997200,0.0,0.0
2010-03-09,10.02,10.13,9.9,10.07,13357200,0.0,0.0
2010-03-10,10.04,10.35,10.03,10.33,24464200,0.0,0.0
2010-03-11,10.25,10.52,10.25,10.35,17979000,0.0,0.0
2010-03-12,10.35,10.44,10.3,10.36,12833400,0.0,0.0
2010-03-15,10.36,10.45,10.34,10.42,11841800,0.0,0.0
2010-03-16,10.64,10.82,10.6,10.79,33800200,0.0,0.0
2010-03-17,10.82,10.94,10.72,10.9,21365000,0.0,0.0
2010-03-18,10.86,10.88,10.65,10.67,21413600,0.0,0.0
2010-03-19,10.65,10.73,10.56,10.65,22038600,0.0,0.0
2010-03-22,10.57,10.83,10.39,10.77,16329600,0.0,0.0
2010-03-23,10.85,10.85,10.64,10.84,17656000,0.0,0.0
2010-03-24,11.02,11.09,10.77,10.79,24294400,0.0,0.0
2010-03-25,10.69,10.72,10.3,10.33,37962200,0.0,0.0
2010-03-26,10.4,10.59,10.4,10.49,20463600,0.0,0.0
2010-03-29,10.51,10.57,10.36,10.5,13718000,0.0,0.0
2010-03-30,10.42,10.51,10.34,10.48,12786200,0.0,0.0
2010-03-31,10.42,10.47,10.32,10.35,15088600,0.0,0.0
2010-04-01,10.47,10.55,10.22,10.34,15551200,0.0,0.0
2010-04-05,10.33,10.61,10.33,10.54,15765800,0.05,0.0
2010-04-06,10.47,10.58,10.43,10.54,11589200,0.0,0.0
2010-04-07,10.62,10.72,10.57,10.67,16810800,0.0,0.0
2010-04-08,10.6,10.71,10.55,10.63,14317800,0.0,0.0
2010-04-09,10.64,10.69,10.47,10.59,12381000,0.0,0.0
2010-04-12,10.56,10.62,10.42,10.49,12606200,0.0,0.0
2010-04-13,10.45,10.62,10.42,10.59,14704800,0.0,0.0
2010-04-14,10.58,10.64,10.45,10.64,15749800,0.0,0.0
2010-04-15,10.59,10.81,10.54,10.76,19206400,0.0,0.0
2010-04-16,10.75,10.8,10.58,10.69,21814000,0.0,0.0
2010-04-19,10.7,10.81,10.52,10.66,16983000,0.0,0.0
2010-04-20,10.75,10.83,10.54,10.82,15065200,0.0,0.0
2010-04-21,10.79,10.89,10.71,10.87,27466000,0.0,0.0
2010-04-22,11.13,11.76,10.99,11.67,62082800,0.0,0.0
2010-04-23,11.57,11.69,11.46,11.68,20898400,0.0,0.0
2010-04-26,11.59,11.82,11.56,11.73,15876400,0.0,0.0
2010-04-27,11.78,11.78,11.33,11.36,19239600,0.0,0.0
2010-04-28,11.41,11.51,11.19,11.23,21192600,0.0,0.0
2010-04-29,11.26,11.45,11.25,11.39,15192600,0.0,0.0
2010-04-30,11.45,11.45,11.13,11.13,15006400,0.0,0.0
2010-05-03,11.14,11.67,11.13,11.64,19331000,0.0,0.0
2010-05-04,11.41,11.41,11.05,11.15,22470200,0.0,0.0
2010-05-05,11.11,11.38,11.03,11.23,22305800,0.0,0.0
2010-05-06,11.13,11.24,10.45,10.97,35568400,0.0,0.0
2010-05-07,10.83,11.13,10.56,10.9,44815000,0.0,0.0
2010-05-10,11.17,11.61,11.08,11.58,29334000,0.0,0.0
2010-05-11,11.44,11.67,11.36,11.44,23988600,0.0,0.0
2010-05-12,11.48,11.96,11.44,11.93,23334600,0.0,0.0
2010-05-13,11.9,11.9,11.72,11.75,21925400,0.0,0.0
2010-05-14,11.68,11.71,11.21,11.35,23081800,0.0,0.0
2010-05-17,11.32,11.54,11.17,11.53,17651600,0.0,0.0
2010-05-18,11.39,11.62,11.31,11.38,17118000,0.0,0.0
2010-05-19,11.28,11.49,11.05,11.22,20713600,0.0,0.0
2010-05-20,10.93,11.05,10.74,10.75,25198400,0.0,0.0
2010-05-21,10.51,10.93,10.45,10.83,25733200,0.0,0.0
2010-05-24,10.78,10.9,10.67,10.74,17079600,0.0,0.0
2010-05-25,10.47,10.7,10.31,10.67,23753800,0.0,0.0
2010-05-26,10.62,10.86,10.57,10.58,24204800,0.0,0.0
2010-05-27,10.9,11.15,10.84,11.14,20103600,0.0,0.0
2010-05-28,11.13,11.28,10.99,11.09,16523600,0.0,0.0
2010-06-01,11.03,11.27,10.93,11.01,19534400,0.0,0.0
2010-06-02,11.02,11.39,10.95,11.38,19915000,0.0,0.0
2010-06-03,11.37,11.53,11.33,11.5,18458200,0.0,0.0
2010-06-04,11.25,11.49,11.14,11.2,22817800,0.0,0.0
2010-06-07,11.24,11.24,10.93,10.94,19664200,0.0,0.0
2010-06-08,10.96,11.1,10.79,11.07,19871200,0.0,0.0
2010-06-09,11.15,11.44,11.14,11.27,23721200,0.0,0.0
2010-06-10,11.46,11.57,11.31,11.56,18876400,0.0,0.0
2010-06-11,11.47,11.65,11.45,11.63,17275800,0.0,0.0
2010-06-14,11.75,11.93,11.68,11.76,17480200,0.0,0.0
2010-06-15,11.84,11.97,11.74,11.96,17347800,0.0,0.0
