Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,16.17,16.36,16.0,16.11,9508200,0.0,0
2009-12-08,16.06,16.16,15.89,16.06,8333000,0.0,0
2009-12-09,16.28,16.45,15.87,16.39,9068000,0.0,0
2009-12-10,16.44,16.52,16.1,16.19,10284800,0.0,0
2009-12-11,16.38,16.38,16.11,16.24,6648200,0.0,0
2009-12-14,15.89,16.17,15.52,15.64,18606200,0.0,0
2009-12-15,15.5,15.61,15.25,15.28,12290300,0.0,0
2009-12-16,15.61,16.02,15.61,15.92,17872800,0.0,0
2009-12-17,15.8,16.01,15.69,15.73,14054700,0.0,0
2009-12-18,15.92,16.03,15.77,16.02,12726000,0.0,0
2009-12-21,15.99,16.36,15.96,16.35,8085900,0.0,0
2009-12-22,16.36,16.98,16.28,16.79,10607400,0.0,0
2009-12-23,16.82,17.03,16.78,16.83,6381700,0.0,0
2009-12-24,16.76,16.9,16.73,16.78,2175100,0.0,0
2009-12-28,16.55,16.81,16.55,16.74,3229900,0.0,0
2009-12-29,16.98,16.98,16.52,16.62,3810400,0.0,0
2009-12-30,16.66,16.79,16.45,16.77,3381000,0.0,0
2009-12-31,16.84,16.85,16.58,16.58,3712600,0.0,0
2010-01-04,16.92,17.49,16.66,17.42,14023600,0.0,0
2010-01-05,17.08,17.38,16.98,17.37,13248300,0.0,0
2010-01-06,17.3,17.34,16.94,17.05,10143700,0.0,0
2010-01-07,16.83,17.08,16.45,16.99,19494500,0.0,0
2010-01-08,16.9,16.95,16.71,16.88,9655100,0.0,0
2010-01-11,16.98,16.98,16.72,16.83,9586600,0.0,0
2010-01-12,16.74,17.12,16.7,16.82,11449100,0.0,0
2010-01-13,16.89,16.91,16.69,16.83,12530900,0.0,0
2010-01-14,16.74,17.04,16.7,16.9,6612800,0.0,0
2010-01-15,16.76,16.88,16.54,16.74,13235600,0.0,0
2010-01-19,16.74,17.1,16.66,16.99,10795900,0.0,0
2010-01-20,16.54,16.83,16.43,16.76,28242900,0.0,0
2010-01-21,16.77,17.01,16.55,16.87,49512700,0.0,0
2010-01-22,16.86,16.97,16.53,16.58,26803300,0.0,0
2010-01-25,16.75,16.83,16.6,16.7,12216000,0.0,0
2010-01-26,16.63,16.82,16.4,16.41,13896700,0.0,0
2010-01-27,16.5,16.58,16.27,16.51,16489200,0.0,0
2010-01-28,16.57,16.57,16.15,16.23,14864700,0.0,0
2010-01-29,16.44,16.46,16.02,16.11,10510700,0.0,0
2010-02-01,16.25,16.31,16.13,16.24,8519200,0.0,0
2010-02-02,16.03,16.34,15.97,16.06,15495600,0.0,0
2010-02-03,16.12,16.21,15.89,16.01,12133500,0.0,0
2010-02-04,15.88,15.96,15.42,15.5,28299200,0.0,0
2010-02-05,15.47,15.93,15.47,15.92,19732000,0.0,0
2010-02-08,15.9,15.94,15.6,15.61,14734000,0.0,0
2010-02-09,15.75,15.84,15.36,15.42,16020900,0.0,0
2010-02-10,15.46,15.93,15.37,15.8,26045100,0.06,0
2010-02-11,15.78,15.84,15.55,15.63,9711700,0.0,0
2010-02-12,15.69,15.71,15.45,15.57,15981100,0.0,0
2010-02-16,15.58,15.76,15.51,15.74,8150700,0.0,0
2010-02-17,15.8,15.82,15.47,15.68,10138300,0.0,0
2010-02-18,15.57,15.8,15.56,15.74,10787000,0.0,0
2010-02-19,16.04,16.65,16.02,16.56,26144900,0.0,0
2010-02-22,16.53,16.68,16.42,16.54,14953500,0.0,0
2010-02-23,16.47,16.55,16.23,16.27,11761700,0.0,0
2010-02-24,16.24,16.39,16.23,16.29,9636400,0.0,0
2010-02-25,16.11,16.16,15.93,16.14,11696400,0.0,0
2010-02-26,16.22,16.25,16.0,16.19,11311000,0.0,0
2010-03-01,16.12,16.26,16.11,16.13,7913800,0.0,0
2010-03-02,16.14,16.22,15.97,16.14,5904800,0.0,0
2010-03-03,16.16,16.28,15.99,16.02,10580800,0.0,0
2010-03-04,16.07,16.52,16.04,16.29,7293200,0.0,0
2010-03-05,16.34,16.76,16.29,16.76,8003800,0.0,0
2010-03-08,16.73,16.89,16.64,16.83,7081200,0.0,0
2010-03-09,16.82,16.89,16.6,16.77,6132400,0.0,0
2010-03-10,16.79,16.95,16.71,16.85,8201800,0.0,0
2010-03-11,16.8,16.91,16.57,16.88,7653800,0.0,0
2010-03-12,16.7,16.75,16.2,16.29,19925100,0.0,0
2010-03-15,16.2,16.35,16.04,16.12,16563200,0.0,0
2010-03-16,16.19,16.39,16.1,16.33,15542900,0.0,0
2010-03-17,16.15,16.44,16.15,16.34,13029800,0.0,0
2010-03-18,16.26,16.64,16.26,16.61,8925500,0.0,0
2010-03-19,16.64,16.76,16.42,16.42,14262400,0.0,0
2010-03-22,16.36,16.49,16.26,16.39,7779700,0.0,0
2010-03-23,16.42,16.52,16.29,16.37,9209400,0.0,0
2010-03-24,16.34,16.41,16.09,16.31,8590700,0.0,0
2010-03-25,16.34,16.69,16.25,16.55,11928700,0.0,0
2010-03-26,16.59,16.72,16.43,16.58,13440500,0.0,0
2010-03-29,16.58,16.74,16.51,16.56,11824500,0.0,0
2010-03-30,16.53,16.63,16.4,16.57,8654100,0.0,0
2010-03-31,16.52,16.6,16.37,16.52,10355600,0.0,0
2010-04-01,16.58,16.77,16.26,16.46,9426600,0.0,0
2010-04-05,16.47,16.7,16.36,16.69,12933000,0.0,0
2010-04-06,16.71,17.1,16.57,17.01,18277000,0.0,0
2010-04-07,17.03,17.26,17.03,17.03,15478400,0.0,0
2010-04-08,16.94,17.05,16.85,16.9,10227100,0.0,0
2010-04-09,16.91,17.04,16.85,17.0,6708300,0.0,0
2010-04-12,17.01,17.35,16.97,17.28,7776000,0.0,0
2010-04-13,17.25,17.4,17.1,17.33,7023300,0.0,0
2010-04-14,17.41,17.45,16.95,17.1,16532200,0.0,0
2010-04-15,16.8,17.14,16.79,17.06,13796800,0.0,0
2010-04-16,16.98,17.03,16.5,16.76,20416000,0.0,0
2010-04-19,16.59,16.9,16.54,16.85,10537800,0.0,0
2010-04-20,17.04,17.18,16.95,17.05,12956800,0.0,0
2010-04-21,17.09,17.28,17.06,17.23,11161600,0.0,0
2010-04-22,17.1,17.34,16.91,17.33,8499000,0.0,0
2010-04-23,17.32,17.6,17.13,17.57,10312400,0.0,0
2010-04-26,17.52,17.64,17.25,17.27,8609500,0.0,0
2010-04-27,17.15,17.18,16.65,16.69,13787900,0.0,0
2010-04-28,16.87,17.02,16.68,16.78,10635800,0.0,0
2010-04-29,16.86,17.25,16.75,17.03,7682600,0.0,0
2010-04-30,17.06,17.19,16.84,17.05,10042600,0.0,0
2010-05-03,17.13,17.43,17.07,17.29,7452200,0.0,0
2010-05-04,17.04,17.14,16.62,16.72,12432400,0.0,0
2010-05-05,16.69,16.88,16.51,16.68,8812600,0.06,0
2010-05-06,16.63,16.81,15.13,16.16,20355800,0.0,0
2010-05-07,16.09,16.09,15.24,15.27,31526300,0.0,0
2010-05-10,15.96,16.94,15.84,16.08,21064500,0.0,0
2010-05-11,15.83,16.04,15.63,15.64,15511900,0.0,0
2010-05-12,15.69,15.9,15.62,15.68,11066400,0.0,0
2010-05-13,15.66,15.79,15.51,15.52,8293200,0.0,0
2010-05-14,15.43,15.47,14.77,14.96,21908000,0.0,0
2010-05-17,15.03,15.47,14.91,15.41,17701000,0.0,0
2010-05-18,15.51,15.6,14.76,15.04,19848900,0.0,0
2010-05-19,15.07,15.24,14.82,15.16,21871400,0.0,0
2010-05-20,14.89,15.03,14.36,14.38,23335900,0.0,0
2010-05-21,14.22,14.81,14.09,14.78,16278500,0.0,0
2010-05-24,14.76,14.76,14.37,14.38,9649000,0.0,0
2010-05-25,14.13,14.54,13.92,14.53,15142700,0.0,0
2010-05-26,14.58,14.68,14.3,14.37,13712800,0.0,0
