Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,18.74,19.03,18.69,18.83,664900.0,0.0,0
2009-12-08,18.77,18.78,18.5,18.61,966500.0,0.0,0
2009-12-09,18.63,18.71,18.39,18.66,856500.0,0.0,0
2009-12-10,18.79,18.88,18.52,18.55,1059600.0,0.0,0
2009-12-11,18.67,18.71,18.38,18.54,847600.0,0.0,0
2009-12-14,18.61,18.61,18.44,18.51,1025800.0,0.0,0
2009-12-15,18.44,18.54,18.24,18.33,920900.0,0.0,0
2009-12-16,18.36,18.52,18.24,18.34,756900.0,0.0,0
2009-12-17,18.24,18.3,18.02,18.11,683000.0,0.0,0
2009-12-18,18.19,18.27,17.83,18.08,1447200.0,0.0,0
2009-12-21,18.15,18.41,18.13,18.14,779400.0,0.0,0
2009-12-22,18.14,18.31,18.0,18.03,1100000.0,0.0,0
2009-12-23,18.11,18.22,17.94,18.16,885800.0,0.0,0
2009-12-24,18.21,18.49,18.2,18.45,278000.0,0.0,0
2009-12-28,18.51,18.64,18.12,18.28,837800.0,0.0,0
2009-12-29,18.29,18.45,18.26,18.36,559200.0,0.0,0
2009-12-30,18.26,18.36,18.18,18.18,583600.0,0.0,0
2009-12-31,18.24,18.38,18.09,18.17,769400.0,0.0,0
2010-01-04,18.29,18.37,18.22,18.3,920400.0,0.0,0
2010-01-05,18.28,18.35,17.98,18.11,831400.0,0.0,0
2010-01-06,18.1,18.15,17.68,17.76,1334400.0,0.0,0
2010-01-07,17.74,17.97,17.66,17.95,1394900.0,0.0,0
2010-01-08,17.91,18.04,17.84,18.02,702900.0,0.0,0
2010-01-11,18.13,18.24,17.91,18.01,639000.0,0.0,0
2010-01-12,17.82,17.9,17.65,17.87,724700.0,0.0,0
2010-01-13,17.84,17.96,17.66,17.87,590000.0,0.0,0
2010-01-14,17.88,17.9,17.6,17.72,913300.0,0.0,0
2010-01-15,17.67,17.72,17.52,17.55,876500.0,0.0,0
2010-01-19,17.58,18.02,17.49,18.0,1575000.0,0.0,0
2010-01-20,17.92,17.95,17.62,17.75,1026500.0,0.0,0
2010-01-21,17.72,17.91,17.38,17.41,1299600.0,0.0,0
2010-01-22,17.29,17.48,16.96,16.99,1320600.0,0.0,0
2010-01-25,17.22,17.36,16.35,16.68,2980000.0,0.0,0
2010-01-26,16.55,16.92,16.45,16.68,1952100.0,0.0,0
2010-01-27,16.58,16.86,16.3,16.78,2257900.0,0.0,0
2010-01-28,16.89,16.89,16.36,16.43,1742100.0,0.0,0
2010-01-29,16.51,16.83,16.41,16.49,2020900.0,0.0,0
2010-02-01,16.6,16.78,16.37,16.54,2014400.0,0.0,0
2010-02-02,16.58,16.8,16.45,16.72,1559000.0,0.0,0
2010-02-03,16.56,16.67,16.14,16.36,1311000.0,0.0,0
2010-02-04,16.22,16.22,15.66,15.66,1182200.0,0.0,0
2010-02-05,15.68,15.85,15.32,15.83,1465200.0,0.0,0
2010-02-08,15.82,15.99,15.59,15.89,2929500.0,0.0,0
2010-02-09,16.13,16.35,15.89,16.16,1735600.0,0.0,0
2010-02-10,16.11,16.19,15.83,16.07,1371200.0,0.0,0
2010-02-11,16.04,16.32,15.94,16.31,1949300.0,0.0,0
2010-02-12,16.08,16.3,15.9,16.27,1154800.0,0.0,0
2010-02-16,16.38,16.45,16.29,16.41,1036700.0,0.0,0
2010-02-17,16.47,16.8,16.32,16.51,1096900.0,0.0,0
2010-02-18,16.46,16.78,16.42,16.72,787500.0,0.0,0
2010-02-19,16.71,16.86,16.52,16.77,813000.0,0.0,0
2010-02-22,16.82,16.88,16.66,16.85,832100.0,0.0,0
2010-02-23,16.77,16.94,16.61,16.71,971300.0,0.0,0
2010-02-24,16.72,16.9,16.66,16.88,774800.0,0.0,0
2010-02-25,16.72,17.02,16.4,17.0,1137400.0,0.0,0
2010-02-26,17.06,17.06,16.76,16.98,1584400.0,0.0,0
2010-03-01,17.03,17.16,16.95,17.16,1178800.0,0.0,0
2010-03-02,17.25,17.33,17.14,17.27,1054900.0,0.0,0
2010-03-03,17.41,17.47,17.33,17.43,938700.0,0.12,0
2010-03-04,17.4,17.47,16.98,17.16,1469200.0,0.0,0
2010-03-05,17.33,17.51,17.24,17.48,1207800.0,0.0,0
2010-03-08,17.5,17.67,17.34,17.46,1309700.0,0.0,0
2010-03-09,17.36,17.41,17.2,17.31,1663200.0,0.0,0
2010-03-10,17.3,17.54,17.1,17.42,1746600.0,0.0,0
2010-03-11,17.36,17.46,17.23,17.44,565700.0,0.0,0
2010-03-12,17.56,17.69,17.47,17.64,936400.0,0.0,0
2010-03-15,17.65,17.72,17.52,17.71,862700.0,0.0,0
2010-03-16,17.72,17.97,17.71,17.96,1147900.0,0.0,0
2010-03-17,17.96,18.19,17.88,18.15,1124200.0,0.0,0
2010-03-18,18.18,18.23,18.09,18.18,1079200.0,0.0,0
2010-03-19,18.06,18.48,17.97,18.06,1304500.0,0.0,0
2010-03-22,18.0,18.25,17.92,18.18,1085300.0,0.0,0
2010-03-23,18.17,18.2,17.99,18.18,1104200.0,0.0,0
2010-03-24,18.12,18.13,17.94,17.95,885300.0,0.0,0
2010-03-25,18.08,18.18,17.79,17.79,1527100.0,0.0,0
2010-03-26,17.83,18.02,17.67,17.82,925400.0,0.0,0
2010-03-29,17.82,18.02,17.69,17.79,1288300.0,0.0,0
2010-03-30,17.78,17.88,17.68,17.87,1272700.0,0.0,0
2010-03-31,17.79,17.87,17.61,17.62,1079300.0,0.0,0
2010-04-01,17.77,18.0,17.71,17.83,1074600.0,0.0,0
2010-04-05,17.93,18.15,17.84,18.14,635400.0,0.0,0
2010-04-06,18.12,18.22,18.02,18.19,1214600.0,0.0,0
2010-04-07,18.12,18.28,17.93,17.98,1514600.0,0.0,0
2010-04-08,17.8,18.13,17.8,18.12,1018400.0,0.0,0
2010-04-09,18.14,18.18,18.02,18.14,842600.0,0.0,0
2010-04-12,18.17,18.23,17.88,17.97,944000.0,0.0,0
2010-04-13,17.92,17.98,17.72,17.96,1044300.0,0.0,0
2010-04-14,17.97,18.5,17.97,18.5,1594100.0,0.0,0
2010-04-15,18.53,18.98,18.41,18.98,1987200.0,0.0,0
2010-04-16,18.99,19.11,18.68,18.77,2397300.0,0.0,0
2010-04-19,18.66,18.89,18.62,18.86,1315000.0,0.0,0
2010-04-20,18.93,19.22,18.89,19.18,1351900.0,0.0,0
2010-04-21,19.25,19.57,19.19,19.3,1517100.0,0.0,0
2010-04-22,19.2,19.4,19.03,19.4,984000.0,0.0,0
2010-04-23,19.37,19.53,19.25,19.45,933300.0,0.0,0
2010-04-26,19.5,19.59,19.23,19.34,1242000.0,0.0,0
2010-04-27,19.25,19.38,18.99,19.03,2343900.0,0.0,0
2010-04-28,19.19,19.38,18.35,18.64,2804700.0,0.0,0
2010-04-29,18.71,18.79,18.43,18.63,1132700.0,0.0,0
2010-04-30,18.7,18.8,17.93,17.97,1868600.0,0.0,0
2010-05-03,18.09,18.15,17.85,18.12,1674000.0,0.0,0
2010-05-04,17.9,18.1,17.79,17.98,2041300.0,0.0,0
2010-05-05,17.86,18.18,17.71,17.92,1553500.0,0.0,0
2010-05-06,17.82,17.97,16.15,17.29,1912400.0,0.0,0
2010-05-07,17.26,17.51,16.85,17.21,2594000.0,0.0,0
2010-05-10,17.97,18.07,17.74,17.94,1135600.0,0.0,0
2010-05-11,17.78,17.9,17.57,17.6,1352100.0,0.0,0
2010-05-12,17.61,17.91,17.57,17.87,764200.0,0.0,0
2010-05-13,17.87,18.18,17.66,18.01,1404500.0,0.0,0
2010-05-14,17.92,17.97,17.56,17.67,1399000.0,0.0,0
2010-05-17,17.81,19.08,17.81,18.66,3094600.0,0.0,0
2010-05-18,18.74,18.84,18.02,18.02,1927900.0,0.0,0
2010-05-19,17.95,18.22,17.82,18.16,1730500.0,0.0,0
2010-05-20,17.7,17.8,17.25,17.25,1556200.0,0.0,0
2010-05-21,17.11,17.54,16.75,17.52,2113000.0,0.0,0
2010-05-24,17.37,17.46,17.15,17.21,1439300.0,0.0,0
2010-05-25,16.78,17.24,16.58,17.24,1402900.0,0.0,0
2010-05-26,17.36,17.48,17.05,17.11,1440600.0,0.0,0
2010-05-27,17.46,17.62,17.16,17.61,1366000.0,0.0,0
2010-05-28,17.61,17.66,17.32,17.42,944200.0,0.0,0
2010-06-01,17.22,17.46,16.92,16.95,1084600.0,0.0,0
2010-06-02,17.05,17.37,16.94,17.36,816700.0,0.12,0
2010-06-03,17.42,17.55,17.32,17.52,936300.0,0.0,0
2010-06-04,17.19,17.43,16.84,16.91,1430300.0,0.0,0
2010-06-07,16.91,16.97,16.71,16.79,1592900.0,0.0,0
2010-06-08,16.76,16.95,16.58,16.88,2248400.0,0.0,0
2010-06-09,16.97,17.16,16.81,17.0,1835000.0,0.0,0
2010-06-10,17.26,17.45,17.07,17.32,1101200.0,0.0,0
2010-06-11,17.15,17.59,17.1,17.53,1127400.0,0.0,0
2010-06-14,17.7,17.92,17.55,17.6,821500.0,0.0,0
2010-06-15,17.69,17.95,17.69,17.95,1006400.0,0.0,0
2010-06-16,17.77,17.93,17.67,17.81,852100.0,0.0,0
2010-06-17,17.89,17.98,17.74,17.97,907300.0,0.0,0
2010-06-18,18.04,18.12,17.96,18.1,1015200.0,0.0,0
2010-06-21,18.36,18.38,17.85,18.0,880400.0,0.0,0
2010-06-22,18.01,18.08,17.58,17.6,614200.0,0.0,0
2010-06-23,17.59,17.74,17.37,17.57,846100.0,0.0,0
2010-06-24,17.55,17.78,17.32,17.37,764700.0,0.0,0
2010-06-25,17.4,17.5,17.17,17.4,872700.0,0.0,0
2010-06-28,17.41,17.48,17.15,17.18,762600.0,0.0,0
2010-06-29,16.95,17.15,16.74,16.82,1332700.0,0.0,0
2010-06-30,16.77,16.9,16.5,16.58,1733800.0,0.0,0
2010-07-01,16.6,16.68,16.21,16.48,1078900.0,0.0,0
2010-07-02,16.53,16.53,16.26,16.39,832000.0,0.0,0
2010-07-06,16.57,16.7,16.38,16.63,2096600.0,0.0,0
2010-07-07,16.69,17.09,16.59,17.09,1259700.0,0.0,0
2010-07-08,17.19,17.4,17.08,17.39,937500.0,0.0,0
2010-07-09,17.49,17.6,17.39,17.53,628800.0,0.0,0
2010-07-12,17.53,17.83,17.5,17.54,732700.0,0.0,0
2010-07-13,17.68,18.19,17.68,18.14,907400.0,0.0,0
2010-07-14,18.07,18.2,17.9,18.15,821300.0,0.0,0
2010-07-15,18.17,18.39,18.06,18.34,1073500.0,0.0,0
2010-07-16,18.28,18.28,17.71,17.76,751900.0,0.0,0
2010-07-19,17.82,17.9,17.69,17.89,552600.0,0.0,0
2010-07-20,17.72,18.4,17.67,18.39,1129800.0,0.0,0
2010-07-21,18.5,18.54,18.02,18.21,1093500.0,0.0,0
2010-07-22,18.42,18.75,18.38,18.67,762200.0,0.0,0
2010-07-23,18.65,19.12,18.63,19.07,755800.0,0.0,0
2010-07-26,19.12,19.38,19.12,19.23,1378300.0,0.0,0
2010-07-27,19.34,19.39,19.16,19.31,988400.0,0.0,0
2010-07-28,19.07,19.31,18.29,18.78,1933700.0,0.0,0
2010-07-29,18.91,19.1,18.21,18.38,1835400.0,0.0,0
2010-07-30,18.18,18.38,18.07,18.19,1603800.0,0.0,0
2010-08-02,18.4,18.83,18.4,18.77,1160600.0,0.0,0
2010-08-03,18.71,18.8,18.58,18.71,810300.0,0.0,0
2010-08-04,18.78,18.94,18.72,18.91,770500.0,0.0,0
2010-08-05,18.84,18.94,18.66,18.84,1142200.0,0.0,0
2010-08-06,18.7,18.8,18.42,18.8,1085200.0,0.0,0
2010-08-09,18.92,19.1,18.84,19.03,482800.0,0.0,0
2010-08-10,18.86,18.98,18.65,18.9,846100.0,0.0,0
2010-08-11,18.64,18.64,18.32,18.33,956800.0,0.0,0
2010-08-12,18.08,18.38,17.99,18.24,721600.0,0.0,0
2010-08-13,18.16,18.33,18.13,18.2,985400.0,0.0,0
2010-08-16,18.11,18.28,18.02,18.21,537900.0,0.0,0
2010-08-17,18.52,19.02,18.5,18.95,1307100.0,0.0,0
2010-08-18,18.91,18.95,18.34,18.37,1315700.0,0.0,0
2010-08-19,18.29,18.32,17.85,17.98,735400.0,0.0,0
2010-08-20,17.83,18.06,17.79,17.85,831300.0,0.0,0
2010-08-23,17.89,18.03,17.6,17.63,429300.0,0.0,0
2010-08-24,17.43,17.46,17.22,17.22,806700.0,0.0,0
2010-08-25,17.14,17.31,16.95,17.25,747000.0,0.0,0
2010-08-26,17.36,17.4,17.02,17.06,911600.0,0.0,0
2010-08-27,17.18,17.62,17.06,17.58,1341100.0,0.0,0
2010-08-30,17.53,17.61,17.36,17.37,855500.0,0.0,0
2010-08-31,17.25,17.52,17.19,17.25,1513200.0,0.0,0
2010-09-01,17.42,17.53,17.3,17.35,2644900.0,0.13,0
2010-09-02,17.44,17.65,17.39,17.65,1421300.0,0.0,0
2010-09-03,17.8,17.99,17.8,17.91,1000300.0,0.0,0
2010-09-07,17.88,17.96,17.71,17.81,767300.0,0.0,0
2010-09-08,17.81,18.02,17.77,17.99,676900.0,0.0,0
2010-09-09,18.17,18.2,17.99,18.15,864300.0,0.0,0
2010-09-10,18.17,18.46,18.12,18.36,829400.0,0.0,0
2010-09-13,18.49,18.7,18.44,18.57,587000.0,0.0,0
2010-09-14,18.57,18.74,18.44,18.63,773000.0,0.0,0
2010-09-15,18.59,18.7,18.44,18.66,571000.0,0.0,0
2010-09-16,18.66,18.77,18.57,18.72,442900.0,0.0,0
2010-09-17,18.81,19.2,18.72,19.04,1137000.0,0.0,0
