Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-07,54.51,55.37,54.46,55.33,1466800,0.0,0
2009-12-08,55.23,55.23,54.17,54.53,1229400,0.0,0
2009-12-09,54.38,54.6,53.92,54.52,1666800,0.0,0
2009-12-10,54.7,55.26,54.68,54.76,1237600,0.0,0
2009-12-11,54.91,55.54,54.91,55.54,912600,0.0,0
2009-12-14,55.64,55.66,55.23,55.32,1244300,0.0,0
2009-12-15,54.9,55.04,54.37,54.44,2005400,0.0,0
2009-12-16,54.49,54.89,54.44,54.53,796600,0.0,0
2009-12-17,54.19,54.74,53.99,54.61,813200,0.0,0
2009-12-18,54.78,55.01,54.44,54.71,1423400,0.0,0
2009-12-21,55.07,55.23,54.53,54.88,587800,0.0,0
2009-12-22,54.87,55.36,54.82,55.07,469400,0.0,0
2009-12-23,55.05,55.46,54.08,54.44,1134600,0.0,0
2009-12-24,54.69,55.09,54.54,54.9,196800,0.0,0
2009-12-28,54.88,55.13,54.82,55.04,677200,0.0,0
2009-12-29,55.3,55.38,55.01,55.04,570600,0.0,0
2009-12-30,54.92,55.23,54.76,54.89,321300,0.0,0
2009-12-31,55.11,55.19,54.56,54.57,552100,0.0,0
2010-01-04,55.0,55.0,54.15,54.59,1338000,0.0,0
2010-01-05,54.52,54.76,52.71,53.3,3081500,0.0,0
2010-01-06,53.45,54.01,52.15,52.6,2491700,0.0,0
2010-01-07,52.6,53.53,52.6,53.07,1340000,0.0,0
2010-01-08,53.06,53.53,52.91,53.52,865300,0.0,0
2010-01-11,54.85,54.85,51.82,52.78,1536800,0.0,0
2010-01-12,52.6,53.41,52.45,52.6,1381700,0.0,0
2010-01-13,52.76,53.43,52.76,53.27,660000,0.0,0
2010-01-14,53.34,53.74,53.22,53.58,1073400,0.0,0
2010-01-15,53.35,53.35,52.37,52.39,1671600,0.0,0
2010-01-19,52.12,52.6,51.6,52.55,1167600,0.0,0
2010-01-20,52.26,52.26,51.73,52.04,1014700,0.0,0
2010-01-21,51.96,52.68,51.67,51.88,1583200,0.0,0
2010-01-22,51.9,52.39,51.22,51.34,1871200,0.0,0
2010-01-25,51.8,52.57,51.57,52.15,2043600,0.0,0
2010-01-26,55.59,56.92,55.38,55.61,6087100,0.0,0
2010-01-27,55.61,56.7,55.13,56.54,2272100,0.0,0
2010-01-28,56.72,56.72,55.88,56.28,1580300,0.0,0
2010-01-29,56.35,57.21,55.84,56.07,2061500,0.0,0
2010-02-01,56.45,57.31,56.21,57.2,1190500,0.0,0
2010-02-02,57.4,58.08,56.47,58.03,1478800,0.0,0
2010-02-03,57.83,57.83,56.61,56.87,1536300,0.0,0
2010-02-04,56.77,56.8,56.2,56.52,1525500,0.0,0
2010-02-05,56.67,56.87,55.64,56.56,1376000,0.0,0
2010-02-08,56.63,56.74,55.86,55.94,1269800,0.0,0
2010-02-09,56.33,57.01,56.18,56.45,1605700,0.0,0
2010-02-10,56.3,56.34,55.41,55.75,1752100,0.0,0
2010-02-11,55.76,56.46,55.68,56.41,1052700,0.0,0
2010-02-12,55.91,56.69,55.46,56.61,1042100,0.0,0
2010-02-16,56.87,57.36,56.81,57.13,748200,0.0,0
2010-02-17,57.46,57.91,57.38,57.57,740100,0.0,0
2010-02-18,57.62,57.84,56.92,57.74,714100,0.0,0
2010-02-19,57.49,58.1,57.36,57.86,739100,0.0,0
2010-02-22,58.0,58.19,57.24,57.37,933300,0.0,0
2010-02-23,57.07,57.56,56.7,56.77,789800,0.0,0
